Era,Name,Notes,Designer,Art Type,Image,Project Type,Use,Link(s),Info / Notes(radioLove invite here)
Eargasm,Eargasm [Cover #6],,,,,,,/wolfgold/art/eargasm-cover-6.png,"Another alternate cover for ""Eargasm."""
Eargasm,Eargasm [Cover #6] (Original Image),,,,,,,/wolfgold/art/eargasm-cover-6-original-image.png,Unedited version of the alternate Eargasm cover.
(as Ace Creator),"Radio Arcade(Arcade Radio, The Radio Arcade)",,,,,,,,
Radio Arcade,Radio Arcade [Cover #1],,,,,,,/wolfgold/art/radio-arcade-cover-1.png,"Main cover for ""Radio Arcade."""
Radio Arcade,Radio Arcade [Cover #1] (Original Image),,,,,,,/wolfgold/art/radio-arcade-cover-1-original-image.jpg,Original image used for the Radio Arcade cover.
Radio Arcade,Radio Arcade [Cover #2],,,,,,,/wolfgold/art/radio-arcade-cover-2.png,"Alternate cover for ""Radio Arcade"" that's very small (it comes from a MySpace thumbnail.)"
Radio Arcade,Radio Arcade [Cover #2] (Original Image),,,,,,,/wolfgold/art/radio-arcade-cover-2-original-image.jpg,"Original image for the ""Radio Arcade"" second cover."
Radio Arcade,Radio Arcade [Cover #3],,,,,,,/wolfgold/art/radio-arcade-cover-3.png,"Another alternate cover for ""Radio Arcade."" Uses Stereo-Type [Cover #4] for base image (as detected by garage door dents and pose). This comes from the same collage of images that Stereo-Type [Cover #7] was in. Also says Arcade Radio(?)"
Radio Arcade,Radio Arcade [Promotional Cover #1],,,,,,,/wolfgold/art/radio-arcade-promotional-cover-1.png,"Promotional cover for ""Radio Arcade,"" links to myspace.com/arcadetherapy"
Radio Arcade,Radio Arcade [Promotional Cover #2],,,,,,,/wolfgold/art/radio-arcade-promotional-cover-2.png,"Another promotional cover for ""Radio Arcade,"" links to myspace.com/aradioarcade"
Radio Arcade,Radio Arcade [Promotional Cover] (Original Image),,,,,,,/wolfgold/art/radio-arcade-promotional-cover-original-image.png,Original image of promo cover 1 & 2. Thank you Prophet.
(as Poly/Mono),Soundz On Acid,,,,,,,,
Soundz On Acid,Soundz On Acid [Cover],,,,,,,/wolfgold/art/soundz-on-acid-cover.png,"Cover for ""Soundz On Acid."""
(as Ace Creator),Locked Away,,,,,,,,
Locked Away,Locked Away [Cover],,,,,,,/wolfgold/art/locked-away-cover.jpg,"Cover for ""Locked Away."""
Locked Away,Locked Away [Cover] (Original Image),,,,,,,/wolfgold/art/locked-away-cover-original-image.png,"Original image used for the Locked Away cover. One thing to note is that this image was also titled ""Eye Talk"" and ""Tyler Squared"" in different places."
(as Ace Creator),Personal Stash,,,,,,,,
Personal Stash,Personal Stash [Cover] (Original Image),,,,,,,/wolfgold/art/personal-stash-cover-original-image.png,The base image that was used on the Personal Stash cover.
(as Ace Creator),Bodega,,,,,,,,
Bodega,Bodega [Cover],,,,,,,/wolfgold/art/bodega-cover.png,"Cover for ""Bodega"" that's just a stock image of a donut. YUM!"
(as Ace Creator),"I Smell Panties(Collaboration with Jasper Dolphin)(The Special Olympics, CVH)",,,,,,,,sniifffffff aaugghh
I Smell Panties,The Special Olympics [Cover],,,,,,,/wolfgold/art/the-special-olympics-cover.png,"Cover for ""The Special Olympics."""
I Smell Panties,The Special Olympics [Original Cover],,,,,,,/wolfgold/art/the-special-olympics-original-cover.png,"Original image for ""The Special Olympics."" "
I Smell Panties,Lisa [Single Cover],,,,,,,/wolfgold/art/lisa-single-cover.jpg,"Cover for the ""Lisa"" single. It's just an image of Britney Spears."
I Smell Panties,Bapes [Single Cover],,,,,,,/wolfgold/art/bapes-single-cover.jpg,"Cover for the ""Bapes"" single."
I Smell Panties,Bapes (Freestyle) [Single Cover],,,,,,,/wolfgold/art/bapes-freestyle-single-cover.jpg,"Cover for the ""Bapes (Freestyle)"" single."
I Smell Panties,Lilo Fucks Stitch [Single Cover],,,,N/A,,,,"Cover for the ""Lilo Fucks Stitch"" single, exactly what you think it is which is why it's not gonna be on here. It is easy to find, unfortunately. (NSFW)"
(as Ace Creator),The Blair Bitch Project,,,,,,,,
The Blair Bitch Project,Blair Bitch Project [Cover #1],,,,N/A,,,,Main cover for the Blair Bitch Project. the same as promotional cover #1 without the 2%8.
The Blair Bitch Project,Blair Bitch Project [Promotional Cover #1],,,,,,,/wolfgold/art/blair-bitch-project-promotional-cover-1.png,"Promotional cover for ""Blair Bitch Project."" Made around the same time the Stereo-Type cover was made. The  true cover does not have 2%8 on it."
The Blair Bitch Project,Blair Bitch Project [Cover #2],,,,,,,/wolfgold/art/blair-bitch-project-cover-2.png,"Alternate cover for ""Blair Bitch Project."""
The Blair Bitch Project,Blair Bitch Project [Cover #3],,,,,,,/wolfgold/art/blair-bitch-project-cover-3.png,"Another alternate cover for ""Blair Bitch Project."" Insanely low quality."
The Blair Bitch Project,Blair Bitch Project [Cover #4],,,,,,,/wolfgold/art/blair-bitch-project-cover-4.png,Whats above but HQ (its cropped however so i made it its own entry)
The Blair Bitch Project,Blair Bitch Project [Cover 5 / Promotional Cover],,,,,,,/wolfgold/art/blair-bitch-project-cover-5-promotional-cover.png,"Another alternate cover for ""Blair Bitch Project"" that could also be a promotional cover."
"(as Tyler, The Creator)",The Senioritis Tape(Collaboration with Odd Future),,,,,,,,
The Senioritis Tape,The Senioritis Tape [Cover #1],,,,,,,/wolfgold/art/the-senioritis-tape-cover-1.png,Cover taken from Tyler's Twitter account some time in 2016-2019. This is not the original image as Tyler took a picture of it on his computer with his phone
The Senioritis Tape,The Senioritis Tape [Cover #2],,,,,,,/wolfgold/art/the-senioritis-tape-cover-2.png,"Second cover for ""The Senioritis Tape."""
The Senioritis Tape,The Senioritis Tape [Cover] (Original Image),,,,,,,/wolfgold/art/the-senioritis-tape-cover-original-image.jpg,Base image of the second Senioritis Tape cover.
The Senioritis Tape,The Senioritis Tape [Promotional Cover],,,,,,,/wolfgold/art/the-senioritis-tape-promotional-cover.png,"Promotional cover for ""The Senioritis Tape."""
(as Ace Creator),The Odd Future Tape Vol. 1(Collaboration with Odd Future),,,,,,,,
The OF Tape Vol. 1,The Odd Future Tape [Cover],,,,,,,/wolfgold/art/the-odd-future-tape-cover.png,"Cover for ""The Odd Future Tape."""
The OF Tape Vol. 1,The Odd Future Tape [Cover] (Original Image),,,,,,,/wolfgold/art/the-odd-future-tape-cover-original-image.jpg,"Original image used in the Odd Future Tape cover with no color, text, or frame."
