Era,Name,Notes,Designer,Art Type,Image,Project Type,Use,Link(s),Info / Notes(radioLove invite here)
WOLF,WOLF [Alternate Cover #2] (Original Image),,,,,,,/wolfgold/art/wolf-alternate-cover-2-original-image.png,"Uncropped version of the alternate ""WOLF"" cover. Taken while on a rollercoaster in the first Camp Flog Gnaw."
WOLF,WOLF [Back Cover],,,,,,,/wolfgold/art/wolf-back-cover.png,"Back cover for ""Wolf."" Unknown how the fuck this was taken."
WOLF,WOLF [Screenplay Cover],,,,,,,/wolfgold/art/wolf-screenplay-cover.jpg,Cover for WOLF's screenplay.
WOLF,Jamba & Awkward [Lyrics Sheet],,,,,,,/wolfgold/art/jamba-awkward-lyrics-sheet.jpg,"Lyrics sheet for ""Jamba"" and ""Awkward"".(Scan)"
WOLF,Cowboy [Lyrics Sheet #1],,,,,,,/wolfgold/art/cowboy-lyrics-sheet-1.jpg,"Lyrics sheet for ""Cowboy"".(Scan)"
WOLF,Cowboy [Lyrics Sheet #2],,,,,,,/wolfgold/art/cowboy-lyrics-sheet-2.jpg,"Lyrics sheet for ""Cowboy"".(Scan)"
WOLF,Cowboy [Lyrics Sheet #3],,,,,,,/wolfgold/art/cowboy-lyrics-sheet-3.jpg,"Lyrics sheet for ""Cowboy"".(Scan)"
WOLF,Domo23 [Lyrics Sheet],,,,,,,/wolfgold/art/domo23-lyrics-sheet.jpg,"Lyrics sheet for ""Domo23"".(Scan)"
WOLF,Answer & Slater [Lyrics Sheet],,,,,,,/wolfgold/art/answer-slater-lyrics-sheet.jpg,"Lyrics sheet for ""Answer"" and ""Slater"".(Scan)"
WOLF,48 [Lyrics Sheet #1],,,,,,,/wolfgold/art/48-lyrics-sheet-1.jpg,"Lyrics sheet for ""48"".(Scan)"
WOLF,48 [Lyrics Sheet #2],,,,,,,/wolfgold/art/48-lyrics-sheet-2.jpg,"Lyrics sheet for ""48"".(Scan)"
WOLF,Colossus & Partyisntover [Lyrics Sheet],,,,,,,/wolfgold/art/colossus-partyisntover-lyrics-sheet.jpg,"Lyrics sheet for ""Colossus"" and ""Partyisntover"".(Scan)"
WOLF,Campfire & Bimmer [Lyrics Sheet},,,,,,,/wolfgold/art/campfire-bimmer-lyrics-sheet.jpg,"Lyrics sheet for ""Campfire"" and ""Bimmer"".(Scan)"
WOLF,IFHY [Lyrics Sheet #1],,,,,,,/wolfgold/art/ifhy-lyrics-sheet-1.jpg,"Lyrics sheet for ""IFHY"". (named ""I Hate You"")(Scan)"
WOLF,IFHY [Lyrics Sheet #2],,,,,,,/wolfgold/art/ifhy-lyrics-sheet-2.jpg,"Lyrics sheet for ""IFHY"".(Scan)"
WOLF,Pigs [Lyrics Sheet #1],,,,,,,/wolfgold/art/pigs-lyrics-sheet-1.jpg,"Lyrics sheet for ""Pigs"".(Scan)"
WOLF,Pigs [Lyrics Sheet #2],,,,,,,/wolfgold/art/pigs-lyrics-sheet-2.jpg,"Lyrics sheet for ""Pigs"", the verse 3 is named ""The Dead Sams"" for some reason.(Scan)"
WOLF,Parking Lot [Lyrics Sheet],,,,,,,/wolfgold/art/parking-lot-lyrics-sheet.jpg,"Lyrics sheet for ""Parking Lot"".(Scan)"
WOLF,Rusty [Lyrics Sheet],,,,,,,/wolfgold/art/rusty-lyrics-sheet.jpg,"Lyrics sheet for ""Rusty"".(Scan)"
WOLF,Treehome95 [Lyrics Sheet],,,,,,,/wolfgold/art/treehome95-lyrics-sheet.jpg,"Lyrics sheet for ""Treehome95"".(Scan)"
WOLF,Tamale [Lyrics Sheet],,,,,,,/wolfgold/art/tamale-lyrics-sheet.jpg,"Lyrics sheet for ""Tamale"".(Scan)"
WOLF,Lone [Lyrics Sheet],,,,,,,/wolfgold/art/lone-lyrics-sheet.jpg,"Lyrics sheet for ""Lone"".(Scan)"
WOLF,Domo23 [Single Cover],,,,,,,/wolfgold/art/domo23-single-cover.png,"Cover for the ""Domo23"" single."
WOLF,Domo23 [Unedited Cover],,,,,,,/wolfgold/art/domo23-unedited-cover.png,Unedited cover of the Domo23 single cover. This is a screenshot(?).peggy reference -Ched
"(as Tyler, The Creator)",Live At Splash!,,,,,,,,
Live At Splash!,Live At Splash!,,,,,,,/wolfgold/art/live-at-splash.jpg,"Cover for the live album ""Live At Splash""."
"(as Tyler, The Creator)",Cherry Bomb(CHUR BUM),,,,,,,,
Cherry Bomb,Cherry Bomb [Cover](Cherry Bomb + Instrumentals),,,,,,,,"Cover for ""Cherry Bomb"" that's only used on the instrumentals version on streaming. Varient A on CD."
Cherry Bomb,Cherry Bomb [Alternate Cover #1],,,,,,,/wolfgold/art/cherry-bomb-alternate-cover-1.jpg,"Alternate cover for ""Cherry Bomb"" that's used on streaming for the vanilla album. Varient C on CD."
Cherry Bomb,Cherry Bomb [Alternate Cover #1],,,,,,,/wolfgold/art/cherry-bomb-alternate-cover-1.jpg,"Alternate cover of the one above for ""Cherry Bomb"", showed on X and on the FUCK IT video."
Cherry Bomb,Cherry Bomb [Alternate Cover #1] (Original Image),,,,,,,/wolfgold/art/cherry-bomb-alternate-cover-1-original-image.jpg,"Original image of Cherry Bomb with a saturation and color balance change, aswell as a replaced tattoo. Taken from flickr."
Cherry Bomb,Cherry Bomb [Alternate Cover #2],,,,,,,/wolfgold/art/cherry-bomb-alternate-cover-2.jpg,"Another alternate cover for ""Cherry Bomb,"" this cover was used on the 2020 vinyl for the instrumentals, and on the Varient B on CD."
Cherry Bomb,Cherry Bomb [Alternate Cover #3],,,,,,,/wolfgold/art/cherry-bomb-alternate-cover-3.jpg,"Another alternate cover for ""Cherry Bomb.""Varient D on CD."
Cherry Bomb,Cherry Bomb [Alternate Cover #3] (Original Image),,,,,,,/wolfgold/art/cherry-bomb-alternate-cover-3-original-image.png,"Original image used for the alternate Cherry Bomb cover. If someone can find me a higher quality version of this, let me know."
Cherry Bomb,Cherry Bomb [Alternate Cover #4],,,,,,,/wolfgold/art/cherry-bomb-alternate-cover-4.jpg,"Another alternate cover for ""Cherry Bomb.""Varient E on CD."
Cherry Bomb,Cherry Bomb [Alternate Cover #4] [Zoomed],,,,,,,/wolfgold/art/cherry-bomb-alternate-cover-4-zoomed.jpg,"Alternate cover of the fourth one for ""Cherry Bomb"". Just zoomed in."
Cherry Bomb,Cherry Bomb [Alternate Cover #4] (Original Image),,,,,,,/wolfgold/art/cherry-bomb-alternate-cover-4-original-image.png,Original image used for the fourth alternate Cherry Bomb cover.
Cherry Bomb,Cherry Bomb [Back Cover],,,,,,,/wolfgold/art/cherry-bomb-back-cover.jpg,"Back cover for ""Cherry Bomb."""
Cherry Bomb,Cherry Bomb [Unknown Cover],,,,N/A,,,,"According to Tyler, Tim Jacobus (the illustrator for Goosebumps) did a cover for Cherry Bomb but he never released it. Lowkey a grail."
"(as Tyler, The Creator)",Scum Fuck Flower Boy(Flower Boy [V1]),,,,,,,,
Scum Fuck Flower Boy,Scum Fuck Flower Boy [Cover],,,,,,,/wolfgold/art/scum-fuck-flower-boy-cover.png,"Original cover for ""Scum Fuck Flower Boy"" that was posted by the artist."
"(as Tyler, The Creator)",Flower Boy(Scum Fuck Flower Boy),,,,,,,,
Flower Boy,Flower Boy [Cover],,,,,,,/wolfgold/art/flower-boy-cover.jpg,"Cover for ""Flower Boy,"" designed by Eric White."
Flower Boy,Flower Boy [Alternate Cover](Scum Fuck Flower Boy),,,,,,,,"Alternate cover of ""Flower Boy"" that's seen on some CD releases and all cassette releases."
Flower Boy,Flower Boy [Back Cover],,,,,,,/wolfgold/art/flower-boy-back-cover.jpg,"Back cover for ""Flower Boy."""
Flower Boy,Who Dat Boy / 911 [Single Cover],,,,,,,/wolfgold/art/who-dat-boy-911-single-cover.jpg,"Cover for the ""Who Dat Boy / 911"" single."
Flower Boy,Foreword [Lyrics Sheet],,,,,,,/wolfgold/art/foreword-lyrics-sheet.jpg,"Lyrics sheet for ""Foreword.""(Scan)"
Flower Boy,Where This Flower Blooms [Lyrics Sheet],,,,,,,/wolfgold/art/where-this-flower-blooms-lyrics-sheet.jpg,"Lyrics sheet for ""Where This Flower Blooms.""(Scan)"
Flower Boy,See You Again [Lyrics Sheet],,,,,,,/wolfgold/art/see-you-again-lyrics-sheet.jpg,"Lyrics sheet for ""See You Again.""(Scan)"
Flower Boy,Who Dat Boy [Lyrics Sheet],,,,,,,/wolfgold/art/who-dat-boy-lyrics-sheet.jpg,"Lyrics sheet for ""Who Dat Boy.""(Scan)"
Flower Boy,Pothole [Lyrics Sheet],,,,,,,/wolfgold/art/pothole-lyrics-sheet.jpg,"Lyrics sheet for ""Pothole.""(Scan)"
Flower Boy,Garden Shed [Lyrics Sheet],,,,,,,/wolfgold/art/garden-shed-lyrics-sheet.jpg,"Lyrics sheet for ""Garden Shed.""(Scan)"
Flower Boy,Boredom [Lyrics Sheet],,,,,,,/wolfgold/art/boredom-lyrics-sheet.jpg,"Lyrics sheet for ""Boredom.""(Scan)"
Flower Boy,I Ain't Got Time! [Lyrics Sheet],,,,,,,/wolfgold/art/i-ain-t-got-time-lyrics-sheet.jpg,"Lyrics sheet for ""I Ain't Got Time!.""(Scan)"
Flower Boy,911 [Lyrics Sheet],,,,,,,/wolfgold/art/911-lyrics-sheet.jpg,"Lyrics sheet for ""911.""(Scan)"
Flower Boy,Mr. Lonely [Lyrics Sheet],,,,,,,/wolfgold/art/mr-lonely-lyrics-sheet.jpg,"Lyrics sheet for ""Mr. Lonely.""(Scan)"
Flower Boy,Droppin' Seeds [Lyrics Sheet],,,,,,,/wolfgold/art/droppin-seeds-lyrics-sheet.jpg,"Lyrics sheet for ""Droppin' Seeds.""(Scan)"
Flower Boy,November [Lyrics Sheet],,,,,,,/wolfgold/art/november-lyrics-sheet.jpg,"Lyrics sheet for ""November.""(Scan)"
Flower Boy,Glitter [Lyrics Sheet],,,,,,,/wolfgold/art/glitter-lyrics-sheet.jpg,"Lyrics sheet for ""Glitter.""(Scan)"
Flower Boy,Rose Tinted Cheeks [Lyrics Sheet],,,,,,,/wolfgold/art/rose-tinted-cheeks-lyrics-sheet.jpg,"Lyrics sheet for ""Rose Tinted Cheeks."" Posted to Tyler's ""scumfuckflowerboy"" Instagram on the 22nd of Feburary 2017."
Flower Boy,Frank Ocean - Biking [Lyrics Sheet],,,,,,,/wolfgold/art/frank-ocean-biking-lyrics-sheet.jpg,"Lyrics sheet for Tyler's verse on ""Biking."" Posted to Tyler's ""scumfuckflowerboy"" Instagram on the 9th of April 2017."
"(as Tyler, The Creator)",Music Inspired by Illumination & Dr. Seuss' The Grinch(Grinch EP),,,,,,,,
Grinch EP,Music Inspired by Illumination & Dr. Seuss' The Grinch(Grinch EP),,,,,,,,"Cover for ""Music Inspired by Illumination & Dr. Seuss' The Grinch."""
"(as Tyler, The Creator)",IGOR,,,,,,,,
IGOR,IGOR [Cover #1](Pink Cover),,,,,,,,"Main cover for ""IGOR.""Pink Varient"
IGOR,IGOR [Cover #2](Yellow Cover),,,,N/A,,,,"Cover for ""IGOR.""Yellow Varient, hasn't been scanned yet."
IGOR,IGOR [Cover #3](Green Cover),,,,N/A,,,,"Cover for ""IGOR.""Green Varient, hasn't been scanned yet."
IGOR,IGOR [Cover #4](Blue Cover),,,,N/A,,,,"Cover for ""IGOR.""Blue Varient, hasn't been scanned yet."
IGOR,IGOR [Alternate Cover],,,,,,,/wolfgold/art/igor-alternate-cover.jpg,"Alternate cover for ""IGOR"" that's seen on limited Vinyl releases, designed by Lewis Rossignol."
IGOR,IGOR [Promotional Cover],,,,,,,/wolfgold/art/igor-promotional-cover.jpg,"Promotional cover used for ""IGOR."""
IGOR,IGOR'S THEME [Lyrics Sheet],,,,,,,/wolfgold/art/igor-s-theme-lyrics-sheet.jpg,"Lyrics sheet for ""IGOR'S THEME."""
IGOR,EARFQUAKE [Lyrics Sheet],,,,,,,/wolfgold/art/earfquake-lyrics-sheet.jpg,"Lyrics sheet for ""EARFQUAKE."""
IGOR,I THINK [Lyrics Sheet],,,,,,,/wolfgold/art/i-think-lyrics-sheet.jpg,"Lyrics sheet for ""I THINK."""
IGOR,BOYFRIEND [Lyrics Sheet](EXACTLY WHAT YOU RUN FROM YOU END UP CHASING),,,,,,,,"Lyrics sheet for ""BOYFRIEND.""(Scan)"
IGOR,RUNNING OUT OF TIME [Lyrics Sheet],,,,,,,/wolfgold/art/running-out-of-time-lyrics-sheet.jpg,"Lyrics sheet for ""RUNNING OUT OF TIME."""
IGOR,NEW MAGIC WAND [Lyrics Sheet],,,,,,,/wolfgold/art/new-magic-wand-lyrics-sheet.jpg,"Lyrics sheet for ""NEW MAGIC WAND."""
IGOR,A BOY IS A GUN* [Lyrics Sheet],,,,,,,/wolfgold/art/a-boy-is-a-gun-lyrics-sheet.jpg,"Lyrics sheet for ""A BOY IS A GUN*."""
IGOR,PUPPET [Lyrics Sheet],,,,,,,/wolfgold/art/puppet-lyrics-sheet.jpg,"Lyrics sheet for ""PUPPET,"" has lines that are unheard in the final version."
IGOR,WHAT'S GOOD [Lyrics Sheet],,,,,,,/wolfgold/art/what-s-good-lyrics-sheet.jpg,"Lyrics sheet for ""WHAT'S GOOD."""
IGOR,"GONE, GONE [Lyrics Sheet]",,,,,,,/wolfgold/art/gone-gone-lyrics-sheet.jpg,"Lyrics sheet for ""GONE, GONE."""
IGOR,THANK YOU [Lyrics Sheet],,,,,,,/wolfgold/art/thank-you-lyrics-sheet.jpg,"Lyrics sheet for ""THANK YOU."""
IGOR,I DON'T LOVE YOU ANYMORE [Lyrics Sheet],,,,,,,/wolfgold/art/i-don-t-love-you-anymore-lyrics-sheet.jpg,"Lyrics sheet for ""I DON'T LOVE YOU ANYMORE."""
IGOR,ARE WE STILL FRIENDS? [Lyrics Sheet],,,,,,,/wolfgold/art/are-we-still-friends-lyrics-sheet.jpg,"Lyrics sheet for ""ARE WE STILL FRIENDS?."""
"(as Tyler, The Creator)",CALL ME IF YOU GET LOST [V1],,,,,,,,
HOUSE ON FIRE,CALL ME IF YOU GET LOST [Concept Cover],,,,,,,/wolfgold/art/call-me-if-you-get-lost-concept-cover.jpg,"Concept cover for ""CALL ME IF YOU GET LOST"" designed by John Cox, also known as johandrox. Tyler would confirm the image's authenticity in an Instagram story."
"(as Tyler, The Creator)",CALL ME IF YOU GET LOST(CALL ME IF YOU GET LOST: The Estate Sale),,,,,,,,
CALL ME IF YOU GET LOST,CALL ME IF YOU GET LOST [Cover #1](Beige Cover),,,,,,,,"Cover for ""CALL ME IF YOU GET LOST"" that's seen on Apple Music, Soundcloud, Deezer & CD releases."
CALL ME IF YOU GET LOST,CALL ME IF YOU GET LOST [Cover #2](Pink Cover),,,,,,,,"Cover for ""CALL ME IF YOU GET LOST"" that's seen on Tidal."
CALL ME IF YOU GET LOST,CALL ME IF YOU GET LOST [Cover #3](Green Cover),,,,,,,,"Cover for ""CALL ME IF YOU GET LOST"" that's seen on Spotify."
CALL ME IF YOU GET LOST,CALL ME IF YOU GET LOST [Cover #4](Blue Cover),,,,,,,,"Cover for ""CALL ME IF YOU GET LOST"" that's seen on Amazon Music & YouTube."
CALL ME IF YOU GET LOST,CALL ME IF YOU GET LOST [Alternate Cover],,,,,,,/wolfgold/art/call-me-if-you-get-lost-alternate-cover.png,"Alternate cover for ""CALL ME IF YOU GET LOST"" that's seen on Vinyl releases."
CALL ME IF YOU GET LOST,CALL ME IF YOU GET LOST: The Estate Sale [Cover],,,,,,,/wolfgold/art/call-me-if-you-get-lost-the-estate-sale-cover.jpg,"Cover for ""The Estate Sale"" that reuses the alternate cover for CMIYGL but adds a tag in the top corner. Cover was also used for the ""DOGTOOTH"" single."
CALL ME IF YOU GET LOST,LUMBERJACK [Single Cover],,,,,,,/wolfgold/art/lumberjack-single-cover.jpg,"Cover for the ""LUMBERJACK"" single."
CALL ME IF YOU GET LOST,SIR BAUDELAIRE [Lyrics Sheet],,,,,,,/wolfgold/art/sir-baudelaire-lyrics-sheet.jpg,"Lyrics sheet for ""SIR BAUDELAIRE."""
CALL ME IF YOU GET LOST,CORSO [Lyrics Sheet],,,,,,,/wolfgold/art/corso-lyrics-sheet.jpg,"Lyrics sheet for ""CORSO."""
CALL ME IF YOU GET LOST,LEMONHEAD [Lyrics Sheet],,,,,,,/wolfgold/art/lemonhead-lyrics-sheet.jpg,"Lyrics sheet for ""LEMONHEAD."""
CALL ME IF YOU GET LOST,WUSYANAME [Lyrics Sheet],,,,,,,/wolfgold/art/wusyaname-lyrics-sheet.jpg,"Lyrics sheet for ""WUSYANAME."""
CALL ME IF YOU GET LOST,LUMBERJACK [Lyrics Sheet],,,,,,,/wolfgold/art/lumberjack-lyrics-sheet.jpg,"Lyrics sheet for ""LUMBERJACK."""
CALL ME IF YOU GET LOST,HOT WIND BLOWS [Lyrics Sheet],,,,,,,/wolfgold/art/hot-wind-blows-lyrics-sheet.jpg,"Lyrics sheet for ""HOT WIND BLOWS."""
CALL ME IF YOU GET LOST,MASSA [Lyrics Sheet],,,,,,,/wolfgold/art/massa-lyrics-sheet.jpg,"Lyrics sheet for ""MASSA."""
CALL ME IF YOU GET LOST,RUNITUP [Lyrics Sheet],,,,,,,/wolfgold/art/runitup-lyrics-sheet.jpg,"Lyrics sheet for ""RUNITUP."""
CALL ME IF YOU GET LOST,MANIFESTO [Lyrics Sheet],,,,,,,/wolfgold/art/manifesto-lyrics-sheet.jpg,"Lyrics sheet for ""MANIFESTO."""
CALL ME IF YOU GET LOST,SWEET [Lyrics Sheet],,,,,,,/wolfgold/art/sweet-lyrics-sheet.jpg,"Lyrics sheet for ""SWEET."""
CALL ME IF YOU GET LOST,I THOUGHT YOU WANTED TO DANCE [Lyrics Sheet],,,,,,,/wolfgold/art/i-thought-you-wanted-to-dance-lyrics-sheet.jpg,"Lyrics sheet for ""I THOUGHT YOU WANTED TO DANCE."""
CALL ME IF YOU GET LOST,RISE! [Lyrics Sheet],,,,,,,/wolfgold/art/rise-lyrics-sheet.jpg,"Lyrics sheet for ""RISE!."""
CALL ME IF YOU GET LOST,JUGGERNAUT [Lyrics Sheet],,,,,,,/wolfgold/art/juggernaut-lyrics-sheet.jpg,"Lyrics sheet for ""JUGGERNAUT."""
CALL ME IF YOU GET LOST,WILSHIRE [Lyrics Sheet],,,,,,,/wolfgold/art/wilshire-lyrics-sheet.jpg,"Lyrics sheet for ""WILSHIRE."""
CALL ME IF YOU GET LOST,SAFARI [Lyrics Sheet],,,,,,,/wolfgold/art/safari-lyrics-sheet.jpg,"Lyrics sheet for ""SAFARI."""
CALL ME IF YOU GET LOST,FISHTAIL [Lyrics Sheet],,,,,,,/wolfgold/art/fishtail-lyrics-sheet.jpg,"Lyrics sheet for ""FISHTAIL."""
CALL ME IF YOU GET LOST,STUNTMAN [Lyrics Sheet],,,,,,,/wolfgold/art/stuntman-lyrics-sheet.jpg,"Lyrics sheet for ""STUNTMAN."""
CALL ME IF YOU GET LOST,WHAT A DAY [Lyrics Sheet],,,,,,,/wolfgold/art/what-a-day-lyrics-sheet.jpg,"Lyrics sheet for ""WHAT A DAY."""
CALL ME IF YOU GET LOST,WHARF TALK [Lyrics Sheet],,,,,,,/wolfgold/art/wharf-talk-lyrics-sheet.jpg,"Lyrics sheet for ""WHARF TALK."""
CALL ME IF YOU GET LOST,DOGTOOTH [Lyrics Sheet],,,,,,,/wolfgold/art/dogtooth-lyrics-sheet.jpg,"Lyrics sheet for ""DOGTOOTH."""
CALL ME IF YOU GET LOST,HEAVEN TO ME [Lyrics Sheet],,,,,,,/wolfgold/art/heaven-to-me-lyrics-sheet.jpg,"Lyrics sheet for ""HEAVEN TO ME."""
CALL ME IF YOU GET LOST,"BOYFRIEND, GIRLFRIEND [Lyrics Sheet]",,,,,,,/wolfgold/art/boyfriend-girlfriend-lyrics-sheet.jpg,"Lyrics sheet for ""BOYFRIEND, GIRLFRIEND."""
CALL ME IF YOU GET LOST,SORRY NOT SORRY [Lyrics Sheet],,,,,,,/wolfgold/art/sorry-not-sorry-lyrics-sheet.jpg,"Lyrics sheet for ""SORRY NOT SORRY."""
"(as Tyler, The Creator)",CHROMAKOPIA,,,,,,,,
CHROMAKOPIA,CHROMAKOPIA [Cover],,,,,,,/wolfgold/art/chromakopia-cover.jpg,"Cover for ""CHROMAKOPIA,"" first revealed on October 17th, 2024."
CHROMAKOPIA,CHROMAKOPIA [Promotional Cover #1],,,,,,,/wolfgold/art/chromakopia-promotional-cover-1.jpg,"Promotional cover used for ""CHROMAKOPIA."" Has a lot of similarities to the IGOR cover, mainly in the logo and text."
CHROMAKOPIA,CHROMAKOPIA [Draft Cover],,,,,,,/wolfgold/art/chromakopia-draft-cover.png,"Original, unedited cover for ""CHROMAKOPIA"", shown off in an instagram story by Luis ""Panch"" Perez. Nice eyebrows Tyler."
CHROMAKOPIA,CHROMAKOPIA+,,,,,,,/wolfgold/art/chromakopia.png,"Cover for ""CHROMAKOPIA+."""
CHROMAKOPIA,CHROMAKOPIA [Promotional Cover #2],,,,,,,/wolfgold/art/chromakopia-promotional-cover-2.jpg,"Promotional cover used for ""CHROMAKOPIA,"" just the text without the picture."
CHROMAKOPIA,CHROMAKOPIA [Promotional Icon/Symbol],,,,,,,/wolfgold/art/chromakopia-promotional-icon-symbol.png,"Unused favicon (that's why it's so small) seen on the ""CHROMAKOPIA Help Center"" customer support website for GOLF WANG which is now shut down."
CHROMAKOPIA,St. Chroma [Lyrics Sheet],,,,,,,/wolfgold/art/st-chroma-lyrics-sheet.jpg,"Lyrics sheet for ""St. Chroma."""
CHROMAKOPIA,Rah Tah Tah [Lyrics Sheet],,,,,,,/wolfgold/art/rah-tah-tah-lyrics-sheet.jpg,"Lyrics sheet for ""Rah Tah Tah."""
CHROMAKOPIA,Noid [Lyrics Sheet],,,,,,,/wolfgold/art/noid-lyrics-sheet.jpg,"Lyrics sheet for CHROMAKOPIA's lead single ""Noid."""
CHROMAKOPIA,"Darling, I [Lyrics Sheet]",,,,,,,/wolfgold/art/darling-i-lyrics-sheet.jpg,"Lyrics sheet for ""Darling, I."""
CHROMAKOPIA,Hey Jane [Lyrics Sheet],,,,,,,/wolfgold/art/hey-jane-lyrics-sheet.jpg,"Lyrics sheet for ""Hey Jane."""
CHROMAKOPIA,I Killed You [Lyrics Sheet],,,,,,,/wolfgold/art/i-killed-you-lyrics-sheet.jpg,"Lyrics sheet for ""I Killed You."""
CHROMAKOPIA,Judge Judy [Lyrics Sheet],,,,,,,/wolfgold/art/judge-judy-lyrics-sheet.jpg,"Lyrics sheet for ""Judge Judy."""
CHROMAKOPIA,Sticky [Lyrics Sheet],,,,,,,/wolfgold/art/sticky-lyrics-sheet.jpg,"Lyrics sheet for ""Sticky."""
CHROMAKOPIA,Take Your Mask Off [Lyrics Sheet],,,,,,,/wolfgold/art/take-your-mask-off-lyrics-sheet.jpg,"Lyrics sheet for ""Take Your Mask Off."""
CHROMAKOPIA,Tomorrow [Lyrics Sheet],,,,,,,/wolfgold/art/tomorrow-lyrics-sheet.jpg,"Lyrics sheet for ""Tomorrow."""
CHROMAKOPIA,Thought I Was Dead [Lyrics Sheet],,,,,,,/wolfgold/art/thought-i-was-dead-lyrics-sheet.jpg,"Lyrics sheet for ""Thought I Was Dead."""
CHROMAKOPIA,Like Him [Lyrics Sheet],,,,,,,/wolfgold/art/like-him-lyrics-sheet.jpg,"Lyrics sheet for ""Like Him."""
CHROMAKOPIA,Balloon [Lyrics Sheet],,,,,,,/wolfgold/art/balloon-lyrics-sheet.jpg,"Lyrics sheet for ""Balloon."""
CHROMAKOPIA,I Hope You Find Your Way Home [Lyrics Sheet],,,,,,,/wolfgold/art/i-hope-you-find-your-way-home-lyrics-sheet.jpg,"Lyrics sheet for ""I Hope You Find Your Way Home."""
"(as Tyler, The Creator)",DON'T TAP THE GLASS,,,,,,,,
DON'T TAP THE GLASS,DON'T TAP THE GLASS [Cover],,,,,,,/wolfgold/art/don-t-tap-the-glass-cover.jpg,"Cover for ""DON'T TAP THE GLASS""."
DON'T TAP THE GLASS,DON'T TAP THE GLASS (Original Image),,,,,,,/wolfgold/art/don-t-tap-the-glass-original-image.png,"Unedited image used for the DON'T TAP THE GLASS cover, shown on a HOT 97 interview."
DON'T TAP THE GLASS,Big Poe [Lyrics Sheet],,,,,,,/wolfgold/art/big-poe-lyrics-sheet.jpg,
DON'T TAP THE GLASS,Sugar On My Tongue [Lyrics Sheet],,,,,,,/wolfgold/art/sugar-on-my-tongue-lyrics-sheet.jpg,
DON'T TAP THE GLASS,Sucka Free [Lyrics Sheet],,,,,,,/wolfgold/art/sucka-free-lyrics-sheet.jpg,
DON'T TAP THE GLASS,Mommanem [Lyrics Sheet],,,,,,,/wolfgold/art/mommanem-lyrics-sheet.jpg,
DON'T TAP THE GLASS,Stop Playing With Me [Lyrics Sheet],,,,,,,/wolfgold/art/stop-playing-with-me-lyrics-sheet.jpg,
DON'T TAP THE GLASS,Ring Ring Ring [Lyrics Sheet],,,,,,,/wolfgold/art/ring-ring-ring-lyrics-sheet.jpg,
DON'T TAP THE GLASS,Don't Tap That Glass [Lyrics Sheet],,,,,,,/wolfgold/art/don-t-tap-that-glass-lyrics-sheet.jpg,
DON'T TAP THE GLASS,Tweakin' [Lyrics Sheet],,,,,,,/wolfgold/art/tweakin-lyrics-sheet.jpg,
DON'T TAP THE GLASS,Don't You Worry Baby [Lyrics Sheet],,,,,,,/wolfgold/art/don-t-you-worry-baby-lyrics-sheet.jpg,
DON'T TAP THE GLASS,I'll Take Care of You [Lyrics Sheet],,,,,,,/wolfgold/art/i-ll-take-care-of-you-lyrics-sheet.jpg,"Lyrics sheet for ""I'll Take Care of You""."
DON'T TAP THE GLASS,Tell Me What It Is [Lyrics Sheet],,,,,,,/wolfgold/art/tell-me-what-it-is-lyrics-sheet.jpg,
DOWNLOAD TO ALL COVERS,,,,,,,,,
