Era,Name,Notes,Designer,Art Type,Image,Project Type,Use,Link(s)
Man On The Moon,,"Original pressing of the Deluxe version, which was supposed to contain 3 bonus tracks, but there was a misprint. As such, the label provided an email address where you could provide your mailing address, and they mailed out copies of an extra CD which contained the bonus tracks. Later pressings properly included the Bonus Tracks on the main CD.",,,,Other,Unused,https://www.discogs.com/release/17341822-Kid-Cudi-Man-On-The-Moon-The-End-Of-Day
Man On The Moon,Man on the Moon: The End of Day [Booklet],,,,,Booklet,Used,https://mega.nz/file/GU4ADAJB#ai7LEwDnhkhtJhj7gEVqTv_EVVwfneu1bdsdZARaWTY
Man On The Moon,,,,,,,,
Man On The Moon,,,,,,,,
Man On The Moon,,,,,,,,
Man On The Moon,,,,,,,,
Man On The Moon II,Arm Poster,Poster 1,,,,Promo Art,Used,/cudigold/art/arm-poster.gif
Man On The Moon II,Torso Poster,Poster 2,,,,Promo Art,Used,/cudigold/art/torso-poster.gif
Man On The Moon II,Red Eyes Poster,Poster 3,,,,Promo Art,Used,/cudigold/art/red-eyes-poster.gif
Man On The Moon II,Mr. Rager Poster,Poster 4.,,,,Promo Art,Used,/cudigold/art/mr-rager-poster.gif
Man On The Moon II,,,,,,Front Cover,Used,
Man On The Moon II,,,,,,Single,Used,
Man On The Moon II,,,,,,Front Cover,Used,
Man On The Moon II,,Deluxe Edition,,,,Front Cover,Used,
Man On The Moon II,,,,,,Single,Used,
Man On The Moon II,Erase Me [Rough Draft Cover],"According to a trusted source, there was a ""rightfully"" scrapped cover for ""Erase Me."" Nothing else is known.",,,,,,
Man On The Moon II,Erase Me ,,,,,Front Cover,Used,/cudigold/art/erase-me.jpg
Man On The Moon II,,Standard Edition Artwork.,,,,Front Cover,Used,
Man On The Moon II,,Deluxe Edition Artwork.,,,,Front Cover,Used,
Man On The Moon II,,,,,,Back Cover,Used,
Man On The Moon II,,,,,,Other,Used,
Man On The Moon II,,,,,,Other,Used,
Man On The Moon II,,,,,,Single,Used,
