Era,Name,Notes,Image / Length,Date,Type,Currently Available,In Circulation?,Link(s)
Meet The Woo 2,"Back Door
(feat. NBA YoungBoy) (prod. KiddFreddo, TnTXD & Tahj Money)","It was mentioned that NBA YoungBoy was originally wanted to be on ""Back Door"", however it never came to be.",,,Other,"Never
Recorded",N/A,Source needed
Meet The Woo 2,"Demeanor
(feat. Bruno Mars) (prod. Mantra)","It was mentioned by Pop Smoke's manager Rico Beats that they originally wanted Bruno Mars on ""Demeanor"".",,,Other,"Never
Recorded",N/A,Source needed
Meet The Woo 2,"Dior (Remix) [Music Video]
(feat. Gunna)","In a commemorative Instagram story post the day of Pop Smoke's murder, Gunna mentioned that he and Pop were about to shoot a music video for his ""Dior"" remix, however evidently did not get to happen.",,,Music Video,"Never
Recorded",N/A,https://images.genius.com/0856066cae598306f7091b9b47218eff.462x1000x1.jpg
Meet The Woo 2,"Genius
(feat. Calboy) (prod. Rico Beats)","It is rumored that the original intended feature for ""Genius"" was Calboy, however there is no evidence of him ever recording for the song.",,,Other,"Never
Recorded",N/A,N/A
Meet The Woo 2,"???
(feat. AJ Tracey)","AJ Tracey mentioned in an interview with On The Radar Radio that Pop Smoke wanted AJ Tracey to hop onto one of his songs that he released, however the AJ Tracey kept the title of the song private. He turned it down in hopes to record their own songs together later on, however the opportunity was cut short.",,"May 17, 2020",Other,"Never
Recorded",N/A,Source needed
Meet The Woo 2,"???
(feat. Rowdy Rebel)","Steven Victor mentioned in the Complex article that Rowdy Rebel was meant to be on Pop's mixtape, however they ended up keeping him off for Pop's debut.",,,Other,"Never
Recorded",N/A,Source needed
Meet The Woo 2,"Don Toliver - No Photos
(feat. Pop Smoke) (prod. CuBeatz & WondaGurl)","The song was originally meant to have Pop Smoke featured, but Don couldn't make it to Pop Smoke's recording session.",,,Other,"Never
Recorded",N/A,Source needed
Meet The Woo 2,"NAV - Stick
(feat. Pop Smoke)","Demo by NAV that was intended to have a Pop Smoke feature, however never recorded. Recorded in November 2019. Sold by TheRealAtake. Previewed on January 18, 2020.",,"Mar 22, 2020",Other,"Never
Recorded",N/A,https://pillows.su/f/6deee0e696aad710042b64d1062536d3
Meet The Woo 2,"Queen Naija - ???
(feat. Pop Smoke)","Queen Naija previewed a song she recorded in which she said that ""pop was really supposed to be on this"" and that she ""wasn't gone do it without em"", that it just sits in her notes and was just an idea.",,,Other,"Never
Recorded",N/A,Link needed
,Collaboration with French Montana,"(???) (Pop Smoke and French Montana begin collaborating)
(02/19/2020) (Pop Smoke is tragically killed in Los Angeles, California)",,,,,,
,Videos,,,,,,,
Collaboration with French Montana,Interview,,,,,Full CDQ,Full CDQ,Link needed
,"Huncho Woo
(Collaboration with Quavo)
(Huncho and the Woo)",,,,,,,
,Videos,,,,,,,
Huncho Woo,West Coast Shit [Behind The Scenes],"Behind the scenes, studio footage of Pop Smoke recording ""West Coast Shit"" with Quavo and DJ Mustard.",,"Jan 15, 2020",Other,Full HQ,Full HQ,https://youtu.be/5UqNYR6RUfc
,Shoot For The Stars Aim For The Moon,,,,,,,
,Never Recorded,,,,,,,
