Era,Name,"Notes
(Join the Discord if we missed anything)",Track Length,Date,Type,Streaming,Link(s)
SFTSAFTM,"Iced Out Audemars
(feat. Dafi Woo) (prod. BigBroLGND & Rico Beats)","Track 23 on the deluxe of Pop Smoke's first studio album Shoot For The Stars Aim For The Moon, released posthumously in 2020.",3:02,"Jul 20, 2020",Album Track,Yes,https://open.spotify.com/track/7KUb9G3NNqbQ8NPb2ccU3s?si=cbde7950ce954518
SFTSAFTM,"Woo Year
(feat. Dread Woo) (prod. Fabio Aguillarr, Dez Wright, CashMoneyAP & YoungKio)","Track 24 on the deluxe of Pop Smoke's first studio album Shoot For The Stars Aim For The Moon, released posthumously in 2020.",3:01,"Jul 20, 2020",Album Track,Yes,https://open.spotify.com/track/3liqOtIOxObydJiqru2wr8?si=e818f567e41144f9
SFTSAFTM,"Tsunami
(feat. Davido) (prod. 808 Melo)","Track 25 on the deluxe of Pop Smoke's first studio album Shoot For The Stars Aim For The Moon, released posthumously in 2020.",3:28,"Jul 20, 2020",Album Track,Yes,https://open.spotify.com/track/434baZo99jvOx6y6oFeQZQ?si=3fce89507e5449be
SFTSAFTM,"Backseat
(feat. PnB Rock) (prod. BloodPop®)","Track 26 on the deluxe of Pop Smoke's first studio album Shoot For The Stars Aim For The Moon, released posthumously in 2020.",2:50,"Jul 20, 2020",Album Track,Yes,https://open.spotify.com/track/0fj9oGrCKxVA4sXDxvbfiM?si=56d7a63f896e4131
SFTSAFTM,"Imperfections (Interlude)
(prod. DLo Beatz & JoeFromYO)","Track 27 on the deluxe of Pop Smoke's first studio album Shoot For The Stars Aim For The Moon, released posthumously in 2020.",1:48,"Jul 3, 2020",Album Track,Yes,https://open.spotify.com/track/42er1na9BHF1ERol51wg8M?si=cddd5e6280bf4e49
SFTSAFTM,"She Feelin Nice
(feat. Jamie Foxx) (prod. WondaGurl)","Track 28 on the deluxe of Pop Smoke's first studio album Shoot For The Stars Aim For The Moon, released posthumously in 2020.",2:35,"Jul 20, 2020",Album Track,Yes,https://open.spotify.com/track/3qzSfoByowr6tDfd08b0T0?si=3994aa622cb5464e
SFTSAFTM,"Paranoia
(feat. Gunna & Young Thug) (prod. The Elements & 808 Melo)","Track 29 on the deluxe of Pop Smoke's first studio album Shoot For The Stars Aim For The Moon, released posthumously in 2020.",3:32,"Jul 20, 2020",Album Track,Yes,https://open.spotify.com/track/3QqJ44HiM84iyZS0G2IKIP?si=6e1cdfcd000c4cdc
SFTSAFTM,"Hello
(feat. A Boogie wit da Hoodie) (prod. L.3.G.I.O.N., Rico Beats & CashMoneyAP)","Track 30 on the deluxe of Pop Smoke's first studio album Shoot For The Stars Aim For The Moon, released posthumously in 2020. Appears on the Target edition of the original version of the album as Track 20.",3:10,"Jul 20, 2020",Album Track,Yes,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi?si=dc4fa234cc35494e
SFTSAFTM,"Be Clearr
(prod. RellyMade)","Track 31 on the deluxe of Pop Smoke's first studio album Shoot For The Stars Aim For The Moon, released posthumously in 2020.",3:22,"Jul 20, 2020",Album Track,Yes,https://open.spotify.com/track/2SojLecJPW9zlNiwzDWmPv?si=c01ffce4804042b8
SFTSAFTM,"Yea Yea (Remix)
(feat. Queen Naija) (prod. SephGotTheWaves & Hakz Beats)","Track 32 on the deluxe of Pop Smoke's first studio album Shoot For The Stars Aim For The Moon, released posthumously in 2020.",3:36,"Jul 20, 2020",Album Track,Yes,https://open.spotify.com/track/0VmbpCPAVUrZA4NQNNg5o6?si=cb64246aa1c3492f
SFTSAFTM,"Diana (Remix)
(feat. King Combs & Calboy) (prod. Spunk Bigga)","Track 33 on the deluxe of Pop Smoke's first studio album Shoot For The Stars Aim For The Moon, released posthumously in 2020.",3:54,"Jul 20, 2020",Album Track,Yes,https://open.spotify.com/track/2FcxERmTy16Z6SIX31cBVc?si=0bdea1285ca94c56
SFTSAFTM,"Enjoy Yourself (Remix)
(feat. Burna Boy) (prod. LuciG & Palaze)","Track 34 on the deluxe of Pop Smoke's first studio album Shoot For The Stars Aim For The Moon, released posthumously in 2020.",3:17,"Jul 20, 2020",Album Track,Yes,https://open.spotify.com/track/6QzkbRRLWTEcFE0NyOX1Dt?si=0a369a792c204451
"3 Album Track
2 Single
4 Feature
0 Production
0 Other",Boogie: Original Motion Picture Soundtrack,"(07/20/2020) (Shoot For The Stars Aim For The Moon (Deluxe) officially releases)
(03/05/2021) (Boogie: Original Motion Picture Soundtrack officially releases)",,,,,
Boogie,"Mood Swings (Remix)
(feat. Lil Tjay & Summer Walker) (prod. Kiwi, Dizzy Banko & The Beat Menace)","Remix of 'Mood Swings' with an additional verse from singer Summer Walker. Released after the album's deluxe release, and wasn't included on it.",4:15,"Sep 18, 2020",Single,Yes,https://open.spotify.com/track/5JYsU2yRoQ6utiLW7Owvjc?si=a374efddc0b94049
Boogie,"Iced Out Audemars (Remix)
(feat. Lil Wayne) (prod. BigBroLGND & Rico Beats)","Remix of 'Iced Out Audemars' with a verse from Lil Wayne in place of Dafi Woo. Released after the album's deluxe release, and wasn't included on it. The released marked the final release of the album's rollout and promotion.",3:16,"Oct 15, 2020",Single,Yes,https://open.spotify.com/track/07IqDUGyRrOcVUo51nhj4F?si=9886c1e59fac451f
Boogie,"French Montana - Double G
(feat. Pop Smoke) (prod. 808 Melo)",Single released by French Montana.,2:37,"Oct 30, 2020",Feature,Yes,https://open.spotify.com/track/6zAXl7WqhGuOuTDkPDKQ7P?si=9a0ddc3a7eed4105
Boogie,"Jay Gwuapo - Black Mask
(feat. Pop Smoke) (prod. CuBeatz & Cool N Dre)",Single released by Jay Gwuapo.,2:29,"Oct 30, 2020",Feature,Yes,https://open.spotify.com/track/0Tm6x4oJEjijVO7Yuqtfda?si=b4266da6c9b24c24
Boogie,"Kid Cudi, Skepta & Pop Smoke - Show Out
(prod. Kid Cudi, Dot Da Genius, Plain Pat, Heavy Mellow & Gravez)",Track 8 on Kid Cudi's 2020 studio album Man On The Moon III: The Chosen.,2:54,"Dec 11, 2020",Feature,Yes,https://open.spotify.com/track/5CFJRZRq6sdKKtRwNPWbYv?si=8083df1b2c7f450f
Boogie,"Fredo - Burner On Deck
(feat. Pop Smoke & Young Adz) (prod. Rico Beats & Yoz Beatz)",Track 7 on Fredo's 2021 studio album Money Can't Buy Happiness.,3:07,"Jan 29, 2021",Feature,Yes,https://open.spotify.com/track/65vHYhe2AprpDBHBTpOBaE?si=2a57260531e645df
Boogie,"AP (Music from the film Boogie)
(prod. Rico Beats & 808 Melo)","Single released posthumously as the lead single for the soundtrack of Boogie, a movie starring Pop Smoke.",2:51,"Feb 26, 2021",Album Track,Yes,https://open.spotify.com/track/17vGPZ5EsdvtgAOCD4FLWI?si=b2d9229954ee4af1
Boogie,"Fashion
(feat. Polo G) (prod. CashMoneyAP & Rico Beats)","Song featuring Polo G, featuring on the Boogie soundtrack.",3:19,"Mar 5, 2021",Album Track,Yes,https://open.spotify.com/track/6kTJP4KJtJT1kWvyXUUt9q?si=a9534e90929344ba
Boogie,"No Cap (Remix)
(feat. M24) (prod. Quincy Tellem)","Remix of M24's ""No Cap"", released as Pop Smoke's song featuring M24 on the Boogie soundtrack.",3:25,"Mar 5, 2021",Album Track,Yes,https://open.spotify.com/track/2twk31aQJn5b451iI0WMwe?si=51f9475400524ae4
"30 Album Track
1 Single
3 Feature
0 Production
0 Other",Faith,"(07/20/2020) (Shoot For The Stars Aim For The Moon (Deluxe) officially releases)
(07/31/2021) (Faith (Deluxe) officially releases)",,,,,
Faith,"Polo G - Clueless
(with Pop Smoke & Fivio Foreign) (prod. AXL Beats)",Track 19 on Polo G's 2021 studio album Hall of Fame.,2:45,"Jun 11, 2021",Feature,Yes,https://open.spotify.com/track/4CPcZHzSvIBM8AKhdHUwnL?si=3fd156f0d3364835
Faith,"Migos & Pop Smoke - Light It Up
(prod. Keanu Beats, Fabio Aguillarr, Swirv & 808 Melo)",Track 18 on Migos' 2021 studio album Culture III.,4:29,"Jun 1, 2021",Feature,Yes,https://open.spotify.com/track/5rIjbX7rQMj8Gh9Oxd4Vrc?si=ceedb39f2dc64669
Faith,"Skepta & Pop Smoke - Lane Switcha
(feat. A$AP Rocky, Juicy J & Project Pat) (prod. mjNichols, ​oktanner, Taz Taylor & Cxdy)","Track 2 on the sound track of the 9th Fast & Furious movie, F9: The Fast Saga.",2:48,"Jun 18, 2021",Feature,Yes,https://open.spotify.com/track/7BOgBJhGXliJWRVMAyYaJZ?si=b4433754e1db42ab
Faith,Outro,"The track serves as the lead single to Faith and was released on June 23, 2021, alongside the album trailer. On July 14, 2021, the outro was removed from all streaming platforms. It eventually was scrapped and did not make it onto Faith.",0:30,"Jun 23, 2021",Single,No,https://pillows.su/f/c836ba4e00b2674922daee823644287f
Faith,"Good News
(feat. Audrey Jackson) (prod. 808 Melo)","Track 1 on Pop Smoke's 2nd studio album Faith, released posthumously in 2021.",0:46,"Jul 16, 2021",Album Track,Yes,https://open.spotify.com/track/1oZq1wMYbEkr7ovRV7OWty?si=264d510d64d64d24
Faith,"More Time
(prod. Nicholas Britell, L.3.G.I.O.N. & Rico Beats)","Track 2 on Pop Smoke's 2nd studio album Faith, released posthumously in 2021.",2:00,"Jul 16, 2021",Album Track,Yes,https://open.spotify.com/track/2wzionesqIt3x5Sglb4n91?si=1ab0b39d94734cf2
Faith,"Tell The Vision
(feat. Kanye West & Pusha T) (prod. Kanye West, SethInTheKitchen, FNZ, BoogzDaBeast, Rico Beats, Jess Jackson & Jalil Peraza)","Track 3 on Pop Smoke's 2nd studio album Faith, released posthumously in 2021.",3:35,"Jul 16, 2021",Album Track,Yes,https://open.spotify.com/track/2UwALqx6yOsXTFt7zRxnts?si=fac5df926c6d43c5
Faith,"Manslaughter
(feat. Rick Ross & The-Dream) (prod. Jake One, Daoud, Ryan Press & Jess Jackson)","Track 4 on Pop Smoke's 2nd studio album Faith, released posthumously in 2021.",4:09,"Jul 16, 2021",Album Track,Yes,https://open.spotify.com/track/5EVzgDPaM0LCM3M5exl3z8?si=31ddc9aef6f94ffe
Faith,"Bout A Million
(feat. 21 Savage & 42 Dugg) (prod. AXL Beats & Jess Jackson)","Track 5 on Pop Smoke's 2nd studio album Faith, released posthumously in 2021.",3:23,"Jul 16, 2021",Album Track,Yes,https://open.spotify.com/track/4LaGu95Ui2s4vprSQYWUAZ?si=9c5dd5e8903c4faf
Faith,"Brush Em
(feat. Rah Swish) (prod. Dylan Jackson, Jess Jackson & 808 Melo)","Track 6 on Pop Smoke's 2nd studio album Faith, released posthumously in 2021.",2:30,"Jul 16, 2021",Album Track,Yes,https://open.spotify.com/track/3MmvQKMKdN3UhVS3eGzJIW?si=33c66fd08d874b6e
Faith,"Top Shotta
(with The Neptunes) (ft. Pusha T, TRAVI & Beam) (prod. The Neptunes)","Track 7 on Pop Smoke's 2nd studio album Faith, released posthumously in 2021.",4:19,"Jul 16, 2021",Album Track,Yes,https://open.spotify.com/track/7ClZUuzhHULLKjjrHEz6HF?si=7b29ac2b86b64552
Faith,"30
(feat. Bizzy Banks) (prod. Rico Beats)","Track 8 on Pop Smoke's 2nd studio album Faith, released posthumously in 2021.",3:48,"Jul 16, 2021",Album Track,Yes,https://open.spotify.com/track/24YG5Z8Of1VHovrfXsbvCZ?si=01b3f1d3dac744cd
Faith,"Beat The Speaker
(prod. Fritz tha Producer & 808 Melo)","Track 9 on Pop Smoke's 2nd studio album Faith, released posthumously in 2021.",1:46,"Jul 16, 2021",Album Track,Yes,https://open.spotify.com/track/73gEzDLKZNPJms5HkSwBmd?si=771786a78013496a
Faith,"Coupe
(prod. RIco Beats)","Track 10 on Pop Smoke's 2nd studio album Faith, released posthumously in 2021.",2:03,"Jul 16, 2021",Album Track,Yes,https://open.spotify.com/track/4wNKxMbE3n1gRm4F6OaCP1?si=de90d86bb61b41b2
Faith,"What's Crackin
(feat. Takeoff) (prod. RIco Beats)","Track 11 on Pop Smoke's 2nd studio album Faith, released posthumously in 2021.",2:57,"Jul 16, 2021",Album Track,Yes,https://open.spotify.com/track/1jbXYNuBFgN0BiNRO2cGov?si=a77eb110b2e84477
Faith,"Genius
(with Lil Tjay & Swae Lee) (prod. Tay Keith & Rico Beats)","Track 12 on Pop Smoke's 2nd studio album Faith, released posthumously in 2021.",3:28,"Jul 16, 2021",Album Track,Yes,https://open.spotify.com/track/0kNYrbMehFxp1eleTwUjkP?si=d2ede514636d41b8
Faith,"Mr. Jones
(feat. Future) (prod. JW Lucas, CashMoneyAP, Foreign Teck & LosTheProducer)","Track 13 on Pop Smoke's 2nd studio album Faith, released posthumously in 2021.",3:34,"Jul 1, 2021",Album Track,Yes,https://open.spotify.com/track/3Zg68ElzsOAHABZsfXlljo?si=61ade2e534de476d
Faith,Woo Baby Interlude,"Track 14 on Pop Smoke's 2nd studio album Faith, released posthumously in 2021.",0:28,"Jul 16, 2021",Album Track,Yes,https://open.spotify.com/track/6AIqbfahoKsTgBDgNPiQpc?si=5ace81a99db941b9
Faith,"Woo Baby
(feat. Chris Brown) (prod. Jess Jackson, 2300 & BoogzDaBeast)","Track 15 on Pop Smoke's 2nd studio album Faith, released posthumously in 2021.",2:36,"Jul 16, 2021",Album Track,Yes,https://open.spotify.com/track/58T4yPLn4NjBYXfRxeweyM?si=7fe3df48b10c485b
Faith,"Demeanor
(feat. Dua Lipa) (prod. Mantra)","Track 16 on Pop Smoke's 2nd studio album Faith, released posthumously in 2021.",3:04,"Jul 1, 2021",Album Track,Yes,https://open.spotify.com/track/3DMs7bahbQTnoxCjgP7qoK?si=e90114a2eae3480e
Faith,"Spoiled
(feat. Pharrell Williams) (prod. The Neptunes)","Track 17 on Pop Smoke's 2nd studio album Faith, released posthumously in 2021.",1:44,"Jul 16, 2021",Album Track,Yes,https://open.spotify.com/track/20SBt8RWsCwOqdBbzova1C?si=452e8684c35847d4
Faith,"8-Ball
(feat. Kid Cudi) (prod. Avenue Beatz, Musicman Ty & Swizz Beatz)","Track 18 on Pop Smoke's 2nd studio album Faith, released posthumously in 2021.",2:56,"Jul 16, 2021",Album Track,Yes,https://open.spotify.com/track/4j0Pv2jLMmtn2kyw6JVt8u?si=5bed1a6d3f7842ba
Faith,"Back Door
(feat. Quavo & Kodak Black) (prod. KiddFreddo, TnTXD & Tahj Money)","Track 19 on Pop Smoke's 2nd studio album Faith, released posthumously in 2021.",4:03,"Jul 16, 2021",Album Track,Yes,https://open.spotify.com/track/6f84PrgxSWSv4EBRweHXZJ?si=01c4e4088da948fe
Faith,"Merci Beaucoup
(prod. The Neptunes)","Track 20 on Pop Smoke's 2nd studio album Faith, released posthumously in 2021.",2:55,"Jul 16, 2021",Album Track,Yes,https://open.spotify.com/track/6mPZVis3gEGSSR2rhxlehT?si=c8ac85c44d7445c2
Faith,"Questions
(prod. 808 Melo)","Track 21 on the first batch of the deluxe of Pop Smoke's 2nd studio album Faith, released posthumously on his birthday in 2021.",2:25,"Jul 20, 2021",Album Track,Yes,https://open.spotify.com/track/6fxcVgWOjLLdjIucAzlS1u?si=21080503621e49f5
Faith,"Run Down
(feat. OnPointLikeOP & G Herbo) (prod. Yoz Beatz)","Track 22 on the first batch of the deluxe of Pop Smoke's 2nd studio album Faith, released posthumously on his birthday in 2021.",3:00,"Jul 20, 2021",Album Track,Yes,https://open.spotify.com/track/7geOVVTDhTITXhgs5VpV5l?si=9070f34770224248
Faith,"Money Man
(feat. Killa Vuitton) (prod. Yamaica)","Track 23 on the first batch of the deluxe of Pop Smoke's 2nd studio album Faith, released posthumously on his birthday in 2021.",2:15,"Jul 20, 2021",Album Track,Yes,https://open.spotify.com/track/4qfhecxbALf3sB1HmB68yq?si=2f8a2d1424784eab
Faith,"Defiant
(feat. Dread Woo & TRAVI) (prod. LS Da Producer & Fritz tha Producer)","Track 24 on the first batch of the deluxe of Pop Smoke's 2nd studio album Faith, released posthumously on his birthday in 2021.",3:54,"Jul 20, 2021",Album Track,Yes,https://open.spotify.com/track/07G3EKJrILPuDTNPulzSF7?si=e7d14533a8b94b79
Faith,"Rumble
(feat. Tayy Floss) (prod. Joezee)","Track 25 on the full deluxe of Pop Smoke's 2nd studio album Faith, released posthumously in 2021.",3:24,"Jul 1, 2021",Album Track,Yes,https://open.spotify.com/track/1Bs4kZgtguPmsRyau5hkxr?si=3dd623d5d3754026
Faith,"Don't Know Em
(with Rah Swish) (prod. AXL Beats)","Track 26 on the full deluxe of Pop Smoke's 2nd studio album Faith, released posthumously in 2021.",1:51,"Jul 31, 2021",Album Track,Yes,https://open.spotify.com/track/0kjIeKhqH933ppKUK6gOCE?si=30104e06a8f94e64
Faith,"Double It
(feat. Fetty Luciano) (prod. 808 Melo)","Track 27 on the full deluxe of Pop Smoke's 2nd studio album Faith, released posthumously in 2021.",2:46,"Jul 31, 2021",Album Track,Yes,https://open.spotify.com/track/07I8u9BeifIfbH6Zv1YsxR?si=079fef2bc324406a
Faith,"Mr. Jones
(with Anuel AA) (prod. LosTheProducer, Foreign Teck, CashMoneyAP & JW Lucas)","Track 28 on the full deluxe of Pop Smoke's 2nd studio album Faith, released posthumously in 2021.",3:49,"Jul 31, 2021",Album Track,Yes,https://open.spotify.com/track/3QPZqYIzgEXbVouiHpu7wR?si=0f206d67dd184464
Faith,"Bad Boys
(feat. Obasi Jackson) (prod. Obasi Jackson)","Track 29 on the full deluxe of Pop Smoke's 2nd studio album Faith, released posthumously in 2021.",2:42,"Jul 31, 2021",Album Track,Yes,https://open.spotify.com/track/3uEJ0Z1lXBRqN5DbMAI69m?si=641735a68a5e472b
Faith,"Dior
(prod. 808 Melo)","Track 30 on the full deluxe of Pop Smoke's 2nd studio album Faith, released posthumously in 2021.",3:36,"Jul 31, 2021",Album Track,Yes,https://open.spotify.com/track/13bjzSvnVIpsOcmiU8EfKp?si=2e5ae5b387694111
"0 Album Track
0 Single
8 Feature
0 Production
0 Other",Ongoing,"(07/31/2021) (Faith (Deluxe) officially releases)
(Ongoing)",,,,,
Ongoing,"Kanye West - Tell The Vision [V1]
(feat. Pop Smoke) (prod. Ojivolta, FNZ, BoogzDaBeast & Kanye West)","Track 19 from Kanye West's studio album Donda, released in 2021.",1:44,"Aug 29, 2021",Feature,Yes,https://open.spotify.com/track/4OfnDoi5VOPsXtwnofq6aL?si=b78514e5d8254e81
Ongoing,"Kanye West - Tell The Vision [V2]
(feat. Pop Smoke) (prod. Ojivolta, FNZ, BoogzDaBeast & Kanye West)","Track 23 from the deluxe of Kanye West's studio album Donda, released in 2021. Song is censored differently than of the first release.",1:44,"Nov 15, 2021",Feature,Yes,https://open.spotify.com/track/2czzDTZuEHmz1y6kQR7rnn?si=75e82b1e0298477d
Ongoing,"French Montana, Pop Smoke & Lil Durk - Stuck in The Jungle
(prod. Samir “ADHD” Akhter, Hitmaka & French Montana)","Track 7 on French Montana's 4th studio album They Got Amnesia, released in 2021.",2:58,"Nov 23, 2021",Feature,Yes,https://open.spotify.com/track/2KowbUkTIw57pMOdijO3xL?si=27b1fcbe0dcd4c61
Ongoing,"Remember
(with Nigo) (prod. ReddoeBeats & Hozay Beats)",Track 9 on Nigo's studio album I Know Nigo!.,2:15,"Mar 25, 2022",Feature,Yes,https://open.spotify.com/track/0PGRXJFSwpn5OAGFpEwiqK?si=de392b93af034230
Ongoing,"Tyga, Jhené Aiko & Pop Smoke - Sunshine
(prod. DJ Swish, Mike Crook, Peyote & Asherr)","Single released in 2022 with Tyga and Jhené Aiko. Uses an extended verse from Pop Smoke's unreleased song ""So 4 Real"" with Dylan Gonzalez.",3:08,"Aug 12, 2022",Feature,Yes,https://open.spotify.com/track/54NBD72JXFXzrodbQBSzWh?si=2da7801e3a7044c3
Ongoing,"Lefty
(with Jay Gwuapo) (prod. Jony Beats)",Single released to Jay Gwuapo's YouTube with the music video.,1:57,"Apr 30, 2023",Feature,No,https://youtu.be/5VnneNz_d8Y
Ongoing,"PopOutBoyz - Word Around Town
(feat. Pop Smoke & Fleazi Bambino) (prod. DJ Durel)","Single released by PopOutBoyz with Fleazi Bambino and Pop Smoke on Pop's 24th birthday. Community grail dubbed ""Lift Em"".",2:10,"Jul 20, 2023",Feature,Yes,https://soundcloud.com/popoutboyz/popoutboyz-ft-pop-smoke-word?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Ongoing,"El Alfa, Pop Smoke & Junior H - AQUI TA SMOKE
(prod. Chael Produciendo)","El Alfa announced on November 4, 2023 that Pop Smoke would be included on his new album, EL REY DEL DEMBOW.",2:54,"Nov 10, 2023",Feature,Yes,https://open.spotify.com/track/3SK0dEKhmkhx6EHjZRHm1r?si=d4b5bb4257834112
