Era,Name,"Notes
(Join the Discord if you have any suggestions)",Designer,Art Type,Image,Project Type,Use,Link(s)
SFTSAFTM,"Li Tjay - Zoo York [Remix]
(feat. French Montana, FIvio Foreign & Pop Smoke)","Cover art for French Montana's remix of Lil Tjay's ""Zoo York"", already featuring Fivio Foreign and Pop Smoke.",Unknown,Digital,,Front Cover,Unused,/smokegold/art/li-tjay-zoo-york-remix-feat-french-montana-fivio-foreign-pop.jpg
SFTSAFTM,Shoot For The Stars Aim For The Moon [Virgil Abloh Version],"This was meant to be the original artwork for Pop Smoke’s posthumous debut album. It was designed by Louis Vuitton artistic director and Off-White founder Virgil Abloh. After it was revealed a few days before the album’s release, it was strongly criticized by fans for being too simple and of low quality. Due to this feedback, Pop Smoke’s former manager and label head Steven Victor, announced that they will change the artwork shortly after. Later, it was replaced with a silver rose on a black square, the actual artwork we can see on the album now.",Virgil Abloh,Digital,,Front Cover,Unused,/smokegold/art/shoot-for-the-stars-aim-for-the-moon-virgil-abloh-version.jpg
SFTSAFTM,"Make It Rain
(feat. Rowdy Rebel)","Single art for ""Make It Rain"", featuring Rowdy Rebel.",Unknown,Digital,,Front Cover,Used,/smokegold/art/make-it-rain-feat-rowdy-rebel.jpg
SFTSAFTM,Shoot For The Stars Aim For The Moon [Concept 2],Album art #2 50 Cent posted to Instagram for fans to vote for the official Shoot For The Stars Aim For The Moon cover art.,Unknown,Digital,,Concept Art,Concept Art,/smokegold/art/shoot-for-the-stars-aim-for-the-moon-concept-2.jpg
SFTSAFTM,Shoot For The Stars Aim For The Moon [Concept 3],Album art #3 50 Cent posted to Instagram for fans to vote for the official Shoot For The Stars Aim For The Moon cover art.,Unknown,Digital,,Concept Art,Concept Art,/smokegold/art/shoot-for-the-stars-aim-for-the-moon-concept-3.jpg
SFTSAFTM,Shoot For The Stars Aim For The Moon [Concept 4],Album art #4 50 Cent posted to Instagram for fans to vote for the official Shoot For The Stars Aim For The Moon cover art.,Unknown,Digital,,Concept Art,Concept Art,/smokegold/art/shoot-for-the-stars-aim-for-the-moon-concept-4.jpg
SFTSAFTM,Shoot For The Stars Aim For The Moon [Concept 5],Album art #5 50 Cent posted to Instagram for fans to vote for the official Shoot For The Stars Aim For The Moon cover art.,Unknown,Digital,,Concept Art,Concept Art,/smokegold/art/shoot-for-the-stars-aim-for-the-moon-concept-5.jpg
SFTSAFTM,Shoot For The Stars Aim For The Moon [Concept 12],Album art #12 50 Cent posted to Instagram for fans to vote for the official Shoot For The Stars Aim For The Moon cover art.,Unknown,Digital,,Concept Art,Concept Art,/smokegold/art/shoot-for-the-stars-aim-for-the-moon-concept-12.jpg
SFTSAFTM,Shoot For The Stars Aim For The Moon [Concept 13],Album art #13 50 Cent posted to Instagram for fans to vote for the official Shoot For The Stars Aim For The Moon cover art.,Unknown,Digital,,Concept Art,Concept Art,/smokegold/art/shoot-for-the-stars-aim-for-the-moon-concept-13.png
SFTSAFTM,Shoot For The Stars Aim For The Moon [Concept 15],Album art #15 50 Cent posted to Instagram for fans to vote for the official Shoot For The Stars Aim For The Moon cover art.,Unknown,Digital,,Concept Art,Concept Art,/smokegold/art/shoot-for-the-stars-aim-for-the-moon-concept-15.jpg
SFTSAFTM,Shoot For The Stars Aim For The Moon [Concept 19],Album art #19 50 Cent posted to Instagram for fans to vote for the official Shoot For The Stars Aim For The Moon cover art.,Unknown,Digital,,Concept Art,Concept Art,/smokegold/art/shoot-for-the-stars-aim-for-the-moon-concept-19.png
SFTSAFTM,Shoot For The Stars Aim For The Moon [Concept 20],Album art #20 50 Cent posted to Instagram for fans to vote for the official Shoot For The Stars Aim For The Moon cover art.,GIBBY'S GRAPHICS,Digital,,Concept Art,Concept Art,/smokegold/art/shoot-for-the-stars-aim-for-the-moon-concept-20.jpg
SFTSAFTM,Shoot For The Stars Aim For The Moon [Concept 22],Album art #22 50 Cent posted to Instagram for fans to vote for the official Shoot For The Stars Aim For The Moon cover art.,Unknown,Digital,,Concept Art,Concept Art,/smokegold/art/shoot-for-the-stars-aim-for-the-moon-concept-22.jpg
SFTSAFTM,Shoot For The Stars Aim For The Moon [Concept 23],Album art #23 50 Cent posted to Instagram for fans to vote for the official Shoot For The Stars Aim For The Moon cover art.,Unknown,Digital,,Concept Art,Concept Art,/smokegold/art/shoot-for-the-stars-aim-for-the-moon-concept-23.png
SFTSAFTM,Shoot For The Stars Aim For The Moon [Concept 26],Album art #26 50 Cent posted to Instagram for fans to vote for the official Shoot For The Stars Aim For The Moon cover art.,Unknown,Digital,,Concept Art,Concept Art,/smokegold/art/shoot-for-the-stars-aim-for-the-moon-concept-26.jpg
SFTSAFTM,Shoot For The Stars Aim For The Moon [Concept 29],Album art #29 50 Cent posted to Instagram for fans to vote for the official Shoot For The Stars Aim For The Moon cover art.,Unknown,Digital,,Concept Art,Concept Art,/smokegold/art/shoot-for-the-stars-aim-for-the-moon-concept-29.jpg
SFTSAFTM,Shoot For The Stars Aim For The Moon [Concept],One of many album arts 50 Cent posted to Instagram for fans to vote for the official Shoot For The Stars Aim For The Moon cover art.,Unknown,Digital,,Concept Art,Concept Art,/smokegold/art/shoot-for-the-stars-aim-for-the-moon-concept.jpg
SFTSAFTM,Shoot For The Stars Aim For The Moon [Concept],One of many album arts 50 Cent posted to Instagram for fans to vote for the official Shoot For The Stars Aim For The Moon cover art.,Unknown,Digital,,Concept Art,Concept Art,/smokegold/art/shoot-for-the-stars-aim-for-the-moon-concept.jpg
SFTSAFTM,Shoot For The Stars Aim For The Moon,"Official album art for Shoot For The Stars Aim For The Moon, designed by Ryder RIpps and chosen by Pop Smoke's mother, Audrey Jackson, the day of release.",Ryder Ripps,Digital,,Front Cover,Used,/smokegold/art/shoot-for-the-stars-aim-for-the-moon.jpg
SFTSAFTM,Shoot For The Stars AIm For The Moon [Back Cover],Back cover for Shoot For The Stars Aim For The Moon on physical releases.,Ryder Ripps,Digital,,Back Cover,Alternate,/smokegold/art/shoot-for-the-stars-aim-for-the-moon-back-cover.jpg
