Year,YearTotal,Era,Name,Content,Price,Start,End,Type,Status,Link
2025,,¥$,Blind Heard BBPB Song + Ty Bonus,"Blind Heard BBPB Song + Ty Bonus

Real Haters
Bob Marley",$225,"Nov 9, 2025","Nov 9, 2025",Blind,Yes,
2025,,Dream House,2x Blind Bundle,"2x Blind Bundle

Nightmares
Talk To Me",$130,"Oct 31, 2025","Nov 6, 2025",Blind,Yes,
2025,,TYCOON [V1],Say It,"Say It

Say It (feat. Playboi Carti & Rema)",$500,"Oct 21, 2025","Oct 24, 2025",Normal,Yes,
2025,,Airplane Mode 2 [V1],Body Language,"Body Language

Body Language
Blind Tyga Bonus",$60,"Jul 21, 2025","Jul 23, 2025",Blind,Yes,
2025,,Multi Era,Blind Bundle + Vultures 2 Song,"Blind Bundle + Vultures 2 Song

Talk To Me
Body Language
Side Tracked
2 Myself
Ain't Nothin (feat. Juicy J & Wiz Khalifa) (already RELEASED 😭)
Nightmares
Codeine Kisses (already fucking leaked 😭)
Forever
Down Bad (feat. Ne-Yo)
Somebody Like Me (feat Ne-Yo)
Lurkin' (also leaked)

Fucking disastrous buy, was started by some random in TyHub without consulting the mods whatsoever, this random started pinging everyone and claiming there was a Vultures 2 song in the buy, which there was not. People pressed seller to the point where they revealled the songs. This is when people found out that there no Vultures 2 song in the buy, just 6 random Ty songs, one of them being ALREADY LEAKED. Seller also went on multiple homophobic rants beforehand.",$600,"Jun 11, 2025","Jun 11, 2025",Blind,No (Scam),
2025,,Airplane Mode 2 [V1],Body Language,"Body Language

Body Language

BH4 tracklist song titles at 80% paid",$230,"May 4, 2025",,Normal,No,
2025,,Airplane Mode 2 [V1],Body Language,"Body Language

Body Lanugage",$300,"May 4, 2025",,Normal,Reworked,
2025,,Airplane Mode 2 [V1],None Like U,None Like U,$150,"May 6, 2025","May 6, 2025",Normal,Yes,
2025,,Airplane Mode 2 [V1],None Like U,"None Like U

None Like U (w/ a second snippet at 50% paid)",$250,"May 6, 2025","May 6, 2025",Normal,Reworked,
