Year,YearTotal,Era,Name,Content,Price,Start,End,Type,Status,Link
2025,"$36,450.00",Multi-Era,Extraaa + Drug Party,"Extraaa
Drug Party
demon speed","$1,750","Sep 3, 2025","Sep 5, 2025",Normal,Yes,Link Needed
2025,"$36,450.00",Multi-Era,SOSAYEAT + look up,"SOSAYEAT
look up

(NOTE: Originally $2,050, decreased to $1,400, then cancelled)","$1,400","Sep 1, 2025","Sep 2, 2025",Normal,No (Funds Transferred),Link Needed
2025,"$36,450.00",Multi-Era,Off tha rip + Evolvëd,"Off tha rip
Evolvëd
Demon","$2,000","Aug 30, 2025","Sep 1, 2025",Blind,Yes,N/A
2025,"$36,450.00",Trëndi,Luh geëky,"Luh geëky
Demon","$2,000","Aug 30, 2025","Aug 30, 2025",Blind,Forceleaked,N/A
2025,"$36,450.00",4L,Me vs tha world,"Me vs tha world
Gettin hi (OG File)","$2,000","Aug 30, 2025","Aug 30, 2025",Normal,Yes,Link Needed
2025,"$36,450.00",AftërLyfe,every month,"every month
Real is rarë [V2]
Yeatember (Long Money OG File)
Bëtter Lyfe (OG File)
Built diffrent (OG File)
Provë Sum [V1] (feat. SeptembersRich)
Nun id change (OG File)

(NOTE: Originally $1,500, then $2,000, then $2,350)","$2,350","Apr 22, 2025","Apr 27, 2025",Blind,Yes,N/A
2025,"$36,450.00",Multi-Era,Skervem + how it feel + Outside trippin,"Skervem
how it feel
Outside trippin
Ard Up (OG File)
Woa OPEN
Big Trünk (OG File)
Woa...! (OG File)
Wtw (OG File)
Told ya (OG File)
deserve it (OG File)
Hëy v2 (OG File)
7 nightz (OG File)
Cmon (OG File)
Sum 2 do (OG File)
move enough dope

(NOTE: Bundle was first for ""Skervem"" and ""how it feel"" for $2,500, but due to the latter being incomplete, ""Outside trippin"" with Lancey Foux was added to the buy. The buy finished on March 30, 2025, however, the seller failed to inform the coordinators that he sold ""Skervem"" privately the day before, so it was removed from the buy and replaced with OG files and ""move enough dope"")","$2,500","Mar 21, 2025","Mar 30, 2025",Normal,Yes,"https://pillows.su/f/9a1fc6aec1a6793a120428d5bb4f6225
https://pillows.su/f/231da85d193fffd915dcef9e189bd60a
https://pillows.su/f/0714361212920e93c4a4015f14286dec"
2025,"$36,450.00",4L,Did wrong,"Did wrong
2day (OG File)
Bak on perks (OG File)
Bettr 0ff (OG File)
Not tha samë (OG File)
Bankrollëy
Get up (OG File)
Aint Us (OG File)","$2,500","Mar 12, 2025","Mar 18, 2025",Normal,Yes,Link Needed
2025,"$36,450.00",Super geëky,big bently,big bently (with Lil Uzi Vert),"$1,000","Mar 12, 2025","Mar 16, 2025",PB to Leak,Yes,Link Needed
2025,"$36,450.00",AftërLyfe,wtf 2,"wtf 2

(NOTE: cancelled)",$800,"Mar 12, 2025","Mar 12, 2025",Blind,No,Link Needed
2025,"$36,450.00",Super geëky,all fax,all fax (with Lil Uzi Vert),$300,"Mar 11, 2025","Mar 11, 2025",PB to Leak,Forceleaked,Link Needed
2025,"$36,450.00",Super geëky,kranky,"kranky (with Lil Uzi Vert)

(NOTE: decreased from $400)",$300,"Mar 11, 2025","Mar 11, 2025",PB to Leak,Forceleaked,Link Needed
2025,"$36,450.00",Super geëky,tie die,"tie die (with Lil Uzi Vert)
(NOTE: Originally $500, decreased to $400)",$400,"Mar 11, 2025","Mar 11, 2025",PB to Leak,Yes,Link Needed
2025,"$36,450.00",Trëndi,Iwas,"Iwas
fun OPEN
Punk monk (Master)
Up 2 me now v4 (OG File)
Hundun OPEN","$2,500","Mar 10, 2025","Mar 11, 2025",Normal,Yes,"https://pillows.su/f/36e45e9756ca938d2d5dbd70dd805bc5
https://pillows.su/f/f351972ac3895acbad194f01af0d7406"
2025,"$36,450.00",4L,Count it up,"Count it up

(NOTE: privatebought for $3,000 before buy started)","$1,500","Mar 10, 2025","Mar 10, 2025",Normal,No,https://pillows.su/f/219c8dbcc3ce8d6465a3ddb01cfc3caa
2025,"$36,450.00",Trëndi,Luh geëky,"Luh geëky

(NOTE: privatebought for $3,500 before buy started)","$2,000","Mar 10, 2025","Mar 10, 2025",Normal,No,https://pillows.su/f/68794a40f7a283d42f127cc4626d0ae7
2025,"$36,450.00",Super geëky,turned into sum,turned into sum (with Lil Uzi Vert),"$1,250","Mar 9, 2025","Mar 10, 2025",PB to Leak,Yes,Link Needed
2025,"$36,450.00",Trëndi,whole lot different + robbed tha bank,"whole lot different
robbed tha bank
lil vibe
no practice
Rëally real

(NOTE: whole lot different originally bundled for $2,000 but was privatebought)","$1,000","Mar 9, 2025","Mar 9, 2025",Normal,Yes,"https://pillows.su/f/95edd0a37f1862e474c349bd52069286
https://pillows.su/f/f8f50129981eea2ce409a95894d9d1af
https://pillows.su/f/f77c82fb14240fd8e00295f118141d83"
2025,"$36,450.00",4L,leave me lone,leave me lone,$600,"Mar 5, 2025","Mar 6, 2025",Normal,Yes,"https://pillows.su/f/645656b5e3918dee59f9eb0f3fb7dc77
https://pillows.su/f/b520e63a64b729bc13c30bbb33b79104"
2025,"$36,450.00",Trëndi,Mata,Mata,"$1,000","Mar 3, 2025","Mar 4, 2025",Normal,Yes,"https://pillows.su/f/f62c0c82b8d1280c472317bf3e055543
https://pillows.su/f/42127dd4a807791aed319d2131cd3ab1"
