Era,Name,Notes,Image / Length,Date Made,Type,Available Length,Quality,Link(s)
I'm So Me,"Juice WRLD & Young Thug - Bad Boy [V4]
(prod. Pi'erre Bourne)
(Will Smith And Martin Lawrence, 2 up)","OG Filename: THUG x JUICEWRLD - BAD BOY v4
Later version of ""Bad Boy"" by Juice WRLD and Young Thug from October 25, 2019 with the updated Juice WRLD verse. Yeat recorded his own remix of the track titled ""2 up,"" over a re-produced instrumental by Curesful.",2:28,"Oct 25, 2019",Other,OG File,Lossless,https://pillows.su/f/7c8bfbc0ecd036a322c8442590a5518c
I'm So Me,"Lil Uzi Vert - XVI
(prod. Clibbo & Oogie Mane)
(16, Smoking On Gas, Dead Rising)","OG Filename: Uzi Oogie Mane XVI
Track by Lil Uzi Vert that uses the same instrumental as Yeat's SoundCloud single ""Dead Rising."" A snippet of the track leaked on March 4, 2025. Leaked in full on March 10, 2025. According to Clibbo, the track is from 2018/2019, but the exact era unconfirmed.",3:12,,Other,Full,CD Quality,https://pillows.su/f/316a1f16c4e4adfa18e936dd6dd206d2
,We Us,,,,,,,
,Other,,,,,,,
We Us,"Playboi Carti - m.a.d
(prod. jetsonmade)
(Money & Drugs, Money N Drugs)","OG Filename: m.a.d 1.3.20
Recorded on January 3, 2020 in Mean St Studios mixed with Generation Now, which share the same studio. Previewed by @bloodyhimbloodywho in an Instagram Story and was originally thought to feature Post Malone.Yeat later recorded his own remix of the track with a re-produced instrumental, titled ""Money N Drugs (YEAT REMIX)."" Privately purchased by community member Hells and leaked afterwards for free on March 22, 2023. OG file leaked on October 9, 2024 as apart of a blind groupbuy in 2024.",2:32,"Jan 3, 2020",Other,OG File,CD Quality,https://pillows.su/f/a02e93fc72b38d8b53e49bb281cbee8b
,"Hold Ön
(Hold On)",,,,,,,
,Other,,,,,,,
Hold Ön,"Juice WRLD & Young Thug - Bad Boy [V5]
(prod. Pi'erre Bourne)
(Will Smith And Martin Lawrence, 2 up)","OG Filename: THUG x JUICEWRLD - BAD BOY v4 ML mix v8
Alternate demo version of ""Bad Boy"" by Juice WRLD and Young Thug. Yeat recorded his own remix of the track titled ""2 up,"" over a re-produced instrumental by Curesful.",2:44,,Other,OG File,CD Quality,https://pillows.su/f/611b26a811f0288bce363cbfb6973075
Hold Ön,"Juice WRLD & Young Thug - Bad Boy [V6]
(prod. Pi'erre Bourne)
(Will Smith And Martin Lawrence, 2 up)","OG Filename: THUG x JUICEWRLD - BAD BOY v4 ML mix v9
Alternate demo version of ""Bad Boy"" by Juice WRLD and Young Thug. Yeat recorded his own remix of the track titled ""2 up,"" over a re-produced instrumental by Curesful.",2:44,,Other,OG File,CD Quality,https://pillows.su/f/c5ea93c8e017a4454a3d9530a6f60f07
Hold Ön,"Juice WRLD & Young Thug - Bad Boy [V7]
(prod. Pi'erre Bourne)
(Will Smith And Martin Lawrence, 2 up)","OG Filename: THUG x JUICEWRLD - BAD BOY v4 ML mix v10
Alternate demo version of ""Bad Boy"" by Juice WRLD and Young Thug. Yeat recorded his own remix of the track titled ""2 up,"" over a re-produced instrumental by Curesful.",2:44,,Other,OG File,CD Quality,https://pillows.su/f/7273b883cc48e29142d5b4c254b303c8
