Era,Name,Notes,Image / Length,Date Made,Type,Available Length,Quality,Link(s)
2 Alivë,"Ken Car$on & Destroy Lonely - ready [V4]
(feat. Yeat) (prod. Trgc & Clover Beats)
(i'm ready, in her dreams)","Yeat teased a file titled ""ken lone - ready v3.0 open"" in an Instagram Story captioned ""Dis krazy"" on February 4, 2022, leading to believe he was going to record over the track's open verse. However, it is unknown whether Yeat ever actually recorded over the track. Falsely associated with a different unreleased track by Yeat. The original completed version of ""ready"" by Ken Carson and Destroy Lonely prior to adding an open verse for Yeat was previewed by Mia Owens in an Instagram Story on April 17, 2022 and by Ken Carson in an Instagram Story via the @user00xman account in 2022. It eventually leaked in full on August 4, 2023.",,,Other,Never   Recorded,Not Available,"https://pillows.su/f/843c0735242a33ff33783f38f62b188d
https://api.pillows.su/api/download/7b6484ecada6ba209209aeb19afeff40.jpg"
,Other,,,,,,,
2 Alivë,FL Studio Vocal Preset,"Dated October 2, 2021. Leaked on October 18, 2022.",,"Oct 2, 2021",Other,OG File,Lossless,Link Needed
2 Alivë,Yeat 2 Alive Plugin + Default Preset,"Leaked on April 29, 2022. Dated February 18, 2022 and March 16, 2022.",,,Other,OG File,Lossless,https://pillows.su/f/9ce803796320f0fd2e583bd42352915f
,2 Alivë (Geëk Pack),,,,,,,
,Never Recorded,,,,,,,
2 Alivë (Geëk Pack),"Lil Uzi Vert - ???
(prod. Bugz Ronin & Synthetic)
(Luv monëy, Luv money)","Synthetic mentioned in a Twitch stream with Noah Mejia on August 4, 2025 that he and Bugz Ronin had made the instrumental together in person and that it was originally intended for Lil Uzi Vert.",,,Other,Never   Recorded,Not Available,https://www.tiktok.com/@vaultofnoahmejia_/video/7534937706359475469
,"Super geëky
(Collaboration with Lil Uzi Vert)
(16TR, P!nk Lyfe, 1600twizz)",,,,,,,
,Never Recorded,,,,,,,
Super geëky,"nothin changed
(with Lil Uzi Vert) (prod. Synthetic)
(nothing changed, Rïch off rap, Rich off rap)","""nothin changed"" is an open verse demo that was intended for Lil Uzi Vert, but he seemingly never recorded. Kick streamer Gwallahs unofficially recorded over the open after being given the demo by King Bob and was first previewed by King Bob (@kingbob1629) on July 17, 2023, then previewed by Gwallahs in an Instagram Story on July 20, 2023. On July 28, Gwallahs confirmed on Discord that he would release the track on July 31, which he did on SoundCloud, under the title ""Rïch off rap.""",,,Other,Never   Recorded,Not Available,N/A
Super geëky,"Rain
(with Lil Uzi Vert) (prod. Brandon Finessin, demarcxx & Only1Shredder)","An open chorus demo by Lil Uzi Vert that was potentially intended for Yeat leaked as a groupbuy bonus on June 7, 2025. A completed solo Lil Uzi Vert version of the track leaked on June 13, 2025.",,,Other,Never   Recorded,Not Available,"https://pillows.su/f/c079406f8411f4f30a7ed904f17e100b
https://pillows.su/f/4ba6363ac765bec35571882810a7cb44"
Super geëky,"real high
(with Lil Uzi Vert) (prod. flansie)
(Gëek high, Geek high)","Yeat previewed the open verse demo for track 16 on 2 Alivë, ""Gëek high"" with the caption ""Lmk when u finish it 1600twizz🚜,"" meaning Lil Uzi Vert was originally intended for the open verse. The open verse version leaked ahead of the album's release on November 3rd, 2021. Ken Car$on (now Ken Carson) later ended up hopping on the open verse for final official release.",,,Other,Never   Recorded,Not Available,N/A
Super geëky,"So Extra
(with Lil Uzi Vert) (prod. Brandon Finessin)","Filename of a solo Lil Uzi Vert track was teased by Yeat while previewing ""im tha type"" (later renamed to ""King Tonka"") in an Instagram groupchat on February 22, 2022. It was seen alongside Lil Uzi Vert's solo version of  ""Panic"" (a track Yeat hopped onto), so it seemed possible that Yeat hopped onto this one as well. Instagram fanpage @vaultofuzi leaked a snippet of the track on February 10, 2025, before it leaked in full on March 12, 2025. However, currently, there is no evidence that Yeat recorded vocals.",,,Other,Never   Recorded,Not Available,"https://pillows.su/f/714002e9b858ce25d387ef4693437e76
https://api.pillows.su/api/download/ee45f5f1b58b55ef245666f1a8c2e380"
,Other,,,,,,,
Super geëky,"SeptembersRich - Hi Everyday (Remix)
(feat. Lil Uzi Vert) (prod. MADIAS, XXAY & Lodoni)","OG Filename: HIEveryday.Uzi.Ruff
OG file for Lil Uzi Vert's remix of ""Hi Everyday"" by SeptembersRich, recorded during the sessions for Yeat and Uzi's collaborative project. Previewed by SeptembersRich in an Instagram Live on January 13, 2023. Leaked in full on May 28, 2024, later hosted by SeptembersRich on his archive account on SoundCloud the same day.",3:32,,Other,OG File,CD Quality,https://pillows.su/f/abd8cfd22fee2e48b5fabb4da78f0c32
,Lyfë,,,,,,,
,Videos,,,,,,,
Lyfë,Minions: The Rise of Gru [Lyrical Lemonade Trailer],"Lyrical Lemonade trailer for the ""Minions: The Rise of Gru"" movie, which uses ""Rich Minion"" by Yeat. Trailer premiered on June 28, 2022.",2:54,"Jun 28, 2022",Film,Full,High-Res,https://youtu.be/7fX2kMaiMGI?si=WAvm3nQElQHlY3kz
,Other,,,,,,,
Lyfë,"Wat it feel lyke [1017 ALYX 9SM SS23 Version]
(prod. BNYX®)
(Wat it feel lykë, Real lyfe)","Version of track 4 on Lyfë, “Wat it feel lykë,” used at the 1017 ALYX 9SM SS23 runway show on June 17, 2022. Contains instrumental bridges.",4:40,"Jun 7, 2022",Other,Full,Recording,https://pillows.su/f/7607325cf12357c0ae68dc138d605a76
Lyfë,"Playboi Carti - HEARD YALL GETTING MONEY [V1]
(prod. KP Beatz & Jonah Abraham)
(Getting Money, Guapo, King Tonka, im tha type)","Uses the same instrumental as the 2022 Yeat Archive track ""King Tonka.""  Original version prior to Swamp Izzo DJ tags.",,,Other,Confirmed,Not Available,N/A
Lyfë,"Playboi Carti - HEARD YALL GETTING MONEY [V2]
(prod. KP Beatz & Jonah Abraham)
(Getting Money, Guapo, King Tonka, im tha type)","Possible OG Filename: pbc 4-6-22 3 KP IZZO
Uses the same instrumental as the 2022 Yeat Archive track ""King Tonka."" Contains vocals from DJ Swamp Izzo and an open verse. First teased by producer Jonah Abraham in a post on X on December 30, 2022. Lyrics teased by King Bob (@kingbob1629) on X (formerly Twitter) on January 2, 2024. Previewed by a third party crypto scammer ($CARTI on Solana) in a Telegram channel on June 12, 2024, who said the track would leak when the $CARTI coin reached $100,000. Leaked as a video on X (formerly Twitter) with Yeat's vocals from ""King Tonka"" edited over the open and extra leaker tags on June 15, 2024. The untagged version of the edit leaked as a bonus in a Playboi Carti groupbuy on March 1, 2026.",,"Apr 6, 2022",Other,Edited,High Quality,https://pillows.su/f/1e91381c40e311c978f83814be72fe2d
Lyfë,"Playboi Carti - HEARD YALL GETTING MONEY [V3]
(prod. KP Beatz & Jonah Abraham)
(Getting Money, Guapo, King Tonka, im tha type)","OG Filename: HEARD YALL GETTIN MONEY KP
Alternate export open verse version missing vocals from the outro. Leaked as a bonus in a Playboi Carti groupbuy on March 1, 2026.",1:44,,Other,OG File,CD Quality,https://pillows.su/f/a52bc82fd54b935275a95895df07b5ff
Lyfë,"Playboi Carti - HEARD YALL GETTING MONEY [V4]
(prod. KP Beatz & Jonah Abraham)
(Getting Money, Guapo, King Tonka, im tha type)","OG Filename: HEARD YALL GETTIN MONEY KP IZZO
Alternate export version with Swamp Izzo DJ tags and missing Playboi Carti vocals from the outro. Leaked as a bonus in a Playboi Carti groupbuy on March 1, 2026.",1:19,,Other,OG File,CD Quality,https://pillows.su/f/e52f396058f5d87b7eba852cb144aa59
,AftërLyfe,,,,,,,
,Never Recorded,,,,,,,
AftërLyfe,"66 nitës
(feat. Future)
(66 nites)","The demo contains an open verse intended for Future, but it is unlikely he ever recorded on the track.",,,Other,Never   Recorded,Not Available,N/A
AftërLyfe,moo,"OG Filename: moo
Instrumental posted to the Yeat Official Discord on December 25, 2022. Instrumental made for fun with cow ""moo"" sound effects, not used by Yeat.",2:15,"Dec 25, 2022",Instrumental,Never   Recorded,CD Quality,https://pillows.su/f/4674c00600e829afc96d57bfd9398fdc
AftërLyfe,"ngl
(prod. DKanee)","OG Filename: nglprod.DKanee131BPM
Instrumental posted by DKanee in the Yeat Official Discord on December 23, 2022. Likely a throwaway that Yeat did not end up recording on.",3:29,"Dec 23, 2022",Instrumental,Never   Recorded,High Quality,https://pillows.su/f/83e21c85c33a4ca866f7c1130363dc8d
AftërLyfe,"Stinker
(prod. BrandonQuintanaaa & ProdPink)","OG Filename: Stinker 146 bpm BrandonQuintanaaa ProdPink
Instrumental posted by BrandonQuintanaaa in the Yeat Official Discord on February 25, 2023. Likely a throwaway that Yeat did not end up recording on.",2:51,"Feb 25, 2023",Instrumental,Never   Recorded,High Quality,https://pillows.su/f/863454144b531bb3bb79d98439bbf580
,Other,,,,,,,
AftërLyfe,AftërLyfe [Original Art],"OG Filename: YeatPic13
Original art used for AftërLyfe's cover art. Original PhotoShop export dated October 23, 2022. Leaked on February 16, 2023.",,"Oct 23, 2022",Cover Art,OG File,High-Res,https://pillows.su/f/005ba3f7d3a70956945c7d5029196db1
AftërLyfe,"Lil Uzi Vert - ???
(prod. Bugz Ronin & Leiso)
(Bëttr 0ff, Bettr 0ff, Bettr Off, Better Off)","Track by Lil Uzi Vert which uses the same instrumental as track 3 on AftërLyfe by Yeat, ""Bëttr 0ff."" Likely that Bugz Ronin sent out the instrumental to both Yeat and Lil Uzi Vert separately. Previewed by Lil Uzi Vert at 6 Skulls Tattoo in NYC and shared by @iamcrystal.ink in an Instagram Story on January 12, 2023.",,,Other,Snippet,Recording,https://pillows.su/f/b39ff7aa162b0fe9e97abcd5325360a2
AftërLyfe,"UnoTheActivist - No Freebies
(prod. Dreamawake)
(H.A.B)","OG Filename: The Act - No Freebies
Track by UnoTheActivist (aka The Act) that uses the same instrumental as track 28 on 2093 (P3), ""H.A.B,"" but slightly sped up. File created on September 19, 2022 and modified on October 5, 2023. Previewed. Leaked as a bonus after 50% completion of a successful $500 groupbuy for ""Wit my alien"" on June 19, 2024.",2:16,"Sep 19, 2022",Other,OG File,CD Quality,https://pillows.su/f/0a61a915be7f5ac355ac3606ee79c9cb
,AftërLyfe (Deluxe),,,,,,,
,Never Recorded,,,,,,,
AftërLyfe (Deluxe),"Always 2
(prod. BrandonQuintanaaa & Prod Pink)","OG Filename: Always 2 145 bpm BrandonQuintanaaa ProdPink
Instrumental posted by BrandonQuintanaaa in the Yeat Official Discord on March 16, 2023. Likely a throwaway that Yeat did not end up recording on.",2:39,"Mar 16, 2023",Instrumental,Never   Recorded,High Quality,https://pillows.su/f/6107190624b39c46f1dd8542fc15c902
AftërLyfe (Deluxe),"Blue
(prod. BrandonQuintanaaa & Prod Pink)","OG Filename: Blue 143 bpm BrandonQuintanaaa ProdPink
Instrumental posted by BrandonQuintanaaa in the Yeat Official Discord on April 2, 2023. Likely a throwaway that Yeat did not end up recording on.",2:54,"Apr 2, 2023",Instrumental,Never   Recorded,High Quality,https://pillows.su/f/4af965530fce976bf1bda07a15d98a0e
AftërLyfe (Deluxe),"first
(prod. Darkoivx)","OG Filename: darkoivx_-_first 140
Instrumental posted by darkoivx in the Yeat Official Discord on April 2, 2023. Likely a throwaway that Yeat did not end up recording on.",2:31,"Apr 2, 2023",Instrumental,Never   Recorded,High Quality,https://pillows.su/f/d049d6f6913de4225017f984ec8aaa64
AftërLyfe (Deluxe),"satisfaction
(prod. DKanee)","OG Filename: satisfactionDKanee150BPM
Instrumental posted by DKanee in the Yeat Official Discord on March 31, 2023. Likely a throwaway that Yeat did not end up recording on.",3:09,"Mar 31, 2023",Instrumental,Never   Recorded,High Quality,https://pillows.su/f/5142f516968caf2c0ee3205b8f43b553
,Lyfëstyle [V1],,,,,,,
,Never Recorded,,,,,,,
Lyfëstyle [V1],"???
(prod. BNYX®)
(DON'T KILL THE PARTY)","BNYX® said on X (formerly Twitter) that the instrumental for the throwaway ""DON'T KILL THE PARTY"" originally from Ye and Ty Dolla $ign's scrapped project Bad Bitch Playbook used was originally intended for Yeat, as he said the track ""was a yeat beat too lowkey."" Unknown whether Yeat recorded over the instrumental.",,,Other,Never   Recorded,Not Available,"https://x.com/BNYX/status/1839205175711641980
https://pbs.twimg.com/media/GYYsVPYWsAAYvck?format=jpg&name=large"
Lyfëstyle [V1],"Ski Mask the Slump God - UP! [V1]
(feat. Yeat) (prod. Prod Pink & Trgc)
(DragonTooth, One Shot, Freddy Krueger)","Original version of track 1 on 11th Dimension, ""DragonTooth."" First previewed by Ski Mask the Slump God during his 2023 Lyrical Lemonade Summer Smash set on June 24, 2023. Ski previewed the song again on June 26 during a live stream with YourRAGE and DJ Scheme, where he said he intended to get Yeat on the track, with co-producer Prod Pink reposting in an Instagram Story. It is unconfirmed if Yeat ever hopped onto the track, and it released solo.",,"Jun 24, 2023",Other,Never   Recorded,Not Available,https://pillows.su/f/cffb49f45e9d68c32d4cfd4d8d85e181
,2093,,,,,,,
,Never Recorded,,,,,,,
2093,"changes
(prod. DKanee)","OG Filename: changesDKanee135BPM
Instrumental posted by DKanee in the Yeat Official Discord on October 19, 2023. Has a BPM of 135. Likely a throwaway that Yeat did not end up recording on.",2:00,"Oct 19, 2023",Instrumental,Never   Recorded,High Quality,https://pillows.su/f/b8f5221dec8bc85008755d8b9e6d2b2e
2093,"???
(prod. 730hahah)
(6...)","Instrumental previewed by 730hahah in an Instagram Story captioned ""6..."" on December 10, 2023. Samples a Yeat interview in the intro. Confirmed ahead of the release not to be placed on the album.",,"Dec 10, 2023",Instrumental,Snippet,High Quality,https://pillows.su/f/15483704022e247daa9c96dd6084576f
2093,"???
(prod. Dreamawake)","Instrumental previewed by producer Dreamawake in an Instagram Story captioned ""2093"" on October 22, 2023. Unlikely that Yeat recorded on this instrumental.",,"Oct 22, 2023",Instrumental,Snippet,High Quality,https://pillows.su/f/6a75a12e895eb3689330519e07e2074b
2093,"???
(prod. Bred)","Instrumental previewed by producer @bred.wav in an Instagram Story with a 2093 sticker on January 8, 2024. Unlikely that Yeat recorded on this instrumental.",,"Jan 8, 2024",Instrumental,Snippet,High Quality,https://pillows.su/f/cb645631349c30847568c228cc81379a
2093,"???
(prod. Bred)","Instrumental previewed by producer @bred.wav in an Instagram Story with a 2093 art on January 27, 2024. Unlikely that Yeat recorded on this instrumental.",,"Jan 27, 2024",Instrumental,Snippet,High Quality,https://pillows.su/f/d8c29d48e237722f6ada34d118c6f1c6
2093,"???
(feat. Playboi Carti)","Yeat and Playboi Carti were seen both staying at the same hotel in Paris, France in January of 2024 at the same time. Yeat was also seen wearing a coat that appeared to be one that Carti owned, but it is unconfirmed whether it was from Carti or a similar coat. Fans speculate they could have potentially collaborated, but bar fan rumors there is no current evidence and it is highly unlikely that two ever collaborated.",,"Jan 17, 2024",Other,Never   Recorded,Not Available,Source Needed
,Other,,,,,,,
2093,"tana - n2ca
(prod. BNYX® & RemixGod)
(nun 2 care about, Terrified, PINEGROVE SHUFFLE, Need 2)","Uses a re-produced BNYX® instrumental (originally titled ""PINEGROVE SHUFFLE 147 BNYX® "") sampling ""Need 2"" by Pinegrove. The real instrumental was used in ""Terrified."" Leaked on SoundCloud on June 8, 2025, with the OG file leaking the next day.",2:49,,Other,OG File,CD Quality,https://pillows.su/f/c94625b9a8c68afaa34218be57feaaff
,LYFESTYLE [V2],,,,,,,
,Videos,,,,,,,
LYFESTYLE [V2],"ELIMINATË [Visualizer]
(prod. Synthetic, Radiate, 33empathy & Rafe)
(ELIMINATE, LUMINATE, ILLUMINATE, LEMONADE, STYLëR)","Previewed by Yeat in an Instagram post captioned ""#####STYLëR#nobodybeenshmunk."" on May 18, 2024.",,"May 18, 2024",Music Video,Snippet,High-Res,https://pillows.su/f/1bcf19656d6f5b60e89c17e6458bd07a
LYFESTYLE [V2],"GEEK TIMË [Visualizer]
(prod. Synthetic, Yeat, xbrvdy, yateski & Primo)
(GEEK TIME, Geek timë)","Previewed by @yeatupdates in an Instagram post on May 28, 2024 and by Yeat in an Instagram post captioned ""#lyfestyle.........###geektimë"" on May 31, 2024.",,"May 31, 2024",Music Video,Snippet,High-Res,https://pillows.su/f/73366af9b3ed7088c53db81d4b0ed402
LYFESTYLE [V2],"HEARD OF MË [Visualizer]
(prod. Synthetic, venny, Primo, Empathy & Rafe)
(HEARD OF ME, BLEED IT)","Previewed by Yeat in an Instagram post captioned ""##fuckwhatyaheardofme........lyfestylesoldier"" on June 5, 2024.",,"Jun 5, 2024",Music Video,Snippet,High-Res,https://pillows.su/f/4f3369c466721e667e4993fccdab1f6b
LYFESTYLE [V2],"King tonka [Visualizer]
(prod. Synthetic & Spaceman)
(Geeky lyfestyle, Geek and geek 2)","Previewed by Yeat alongside a music video in an Instagram post captioned ""####kingtonkageekylyfestylegeekandgeek2"" and in an Instagram Story on the Lyfestyle Corporation account on April 10, 2024.",,"Apr 10, 2024",Music Video,Snippet,High-Res,https://pillows.su/f/c39b02627140ca578063205b0bcf2451
LYFESTYLE [V2],"PROJECT LYFESTYLE [Visualizer]
(prod. Synthetic, sharkboy, Aunix, xbrvdy & Rxiz Palmer)
(BURN THA CITY DOWN, MOB TIES)","Previewed by Yeat in an Instagram Story and a post captioned ####LYFETYSLEBURNTHACITYDOWN.......#####."" and in an Instagram post on the Lyfestyle Corporation account on April 25, 2024.",,"Apr 25, 2024",Music Video,Snippet,High-Res,"https://pillows.su/f/98433e80f0b530e752216099b1e22963
https://pillows.su/f/386ed07414cb56cb9d3d695048a58a9d"
,Never Recorded,,,,,,,
LYFESTYLE [V2],"DONTEVEN
(prod. xbrvdy, PourItUpSoda & MVCHAEL)","OG Filename: DONTEVEN 142BPM - XB SODA MVCHAEL
Unused LYFESTYLE instrumental shared by xbrvdy in his Telegram channel on October 10, 2024.",2:56,,Instrumental,Never   Recorded,High Quality,https://pillows.su/f/785d3ef2955315c651d758e309a7fd01
LYFESTYLE [V2],"MADMAX
(prod. Synthetix, xbrvdy & Aidan McDougall)","OG Filename: MADMAX 147BPM - SYNTHETIC XB AIDAN
Unused LYFESTYLE instrumental shared by xbrvdy in his Telegram channel on October 10, 2024.",3:00,,Instrumental,Never   Recorded,High Quality,https://pillows.su/f/1d62272260566d9e11657a1240be40e3
LYFESTYLE [V2],"MENACEZ
(prod. Synthetic, xbrvdy & sharkboy)","OG Filename: MENACEZ 144BPM - SYNTHETIC XB SHARKBOY
Unused LYFESTYLE instrumental shared by xbrvdy in his Telegram channel on October 10, 2024.",2:53,,Instrumental,Never   Recorded,High Quality,https://pillows.su/f/41cf8990b22eb43bc457872017bfa81e
LYFESTYLE [V2],"PELIMAN
(prod. Synthetic, xbrvdy, Rafe & omgzanoza)","OG Filename: PELIMAN 150BPM - SYNTHETIC XB RAFE OMG
Unused LYFESTYLE instrumental shared by xbrvdy in his Telegram channel on October 10, 2024.",2:47,,Instrumental,Never   Recorded,High Quality,https://pillows.su/f/8e185b28da94492fe87913b6862b3eca
LYFESTYLE [V2],"RUSSIAGUNZ
(prod. xbrvdy & omgzanoza)","OG Filename: RUSSIAGUNZ 143BPM - XB ZANOZA
Unused LYFESTYLE instrumental shared by xbrvdy in his Telegram channel on October 10, 2024.",2:55,,Instrumental,Never   Recorded,High Quality,https://pillows.su/f/3d4b2a0f81adbe0d8eef55150abc4462
LYFESTYLE [V2],"SINGERZ
(prod. xbrvdy & omgzanoza)","OG Filename: SINGERZ 150BPM - XB ZANOZA
Unused LYFESTYLE Instrumental shared by xbrvdy in his Telegram channel on July 8, 2024.",2:46,,Instrumental,Never   Recorded,High Quality,https://pillows.su/f/299f0143f2360ff40368a52e4eaddc9c
LYFESTYLE [V2],"TONKA WALK
(prod. Synthetic, xbrvdy & PourItUpSoda)","OG Filename: YEAT - TONKA WALK 160BPM - SYNTHETIC XB SODA
Unused LYFESTYLE instrumental shared by xbrvdy in his Telegram channel on October 10, 2024.",2:36,,Instrumental,Never   Recorded,High Quality,https://pillows.su/f/517d28ee7b7bc10ab96ed4d92d69e01d
LYFESTYLE [V2],"WALK SOLDIER WALK
(prod. Synthetic, Primo, xbrvdy & omgzanoza)","OG Filename: YEAT - WALK SOLDIER WALK 150BPM - SYNTHETIC PRIMO XB ZANOZA
Unused LYFESTYLE instrumental shared by xbrvdy in his Telegram channel on October 10, 2024. First previewed by xbrvdy in an Instagram post on May 18, 2024.",1:42,,Instrumental,Never   Recorded,High Quality,https://pillows.su/f/0b7417838f3fbea0832440f73a6db8ea
LYFESTYLE [V2],"???
(prod. Darkoivx)
(Space High, slide)","Track 16 on Eternal Atake 2 by Lil Uzi Vert, ""Space High,"" uses an instrumental that was seemingly originally for Yeat. Darkoivx posted a breakdown of the ""Space High"" instrumental on Instagram and TikTok on July 13, 2025, in which the file ""(yeat, new jazz) @darkoivx - slide [131]"" was visible.",,,Instrumental,Never   Recorded,Not Available,"https://www.instagram.com/p/DMDoctIMATu
https://www.tiktok.com/@darkoivx3/video/7526621931282386206"
LYFESTYLE [V2],"???
(prod. Outlit)","Following ""Swërved It"" from Up 2 Më reaching 100M streams, on August 9, 2024 the producer Outlit made an Instagram post celebrating alongside the caption ""let's run it back @yeat check ya email,"" suggesting he sent Yeat some instrumental(s).",,"Aug 9, 2024",Instrumental,Never   Recorded,Not Available,https://www.instagram.com/p/C-ddThjyIRU/?igsh=bHFrdmRwdzkwd285
LYFESTYLE [V2],Unknown [Rafe Instrumentals],"On December 9, 2024, Rafe (@rafeprod) played unused LYFESTYLE instrumentals in an Instagram Live, however, it is unknown if anyone recorded the live.",,,Instrumental,Never   Recorded,Recording,Link Needed
LYFESTYLE [V2],"BigBabyGucci - ???
(feat. Yeat)","On July 5, 2024, BigBabyGucci took to X (formerly Twitter) to announce that he is dropping a song on July 12, July 26, and then an album on August 6, 2024. The nexy day, he posted ""let’s hope yeat finish his verse in time   🤞🏿"" indicating that a Yeat feature is intended for the album. On July 10, BigBabyGucci posted his DMs with Yeat from July 6 in an Instagram Story captioned ""@yeat ⏰,"" where it showed Yeat giving his email and BBG asking for the features soon for his album, where he also mentions he ""[sent] two over [that night]."" However, Yeat did not end up getting back to him in time.",,,Other,Never   Recorded,Not Available,"https://x.com/bigbabygucci/status/1809430450529771735?s=46&t=sTii6daaVlIDbwoQ69vmtQ
https://x.com/bigbabygucci/status/1809765805128839412?s=46&t=sTii6daaVlIDbwoQ69vmtQ
https://pillows.su/f/96a05fa1e8529e1a5cef230f2077eba4"
LYFESTYLE [V2],"Ski Mask the Slump God - Millionaire
(feat. Future & Yeat) (prod. ???)
(Monsters Inc., Look At She, Look At Me! Pt. 2, Smoke Opps)","After posting a tracklist for his album 11th Dimension, Ski Mask the Slump God clarified on X (formerly Twitter) on June 4, 2024 that Yeat did his verse and ended up not liking the beat and wanting to switch it, while Ski wanted to keep the original beat, hence why Yeat did not make the final tracklist. The track released as ""Monsters Inc."" with the original ATL Jacob production.",,,Other,Never   Recorded,Not Available,https://x.com/theslumpgod/status/1798074601043603780?s=46&t=sTii6daaVlIDbwoQ69vmtQ
,Other,,,,,,,
LYFESTYLE [V2],2000x Rio Leyva Loops,"2000x Rio Leyva (producer) loops from December 2020 through June 2024 surfaced on July 18, 2024.",,,Stems,OG File,CD Quality,Link Needed
LYFESTYLE [V2],"Breathe [Tour Version]
(prod. bart how, star boy, Synthetic, Radiate & LRBG)","Version of track 3 on 2093, ""Breathe,"" with an extended intro by Synthetic, Radiate and LRBG. Performed by Yeat during the Live From 2093 Tour.",,,Other,Partial,Recording,https://pillows.su/f/be14859a91c5f7f3a47108c8d4c3992f
LYFESTYLE [V2],"EUROLYFE Official Tour Beat
(prod. Jake Harris)","Official tour beat used for the EUROLYFE Tour, produced by Jake Harris. Uploaded to YouTube and Instagram on October 22, 2024. Visuals done by rcy.",2:05,"Oct 22, 2024",Instrumental,Full,High Quality,"https://youtu.be/vd2WL6T67VY?si=8CDetnju88IN007_
https://pillows.su/f/5530c2e5ed82c159e151a0e8f3b56cff
https://pillows.su/f/5a37ef243ea763adea9629f98e7b4e23
https://pillows.su/f/93563ae5f3088f4670dcbe2f8653cca8"
LYFESTYLE [V2],"If We Being Rëal [Tour Version]
(prod. Synthetic, ​​Perdu, dreamr., Radiate, LRBG & Fendii)
(If We Being Real)","Version of track 21 on 2093, ""If We Being Rëal,"" with an extended intro by Synthetic, Radiate and LRBG. Performed by Yeat during the Live From 2093 Tour.",,,Other,Partial,Recording,https://pillows.su/f/f0edfb5985c3d175fa13132c1074fbe5
LYFESTYLE [V2],"ILUV [Tour Version]
(prod. Yeat, Rio Leyva, Synthetic, Ethan Kath, Radiate & LRBG)","Version of track 9 on 2093, ""ILUV,"" with an extended intro. Performed by Yeat during the Live From 2093 Tour. Previewed by Joshua D. Hall in high quality in an Instagram Story captioned ""ILUV extended"" on June 25, 2024, where he confirmed the intro was co-produced by Synthetic, Radiate, and LRBG.",,,Other,Partial,High Quality,"https://pillows.su/f/7e09c09d6feae859acd1dee9b9ff6ba1
https://pillows.su/f/fc18b58ae915f9710a7d3a3e66479a3c"
LYFESTYLE [V2],King tonka + Heavy stunts [Covers],"OG Filename: COVERS KINGTONKA HEAVYSTUNTS
Original draft exports and animated promo cover of King tonka - Single. Animated art originally posted posted in Yeat Official Discord server on May 4, 2024 as a GIF.",,"May 4, 2024",Cover Art,OG File,High-Res,https://pillows.su/f/2339918a0f13b6ac08d8668b650aa90f
LYFESTYLE [V2],LYFESTYLE [Album Cover Mock Up],"OG Filename: Lyfe - Album Cover Mock Up (1)
On October 16, 2024, Zack Bia shared behind-the-scenes footage from the shoot for the LYFESTYLE album trailer and cover art shoot. In one of the slides, he showed a digital mock up (.heic) of what they wanted to make the cover look like. The date on the laptop shows that the work was being done on Thursday, August 29, 2024.",,"Aug 29, 2024",Cover Art,Partial,Low-Res,https://pillows.su/f/1eb6f8481d75e72d7e2eacdc4be14c8a
LYFESTYLE [V2],"Psycho CEO [Tour Version]
(prod. OJ2Milly, ICE, Dulio, GeoGotBands, Synthetic, Radiate & LRBG)
(psych0 ceo, PSYHKO CËO)","Version of track 1 on 2093, ""Psycho CEO,"" with an extended intro by Synthetic, Radiate and LRBG. Performed by Yeat during the Live From 2093 Tour.",,,Other,Partial,Recording,https://pillows.su/f/38669e2eb8fb74351008cd4ed2f4a48a
LYFESTYLE [V2],"U Should Know [Tour Version]
(prod. Dulio, Neile, Synthetic, Radiate & LRBG)","Version of track 7 on 2093, ""U Should Know,"" with an extended intro by Synthetic, Radiate. Performed by Yeat during the Live From 2093 Tour.",,,Other,Partial,Recording,https://pillows.su/f/98872e6d01f612df249ac4895003c701
,A DANGEROUS LYFE [V1],,,,,,,
,Never Recorded,,,,,,,
A DANGEROUS LYFE [V1],"BNYX® & Yeat - VIOLENT [V2]
(prod. Mathaius Young & BNYX®)","OG Filename (Instrumental): YEAT - VIOLENT V2 MATHAIUS YOUNG BNYX
OG Filename (FLP): VIOLENT V2
Filenames teased by Mathaius Young in BNYX®'s Twitch stream on January 6, 2025. Instrumental dated December 13, 2024. FLP for ""VIOLENT"" dated December 16, 2024. Likely a Yeat-type beat.",,"Dec 13, 2024",Stems,Never   Recorded,Not Available,https://www.twitch.tv/videos/2346387279?t=01h34m46s
,ADL [V2],,,,,,,
,Never Recorded,,,,,,,
ADL [V2],"ADAPTOGEN
(prod. Synthetic, xbrvdy & Nico Baran)","OG Filename: ADAPTOGEN 148 SYNTHETIC XB NICO
Instrumental potentially intended for A DANGEROUS LYFE. Shared by xbrvdy in his Telegram channel on May 14, 2025.",2:48,,Instrumental,Never   Recorded,CD Quality,https://pillows.su/f/ab8bcd0a35b1a09e822ac0053ed6581c
ADL [V2],"CRIMEWORK
(prod. Synthetic, xbrvdy & Sapjer)","OG Filename: CRIME WORK 117 SYNTHETIC XB SAPJER
Instrumental potentially intended for A DANGEROUS LYFE. Shared by xbrvdy in his Telegram channel on May 14, 2025.",4:22,,Instrumental,Never   Recorded,CD Quality,https://pillows.su/f/cf969e89f9d06a5bdaa23d2b69e1fe83
