Year,YearTotal,Era,Name,Content,Price,Start,End,Type,Status,Link
2025,"$12,410",Multi-Era,"🏆 What A Day + MF DOOM Grail
(Hosted by TylerHub and Doom Hub)","🏆 What A Day [V1]
(with Tyler, The Creator) (prod. Madlib)
MF DOOM - ???
BONUS CONTENT:
Tyler, The Creator - LUMBERJACK [V2]
(prod. Tyler, The Creator & Prince Paul)
Tyler, The Creator - SAFARI (Instrumental)
(prod. Tyler, The Creator & Jay Versace)
Czarface & MF DOOM - HAYWIRE
(Badness of Madness)
MF DOOM Info",$400,"Feb 9, 2025","Feb 9, 2025",Flash,No,
2025,"$12,410",LIVE.LOVE.A$AP,💎 Sometimes,"💎 Sometimes [V2]
(prod. Clams Casino)
(Candle)
BONUS CONTENT:
Ghost X [V1]
(prod. Clams Casino)
Ghost X [V2]
(feat. SpaceGhostPurrp) (prod. Clams Casino)
Clams Casino - Candle [V1]
(prod. Clams Casino)
(Sometimes)
Clams Casino - HALLOWEEN CAME EARLY
(with Bijan Amir) (prod. Clams Casino & Bijan Amir)",$1000,"Jan 18, 2025","Jan 27, 2025",Normal,Yes,
2025,"$12,410",LIVE.LOVE.A$AP,💎 Ghost X,"💎 Ghost X [V3]
(feat. SpaceGhostPurrp) (prod. Clams Casino)",$1650,"Jan 17, 2025","Jan 18, 2025",Reworked,Forceleaked,
2025,"$12,410",GRIM,✨ DRIP,"✨ DRIP
(prod. ???)",$360,"Jan 2, 2025","Jan 12, 2025",Normal,Yes,
2024,"$5,440",Pre-TESTING,💎 Ordinary Life,"💎 Ordinary Life
(feat. BJ the Chicago Kid)",$700,"Dec 16, 2024","Dec 27, 2024",Normal,Yes,
2024,"$5,440",AT.LONG.    LAST.A$AP,Delia,"Delia
(prod. ???)",$250,"Sep 21, 2024",Info needed,Normal,No,
2024,"$5,440",AT.LONG.    LAST.A$AP,A Story Told By A Mac Name 2 Cold,"A Story Told By A Mac Name 2 Cold
(feat. Trinidad James & ???)
BONUS CONTENT:
Yeezy My [Partial LQ Recording]
(feat. Kanye West & A$AP Ferg)
(Yeezy My Kicks, A Word For My Bitch, The Government)",$350,"Aug 1, 2024","Aug 10, 2024",Normal,Yes,
2024,"$5,440",Mouth Fulla Gold,💿 Mouth Fulla Gold,"Mouth Fulla Gold [May 16th, 2011 Copy]
BONUS CONTENT:
Wassup [V1]
(prod. Clams Casino)
Trilla [V2]
(feat. A$AP Twelvyy & A$AP Nast) (prod. Beautiful Lou)
✨ Bittersweet Symphony
(prod. Marvin Glover)
(New York Bittersweet Symphony)
Danger Mouse & Black Thought - Tuff Guys [V1]
(feat. A$AP Rocky) (prod. Danger Mouse)
(Strangers)
☆☆☆☆☆ 5IVE $TAR$ [OG File]
(feat. DRAM) (prod. Jordan Blackmon, Daniel 
Lynas, Toro y Moi, Frans Mernick & Metro Boomin)
Above [OG File]
(prod. Frans Mernick)",$250,"Jul 3, 2024","Jul 19, 2024",Normal,Yes,
2024,"$5,440",GRIM,⭐️ Pass By,"⭐️ Pass By
(prod. D33J, Shlohmo & Boys Noize)",$315,"Jun 28, 2024","Jun 28, 2024",Normal,Forceleaked,
2024,"$5,440",WANG$AP,"And What + 🏆 What A Day
(Hosted by TylerHub)","And What [V?]
(with Tyler, The Creator)
🏆 What A Day [V1]
(with Tyler, The Creator) (prod. Madlib)
BONUS CONTENT:
Assorted Tyler, The Creator","$2,000","Jun 26, 2024","Jun 26, 2024",Normal,No,
2024,"$5,440",GRIM,✨ Babytalk,"✨ Babytalk [V1]
(prod. Kelvin Krash)",$380,"Jun 14, 2024","Jun 18, 2024",Normal,Yes,
2024,"$5,440",GRIM,✨ Untitled (Shirt),"✨ Untitled
(feat. ICYTWAT) (prod. The Alchemist & ICYTWAT)
(Shirt)
BONUS CONTENT:
Untitled [Sessions]
(feat. ICYTWAT) (prod. The Alchemist & ICYTWAT)
(Shirt)",$345,"May 28, 2024","May 30, 2024",Normal,Yes,
2024,"$5,440",TESTING,✨ Untitled (Give Em' Hell),"✨ Untitled
(feat. Blood Orange) (prod. Southside)
(Give Em' Hell, Give Em' Help)",$350,"May 17, 2024",Info needed,Normal,Yes,
