Era,Name,Notes,Designer,Date,Image,Art Type,Use,Link(s)
LONG.LIVE.A$AP,LONG.LIVE.A$AP (Deluxe) [CD Booklet Page #9 & #10],"The ninth and tenth pages to the CD booklet for the ""LONG.LIVE.A$AP"" album which was released on January 15th, 2013 shared by the designer Joe Perez himself. The ninth page shows four members of the A$AP Mob with their heads as skeletons. The four members on this page, from right to left, are A$AP Rocky, A$AP Yams, A$AP Bari and A$AP Ferg. The tenth page of the booklet continues this trend and shows A$AP Ty Beats, A$AP Nast, A$AP Twelvyy, who for some reason only has one y listed in his name, and A$AP Ant. These pages as does the rest of the booklet feature a style of government documents as the tenth page even has a declassified stamp.",Joe Perez,"Jan 15, 2013",,Packaging,Used,
LONG.LIVE.A$AP,LONG.LIVE.A$AP (Deluxe) [CD Booklet Page #11 & #12],"The eleventh and twelfth pages to the CD booklet for the ""LONG.LIVE.A$AP"" album which was released on January 15th, 2013 shared by the designer Joe Perez himself.",Joe Perez,"Jan 15, 2013",,Packaging,Used,
LONG.LIVE.A$AP,LONG.LIVE.A$AP (Deluxe) [CD Booklet Page #13 & #14],,Joe Perez,"Jan 15, 2013",,Packaging,Used,
LONG.LIVE.A$AP,LONG.LIVE.A$AP (Deluxe) [Vinyl Showcase #1],,Joe Perez,"Jan 15, 2013",,Packaging,Used,
LONG.LIVE.A$AP,LONG.LIVE.A$AP (Deluxe) [Vinyl Showcase #2],,Joe Perez,"Jan 15, 2013",,Packaging,Used,
LONG.LIVE.A$AP,LONG.LIVE.A$AP (Deluxe) [Vinyl Showcase #3],,Joe Perez,"Jan 15, 2013",,Packaging,Used,
LONG.LIVE.A$AP,LONG.LIVE.A$AP (Deluxe) [Vinyl Resource #1],,Joe Perez,"Jan 15, 2013",,Packaging,Used,
LONG.LIVE.A$AP,LONG.LIVE.A$AP (Deluxe) [Vinyl Resource #2],,Joe Perez,"Jan 15, 2013",,Packaging,Used,
LONG.LIVE.A$AP,LONG.LIVE.A$AP [Animated Promo Cover],Official animated promo cover used for the release of LONG.LIVE.A$AP. Was revealed when the original cover art was also revealed.,Joe Perez,"Jan 15, 2013",,Other,Used,https://64.media.tumblr.com/tumblr_meht6ujPna1qzaqcbo1_400.gif
LONG.LIVE.A$AP,"Fashion Killa
(prod. A$AP Rocky, FRIENDZONE & Héctor Delgado)","The main single cover for the song ""Fashion Killa"" which was originally released on the ""LONG.LIVE.A$AP"" album on January 15th, 2013 , but was released as a single on July 1st, 2013. This is the most basic of the single arts for ""LONG.LIVE.A$AP"" as it features a white background and the song title on a black streak similar to the main album cover.",Joe Perez,"Jul 1, 2013",,Front Cover,Used,
LONG.LIVE.A$AP,"Fashion Killa [Alternate Cover]
(prod. A$AP Rocky, FRIENDZONE & Héctor Delgado)","An alternate single art for the song ""Fashion Killa"" which was originally released on the ""LONG.LIVE.A$AP"" album on January 15th, 2013 , but was released as a single on July 1st, 2013. This single art was created by Joe Perez and resembles other single arts for the album, ""Long Live A$AP"" and ""Wild for the Night"" with similar themes such as the throne Rocky sits in.",Joe Perez,"Jul 1, 2013",,Front Cover,Used,
,"Beauty and the Beast: Slowed Down Sessions, Chapter 1
(as Lord Flacko)
(BEAUTY N THE BEA$T - SDSCH. 1, BEAUTY N DA BEAST: SLOWED DOWN SESSIONS - CHAPTER .1, SDSCH. 1)",,,,,,,
"Beauty and the Beast: Slowed Down Sessions, Chapter 1","Beauty And The Beast: Slowed Down Sessions, Chapter 1","The main mixtape art for ""Beauty And The Beast: Slowed Down Sessions, Chapter 1"". The cover was first shown in the YouTube upload for the song ""Unicorn""  titled """"UNICORN"" (FEB. 14 2013) - LORD FLVCKO - SDSCH. 1"" which was uploaded on March 3rd, 2014. The video zoomed into several parts of the cover while the song played. The designer of the cover Rud Cef posted the original artwork on March 6th, 2014 along with a alternate cover he designed. The cover shows a drawing of Rocky holding some sort of beast-like baby creature with a shadowy figure behind him. In the door frame a woman can be seen fitting the theme of beauty and the beast. Other small details to note is the poster on the wall is a recreation of a very famous picture of Rocky that once blew up on A$AP Yams Tumblr in 2009 or 2010. Along with this a candelabra can be seen likely referring to the Disney movie ""Beauty And The Beast"" itself.",,"Mar 3, 2014",,Front Cover,Unused,
"Beauty and the Beast: Slowed Down Sessions, Chapter 1","Beauty And The Beast: Slowed Down Sessions, Chapter 1 [Alternate Cover]",,,,,Front Cover,Unused,
"Beauty and the Beast: Slowed Down Sessions, Chapter 1","Beauty And The Beast: Slowed Down Sessions, Chapter 1 [Alt Cover 2]",,,,,Front Cover,Unused,
"Beauty and the Beast: Slowed Down Sessions, Chapter 1","Beauty And The Beast: Slowed Down Sessions, Chapter 2",,,,,Front Cover,Unused,
,"L.O.R.D.
(Collaboration with A$AP Mob)
(L.O.R.D.S.)",,,,,,,
L.O.R.D.,"Trillmatic
(with A$AP Nast & Method Man) (prod. A$AP Ty Beats)",Cover art for the A$AP Mob single 'Trillmatic' with A$AP Nast & Method Man.,,,,Front Cover,Used,
L.O.R.D.,"Trillmatic [Alternate Cover]
(with A$AP Nast & Method Man) (prod. A$AP Ty Beats)",Alternative cover art for the A$AP Mob single 'Trillmatic' with A$AP Nast & Method Man.,,"Jan 21, 2014",,Front Cover,Alternate,
L.O.R.D.,"See Me
(with A$AP Ant) (prod. Davon Productions)",Cover art for the A$AP Mob single 'See Me' with A$AP Ant.,,,,Front Cover,Used,
L.O.R.D.,"Xscape
(with A$AP Twelvyy) (prod. Tay Soprano)",Cover art for the A$AP Mob single 'Xscape' with A$AP Twelvyy.,,,,Front Cover,Used,
L.O.R.D.,"Xscape
(with A$AP Twelvyy) (prod. Tay Soprano)",Alternative cover art for the A$AP Mob single 'Xscape' with A$AP Twelvyy.,,,,,,
L.O.R.D.,"Hella Hoes
(feat. A$AP Rocky, A$AP Ferg, A$AP Nast, A$AP Twelvyy) (prod. Nyrell)","Cover art for the A$AP Mob single 'Hella Hoes' featuring A$AP Rocky, A$AP Ferg, A$AP Nast, and A$AP Twelvyy.",,,,Front Cover,Used,
L.O.R.D.,"Hella Hoes [Alternate Cover]
(feat. A$AP Rocky, A$AP Ferg, A$AP Nast, A$AP Twelvyy) (prod. Nyrell)","Alternative cover art for the A$AP Mob single 'Hella Hoes' featuring A$AP Rocky, A$AP Ferg, A$AP Nast, and A$AP Twelvyy.",,,,Front Cover,Alternate,
,AT.LONG.LAST.A$AP,,,,,,,
AT.LONG.    LAST.A$AP,"Danny Brown - Kush Coma
(feat. A$AP Rocky & ZelooperZ) (prod. Skywlkr)","The single art for Danny Brown's song ""Kush Coma"" featuring Rocky and ZelooperZ which was released on March 11th, 2013. The cover pictures a gray background with a skull. This said skull features a full head of hair which resembles Danny Brown's look at that time.",,"Mar 11, 2013",,Front Cover,Used,
AT.LONG.    LAST.A$AP,"Yelawolf - Gangster
(feat. A$AP Rocky & Big Henry) (prod. WLPWR)","Promo art for Yelawolf's then upcoming single ""Gangster"" featuring Rocky and Big Henry. The song itself was released on March 12th, 2013, but the promotional art states the release date for the album, March 14th, 2013.",,"Mar 12, 2013",,Front Cover,Used,
AT.LONG.    LAST.A$AP,"Rocko - U.O.E.N.O. (Remix)
(feat. A$AP Rocky & Future) (prod. Childish Major)","Cover art for the one of the remixes of Rocko's song ""U.O.E.N.O."" with this one featuring Rocky and Future released on April 23rd, 2013. This cover follows the same style as all of the other versions of the song with a brick wall with this one having yellow coloration. ",,"Apr 23, 2013",,Front Cover,Used,
AT.LONG.    LAST.A$AP,"A$AP Ferg - Work REMIX
(feat. A$AP Rocky, ScHoolboy Q, French Montana & Trinidad James) (prod. Chinza//Fly)","Single art for ""Work REMIX"", a remix of A$AP Ferg's song ""Work"" which was originally featured on the A$AP Mob's mixtape ""Lord$ Never Worry"". ",,,,Front Cover,Used,
AT.LONG.    LAST.A$AP,"Joey Fatts - Choppa
(feat. A$AP Rocky & Danny Brown) (prod. 808 Mafia)","Cover art for the Joeey Fatts single 'Choppa' featuring A$AP Rocky, and Danny Brown.",,,,Front Cover,Used,
AT.LONG.    LAST.A$AP,"Preme - We Them Niggas
(feat. A$AP Rocky) (prod. Bass Line & Pro Logic)",Cover art for the Preme single 'We Them Niggas' featuring A$AP Rocky.,,,,Front Cover,Used,
AT.LONG.    LAST.A$AP,"Rocko - U.O.E.N.O. (Extended Remix)
(feat. Future, Rick Ross, A$AP Rocky, Wiz Khalifa & 2 Chainz) (prod. Childish Major)","Cover art for the Rocko single 'U.O.E.N.O. (Extended Remix)' featuring Future, Rick Ross, A$AP Rocky, Wiz Khalifa, and 2 Chainz.",,,,Front Cover,Used,
AT.LONG.    LAST.A$AP,"Mariah Carey - #Beautiful (Remix)
(feat. Miguel & A$AP Rocky) (prod. Miguel, Mariah Carey, Happy Perez & Brook D’Leau)","Cover art for the Mariah Carey single '#Beautiful (Remix)' featuring Miguel, and A$AP Rocky.",,,,Front Cover,Used,
AT.LONG.    LAST.A$AP,"A$AP Ferg - Shabba
(feat. A$AP Rocky) (prod. Snugsworth)",Cover art for the A$AP Ferg single 'Shabba' featuring A$AP Rocky.,,,,Front Cover,Used,
AT.LONG.    LAST.A$AP,"r - Cali
(feat. Joey Fatts & A$ton Matthews) (prod. K. Roosevelt)",Not much is known about the character depicted on the cover of the album except for it being another caricature created by Rockstar. This caricature can also be seen in a cover art Rockstar released later on.,Rockstar Games,"Sep 24, 2013",,Front Cover,Used,https://i.scdn.co/image/ab67616d0000b273eff5e684bd079becefcae931
AT.LONG.    LAST.A$AP,"Peia Alexander - RUNNING
(feat. A$AP Rocky)","Cover art for Peia Alexander and A$AP Rocky's 2013 collaboration titled ""RUNNING"".",,"Oct 19, 2013",,Front Cover,Used,https://i1.sndcdn.com/artworks-000060487370-78hfyc-original.jpg
AT.LONG.    LAST.A$AP,"Justin Timberlake - TKO (Black Friday Remix)
(feat. J. Cole, A$AP Rocky & Pusha T ) (prod. Timbaland)","Cover art for the Justin Timberlake single 'TKO (Black Friday Remix)' featuring J. Cole, A$AP Rocky, and Pusha T.",,,,Front Cover,Used,
AT.LONG.    LAST.A$AP,"In Distress
(feat. Gesaffelstein) (prod. A$AP Rocky & Gesaffelstein)",Cover art for the single 'In Distress' featuring Gesaffelstein.,,,,Front Cover,Used,
AT.LONG.    LAST.A$AP,"Peewee Longway - Servin’ Lean (Remix)
(feat. A$AP Rocky) (prod. Honorable C.N.O.T.E.)",Cover art for the Peewee Longway single 'Servin' Lean (Remix)' featuring A$AP Rocky.,,,,Front Cover,Used,
AT.LONG.    LAST.A$AP,"Lykke Li - No Rest for the Wicked (Remix)
(feat. A$AP Rocky) (prod. Björn Yttling & Lykke Li)",Cover art for the Lykke Li single 'No Rest for the Wicked (Remix)' featuring A$AP Rocky.,,,,Front Cover,Used,
AT.LONG.    LAST.A$AP,"Tinashe - Pretend
(feat. A$AP Rocky) (prod. The Order & Detail)",Cover art for the Tinashe single 'Pretend' featuring A$AP Rocky.,,,,Front Cover,Used,
AT.LONG.    LAST.A$AP,"Sam Smith - I’m Not the Only One (Remix)
(feat. A$AP Rocky) (prod. Steve Fitzmaurice & Jimmy Napes) ",Cover art for the Sam Smith remix 'I'm Not the Only One' featuring A$AP Rocky.,,,,Front Cover,Used,
AT.LONG.    LAST.A$AP,"Multiply
(feat. Juicy J) (prod. Curtis Heron)",Cover art for the single 'Multiply' featuring Juicy J. ,,"Oct 2, 2014",,Front Cover,Used,
AT.LONG.    LAST.A$AP,"Multiply [Alternate Cover]
(feat. Juicy J) (prod. Curtis Heron)",Alternative cover art for the single 'Multiply' featuring Juicy J. ,,"Oct 3, 2014",,Front Cover,Alternate,
AT.LONG.    LAST.A$AP,"Shy Glizzy - Awwsome (Remix)
(feat. 2 Chainz & A$AP Rocky) (prod. EA Glizzy)",Cover art for the Shy Glizzy remix 'Awwsome' featuring 2 Chainz & A$AP Rocky.,,,,Front Cover,Used,
AT.LONG.    LAST.A$AP,"Lord Pretty Flacko Jodye 2 (LPFJ2)
(prod. Nez & Rio)",Cover art for the single 'LPFJ2'.,,"Dec 31, 2014",,Front Cover,Used,https://cdn.discordapp.com/attachments/1113173027048411166/1152682582799044650/IMG_3195.jpg
AT.LONG.    LAST.A$AP,M'$,"Cover art for the single version of the song ""M'$"". This single version of the song doesn't feature Lil Wayne as the album version of the song does.",,"Apr 8, 2015",,Front Cover,Used,https://media.discordapp.net/attachments/1113173027048411166/1152682584304799964/IMG_3199.jpg
AT.LONG.    LAST.A$AP,Everyday,"Cover art for the single ""Everyday"".",,"May 8, 2015",,Front Cover,Used,https://cdn.discordapp.com/attachments/1113173027048411166/1152682583126188114/IMG_3196.jpg
AT.LONG.    LAST.A$AP,AT.LONG.LAST.A$AP,"Cover art for A$AP Rocky's second studio album ""AT.LONG.LAST.A$AP"". On May 9th, 2015 Rocky reveled this cover along with an additional alternate cover and also stated the release date of the upcoming project. The cover pays homage to the late A$AP Yams, one of the founders of the A$AP Mob, with the birthmark on Rocky's eye. The cover combines two images making it seem as if Rocky has two faces.",,"May 9, 2015",,Front Cover,Used,https://cdn.discordapp.com/attachments/1113173027048411166/1152680590307495987/IMG_3193.jpg
AT.LONG.    LAST.A$AP,AT.LONG.LAST.A$AP [Alternate Cover],"An alternate cover for A$AP Rocky's second studio album ""AT.LONG.LAST.A$AP"". On May 9th, 2015 Rocky showed this secondary cover along with the main cover and release date on his Instagram page.",,"May 9, 2015",,Front Cover,Alternate,
AT.LONG.    LAST.A$AP,L$D,"Cover art for the single ""L$D"".",,"May 9, 2015",,Front Cover,Used,https://cdn.discordapp.com/attachments/1113173027048411166/1152682583495299213/IMG_3197.jpg
AT.LONG.    LAST.A$AP,L$D [Alternate Cover],"Alternative cover art for the single ""L$D"" used in some places with more vibrant colors.",,"May 19, 2015",,Front Cover,Alternate,
AT.LONG.    LAST.A$AP,,,Dexter Navy,,,,,
AT.LONG.    LAST.A$AP,Electric Body,"Single art for ""Electric Body"". Noticably features an edited version of the LONG.LIVE.A$AP cover art without Rocky in the background.",,"May 26, 2015",,Front Cover,Used,https://cdn.discordapp.com/attachments/1113173027048411166/1152682583893749911/IMG_3198.png
AT.LONG.    LAST.A$AP,AT.LONG.LAST.A$AP [CD Back Cover],"Back cover for the CD edition of ""AT.LONG.LAST.A$AP"" featuring the tracklist and Rocky using his hand to form an ""A"" for the acronym ""A.L.L.A."" meaning the albums name.",,"May 26, 2015",,Back Cover,Used,https://cdn.discordapp.com/attachments/1113173027048411166/1152680590630469673/IMG_3194.jpg
AT.LONG.    LAST.A$AP,AT.LONG.LAST.A$AP [Vinyl Cover],"Colorized version of the ""AT.LONG.LAST.A$AP"" cover only used for the vinyl version of the album.",,"May 26, 2015",,Front Cover,Used,
AT.LONG.    LAST.A$AP,AT.LONG.LAST.A$AP [Vinyl Back Cover],"Back cover for the physical vinyl versions of ""AT.LONG.LAST.A$AP"". This is where the inspiration for the ""Cozy Tapes Vol 1: Friends -"" cover came from.",,"May 26, 2015",,Back Cover,Used,
AT.LONG.    LAST.A$AP,AT.LONG.LAST.A$AP [Vinyl Gatefold],,,"May 26, 2015",,Packaging,Used,
AT.LONG.    LAST.A$AP,AT.LONG.LAST.A$AP [Foldable Insert],,,"May 26, 2015",,Packaging,Used,
AT.LONG.    LAST.A$AP,AT.LONG.LAST.A$AP Booklet; Front Cover,,,"May 26, 2015",,Packaging,Used,
AT.LONG.    LAST.A$AP,AT.LONG.LAST.A$AP Booklet; Page 1,,,"May 26, 2015",,Packaging,Used,
AT.LONG.    LAST.A$AP,AT.LONG.LAST.A$AP Booklet; Page 2,,,"May 26, 2015",,Packaging,Used,
AT.LONG.    LAST.A$AP,AT.LONG.LAST.A$AP Booklet; Page 3,,,"May 26, 2015",,Packaging,Used,
AT.LONG.    LAST.A$AP,AT.LONG.LAST.A$AP Booklet; Page 4,,,"May 26, 2015",,Packaging,Used,
AT.LONG.    LAST.A$AP,AT.LONG.LAST.A$AP Booklet; Page 5,,,"May 26, 2015",,Packaging,Used,
AT.LONG.    LAST.A$AP,AT.LONG.LAST.A$AP Booklet; Page 6,,,"May 26, 2015",,Packaging,Used,
AT.LONG.    LAST.A$AP,AT.LONG.LAST.A$AP Booklet; Back Cover,,,"May 26, 2015",,Packaging,Used,
AT.LONG.    LAST.A$AP,AT.LONG.LAST.A$AP [Pixelated],"Pixelated version of the black and white cover for AT.LONG.LAST.A$AP that was changed on May 27th, 2025.",,"May 27, 2025",,Front Cover,Used,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/99/bf/58/99bf58ab-a644-b2ae-e020-4aca79c3592c/886444594820.jpg/3000x3000bb.jpg
,"Cozy Tapes Vol. 1: Friends -
(Collaboration with A$AP Mob & AWGE)",,,,,,,
Cozy Tapes Vol. 1: Friends -,Cozy Tapes Vol 1: Friends -,"Cover art for ""Cozy Tapes Vol. 1: Friends -"". Features a baby photo of A$AP Yams, one of the founders of the mob, on the cover with his iconic birthmark. The cover took inspiration from the ""AT.LONG.LAST.A$AP"" vinyls back cover, which also featured a baby photo of Yams.",,"Oct 31, 2016",,Front Cover,Used,https://cdn.discordapp.com/attachments/1113173027048411166/1152682584594198598/IMG_2290.jpg
Cozy Tapes Vol. 1: Friends -,Drake - Wu-Tang Forever (Remix),"Single art for ""Wu-Tang Forever (Remix)"".",,"Jan 16, 2016",,Front Cover,Used,
Cozy Tapes Vol. 1: Friends -,Hear Me,"Single art for ""Hear Me"".",,"Jan 27, 2016",,Front Cover,Used,
Cozy Tapes Vol. 1: Friends -,Yamborghini High,"Single art for ""Yamborghini High"".",,"Jan 29, 2016",,Front Cover,Used,https://cdn.discordapp.com/attachments/1113173027048411166/1152682584950710494/IMG_3201.png
Cozy Tapes Vol. 1: Friends -,Lords Never Worry,"Single art for ""Lords Never Worry"".",,"Feb 17, 2016",,Front Cover,Used,
Cozy Tapes Vol. 1: Friends -,Hella Hoes (Remix),"Remix art for ""Hella Hoes"".",,"Feb 24, 2016",,Front Cover,Used,
Cozy Tapes Vol. 1: Friends -,Phantogram Freestyle (Snippet),"Single art for the ""Phantogram Freestyle"" snippet.",,"Mar 2, 2016",,Front Cover,Used,
Cozy Tapes Vol. 1: Friends -,Presidents,"Single art for ""Presidents"".",,"Mar 30, 2016",,Front Cover,Used,
Cozy Tapes Vol. 1: Friends -,Crazy Brazy,"Single art for ""Crazy Brazy"".",,"Sep 30, 2016",,Front Cover,Used,https://cdn.discordapp.com/attachments/1113173027048411166/1152683957272465539/IMG_3207.png
Cozy Tapes Vol. 1: Friends -,Runner,"Single art for ""Runner"".",,"Oct 27, 2016",,Front Cover,Used,
Cozy Tapes Vol. 1: Friends -,Runner,"Alternate single art for ""Runner"". Features baby photos of A$AP Ant, and Lil Uzi Vert.",,"Oct 27, 2016",,Front Cover,Alternate,
Cozy Tapes Vol. 1: Friends -,Telephone Calls,"Single art for ""Telephone Calls"". Features baby photos of Rocky, Playboi Carti and Tyler, The Creator but notably not Yung Gleesh, the other artist on the song. The picture of Tyler is also the base image that he used for the cover for his unreleased personal stash from 2008-2009.",,"Oct 27, 2016",,Front Cover,Used,
Pre-TESTING,"Selena Gomez - Good For You
(feat. A$AP Rocky & Haywood) (prod. Héctor Delgado, A$AP Rocky, Hit-Boy, Nick Monson & Rock Mafia)","Single art for Selena Gomez's ""Good For You"" featuring A$AP Rocky.",,,,Front Cover,Used,
Pre-TESTING,"Chief Keef - Superheroes
(feat. A$AP Rocky) (prod. Slam)","Single art for Chief Keef's ""Superheroes"" featuring A$AP Rocky.",,,,Front Cover,Used,
Pre-TESTING,Selena Gomez - Good For You (Remixes),"Remix art for Selena Gomez's ""Good For You"" featuring A$AP Rocky.",,,,Front Cover,Used,
Pre-TESTING,"Pusha T - M.P.A.
(feat. The-Dream, A$AP Rocky & Kanye West) (prod. J. Cole, Che Pope & Kanye West)","Single art for Pusha T's ""M.P.A."" featuring The-Dream, A$AP Rocky & Kanye West.",,,,Front Cover,Used,https://www.joerperez.com/wp-content/uploads/2015/12/KING_PUSH_DLX.jpg
Pre-TESTING,"French Montana - Off The Rip (Remix)
(feat. Chinx, A$AP Rocky, & N.O.R.E.) (prod. TrakFormaz)","Remix art for French Montana's ""Off The Rip"" featuring Chinx & A$AP Rocky.",,,,Front Cover,Used,
Pre-TESTING,"French Montana - Said N Done
(feat. A$AP Rocky & Busta Rhymes) (prod. Earl & E)","Single art for French Montana's ""Said N Done"" featuring A$AP Rocky.",,,,Front Cover,Used,
Pre-TESTING,"Clams Casino - Be Somebody (Remix)
(feat. A$AP Rocky, Lil B, AJ Tracey, Mikky Ekko & Sterling Fox) (prod. Clams Casino)","Remix art for Clams Casino's ""Be Somebody"" featuring A$AP Rocky, Lil B, AJ Tracey, Mikky Ekko & Sterling Fox.",,,,Front Cover,Used,
Pre-TESTING,"Mura Masa - Lovesick (Remix)
(feat. A$AP Rocky) (prod. Mura Masa)","Remix art for Mura Masa's ""Lovesick"" featuring A$AP Rocky.",,,,Front Cover,Used,
Pre-TESTING,"SpaceGhostPurrp - R.I.P. Yams
(feat. A$AP Rocky) (prod. SpaceGhostPurrp)","Single art for SpaceGhostPurrp's ""R.I.P. Yams"" featuring A$AP Rocky.",,"Oct 4, 2016",,Front Cover,Used,
Pre-TESTING,"Alicia Keys - Blended Family
(feat. A$AP Rocky) (prod. Mark Batson & Alicia Keys)
(What You Do For Love)","Single art for Alicia Keys' ""Blended Family (What You Do For Love)"" featuring A$AP Rocky.",,"Oct 6, 2016",,Front Cover,Used,
Pre-TESTING,"A$AP Ferg - New Level REMIX
(feat. A$AP Rocky, Lil Uzi Vert & Future) (prod. Honorable C.N.O.T.E.)","Remix art for A$AP Ferg's ""New Level"" featuring A$AP Rocky, Lil Uzi Vert & Future.",,"Oct 20, 2016",,Front Cover,Used,
Cozy Tapes Vol. 2: Too Cozy,Wrong,"Single art for ""Wrong"".",,"Apr 27, 2017",,Front Cover,Used,
Cozy Tapes Vol. 2: Too Cozy,RAF,"Single art for ""RAF"". The cover features a white figure and it also states all of the featured artist on the song. Flacko is referring to Rocky, Carti is Playboi Carti, Frank is Frank Ocean, Uzi is Lil Uzi Vert and Quavo.",Bráulio Amado,"May 15, 2017",,Front Cover,Used,https://cdn.discordapp.com/attachments/1113173027048411166/1152683957968711721/IMG_3210.png
Cozy Tapes Vol. 2: Too Cozy,Feels So Good,"Single art for ""Feels So Good"". Has the same cover as the project it is featured on ""Cozy Tapes Vol. 2: Too Cozy"" featuring members of the A$AP Mob.", Bráulio Amado ,"Aug 15, 2017",,Front Cover,Used,https://cdn.discordapp.com/attachments/1113173027048411166/1152683957566054510/IMG_3209.png
Cozy Tapes Vol. 2: Too Cozy,Cozy Tapes Vol. 2: Too Cozy,"Cover art for the A$AP Mob's second studio album ""Cozy Tapes Vol. 2: Too Cozy"", the same cover used for a single on the album ""Feels So Good"". The cover shows members from the mob. The back row features (left to right) A$AP Ant, A$AP Twelvyy, A$AP Nast, A$AP Lou, A$AP Ferg and the front row has A$AP Snacks and A$AP Rocky himself.", Bráulio Amado ,"Aug 25, 2017",,Front Cover,Used,https://cdn.discordapp.com/attachments/1113173027048411166/1152683957566054510/IMG_3209.png
DUMMIE,DUMMY,,N/A,Sep 2017,,Front Cover,Unused,
DUMMIE,DUMMY [Recreation],"In a leaked ""DUMMY"" tracklist an image can be seen of this logo that also appeared in some of the alternate ""TESTING"" covers among many things in the ""TESTING"" era. This image is unofficial and simply a recreation.",N/A,Sep 2017,,Front Cover,Unused,
DUMMIE,DUMMIE,"Cover art for ""DUMMIE"" a mixtape set to release before ""TESTING"". This cover was released with the songs ☆☆☆☆☆ 5IVE $TAR$, Above and Money Bags Freestyle.",,"Jan 23, 2018",,Front Cover,Used,
TESTING,"DRAM - Gilligan
(feat. A$AP Rocky & Juicy J) (prod. DRAM & Juicy J)","Single art for DRAM's ""Gilligan"" featuring A$AP Rocky & Juicy J.",,"Apr 21, 2017",,Front Cover,Used,
TESTING,"Mary J. Blige - Love Yourself REMIX
(feat. A$AP Rocky) (prod. Camper)","Remix art for Mary J. Blige's ""Love Yourself"" featuring A$AP Rocky.",,"May 26, 2017",,Front Cover,Used,
TESTING,"Tyler, The Creator - Who Dat Boy
(feat. A$AP Rocky) (prod. Tyler, The Creator)","Single art for Tyler, The Creator's ""Who Dat Boy"" featuring A$AP Rocky.",,"Jun 29, 2017",,Front Cover,Used,
TESTING,"Tyler, The Creator - Who Dat Boy (Lyric Cover)
(feat. A$AP Rocky) (prod. Tyler, The Creator)","Lyric art for Tyler, The Creator's ""Who Dat Boy"" featuring A$AP Rocky.",,"Jun 29, 2017",,Front Cover,Alternate,
TESTING,"A$AP Twelvyy - Strapped
(feat. A$AP Rocky) (prod. A$AP P on the Boards)","Single art for A$AP Twelvyy's ""Strapped"" featuring A$AP Rocky.",,"Jul 12, 2017",,Front Cover,Used,
TESTING,"Lana Del Rey - Summer Bummer
(feat. A$AP Rocky & Playboi Carti) (prod. Boi-1da & Jahaan Sweet)","Single art for Lana Del Rey's ""Summer Bummer"" featuring A$AP Rocky & Playboi Carti.",,"Jul 12, 2017",,Front Cover,Used,
TESTING,"A$AP Twelvyy - Diamonds
(feat. A$AP Rocky) (prod. FNZ & Jim Jonsin)","Single art for A$AP Twelvyy's ""Diamonds"", featuring A$AP Rocky.",,"Jul 21, 2017",,Front Cover,Used,
TESTING,"The Weeknd - Reminder REMIX
(feat. A$AP Rocky & Young Thug) (prod. Cirkut, Doc McKinney & Mano)","Remix art for The Weeknd's ""Reminder"", featuring A$AP Rocky & Young Thug.",,"Aug 3, 2017",,Front Cover,Used,
TESTING,"A$AP Ferg - East Coast REMIX
(feat. A$AP Rocky, Busta Rhymes, Dave East, French Montana, Rick Ross & Snoop Dogg) (prod. Tariq Beats & DJ Khalil)","Remix art for A$AP Ferg's ""East Coast"", featuring A$AP Rocky, Busta Rhymes, Dave East, French Montana, Rick Ross & Snoop Dogg.",,"Aug 4, 2017",,Front Cover,Used,
TESTING,"Babyfather - BENZO AMORE freestyle
(feat. A$AP Rocky) (prod. Dean Blunt & Timbaland)
(Selfish)","Single art for Babyfathers's ""BENZO AMORE freestyle"" featuring A$AP Rocky.",N/A,"Aug 21, 2017",,Front Cover,Used,
TESTING,"Lana Del Rey - Summer Bummer (Clams Casino Remix)
(feat. A$AP Rocky & Playboi Carti) (prod. Clams Casino)","Remix art for Lana Del Rey's ""Summer Bummer"" remixed by Clams Casino, featuring A$AP Rocky & Playboi Carti.",,"Aug 25, 2017",,,,
TESTING,"Lana Del Rey - Summer Bummer (Snakeships Remix)
(feat. A$AP Rocky & Playboi Carti) (prod. Snakeships)","Remix art for Lana Del Rey's ""Summer Bummer"" remixed by Snakeships, featuring A$AP Rocky & Playboi Carti.",,"Aug 25, 2017",,Front Cover,Used,
TESTING,"G-Eazy - No Limit
(feat. A$AP Rocky & Cardi B) (prod. Boi-1da & Allen Ritter)","Single art for G-Eazy's ""No Limit"", featuring A$AP Rocky.",,"Sep 7, 2017",,Front Cover,Used,
TESTING,"Famous Dex - PICK IT UP
(feat. A$AP Rocky) (prod. FKi 1st & SOSA 808)","Single art for Famous Dex's ""PICK IT UP"", featuring A$AP Rocky.",,"Oct 18, 2017",,Front Cover,Used,
TESTING,"Maroon 5 - Whiskey
(feat. A$AP Rocky) (prod. John Ryan & Jacob Kasher)","Single art for Maroon 5's ""Whiskey"", featuring A$AP Rocky.",,"Oct 18, 2017",,Front Cover,Used,
TESTING,"Ty Dolla $ign - Dawsin’s Breek (Remix)
(feat. A$AP Rocky) (prod. Mike WiLL Made-It)","Remix art for Ty Dolla $ign's ""Dawsin's Breek"", featuring A$AP Rocky.",,"Oct 19, 2017",,Front Cover,Used,
