Era,Name,Notes,Length,Release Date,Type,Streaming,Link(s)
The Score,"Family Business
(feat. John Forté) (prod. Fugees, John Forté & Te Bass)","Track 7 on the Fugees' second album The Score. Samples the songs ""Recuerdos de la Alhambra"" by Francisco Tarrega and ""Gypsy Woman"" by Joe Bataan.",5:44,"Feb 13, 1996",Album Track,Yes,https://tidal.com/track/107394136/u
The Score,"🌟 Killing Me Softly With His Song [V1] 💎
(prod. Fugees & Te Bass)
(Killing Them Softly, Killing Me Softly)","Track 8 on the Fugees' second album The Score. Also released as a single April 23rd, 1996. Cover of the Roberta Flack version of ""Killing Me Softly with His Song"". Samples ""Bonita Applebum"" by A Tribe Called Quest, ""Memory Band"" by Rotary Connection, ""Fool Yourself"" by Little Feat, and ""The Day Begins"" by The Moody Blues.",4:59,"Feb 13, 1996",Album Track,Yes,https://tidal.com/track/107394137/u
The Score,"The Score
(feat. Diamond D) (prod. Diamond D, Fugees & Te Bass)","Track 9 on the Fugees' second album The Score. Samples ""Dove"" by Cymande, ""My Melody"" by Eric B. & Rakim, ""Planet Rock"" by Afrika Bambaataa, and ""Scorpio"" by Dennis Coffey and the Detroit Guitar Band.",4:08,"Feb 13, 1996",Album Track,Yes,https://tidal.com/track/107394138/u
The Score,"The Mask
(prod. Fugees & Te Bass)",Track 10 on the Fugees' second album The Score.,4:50,"Feb 13, 1996",Album Track,Yes,https://tidal.com/track/107394153/u
The Score,"Cowboys
(feat. Outsiderz, John Forté & Rah Digga) (prod. Fugees, John Forté & Te Bass)","Track 11 on the Fugees' second album The Score. Samples ""Something 'Bout Love"" by The Main Ingredient.",5:24,"Feb 13, 1996",Album Track,Yes,https://tidal.com/track/107394154/u
The Score,"🌟 No Woman, No Cry
(feat. Stephen Marley, Sharon Marley & Pam Hall) (prod. Fugees & Jerry Duplessis)","Track 12 on the Fugees' second album The Score. Also released as a single November 18th, 1996. Cover of the Bob Marley song of the same name. Features uncredited vocals by Stephen and Sharon Marley, as well as Pam Hall.",4:33,"Feb 13, 1996",Album Track,Yes,https://tidal.com/track/107394155/u
The Score,"🌟 Manifest/Outro
(feat. Red Alert) (prod. Fugees & Te Bass)","Track 13 on the Fugees' second album The Score. Samples ""Rock Dis Funky Joint"" by Poor Righteous Teachers.",5:16,"Feb 13, 1996",Album Track,Yes,https://tidal.com/track/107394156/u
The Score,"Fu-Gee-La (Refugee Camp Remix)
(feat. John Forté) (prod. Fugees & Te Bass)",Track 14 on the Fugees' second album The Score.,4:24,"Feb 13, 1996",Album Track,Yes,https://tidal.com/track/107394157/u
The Score,"Fu-Gee-La (Sly & Robbie Mix)
(feat. Akon) (prod. Handel Tucker)",Track 15 on the Fugees' second album The Score. Features uncredited vocals from Akon.,5:28,"Feb 13, 1996",Album Track,Yes,https://tidal.com/track/107394158/u
The Score,"Mista Mista
(prod. Wyclef Jean, Ms. Lauryn Hill & Te Bass)",Track 16 on the expanded edition of the Fugees' second album The Score.,2:42,"Feb 13, 1996",Album Track,Yes,https://tidal.com/track/31782848/u
The Score,"Fu-Gee-La (Refugee Camp Global Mix)
(feat. John Forté) (prod. Fugees & Te Bass)",Track 17 on the expanded edition of the Fugees' second album The Score.,4:20,"Feb 13, 1996",Album Track,Yes,https://tidal.com/track/31782849/u
The Score,"Recognition
(prod. Fugees & Jerry Duplessis)","Track 8 from Pump Ya Fist: Hip Hop Inspired By The Black Panthers, the soundtrack for the 1995 film Panther.",4:05,"Apr 11, 1995",Other,No,https://pillows.su/f/6fdbf55f29c80b481d8a32063b47875a
The Score,"Big Kap - Da Ladies In Da House
(feat. Da Ladies) (prod. Big Kap & Beat Scott)","Single released by Big Kap. Da Ladies consists of the artists Bahamadia, Ms. Lauryn Hill, Marcella Precise, Treep and Uneek.",4:59,"Jul 18, 1995",Feature,No,https://pillows.su/f/1115f55d8865f6156f6349bf7dfb41e3
"16 Album Track(s)
1 Single(s)
19 Feature(s)
11 Production
1 Other",The Miseducation of Lauryn Hill,"(02/13/1996) (The Score officially releases)
(??/??/1997) (The Fugees begin working on solo projects)
(08/25/1998) (The Miseducation of Lauryn Hill officially releases)",,,Other,,
The Miseducation of Lauryn Hill,"Everything Is Everything
(feat. Ahmed Wallace & Lenesha Randolph) (prod. Ms. Lauryn Hill, Che Pope & Vada Nobles)","Released as a single May 3rd, 1999. Also track 13 on Ms. Lauryn Hill's debut solo album The Miseducation of Lauryn Hill.",4:53,"May 3, 1998",Single,Yes,https://tidal.com/track/78067548/u
The Miseducation of Lauryn Hill,"Intro
(feat. Ras Baraka) (prod. Ms. Lauryn Hill)
(Roll Call)",Track 1 on Ms. Lauryn Hill's debut solo album The Miseducation of Lauryn Hill.,0:47,"Aug 25, 1998",Album Track,Yes,https://tidal.com/track/78067536/u
The Miseducation of Lauryn Hill,"🌟 Lost Ones
(feat. Ras Baraka) (prod. Ms. Lauryn Hill & Vada Nobles)","Track 2 on Ms. Lauryn Hill's debut solo album The Miseducation of Lauryn Hill. Samples the song ""Bam Bam"" by Sister Nancy.",5:34,"Aug 25, 1998",Album Track,Yes,https://tidal.com/track/78067537/u
The Miseducation of Lauryn Hill,"🌟 Ex-Factor 💎
(feat. Chuck Young) (prod. Ms. Lauryn Hill & Vada Nobles)","Track 3 on Ms. Lauryn Hill's debut solo album The Miseducation of Lauryn Hill. Also released as a single on December 14th, 1998. Samples and interpolates the song ""Can It Be All So Simple"" by Wu-Tang Clan.",5:27,"Aug 25, 1998",Album Track,Yes,https://tidal.com/track/78067538/u
The Miseducation of Lauryn Hill,"To Zion
(feat. Carlos Santana, Andrea Simmons, Earl Robinson, Eddie Stockley, Kenny Bobien, Lenesha Randolph & Sabrina Johnston) (prod. Ms. Lauryn Hill & Che Pope)","Track 4 on Ms. Lauryn Hill's debut solo album The Miseducation of Lauryn Hill. Interpolates the song ""And the Feeling's Good"" by José Feliciano.",6:09,"Aug 25, 1998",Album Track,Yes,https://tidal.com/track/78067539/u
The Miseducation of Lauryn Hill,"🌟 Doo Wop (That Thing) 💎
(feat. Ras Baraka, Jenni Fujita, Lenesha Randolph & Rasheem Pugh) (prod. Ms. Lauryn Hill, Vada Nobles & Che Pope)",Track 5 on Ms. Lauryn Hill's debut solo album The Miseducation of Lauryn Hill.,5:20,"Aug 10, 1998",Album Track,Yes,https://tidal.com/track/78067540/u
The Miseducation of Lauryn Hill,"Superstar
(prod. Ms. Lauryn Hill, Che Pope & Vada Nobles)","Track 6 on Ms. Lauryn Hill's debut solo album The Miseducation of Lauryn Hill. Interpolates the song ""Light My Fire"" by the Doors.",4:57,"Aug 25, 1998",Album Track,Yes,https://tidal.com/track/78067541/u
The Miseducation of Lauryn Hill,"Final Hour
(prod. Ms. Lauryn Hill)",Track 7 on Ms. Lauryn Hill's debut solo album The Miseducation of Lauryn Hill.,4:16,"Aug 25, 1998",Album Track,Yes,https://tidal.com/track/78067542/u
The Miseducation of Lauryn Hill,"When It Hurts So Bad
(feat. Ras Baraka) (prod. Ms. Lauryn Hill, Che Pope & Vada Nobles)
(Loved Real Hard Once)","Track 8 on Ms. Lauryn Hill's debut solo album The Miseducation of Lauryn Hill. Interpolates ""Manifest/Outro"" on the Score.",5:42,"Aug 25, 1998",Album Track,Yes,https://tidal.com/track/78067543/u
The Miseducation of Lauryn Hill,"🌟 I Used to Love Him
(feat. Mary J. Blige, Ahmed Wallace, Andrea Simmons, ChinahBlac, Jennifer McNeil, Lenesha Randolph, Rachel Wilson, Ramón Rivers & Tara Watkins) (prod. Ms. Lauryn Hill & Che Pope)",Track 9 on Ms. Lauryn Hill's debut solo album The Miseducation of Lauryn Hill.,5:40,"Aug 25, 1998",Album Track,Yes,https://tidal.com/track/78067544/u
The Miseducation of Lauryn Hill,"Forgive Them Father
(feat. Ras Baraka) (prod. Ms. Lauryn Hill, Che Pope & Vada Nobles)","Track 10 on Ms. Lauryn Hill's debut solo album The Miseducation of Lauryn Hill. Interpolates the song ""Concrete Jungle"" by Bob Marley.",5:15,"Aug 25, 1998",Album Track,Yes,https://tidal.com/track/78067545/u
The Miseducation of Lauryn Hill,"Every Ghetto, Every City
(prod. Ms. Lauryn Hill & Che Pope)
(Welcome Back)","Track 11 on Ms. Lauryn Hill's debut solo album The Miseducation of Lauryn Hill. Samples ""Tony Poem"" by David Axelrod and ""Jack Your Body"" by Steve ""Silk"" Hurley.",5:15,"Aug 25, 1998",Album Track,Yes,https://tidal.com/track/78067546/u
The Miseducation of Lauryn Hill,"🌟 Nothing Even Matters
(feat. D'Angelo) (prod. Ms. Lauryn Hill & Che Pope)",Track 12 on Ms. Lauryn Hill's debut solo album The Miseducation of Lauryn Hill.,5:51,"Aug 19, 1998",Album Track,Yes,https://tidal.com/track/78067547/u
The Miseducation of Lauryn Hill,"🌟 The Miseducation of Lauryn Hill
(prod. Ms. Lauryn Hill, Che Pope & Vada Nobles)
(Deep In My Heart)",Track 14 on Ms. Lauryn Hill's debut solo album The Miseducation of Lauryn Hill.,3:55,"Aug 25, 1998",Album Track,Yes,https://tidal.com/track/78067549/u
The Miseducation of Lauryn Hill,"🌟 Can't Take My Eyes Off of You 
(prod. Ms. Lauryn Hill)
(Can't Take My Eyes Off of You (I Love You Baby))","Track 15 on Ms. Lauryn Hill's debut solo album The Miseducation of Lauryn Hill. Originally featured on the 1997 film Conspiracy Theory, and was successful enough that it was added to the album as a bonus track.",3:41,"Aug 25, 1998",Album Track,Yes,https://tidal.com/track/78067550/u
The Miseducation of Lauryn Hill,"Tell Him
(prod. Ms. Lauryn Hill)",Track 16 on Ms. Lauryn Hill's debut solo album The Miseducation of Lauryn Hill.,4:41,"Aug 25, 1998",Album Track,Yes,https://tidal.com/track/78067551/u
The Miseducation of Lauryn Hill,Ex-Factor (Remix),"Track 23 on the Japanese release of The Miseducation of Lauryn Hill, which separates the interludes on the tracklist. Uses a different beat from the original. Interpolates the song ""Can It Be All So Simple"" by Wu-Tang Clan.",1:47,"Aug 25, 1998",Album Track,No,https://pillows.su/f/c5fd41b8df7c75ce74097660f5000043
The Miseducation of Lauryn Hill,"Nas - If I Ruled the World (Imagine That)
(feat. Ms. Lauryn Hill) (prod. Trackmasters & Rashad Smith)","Track 14 on Nas's second album It Was Written, released as the album's lead single. Features uncredited co-production from Rashad Smith. Interpolates ""Walk Right Up to the Sun"" by the Delftonics. Ms. Hill's first track without the Fugees since her contributions to the Sister Act 2 soundtrack.",4:42,"Jun 4, 1996",Feature,Yes,https://tidal.com/track/1269489/u
The Miseducation of Lauryn Hill,"Warning/Anthem
(with Chino XL, Dred Scott, Ms. Lauryn Hill, Nas, Organized Knofusion, Ras Kass, Saafir & Shyheim)
(Wake Up Show Anthem '96)",Track 1 on the Wake Up Show Freestyles Vol. 2 compilation by Sway & King Tech.,5:14,1996,Feature,No,https://pillows.su/f/907b6390d61c1df8dbe9a4c94104fc75
The Miseducation of Lauryn Hill,"Refugee Camp All-Stars - The Sweetest Thing
(feat. Ms. Lauryn Hill) (prod. Ms. Lauryn Hill & Wyclef Jean)
(Sweetest Thing)",Track 3 on the soundtrack for the 1997 movie Love Jones.,4:52,"Mar 11, 1997",Feature,Yes,https://tidal.com/track/1702242/u
The Miseducation of Lauryn Hill,"Paid & Live - All My Time (Mousse-T New Jersey Radio Edit)
(feat. Ms. Lauryn Hill) (prod. Hakim Bell, Muhammed Bell & Mousse-T)",Remix single released by Paid & Live.,3:43,"Jun 6, 1997",Feature,No,https://pillows.su/f/7c2ba4352104c0dc02eb23aa3232cdf2
The Miseducation of Lauryn Hill,"Paid & Live - All My Time (Mousse-T Too Hot / Bad Boy Radio Mix)
(feat. Ms. Lauryn Hill) (prod. Hakim Bell, Muhammed Bell & Mousse-T)",Remix single released by Paid & Live.,3:09,"Jun 6, 1997",Feature,No,https://pillows.su/f/748119576da0afe727ddfbbd383b424d
The Miseducation of Lauryn Hill,"Paid & Live - All My Time (Yo Jo R&B Mix)
(feat. Ms. Lauryn Hill) (prod. Livingstone Brown & Yo Jo Working)",Remix single released by Paid & Live.,4:48,"Jun 6, 1997",Feature,No,https://pillows.su/f/6b13eaf0be749694891a64ecd6e4410a
The Miseducation of Lauryn Hill,"Paid & Live - All My Time (Mousse-T New Jersey Mix)
(feat. Ms. Lauryn Hill) (prod. Hakim Bell, Muhammed Bell & Mousse-T)",Remix single released by Paid & Live.,4:52,"Jun 6, 1997",Feature,No,https://pillows.su/f/f783aef2997b502e95a34e44c9fe65af
The Miseducation of Lauryn Hill,"Paid & Live - All My Time (Mousse-T Too Hot / Bad Boy Mix)
(feat. Ms. Lauryn Hill) (prod. Hakim Bell, Muhammed Bell & Mousse-T)",Remix single released by Paid & Live.,6:46,"Jun 6, 1997",Feature,No,https://pillows.su/f/8eaadfbcc62da2109a11312c3f962f09
The Miseducation of Lauryn Hill,"Paid & Live - All My Time (Matty's / Mousse-T's Club Mix)
(feat. Ms. Lauryn Hill) (prod. Matty & Mousse-T)",Remix single released by Paid & Live.,8:15,"Jun 6, 1997",Feature,No,https://pillows.su/f/1348c74311e1ca948da12858c6e96b56
The Miseducation of Lauryn Hill,"Paid & Live - All My Time (Armed & Dangerous Mix)
(feat. Ms. Lauryn Hill) (prod. Armed & Dangerous)",Remix single released by Paid & Live.,6:32,"Jun 6, 1997",Feature,No,https://pillows.su/f/acb18b0443386192c32c5662d3eea4df
The Miseducation of Lauryn Hill,"Paid & Live - All My Time (On The Edge Mix)
(feat. Ms. Lauryn Hill) (prod. Livingstone Brown & Yo Jo Working)",Remix single released by Paid & Live.,7:16,"Jun 6, 1997",Feature,No,https://pillows.su/f/710de4a2d1d44db8008e6802b562c0ca
The Miseducation of Lauryn Hill,"Wyclef Jean - Guantanamera
(feat. Celia Cruz, Jeni Fujita & Ms. Lauryn Hill) (prod. Wyclef Jean)","Track 3 on Wyclef Jean's 1997 album Wyclef Jean Presents The Carnival. Also released as a single October 8th, 1997. Inspired by the song of the same name first recorded by Joseíto Fernández. Celia Cruz, who had recorded a cover of the song before, re-recorded her vocals for the song.",4:30,"Jun 24, 1997",Feature,Yes,https://tidal.com/track/1320640/u
The Miseducation of Lauryn Hill,"Wyclef Jean - Year of the Dragon
(feat. Ms. Lauryn Hill) (prod. Wyclef Jean, Jerry Duplessis, Ms. Lauryn Hill & G. Summers)",Track 12 on Wyclef Jean's 1997 debut album Wyclef Jean Presents The Carnival.,4:07,"Jun 24, 1997",Feature,Yes,https://tidal.com/track/1320641/u
The Miseducation of Lauryn Hill,"Wyclef Jean - Sang Fézi
(feat. Ms. Lauryn Hill) (prod. Wyclef Jean)",Track 13 on Wyclef Jean's debut album Wyclef Jean Presents The Carnival.,4:02,"Jun 24, 1997",Feature,Yes,https://tidal.com/track/1320600/u
The Miseducation of Lauryn Hill,"Wyclef Jean - Gunpowder
(feat. Ms. Lauryn Hill) (prod. Wyclef Jean)","Track 19 on Wyclef Jean's debut album Wyclef Jean Presents The Carnival. Also released as a single September 28th, 1998.",4:24,"Jun 24, 1997",Feature,Yes,https://tidal.com/track/1320642/u
The Miseducation of Lauryn Hill,"Wyclef Jean - Yelé
(feat. Ms. Lauryn Hill) (prod. Wyclef Jean)",Track 23 on Wyclef Jean's debut album Wyclef Jean Presents The Carnival.,5:24,"Jun 24, 1997",Feature,Yes,https://tidal.com/track/1320602/u
The Miseducation of Lauryn Hill,"Common - Retrospect for Life
(feat. Ms. Lauryn Hill) (prod. James Poyser, Ms. Lauryn Hill & No ID)","Track 4 on Common's third studio album One Day It'll All Make Sense. Released as the album's debut single. Samples the song ""A Song for You"" by Donny Hathaway. Interpolates the song ""Never Dreamed You'd Leave in Summer"" by Stevie Wonder.",6:23,"Jul 29, 1997",Feature,Yes,https://tidal.com/track/4969357/u
The Miseducation of Lauryn Hill,🌟 Keep It Tight,Track 27 on DJ Skribble's compilation album Traffic Jams.,2:03,"Nov 18, 1997",Other,No,https://pillows.su/f/8067aa46a3b59ae48ca65617d3eced6d
The Miseducation of Lauryn Hill,"Young Zee - Stay Gold [V1]
(feat. Ms. Lauryn Hill)",Track 7 on the limited initial release of Young Zee's album Musical Meltdown.,3:33,1997,Feature,No,https://pillows.su/f/b4b6dfb7ff6211d22cce21de6345a8c1
The Miseducation of Lauryn Hill,"Ras Baraka - Hot Beverage In Winter
(feat. Ms. Lauryn Hill)",Track 5 Ras Baraka's album Shorty For Mayor.,5:47,1998,Feature,No,https://pillows.su/f/03ec3162d48365372e6e0e55bd4bc119
The Miseducation of Lauryn Hill,"Wyclef Jean - Intro/Court/Clef/Intro
(feat. Refugee All Stars) (prod. Ms. Lauryn Hill & Pras)",Track 1 on Wyclef Jean's debut album Wyclef Jean Presents The Carnival.,,"Jun 24, 1997",Production,Yes,https://tidal.com/track/1320737/u
The Miseducation of Lauryn Hill,"Wyclef Jean - Apocalypse
(feat. Refugee All Stars) (prod. Wyclef Jean, Jerry Duplessis, Ms. Lauryn Hill & Pras)",Track 2 on Wyclef Jean's debut album Wyclef Jean Presents The Carnival.,,"Jun 24, 1997",Production,Yes,https://tidal.com/track/1320601/u
The Miseducation of Lauryn Hill,"Wyclef Jean - Pablo Diablo
(feat. Refugee All Stars) (prod. Wyclef Jean, Ms. Lauryn Hill & Pras)",Track 4 on Wyclef Jean's debut album Wyclef Jean Presents The Carnival.,,"Jun 24, 1997",Production,Yes,https://tidal.com/track/1320687/u
The Miseducation of Lauryn Hill,"Wyclef Jean - Prelude To ""To All the Girls""
(feat. Refugee All Stars) (prod. Wyclef Jean, Ms. Lauryn Hill & Pras)",Track 6 on Wyclef Jean's debut album Wyclef Jean Presents The Carnival.,,"Jun 24, 1997",Production,Yes,https://tidal.com/track/1320695/u
The Miseducation of Lauryn Hill,"Wyclef Jean - Down Lo Ho
(feat. Refugee All Stars) (prod. Wyclef Jean, Ms. Lauryn Hill & Pras)",Track 8 on Wyclef Jean's debut album Wyclef Jean Presents The Carnival.,,"Jun 24, 1997",Production,Yes,https://tidal.com/track/1320606/u
The Miseducation of Lauryn Hill,"Wyclef Jean - Words of Wisdom
(feat. Refugee All Stars) (prod. Wyclef Jean, Ms. Lauryn Hill & Pras)",Track 11 on Wyclef Jean's debut album Wyclef Jean Presents The Carnival.,,"Jun 24, 1997",Production,Yes,https://tidal.com/track/1320603/u
