Era,Name,Notes,Made By,Type,Link(s),Proof
Detox [V4],Eminem - My Mom [V1],"""Entertainment purposes only, this is not real. This was originally created by “itseratime” but I decided to remake it in high quality.""",itseratime?,Fake Leak,https://youtu.be/qGUXeJLyp9w?si=ePIw8x9pmLBvG_pd,
Detox [V4],"Eminem - The Truth Revealed
(prod. Dr. Dre)","Listed on a fake Relapse 2 tracklist, said to be 5:04 long.",Some Blogspot fella,Fake Rumor,http://datsnewsnewnews.blogspot.com/2009/09/relapse-2-tracklist-1.html?m=1,
Detox [V4],"Eminem - Tulips Are Welcome
(prod. Dr. Dre & Eminem)","Listed on a fake Relapse 2 tracklist, said to be 4:03 long.",Some Blogspot fella,Fake Rumor,http://datsnewsnewnews.blogspot.com/2009/09/relapse-2-tracklist-1.html?m=1,
Detox [V4],"Eminem - Wait A Minute
(feat. 50 Cent & Dr. Dre) (prod. Dr. Dre)","Listed on a fake Relapse 2 tracklist, said to be 5:21 long.",Some Blogspot fella,Fake Rumor,http://datsnewsnewnews.blogspot.com/2009/09/relapse-2-tracklist-1.html?m=1,
Detox [V4],Partners In Rhyme - We Came To Party,Song released in December 2011 which is just the Under Pressure leak with some random hook and verse in the open sections of the song.,Partners In Rhyme,Fake Leak,https://www.youtube.com/watch?v=-2CwHhhZhT0,its obviously not real who are these fuckin people
Detox [V5],"No Pressure
(ref. Eminem)","Posted by Bill Wallace on YouTube. This is an alleged ""Detox"" reference track with a 2009 sounding beat and offbeat vocals, which are taken from a freestyle.",Bill Wallace,Fake Leak,https://youtu.be/tOwcXdZvZKo?si=tv6o9JKevniMY4Ps,
Detox [V5],"Untitled
(prod. Dr. Dre)
(Validation And Promise, Real Good, Get It)","OG Filename: 2013 for candice - ruff candice
When the song was just a snippet it was said that this was a Dre produced song however, the presence of Candice Pillay on this track means it is solo Dem Jointz production only, with no Dre involvement as he only knew of Candice during the Compton sessions. Was  also thought to be a throwaway from good kid, m.A.A.d city, but iTunes metadata reveals that it was made around February 2013, meaning it was ""Tu Pimp A Caterpillar [V1]"" era. Leaked in full on January 19th, 2026 and was still said to be Dre production despite people saying it wasnt. This is a completely real song, it's just Dre is not involved.",Infisreal,Fake Rumor,https://pillows.su/f/c67dab8d4028c60d30be797e3ea8b188,https://www.complex.com/music/a/haleandreas/candice-pillay-interview-dr-dre
Detox [V6],"3 Headed Monster 
(with Eminem, Dr. Dre, Denaun & ???)","Was either for Bodied or Kamikaze. Has Denaun on the hook, Dre on verse 2 & Eminem on verse 3. Unknown who's verse 1 but it's thought to be 50 Cent. Had a music video shot at the Empire State Building as well. Confirmed fake as this song started from a false rumor that misunderstood what the director of the Venom music video said.",???,Fake Rumor,,
Detox [V6],3 Headed Monster [Music Video],A music video was apparently shot at the Empire State Building.,???,Fake Rumor,,
Detox [V7],"Run This
(feat. Busta Rhymes, Anderson .Paak & Sly Pyper)",Fake leak made by mashing up Pharmacy songs.,aftermathmatics,Fake Leak,https://pillows.su/f/1b20a40a888a4500a87adcb3b24fe6b3,
Detox [V7],"More
(feat. Nas, Sly Pyper & MassV) (prod. Phonix Beats)","Fake track made by MassV, however, the beat is real. Nas' verse is seemingly AI based on the snippet of his collaboration with Dre around this time which reuses his lyrics from ""Heart Sweepers"". It seems the recording was ran through an AI model, and MassV added some lyrics at the end of the verse also. The hook also is seemingly AI, the only real vocals on the song is MassV's verse, likely not recorded in Detox sessions. No Dre vocals. Has some of the worst mixing ever. May god help us all.",MassV,Fake Leak,https://pillows.su/f/cb98bbdfb389c57af9a31659c66fe1d2,
Detox [V7],"Vibration
(feat. 50 Cent)","AI song made by former Dre associate MassV, with no involvement from Dre whatsoever. Was put onto his ""Detox"" leak album which had real Detox songs on it.",MassV,Fake Leak,,
Detox [V7],"???
(prod. Dem Jointz)",This is not a real fuckin beat bruh LOL. Features AI extracted vocals for the intro.,Bill Wallace,Fake Leak,https://www.youtube.com/watch?v=4XViBtIVyiE,
Detox [V7],Eminem - Discombobulated [V1],Has a slightly different instrumental with no beat switches. Pretty obvious instrumental bleed in the acapella used.,??? (DJRatAttack?),Fake Leak,https://pillows.su/f/5929b7481421d241941c404fa30a194d,
Detox [V7],"Kanye West - Never See Me Again 
(feat. Sunday Service Choir, Anderson .Paak, Marsha Ambrosious, The WRLDFMS Tony Williams, Bon Iver, John Legend & Elly Jackson) (prod. Dr. Dre)","OG Filename: “13. See Me Again SSC WRLDFMSfeat 2.8 DRE_14APR2020”

A New leaked snippet of Never See Me Again production by Dr. Dre, was made during the JESUS IS KING: The Dr. Dre Version or God’s Country sessions and then was brought back to God’s Country then to Donda.

Dawg 😭",TheAbstractBehindDemos,Fake Leak,https://youtu.be/TDdJwVVa8Jc?si=qxUcRTpOjpHGcExL,
LP4,"Eminem - M.I.A.
(feat. Dr. Dre & 50 Cent)",Listed on a fake TDOSS tracklist.,Secta Eminem,Fake Rumor,,
LP4,"Eminem - Nightmare
(feat. Dr. Dre & 50 Cent)",Listed on a fake TDOSS tracklist.,Secta Eminem,Fake Rumor,,
