Year,YearTotal,Era,Name,Content,Price,Start,End,Type,Status,Link
Unknown,,LOVE LASTS FOREVER [V1],Made For Me,"Main Song
Made For Me
Supposed to be groupbought after ""Wake Up"" groupbuy finished, with the clause that for everyday ""Wake Up"" took to finish, 150$ would be added to the price for 'Made For Me'.
It was then randomly cancelled for unknown reasons and leaked.","2,750$",Cancelled,Cancelled,Normal,Force Leaked,
2025,,LOVE LASTS FOREVER [V1],Wake Up (Better),"Main Song
Wake Up (Better)
Will be groupbought, with the clause that for everyday Wake Up takes to finish, 150$ will be added to the price for 'Made For Me', starting from 2500$.","1,750$","August 15, 2025","August 17, 2025",Normal,Completed,
2025,,if looks could kill,All Of Em + Blind previewed 2023,"Main Song
All Of Em
???

Bonus
CDQ snip - (1750/3500)
1x Ken Carson - (875/3500)
Buy was moving at a snails pace so it was cancelled in favor of Wake Up.","3,500$","August 2, 2025",Cancelled,Other,Cancelled,
2025,,if looks could kill,Cold,"Main Song
Cold

Bonus
Destroy Lonely - East Atlanta (OG File) - Reached (+100$ Donors Only)
Buy was cancelled halfway through.","2,750$","July 19, 2025",Cancelled,Normal,Cancelled,
2025,,NO STYLIST [V3],BLIND Narcissist/No Stylist Era Playboi Carti Feat Destroy Lonely,"Main Song
Playboi Carti - FUK 0F IT (feat. Destroy Lonely)

Bonus
Destroy Lonely - vicky (vicious) OG Filename - 85%
OG File for ""vicky"" is reripped, so the bonus was essentially the OG filename. Advertised as Narcissist/No Stylist, it's in fact from late 2023, therefore the track is Love Lasts Forever [V1]. File was also degraded and cut.","7,500$
8,035$","July 14, 2025","July 19, 2025",Blind,Completed,
2025,,LOVE LASTS FOREVER [V1],Mistake (2023) with Bonuses,"Main Song
Mistake

Bonus
Fresh As Can Be (Victorious / Racks) OG File (For Early Donors only) - Reached
kountin up v1 - Reached
Vicious OG File (Goats Only) - Reached","$4,000","Jul 5, 2025","Jul 15, 2025",Normal,Forceleaked,
2025,,Multiple Eras,"1x ᐸ/3³ and 3x BLIND Previewed
(With Possible PREVIEWED BONUSES ILCK & LLF)","Main Songs
Jet Lagged / Too Fly ($500/($3350) - Reached
🏆 Ice Out / Halo ($1200/($3350) Reached
Leave With It ($2000/($3350)
Piercings & Tats / Entourage (ᐸ/3³ ERA) ($3350/($3350) - Reached
🥇 Crash Out / I Been (LLF ERA) ($3350) - Force Leaked","$5,000
$3,750
$3,350","Jun 11, 2025","Jun 18, 2025",Bundle,Completed,
Unknown,,00CACTUS,"🏆 Together
(feat. Don Toliver) (prod. Lil 88 & Kush)
(Rock Out)","Main Song
🏆 Together (feat. Don Toliver)
Song was offered for groupbuy, but comm turned it down for some reason.","$4,000",Cancelled,Cancelled,Normal,Cancelled,
2025,,LOVE LASTS FOREVER [V2],1x 2024 LLF Blind,"Main Song
Texas Hold Em","$1,400",,"Jun 10, 2025",Blind,Completed,
2025,,LOVE LASTS FOREVER [V1],1x Not BLIND,"Main Song
Swim (Stealing Swag) (2023)","$3,000
$2,750
$2,600","May 27, 2025","Jun 6, 2025",Normal,Completed,
