Era,"Name
(CHECK OUT THE WEBSITE)",Notes,Art Type,Image,Project Type,Use,Link(s)
4 Your Eyez Only [V2],4 Your Eyez Only,"Vinyl pressing cover of ""4 Your Eyez Only"".",Photo,,Front Cover,Used,
KOD,KOD,"Cover for ""KOD"".",Digital,,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music122/v4/7a/8e/9d/7a8e9dcb-128c-aeaa-540d-eea733637695/18UMGIM22943.rgb.jpg
KOD,KOD,"Cover for ""KOD"".",Digital,,Back Cover,Used,
KOD,kiLL edward - Tidal Wave (just a little reference),"Cover for the ""Tidal Wave (just a little reference)"" single.",Digital,,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music128/v4/13/3f/af/133faf97-1430-ad9a-bdbe-54b066fcd01d/00810760032001.rgb.jpg
The Off-Season,The Off-Season,"Cover for ""The Off-Season""",Digital,,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music125/v4/1d/b9/2e/1db92e33-8544-01d6-ab14-94997cacb1ef/21UMGIM41232.rgb.jpg
The Off-Season,The Off-Season,Clean version of the cover,Digital,,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music125/v4/66/a5/25/66a52540-c0d2-f336-cbfb-8413e6f23beb/21UMGIM41233.rgb.jpg
The Off-Season,The Off-Season,"Back cover for ""The Off-Season"".",Digital,,Back Cover,Used,
Might Delete Later,Might Delete Later ,"Front Cover of ""Might Delete Later""",Digital,,Front Cover,Used,
Might Delete Later,Might Delete Later ,"Back Cover of ""Might Delete Later""",Digital,,Back Cover,Used,
Ongoing,,,,,,,
"Special Thanks to our editors past, including: [Insert Editors Past]
And a special thank you to everybody for supporting the Tracker, we wouldn't be doing this without you",,,,,,,
Update Notes,,Current Editors,,"Other Trackers
(There are over 100 artists with Trackers just like this!)",,,
"This section if for important Tracker updates, not just new entries and stuff like that.	",,InfiniteCris (aka Chedda) (Owner),,Template provided by the Ye Tracker,,,
(9/6/23) RELEASE DAY BITCHES!,,a_native_person (Editor),,,,,
(11/29/2024) Tracker rebirthed,,SlothSavedEarth (Editor),,,,,
(11/30/2024) Tracklist section finished,,,,,,,
,,,,,,,
,,To-Do,,Editor Notepad,,,
,,Create Best Of tab,,RIP Attam,,,
,,Create Stems tab,,Revival of the J. Cole tracker starts now !!,,,
,,Convert KrakenFiles links to Pillowcase links,,never forget heaven on earth incident 01/07/25,,,
,,Recovery Lost Snippets,,we need some cole shit ,,,
,,,,,,,
,,,,,,,
,,"if anyone has any of the snippets that are in the ""Considered lost"" catagory, dm a_native_person, InfiniteCris, or SlothSavedEarth on discord!!! we really tryna get them back!! it would greatly appreicated if you do!",,,,,
