Era,Name,Tracklist,Image,Date Made,Quality,Source,Link(s)
Up 2 Më [V1],Up 2 Më,"Note titled ""Up 2 Më"" containing a list of tracks seemingly intended for the early version of Up 2 Më, likely created around May 16, 2021. Leaked on April 18, 2026.

#?. 1st hunnid (1st Hunnid)
#?. 2day
#?. Aint Nothing
#?. Aint try
#?. All i think bout
#?. alot on my mind
#?. Ard Up
#?. Bak on perks (Bak on ëm)
#?. Bak onna X
#?. Bak Outside
#?. Built diffrent
#?. Count it up
#?. Did wrong
#?. Expensive taste (feat. SeptembersRich)
#?. Factz
#?. Free em
#?. fukit [V3] (Fukit)
#?. Get up
#?. Goin Crazy
#?. Good day
#?. Gotta move on
#?. Hello (feat. SeptembersRich)
#?. inside out (feat. SeptembersRich) (Insidë out)
#?. Kallin me (Callin më)
#?. Kant change (Kant changë)
#?. Kramp (Instrumental)
#?. Krazy Up [V2] (feat. Lil Yachty)
#?. Layup [V3]
#?. leave me lone
#?. Lil Dub
#?. lil vibe
#?. Lying 4 fun
#?. Mad bout that [V1]
#?. Money so big (Monëy so big)
#?. Money Twerk 2
#?. money twerk 3 (with SeptembersRich)
#?. Mosh pit fukit
#?. never changed
#?. New X
#?. Off tha rip [V1]
#?. Pullup (Hëy)
#?. Robbed tha bank
#?. Rokstar
#?. rolled IN
#?. Sayin words
#?. Told Ya
#?. Trendy way (feat. SeptembersRich) (Trëndy way)
#?. Turban
#?. Twizzy Rich
#?. Up 2 me now
#?. Watch Dis
#?. whole lot different
#?. whole lotta mud (Instrumental)
#?. Wonky
#?. Wtw
#?. X Luv
#?. Xtra Krazy (feat. SeptembersRich)
#?. Ya Ya [V1]
#?. Ya ya [V2]

The leaked screenshot also includes ""Real Rage,"" however, this was unofficially added to the list and is not in the actual note.",,"May 16, 2021",Blocked,Leaked,https://pillows.su/f/313401ff9df5244ce817f7d19754a326
Up 2 Më [V1],Up 2 Më,"Early tracklist for Up 2 Më, partially previewed by Yeat while previewing ""Layup"" in an Instagram post on May 17, 2021.

1. Wtf
2. Layup",,"May 17, 2021",Blocked,Yeat,https://api.pillows.su/api/download/aa9d8118fde42ac09a7b98ac08032223.jpg
Up 2 Më [V1],Up 2 Më,"Tracklist previewed by Yeat while previewing ""Provë Sum"" on May 21, 2021.

#?. Xtra Krazy [V1] (feat. SeptembersRich)
#?. Wtf
#?. Layup",,"May 21, 2021",Blocked,Yeat,Link Needed
Up 2 Më [V1],Up 2 Më,"Tracklist previewed by Yeat while previewing ""THOT"" on or before May 22, 2021.

#?. Watch Dis
#?. THOT
#?. Free em
#?. New X",,"May 22, 2021",Blocked,Yeat,Link Needed
Up 2 Më [V1],Up 2 Më,"Tracklist teased by Yeat while previewing ""Crashëd tha Jet"" on May 22, 2021.

#?. ???
#?. Not sorry (Sorry Bout That)
#?. Shyt Changëd
#?. tonka 2 (Tonka 2)
#?. Crashëd tha Jet (feat. SeptembersRich)
#?. Xtra Krazy [V1] (feat. SeptembersRich)",,"May 22, 2021",Blocked,Yeat,Link Needed
4L,4L,"On June 4, 2021, @leelshotta4700 shared an image in an Instagram showing ""New 4L tracklist""  with the text under saying ""wick, lancey sep n kayo feat try"" and he captioned it ""FROM BEGINNING 2 END . MASTERPIECE 💚🦅."" However, Yeat later posted an Instagram Story same day saying ""I decided no feats besides sep even tho i coulda. We keepin dis shit US till the top no handouts ever."" It is confirmed that SeptembersRich ended up recording for the mixtape, however, it is unconfirmed whether Autumn!, Lancey Foux, or Yung Kayo actually ended up recording anything.

#?. ??? (feat. Autumn!)
#?. ??? (feat. Lancey Foux)
#?. ??? (feat. SeptembersRich)
#?. ??? (feat. Yung Kayo)",,"May 23, 2021",Blocked,Secondary,Link Needed
4L,4L,"Tracklist previewed by Yeat while previewing ""addict in general,"" ""WYA,"" ""inside day,"" and ""Curtains."" Seemingly a list of open verse tracks.

#?. Popout
#?. WYA
#?. addict in general
#?. inside day
#?. Curtains",Image Needed,"May 24, 2021",Blocked,Yeat,Link Needed
Up 2 Më [V1],Up 2 Më,"Tracklist previewed by Yeat while previewing ""Still did it"" on May 25, 2021.

#?. Hëlly
#?. Still did it
#?. Up 2 me now
#?. Good day",Image Needed,"May 25, 2021",Blocked,Yeat,Link Needed
Up 2 Më [V1],Up 2 Më,"Tracklist previewed by Yeat while previewing ""alot on my mind""  and ""Wonky"" in an Instagram post, sometime on or after May 29, 2021.

#?. Goin Crazy
#?. alot on my mind
#?. Wonky
#?. Xtra Krazy (feat. SeptembersRich)
#?. Sayin words
#?. New X
#?. Get up",,Date Needed,Blocked,Yeat,Link Needed
4L,4L,"Note titled ""New 4L tracklist 😈😈😈🥷🏽🥷🏽🥷🏽🥷🏽🥷🏽🥷🏽"" containing a list of tracks on a tracklist for 4L, likely created in late May 2021 and was modified on December 5, 2022. Leaked on April 18, 2026.

#?. All I See
#?. Big stonez (Big Stonëz)
#?. Goin back 2 ella [V1] (Goin Back 2 Ella)
#?. Jus wokeup (Jus Wokëup)
#?. Mountain climber (Mountain Climbërs)
#?. Not sorry (Sorry Bout That)
#?. oD [V2] (Trië 2 Tell U outro)
#?. ok kool [V2] (Ok Kool)
#?. Right side (Off Tha Lot)
#?. Swerved it (Swërved It)
#?. Way 2 tall (Sidëwayz)
#?. Wtf (WTF)",,Date Needed,Clear,Leaked,https://i.ibb.co/8nqzHp3H/2026-04-18-New-4-L-tracklist-Leaked-Note.png
4L,4L,"Early tracklist for 4L, previewed while previewing ""Chanëlly"" on May 31, 2021.

7. Chanëlly
8. Big Stonëz
9. Talk 2 God",Image Needed,"May 31, 2021",Blocked,Yeat,Link Needed
Up 2 Më [V1],Up 2 Më,"Tracklist teased by Yeat while previewing ""Goin Crazy"" on June 1, 2021.

#?. Layup
#?. Good day
#?. Goin Crazy
#?. Wonky",Image Needed,"Jun 1, 2021",Blocked,Yeat,Link Needed
Up 2 Më [V1],Up 2 Më,"Yeat privately uploaded the following tracks to his SoundCloud on June 3, 2021 with artwork that was eventually used for ""Come Again"" (uploaded 3 days later), listed in the order of the time it was uploaded:

#?. Layup
#?. Kallin Me
#?. Sorry bout that
#?. New X
#?. Jus Wokeup",N/A,"Jun 3, 2021",N/A,Leaked,N/A
Up 2 Më [V1],Up 2 Më,"Tracklist teased by Yeat while previewing ""Good day"" in an Instagram Live on June 4, 2021.

#?. Layup
#?. Kallin me (Callin më)
#?. Good day
#?. Goin Crazy
#?. Wonky
#?. Xtra Krazy (feat. SeptembersRich)",,"Jun 4, 2021",Blocked,Yeat,Link Needed
Up 2 Më [V1],Up 2 Më,"Tracklist teased by Yeat while previewing ""Turban"" on June 7, 2021.

#?. Turban
#?. Built diffrent
#?. Told Ya
#?. Goin Crazy",,"Jun 7, 2021",Blocked,Yeat,Link Needed
4L,4L,"Official tracklist for 4L.

1. Tëslas & Rovers
2. Sorry Bout That
3. Forëally / 4Ly
4. Jus Wokëup
5. Goin Back 2 Ella
6. ​WTF
7. Chanëlly
8. Off Tha Lot
9. Big Stonëz
10. Talk 2 God
11. Provë sum (feat. SeptembersRich)
12. Sidëwayz
13. All I See
14. Swërved It
15. Mountain Climbërs
16. Money Twërk
17. Ok Kool
18. Bëd Side
19. Livë Hi
20. Trië 2 Tell U outro",,"Jun 10, 2021",Clear,Yeat,Link Needed
Up 2 Më [V1],Up 2 Më,"Tracklist previewed by Yeat while previewing ""No sense"" on Instagram on June 13, 2021.

#?. No sense
#?. Ard Up
#?. yam
#?. Good day",,"Jun 13, 2021",Blocked,Yeat,Link Needed
Up 2 Më [V1],Up 2 Më,"Tracklist previewed by Yeat while previewing ""Good day"" on Instagram.

#?. yam
#?. Good day
#?. Hëlly
#?. Turban",,Date Needed,Blocked,Yeat,Link Needed
Up 2 Më [V1],Up 2 Më,"Early tracklist for Up 2 Më, partially previewed by Yeat in an Instagram Story with early cover art and a Y/N poll. 

1. tonka 2
1. Money so big
2. Layup",,"Jun 13, 2021",Blocked,Yeat,https://api.pillows.su/api/download/036d074b880236139b9b59a88cadb976
Up 2 Më [V1],Up 2 Më,"Tracklist previewed by Yeat while previewing ""Mosh pit fukit"" on Instagram on June 16, 2021.

#?. Hëlly
#?. Turban
#?. Built diffrent
#?. Mosh pit fukit",,"Jun 16, 2021",Blocked,Yeat,Link Needed
Up 2 Më [V1],Up 2 Më,"Tracklist previewed by Yeat while previewing ""Trëndy way"" in an Instagram post on June 20, 2021.

#?. Lil Dub
#?. Trëndy way (feat. SeptembersRich)
#?. Tell me bout it
#?. Bak onna X",,"Jun 20, 2021",Blocked,Yeat,Link Needed
Up 2 Më [V1],Up 2 Më,"Early tracklist for Up 2 Më from June 21, 2021, seen when previewing ""Lying 4 fun"" and ""Kant change"" on June 28, 2021.

1. tonka 2
1. Money so big
1. Gotta move on
2. Layup
#?. Kant change
#?. fukit
#?. Lying 4 fun",Image Needed,"Jun 21, 2021",Blocked,Yeat,Link Needed
Up 2 Më [V1],Up 2 Më,"Tracklist previewed by Yeat while previewing ""money twerk 3"" in an Instagram post on June 22, 2021.

#?. Hëlly
#?. money twerk 3 (feat. SeptembersRich)
#?. Money Twerk 2
#?. Kallin me (Callin më)",,"Jun 22, 2021",Blocked,Yeat,Link Needed
Trëndi,Up 2 Më,"Tracklist previewed by Yeat while previewing ""Mad bout that"" in an Instagram post on July 5, 2021.

#?. Mad bout that
#?. perctivated (përctivated)
#?. Money so big (Monëy so big)
#?. Gotta move on

#2. Layup",,"Jul 5, 2021",Blocked,Yeat,Link Needed
Trëndi,My Lyfe,"Tracklist for a scrapped EP titled My Lyfe seen alongside cover art while Yeat previewed ""Hundun"" in an Instagram post on July 5, 2021.

#?. Bootup
#?. Twizz
#?. Hundun
#?. perctivated (perctivated)",Image Needed,"Jul 5, 2021",Blocked,Yeat,Link Needed
Trëndi,Trëndi,"Tracklist previewed by Yeat while previewing ""Wat u want?"" in an Instagram post on July 6, 2021.

#?. Hundun
#?. Kant change (Kant changë)
#?. Wat u want? (Wat ü want)
#?. fukit (Fukit)
#?. 2day",,"Jul 6, 2021",Blocked,Yeat,Link Needed
Trëndi,Trëndi,"Tracklist previewed by Yeat while previewing ""Twizzy Rich"" on Instagram.

#?. Mad bout that [V2]
#?. Rokstar
#?. Rëally real
#?. Bak Outside
#?. Twizzy Rich
#?. Krazy Up [V2] (feat. Lil Yachty)
#?. 2turnty OPEN",,Date Needed,Blocked,Yeat,Link Needed
Trëndi,Trëndi,"Tracklist previewed by Yeat while previewing ""Iwas"" in an Instagram post on July 24, 2021.

#?. Iwas
#?. Woa
#?. dope sickk (feat. Yeat)",,"Jul 24, 2021",Blocked,Yeat,Link Needed
Trëndi,Trëndi,"Tracklist previewed by Yeat while previewing ""Luh geëky"" in an Instagram post on July 30, 2021.

#?. Rokstar
#?. Luh geëky
#?. Mad bout that [V1]
#?. perctivated (përctivated)",,"Jul 30, 2021",Blocked,Yeat,Link Needed
Trëndi,My Lyfe,"Tracklist for My Lyfe.

#?. Twizz
#?. U could tell
#?. Get Busy
#?. No handoutz
#?. Still (with Lil Yachty)
#?. No Lz",Image Needed,Date Needed,Blocked,Yeat,Link Needed
Trëndi,Trëndi,"Official tracklist for Trëndi - EP. Tracklist first announced by Yeat in an Instagram story on July 25, 2021.

1. Mad bout that
2. Fukit
3. Insidë out (feat. SeptembersRich)
4. Tonka 2",,"Aug 5, 2021",Clear,Yeat,https://api.pillows.su/api/download/94ab926ac20e5ba798f9b6722e9d02ba.jpg
Up 2 Më [V3],Up 2 Më,"Tracklist previewed by Yeat on Instagram while previewing ""Not tha samë"" on August 9, 2021.

#?. Get Busy (Gët Busy)
#?. Not tha samë (Not Tha Samë)
#?. No handoutz (No Handoutz)
#?. Still (with Lil Yachty)",,"Aug 9, 2021",Blocked,Yeat,Link Needed
Up 2 Më [V3],Up 2 Më,"Tracklist previewed by Yeat while previewing ""real is rare"" and ""deserve it"" in Instagram posts and ""Cmon"" in an Instagram Story captioned ""Cmon 😒"" on August 10, 2021.

#?. Not tha samë (Not Tha Samë)
#?. Cmon
#?. deserve it (Dëserve it)
#?. got rich (Got rich)
#?. real is rare (Real Is rarë)",,"Aug 10, 2021",Blocked,Yeat,Link Needed
Up 2 Më [V3],Up 2 Më,"Early partial tracklist for Up 2 Më, teased by Yeat while previewing ""Aint Us"" in an Instagram Story on August 17, 2021.

#?. Told ya
#?. Aint Us
#?. Lying / 4fun (Lying 4 fun)
#?. Rokstar",,"Aug 17, 2021",Blocked,Yeat,Link Needed
Up 2 Më [V3],Up 2 Më,"Early partial tracklist for Up 2 Më.

17. Told ya
18. Money so big
19. deserve it
20. Kant change
21. Kallin me (Callin me)
22. Lying / 4fun",Image Needed,"Aug 31, 2021",Blocked,Yeat,Link Needed
Up 2 Më [V3],Up 2 Më (Deluxe),"After being taken off the main Up 2 Më tracklist, the unreleased track ""Gotta move on"" was considered for a potential deluxe for the album according to an Instagram DM exchange between a fan and producer Nadddot from September 2, 2021, but this did not end up happening.

#?. Gotta move on",,"Sep 2, 2021",N/A,Secondary,https://api.pillows.su/api/download/c13d06c1a3dfb9f9249f7725c8c2466e
Up 2 Më [V3],2 Alivë,"Yeat previewed ""Havin motion"" in an a Tweet captioned ""Album after up 2 me almost done"" on September 5, 2021.

#?. Havin motion
#?. Yea!
#?. real high",,"Sep 5, 2021",Blocked,Yeat,Link Needed
Up 2 Më [V3],Up 2 Më,"Original tracklist for Up 2 Më.

1. Cmon
2. Morning mudd
3. Got rich
4. Lët ya know
5. Stayëd tha same
6. Gët Busy
7. Rokstar
8. Trëndy way (feat. SeptembersRich)
9. Swërved It
10. Ya Ya
11. U could tëll
12. Factz
13. Bak on ëm
14. Hëy
15. Turban
16. Twizzy Rich
17. Told ya
18. Monëy so big
19. Dëserve it
20. Kant changë",,"Sep 10, 2021",Clear,Yeat,https://pbs.twimg.com/media/E-4NNoOVcAoohko?format=jpg&name=medium
Up 2 Më [V3],Up 2 Më,"Official tracklist for Up 2 Më.

1. Cmon
2. Morning mudd
3. Got rich
4. Lët ya know
5. Stayëd tha same
6. Gët Busy
7. Rokstar
8. Trëndy way (feat. SeptembersRich)
9. Swërved It
10. Ya Ya
11. U could tëll
12. Factz
13. Bak on ëm
14. Hëy
15. Turban
16. Twizzy Rich
17. Told ya
18. Monëy so big
19. Dëserve it
20. Kant changë
21. Callin më
22. Lying 4 fun",Official Release,"Sep 10, 2021",Clear,Yeat,N/A
2 Alivë,2 Alivë,"Cropped tracklist from Yeat's Notes app shown while previewing ""Sïck"" under the text ""Next album"" in an Instagram Story on September 9, 2021.

#?. Still Countin (Still countin)
#?. ïm sick (Sïck)
#?. i Told u 2
#?. All typez
#?. Sum new plz
#?. Havin motion
#?. My turn
#?. 2 high (Systëm)",,"Sep 9, 2021",Blocked,Yeat,Link Needed
2 Alivë,2 Alivë,"Tracklist previewed by Yeat while previewing ""YEA X2"" and ""Outsidë"" on September 25, 2021.

#?. hollon (feat. Yung Kayo)
#?. YEA X2 (with Yung Bans)
#?. Jus Bëtter (Jus bëtter)
#?. Outsidë",,"Sep 25, 2021",Blocked,Yeat,Link Needed
2 Alivë,2 Alivë,"Tracklist previewed by Yeat while previewing ""hollon"" in an Instagram post on September 27, 2021.

#?. ???
#?. Tf up (up)
#?. all of it (feat. Yung Kayo)
#. hollon (feat. Yung Kayo)",Image Needed,"Sep 27, 2021",Blocked,Yeat,Link Needed
2 Alivë,2 Alivë,"Tracklist previewed by Yeat while previewing ""No fëelingz"" on Instagram on October 7, 2021.

#?. luh m
#?. Taliban
#?. No fëelingz
#?. Lamb talk
#?. All Dae",,"Oct 7, 2021",Blocked,Yeat,Link Needed
2 Alivë,2 Alivë,"On November 24, 2021, Yeat tweeted: ""Imma drop the tracklist soon."" Unconfirmed what the tracklist would have been at that moment.

#?. ???",,"Nov 24, 2021",N/A,Yeat,https://twitter.com/yeat1_/status/1463581514910765058
2 Alivë,2 Alivë,"Previewed by Yeat while previewing ""Luh gëek"" in a tweet captioned ""LUH GEËK"" on Twitter (now X) on December 1, 2021.

#?. luh M
#?. ???
#?. No fëelingz
#?. Luh gëek
#?. Jump
#?. Poppin [V1]
#?. Outsidë
#?. Nëw turban",,"Dec 1, 2021",Blocked,Yeat,Link Needed
2 Alivë,2 Alivë,"Previewed by Yeat while previewing ""2 high / Systëm"" in an Instagram post captioned ""!¡ x luhgeeky #####"" on December 30, 2021.

#?. Still countin
#?. 2 high (Systëm)",,"Dec 30, 2021",Blocked,Yeat,Link Needed
2 Alivë,2 Alivë,"Prevewed by Yeat in an Instagram Story on February 5, 2022.

4. Poppin
5. Nvr again
6. Outside (feat. Young Thug)
7. Rollin
8. Luh gëek
9. On tha line",,"Feb 5, 2022",Blocked,Yeat,https://www.theonlinerocket.com/wp-content/uploads/2022/02/tracklist-194x420.jpeg
2 Alivë,2 Alivë,"Previewed by Yeat while previewing ""Luh m"" featuring SeptembersRich in an Instagram post on February 16, 2022.

20. Smooktobër
21. Still countin",,"Feb 16, 2022",Blocked,Yeat,Link Needed
2 Alivë,2 Alivë,"Note titled ""2 alivë - tracklist"" containing a list of tracks seemingly on an early tracklist for 2 Alivë, modified on February 17, 2022. Leaked on April 18, 2026.

#?. 2 high [V1] (Systëm)
#?. Rëal six (instrumental)
#?. Jump
#?. Krazy Up [V2] (feat. Lil Yachty)
#?. luh geek (Luh gëek)
#?. luh M [V1]
#?. nvr again [V2]
#?. Taliban [V1]
#?. Jus Bëtter [V4] (feat. Ken Car$on)
#?. Luv monëy (with Lancey Foux)

Also contains a draft of the 2 Alivë cover art.",,"Feb 17, 2022",Blocked,Leaked,https://i.ibb.co/dsmRVggr/image-3.png
2 Alivë,2 Alivë,"Official tracklist for 2 Alivë.

1. Poppin
2. Outsidë (feat. Young Thug)
3. Rëal six
4. Nvr again
5. Luh gëek
6. Rackz got më (feat. Gunna)
7. Doublë
8. On tha linë
9. Jus bëtter
10. Jump
11. Dnt lië
12. Rollin
13. Taliban
14. Narcoticz (feat. Yung Kayo)
15. Call më
16. Kant dië
17. Gëek high (feat. Ken Car$on)
18. Luh m (feat. SeptembersRich)
19. Smooktobër
20. Still countin",,"Feb 18, 2022",Clear,Yeat,Link Needed
2 Alivë (Geëk Pack),2 Alivë (Geëk Pack),"Tracklist previewed by Yeat while previewing ""n0 commënt"" in an Instagram post on March 7, 2022.

#?. n0 commënt (No commënt)
#?. big bently (with Lil Uzi Vert)
#?. allah high (Big tonka (feat. Lil Uzi Vert))",,"Mar 7, 2022",Blocked,Yeat,Link Needed
Super geëky,Super geëky,"Tracklist previewed on March 24, 2022.

#?. kranky (with Lil Uzi Vert)
#?. luh skelë (with Lil Uzi Vert)",,"Mar 24, 2022",Blocked,N/A,Link Needed
Super geëky,Super geëky,"Tracklist previewed by Yeat while previewing ""Crashed dat bitch"" in an Instagram post on March 27, 2022.

#?. ???
#?. Aint Enough (with Lil Uzi Vert)
#?. Crashed dat bitch (with Lil Uzi Vert)
#?. all fax (with Lil Uzi Vert)
#?. ???",,"Mar 27, 2022",Blocked,Yeat,Link Needed
2 Alivë (Geëk Pack),2 Alivë (Geëk Pack),"Official tracklist for 2 Alivë (Geëk Pack).

1. Poppin
2. Outsidë (feat. Young Thug)
3. Rëal six
4. Nvr again
5. Luh gëek
6. Rackz got më (feat. Gunna)
7. Doublë
8. On tha linë
9. Jus bëtter
10. Jump
11. Dnt lië
12. Rollin
13. Taliban
14. Narcoticz (feat. Yung Kayo)
15. Call më
16. Kant dië
17. Gëek high (feat. Ken Car$on)
18. Luh m (feat. SeptembersRich)
19. Smooktobër
20. Still countin
21. Big tonka (feat. Lil Uzi Vert)
22. Kant rëlax
23. No commënt
24. 3G (feat. Lil Uzi Vert)
25. Nëw turban
26. Hatër
27. Way back
28. Luv monëy (with Lancey Foux)
29. Dub",,"Apr 1, 2022",Clear,Yeat,Link Needed
Lyfë,Lyfë,"Tracklist previewed by Yeat while previewing ""trends & topics 2"" in an Instagram post on July 9, 2022.


#?. How it go
#?. cant stop it
#?. mysëlf
#?. Out the way (Out thë way)
#?. krank (Krank)",,"Jul 9, 2022",Blocked,Yeat,Link Needed
Lyfë,Lyfë,"On July 22, 2022, Yeat posted to his Instagram Story: ""Wait til ya heard lyfe.... Nobody on dis shit all imma tell ya,"" suggesting the original tracklist was going to consist of all solo Yeat tracks.

#?. ???",,"Jul 22, 2022",N/A,Yeat,Link Needed
Lyfë,Lyfë,"Tracklist shown in Yeat's Notes app in an Instagram Story captioned ""Im almost done. next month??"" on July 30, 2022.

#?. Wat it feel lyke (Wat it feel lykë)
#?. Holy 1
#?. got it all (feat. Lil Uzi Vert)
#?. maybach
#?. flawlëss (feat. Lil Uzi Vert)",,"Jul 30, 2022",Blocked,Yeat,Link Needed
Lyfë,Lyfë,"Tracklist seen in Yeat's Notes while previewing ""got it all"" featuring Lil Uzi Vert and ""go away"" privately in an Instagram groupchat with fanpages on August 2, 2022. The snippets leaked on December 2, 2022.

#?. Wat it feel lyke (Wat it feel lykë)
#?. Holy 1
#?. Systëm
#?. got it all (feat. Lil Uzi Vert)
#?. maybach
#?. flawlëss (feat. Lil Uzi Vert)
#?. go away
#?. watch
#?. demon tiëd
#?. overloaded
#?. How it go
#?. cant stop it (Can't stop it)
#?. mysëlf (Mysëlf)
#?. Out the way (Out thë way)
#?. krank [V2] (Krank)",,"Aug 2, 2022",Blocked,Leaked,"https://pillows.su/f/2218c25bff40c2e9dccfe9123581bf2e
https://pillows.su/f/92f1b6f4fef383ad5f838732ba34ede5"
Lyfë,Lyfë,"Tracklist shown in Yeat's Notes app while previewing ""Shhhh"" on Instagram on August 8, 2022, songs under the text ""LYFË.""

#?. Krank
#?. Shhhh
#?. Come on
#?. Killin em
#?. trends & topics 2
#?. Talk 2 us (Talk)
#?. Mob outsidë",,"Aug 8, 2022",Clear,Yeat,Link Needed
Lyfë,Lyfë,"Official tracklist for Lyfë.

1. Flawlëss (feat. Lil Uzi Vert)
 2. Up off X
3. Out thë way
4. Wat it feel lykë
5. Got it all
6. Can't stop it
7. Krank
8. Talk
9. Comë on
10. Systëm
11. Holy 1
12. Killin ëm",,"Sep 9, 2022",Clear,Yeat,https://scontent-hou1-1.cdninstagram.com/v/t51.29350-15/305954538_628078638903154_969922467009535693_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjE0NDB4MTQ0MC5zZHIuZjI5MzUwLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QGHEZf6fTRjGYSWnZKpmI6ij0VksC7pS_LhneGuAyYxipuKShOAb9hU-igjc_0pkOA&_nc_ohc=FeSrfD-ruaEQ7kNvwHR8sgB&_nc_gid=GMpEZFUDic1oVvT7SxXVrA&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=MjkyMTY5Njc5OTAzMjM1MjM4Mg%3D%3D.3-ccb7-5&oh=00_AfOMafpIfWYb4SIBYsvI1FcufQi4_JYE5WeprTr7-xpCIg&oe=685F7380&_nc_sid=10d13b
AftërLyfe,AftërLyfe,"Tracklist for AftërLyfe as of December 19, 2022, as teased by Yeat's files while previewing ""Rav3 p4rty"" in an Instagram Live.

#?. Mëan feen
#?. Rav3 p4rty
#?. Sum 2 do
#?. Bëtrr 0ff",,"Dec 19, 2022",Blurry,Yeat,Source Needed
AftërLyfe,AftërLyfe,"AftërLyfe once had 28 tracks on the tracklist according to inside sources, with ""Crashed dat bitch"" at track 23.

23. Crashed dat bitch (feat. Lil Uzi Vert)",,,N/A,Leaked,Source Needed
AftërLyfe,AftërLyfe,"Original tracklist for AftërLyfe, which originally included a Talking Ben App feature on track 11, ""How It Go."" Tracklist designed by @digiyams.

1. No morë talk
2. Shmunk (feat. YoungBoy Never Broke Again)
3. Bëttr 0ff
4. Rav3 p4rty (feat. Kranky Kranky)
5. Nun id change
6. Woa...!
7. Now (feat. Luh geeky)
8. Slamm
9. 7 nightz
10. Mëan feen (feat. Kranky Kranky)
11. How it go (feat. Talking Ben App)
12. Sum 2 do
13. Back up
14. Split
15. Bad bënd / DëMON
16. Hëavyweight
17. Watch
18. Shhhh
19. Back homë
20. Type monëy
21. Dëmon tied
22. Mysëlf",,"Feb 20, 2023",Clear,Yeat,https://i.ibb.co/JJW9KTq/2023-02-20-Afte-r-Lyfe-Tracklist-yeat-IG-Story.jpg
AftërLyfe,AftërLyfe,"AftërLyfe tracklist (written as ""After Lyfe"") previewed by SeptembersRich in an Instagram Story a few days ahead of the full release. Likely originally dated earlier

1. now
2. back homë
3. Heard enough (No morë talk)",,"Feb 22, 2023",Blocked,Secondary,https://i.ibb.co/whxSB2ZQ/2023-02-23-After-Lyfe-septembersrich.jpg
AftërLyfe,AftërLyfe,"Official tracklist for AftërLyfe. Tracklist designed by @digiyams.

1. No morë talk
2. Shmunk (feat. YoungBoy Never Broke Again)
3. Bëttr 0ff
4. Rav3 p4rty (feat. Kranky Kranky)
5. Nun id change
6. Woa...!
7. Now (feat. Luh geeky)
8. Slamm
9. 7 nightz
10. Mëan feen (feat. Kranky Kranky)
11. How it go
12. Sum 2 do
13. Back up
14. Split
15. Bad bënd / DëMON
16. Hëavyweight
17. Watch
18. Shhhh
19. Back homë
20. Type monëy
21. Dëmon tied
22. Mysëlf",,"Feb 24, 2023",Clear,Yeat,"https://i.ibb.co/bMvzQGBD/2023-02-24-T05-11-02-000-Z-01-digiyams.jpg
https://www.instagram.com/p/CpCG22Ishul"
AftërLyfe (Deluxe),AftërLyfe (Deluxe),"Tracklist previewed by Yeat while previewing ""H.A.B"" and ""ik shit get hard"" in an Instagram post on April 27, 2023.

#?. H.A.B
#?. My wrist (with Young Thug)
#?. ik shit get hard (SKLUB)
#?. back n forth
#?. damn
#?. ???",,"Apr 27, 2023",Blocked,Yeat,Link Needed
Lyfëstyle [V1],Lyfëstyle,"Original original tracklist for Lyfëstyle according to inside sources.

#?. Wild West",N/A,,N/A,Leaked,N/A
Lyfëstyle [V1],Lyfëstyle,"In an interview with producer omgzanoza, he revealed that he and producer 730hahah were ""supposed to have around ten tracks on it"" when talking about an iteration of the Lyfëstyle [V1] album. Unconfirmed what tracks he was referencing.
#?. ???
#?. ???
#?. ???
#?. ???
#?. ???
#?. ???
#?. ???
#?. ???
#?. ???
#?. ???",N/A,,N/A,Secondary,https://www.youtube.com/watch?v=DCDgk5_kqNo&t=3664s
Lyfëstyle [V1],Lyfëstyle,"The following tracks were copyrighted by Universal Music Group and had a scheduled release date for August 10, 2023, however, nothing ever came of it. It is possible the tracks were intended for Lyfëstyle, considering on July 20, 2023, Yeat captioned his ""Last day"" Instagram post snippet: ""######Mite drop some the 11.....%%%######."" The track ""bigger thën everything"" ended up releasing as a single on August 10, 2023.

#?. All fax (with Lil Uzi Vert)
#?. B light
#?. Backroads
#?. bigger thën everything
#?. diamond hop (What I Want)
#?. fax
#?. kranky (with Lil Uzi Vert)
#?. lyfeborg
#?. lyfestyle
#?. one thing i fear
#?. panic (with Lil Uzi Vert)
#?. Passed dat (PUT IT ONG)
#?. See a thousand (FATË (BONUS))
#?. Shyt Changëd
#?. Terrified
#?. The Wolf
#?. time passed
#?. Wild West
#?. wtf thëy on
#?. ??? (I got* / Every spot*)",N/A,"Aug 10, 2023",N/A,Secondary,N/A
2093,2093,"Yeat confirmed in an Instagram Story on December 9, 2023 that the album would have 25 songs. In a later story, he said there could be 26, then in another he said maybe 27.

1. ???
2. ???
3. ???
4. ???
5. ???
6. ???
7. ???
8. ???
9. ???
10. ???
11. ???
12. ???
13. ???
14. ???
15. ???
16. ???
17. ???
18. ???
19. ???
20. ???
21. ???
22. ???
23. ???
24. ???
25. ???
26. ???
27. ???",,"Dec 9, 2023",Blocked,Yeat,Link Needed
