Era,Name,Tracklist,Image,Date Made,Quality,Source,Link(s)
Different Creature,"Diff Creature
(with Clibbo)
(Different Creature)","Privately uploaded to Yeat's SoundCloud on April 21, 2019.

1. Cant Think
2. (N)INE
3. Number 1
4. !nsane
5. Get It",N/A,"Apr 21, 2019",Clear,Leaked,N/A
Different Creature,"Diff Creature
(with Clibbo)
(Different Creature)","Privately uploaded to Yeat's SoundCloud on April 25, 2019.

#?. Full Sail",N/A,"Apr 25, 2019",N/A,Leaked,N/A
Different Creature,"Diff Creature
(with Clibbo)
(Different Creature)","Privately uploaded to Yeat's SoundCloud on May 13, 2019.

#?. How I EAT
#?. Summertime Gladness
#?. Studio Mode
#?. Goat Emoji
#?. 2tone IT ALL",N/A,"May 13, 2019",N/A,Leaked,N/A
Elegance,Elegance,"Yeat privately uploaded the following tracks to his SoundCloud on May 21, 2019 with the Elegance artwork, listed in the order of the time it was uploaded:

#?. Drama
#?. Pop It
#?. Feelin Junkie
#?. Its Me
#?. Run It Bakk
#?. Perc Ten
#?. Ok Ok
#?. 2 Much
#?. No Such Thing
#?. Long Time
#?. Tiimeless
#?. Dont Hav This
#?. Get It
#?. Let It Sink In
#?. Money Tall",N/A,"May 21, 2019",N/A,Leaked,N/A
Elegance,Elegance,"Playlist set for Elegance.

1. Drama
2. Pop It
3. Perc Ten (BONUS)
4. Dont Hav This
5. Long Time
6. Tiimeless
7. No Such Thing
8. Feelin Junkie
9. Let It Sink In",Leaked Tracklist,"May 21, 2019",Clear,Leaked,N/A
Different Creature,"Different Creature
(with Clibbo)
(Diff Creature)","Yeat privately uploaded the following tracks to his SoundCloud on July 12, 2019, listed in the order of the time it was uploaded:

#?. Cant Think
#?. Mixed Emotiions
#?. Pit Stop INTERLUDE
#?. Goat Emoji
#?. How I Eat
#?. Convertable (feat. Oodaredevil)
#?. Movie Type",N/A,"Jul 12, 2019",N/A,Yeat,N/A
Different Creature,"Different Creature
(with Clibbo)
(Diff Creature)","Official tracklist for Different Creature.

1. Goat Emoji
2. Convertible (feat. OODareDevil)
3. Mixed Emotions
4. Can't Think
5. Pit Stop (Interlude)
6. Heavenly
7. How I Eat",Official Release,"Jul 17, 2019",Clear,Yeat,N/A
I'm So Me,Chemistry,"Yeat privately uploaded the following tracks to his SoundCloud on July 27, 2019 with the Chemistry artwork, listed in the order of the time it was uploaded:

#?. Baby Alien Goat
#?. Hold On
#?. How I Felt",N/A,"Jul 27, 2019",N/A,Leaked,N/A
I'm So Me,I'm So Me,"Tracklist seen in Notes app titled ""Im So Me"" dated September 22, 2019 at 10:48. Includes an original/alternate cover art for the project, and is captioned ""N****s do not got dis 😹."" The following tracks are visible in the preview:

1. Boutta Take Off
2. Brazie",,"Sep 22, 2019",Blocked,Secondary,N/A
I'm So Me,I'm So Me,"Yeat privately uploaded the following tracks to his SoundCloud on December 22, 2019 with the I'm So Me artwork, listed in the order of the time it was uploaded:

#?. Breaking News
#?. Speak On It / Im So Me
#?. Are You?
#?. Alien Language (feat. Summrs)
#?. Complicated
#?. Trendsetter (feat. Yung Bans)
#?. Spend It All
#?. Top Floor (feat. SoIcyJordan)
#?. Nerdz
#?. No Deal (feat. Jurp)
#?. Bird
#?. Stayed Down Long Enough
#?. Learn 2 Leave
#?. Roxy
#?. Intro 2022",N/A,"Dec 22, 2019",N/A,Leaked,N/A
I'm So Me,I'm So Me,"Tracklist announced by Yeat on Twitter (now X) on December 25, 2019, captioned ""FRIDAY WHORE 💗👽🎨#IMSOME,"" following up with a reply: ""Art by @negativexn.""

1. Breaking News
2. Speak on it / Im So Me
3. Are you?
4. Alien Language (feat. Summrs)
5. Complicated
6. Top Floor (feat. SoIcyJordan)
7. Spend It All
8. Nerdz
9. No Deal (feat. Jurp)
10. Layyed Up
11. Stayed Down Long Enough
12. Learn 2 Leave
13. Roxy
14. Intro / 2022 Freestyle",,"Dec 25, 2019",Clear,Yeat,https://pbs.twimg.com/media/EMqS3wyUcAABu3P?format=jpg&name=medium
I'm So Me,I'm So Me,"Official tracklist for I'm So Me.

1. Breaking News
2. Speak On It / I'm So Me
3. Are You?
4. Alien Language (feat. Summrs)
5. Complicated
6. Top Floor (feat. Young Jordan)
7. Spend It All
8. Nerdz
9. No Deal (feat. Jurp)
10. Bird
11. Stayed Down Long Enough
12. Learn 2 Leave
13. Roxy
14. Intro 2022",,"Dec 27, 2019",Clear,Yeat,N/A
We Us,We Us,"Tracklist previewed by Yeat while previewing ""Look wat u did.""

#?. Urus
#?. RN (feat. Summrs)
#?. Look wat u did
#?. So what (So Wat?)",,Date Needed,Blocked,Yeat,Link Needed
We Us,We us,"Yeat privately uploaded the following tracks to his SoundCloud on April 5, 2019 with the We Us artwork, listed in the order of the time it was uploaded:

#?. So Wat?
#?. Play",N/A,"Apr 5, 2020",N/A,Leaked,N/A
We Us,We us,"Original tracklist for We Us, with the additional ""Lets Race"" privately uploaded to Yeat's SoundCloud on April 9, 2020.

1. Lets Race
2. Play
3. So Wat?",N/A,"Apr 9, 2020",Clear,Leaked,N/A
