Era,Name,Notes,Designer,Art Type,Image,Project Type,Use,Link(s),Images
Curtain Call 2,The King and I (feat. Ceelo Green) - Single Cover,,,Cover,,,Used,/shadygold/art/the-king-and-i-feat-ceelo-green-single-cover.jpg,
Curtain Call 2,The King and I (feat. Ceelo Green) - Animated Cover,,,,,,Used,,
Curtain Call 2,JuiceWRLD - Lace It (feat. Eminem),"A song made during the MTBMB sessions. Lil Bibby had to make ""Nearly 200 phone calls"" to get it released.",,Cover,,,Used,/shadygold/art/juicewrld-lace-it-feat-eminem.jpg,
Curtain Call 2,JuiceWRLD - Lace It (feat. Eminem) - Animated Cover,"A song made during the MTMB sessions. Lil Binny had to make ""Nearly 200 phone calls"" the week it released to get it released.",,Cover,,,Used,/shadygold/art/juicewrld-lace-it-feat-eminem-animated-cover.gif,
The Death of Slim Shady (Coup de Grâce),Houdini - Single Cover,,PoorMarty & Mike Saputo,,,,Used,/shadygold/art/houdini-single-cover.jpg,
The Death of Slim Shady (Coup de Grâce),Houdini - Animated Cover,,PoorMarty & Mike Saputo,,,,Used,/shadygold/art/houdini-animated-cover.gif,
The Death of Slim Shady (Coup de Grâce),The Death of Slim Shady (Coup de Grâce),"According to Saputo himself, his favorite cover he has ever done, Slim Shady in a zipped up body bag.",Mike Saputo,Cover,,,Used,/shadygold/art/the-death-of-slim-shady-coup-de-gr-ce.jpg,
The Death of Slim Shady (Coup de Grâce),The Death Of Slim Shady (Coup de Grâce) - Back Cover,,Mike Saputo,Cover,,,Used,/shadygold/art/the-death-of-slim-shady-coup-de-gr-ce-back-cover.png,
The Death of Slim Shady (Coup de Grâce),The Death Of Slim Shady (Coup de Grâce) - Front Cover Alt Art 1,,,Cover,,,Used,/shadygold/art/the-death-of-slim-shady-coup-de-gr-ce-front-cover-alt-art-1.jpg,
The Death of Slim Shady (Coup de Grâce),The Death Of Slim Shady (Coup de Grâce) - Back Cover Alt Art,,,Scan,,,Used,/shadygold/art/the-death-of-slim-shady-coup-de-gr-ce-back-cover-alt-art.jpg,
The Death of Slim Shady (Coup de Grâce),The Death Of Slim Shady (Coup de Grâce) - Front Cover Alt Art 2,,,Cover,,,Used,/shadygold/art/the-death-of-slim-shady-coup-de-gr-ce-front-cover-alt-art-2.jpg,
The Death of Slim Shady (Coup de Grâce),The Death Of Slim Shady (Coup de Grâce) - Animated Cover,Concept by Mike Saputo Animated by PoorMarty,PoorMarty & Mike Saputo,Cover,,,Used,/shadygold/art/the-death-of-slim-shady-coup-de-gr-ce-animated-cover.gif,
The Death of Slim Shady (Coup de Grâce),The Death of Slim Shady (Coup de Grâce) Expanded Mourners Edition - Front Cover,Offical TDOSS Expanded Mourners Edition cover art made by Mike Saputo,Mike Saputo,Cover,,,Used,/shadygold/art/the-death-of-slim-shady-coup-de-gr-ce-expanded-mourners-edit.jpg,
The Death of Slim Shady (Coup de Grâce),The Death of Slim Shady (Coup de Grâce) Expanded Mourners Edition - Animated Cover,Concept by Mike Saputo Animated by PoorMarty,PoorMarty & Mike Saputo,Cover,,,Used,/shadygold/art/the-death-of-slim-shady-coup-de-gr-ce-expanded-mourners-edit.gif,
The Death of Slim Shady (Coup de Grâce),Complex Interview - Eminem Interviews Slim Shady,,,,,,Used,/shadygold/art/complex-interview-eminem-interviews-slim-shady.jpg,
The Death of Slim Shady (Coup de Grâce),LL Cool J - Murdergam Deux (feat. Eminem),"Cover Art for the single ""Murdergram Deux"" and album ""The Force"" ",,Cover,,,Used,/shadygold/art/ll-cool-j-murdergam-deux-feat-eminem.jpg,
The Death of Slim Shady (Coup de Grâce),Snoop Dogg (Missionary Album) - Gunz N Smoke (feat. Eminem & 50 Cent),"Cover that references trojan condoms, freaky Snoop.",,Cover,,,Used,/shadygold/art/snoop-dogg-missionary-album-gunz-n-smoke-feat-eminem-50-cent.jpg,
STANS,STANS (Official Soundtrack) - Front Cover [Explicit],Ripped and edited from the official vinyl page. Currently only available in bad quality,,Cover,,,,/shadygold/art/stans-official-soundtrack-front-cover-explicit.jpg,
STANS,STANS (Official Soundtrack) - Front Cover [Clean],Clean version of the artwork without the Parental Advisory sticker. Posted to Instagram by Em himself.,,Cover,,,,/shadygold/art/stans-official-soundtrack-front-cover-clean.png,
