 Era,Name,Notes,Source,Type,Currently Available,Link(s),,
The Eminem Show,Sing For The Moment (Acapella),"OG Filename: Sing aca
Leaked in an acapella package on April 16th, 2025.",Leak,Acapella,Full Lossless,https://pillows.su/f/dd08ba14a30fc11d6fe0d7d9a0ef7ef0,,
The Eminem Show,Sing For The Moment (TV Track) [Acapella],Backing track of the acapella that was released on the promo CD. Has the same BPM of the full acapella that leaked in 2025.,Promo CD,Acapella,Full Lossless,https://pillows.su/f/fecae6239c54c90e36e0ffded721f28a,,
The Eminem Show,Hailie's Song (Acapella),"OG Filename: Hallie aca
Leaked in an acapella package on April 16th, 2025.",Leak,Acapella,Full Lossless,https://pillows.su/f/68579cbde5c1a74cf870099ff2960f29,,
The Eminem Show,"When The Music Stops (Acapella)
(feat. D12)","OG Filename: Music Stops aca
Bizarre isn't cut off at the end. Headphone bleed: a snare can be heard at certain points during Bizarre's intro. Leaked in an acapella package on April 16th, 2025.",Leak,Acapella,Full Lossless,https://pillows.su/f/b0bc41e63c1bc8adeef8acbb9c7253bd,,
The Eminem Show,"Till I Collapse (Acapella)
(feat. Nate Dogg)","OG Filename: Till I Collapse Full Acca
Leaked in an acapella package on April 16th, 2025.",Leak,Acapella,Full Lossless,https://pillows.su/f/e93b90c5f3dbde412a4a06403220c7e1,,
The Eminem Show,"JAY-Z - Renegade (Acapella)
(feat. Eminem)",Only contains Eminem's parts.,Unknown,Acapella,Partial HQ,https://pillows.su/f/2d003ceb639b8767ec080ca987256807,,
The Eminem Show,"Royce Da 5'9"" - Rock City [V2] (Acapella) [Clean]
(feat. Eminem)","Official acapella for the 2nd version of ""Rock City""",CD Single,Acapella,Full HQ,https://pillows.su/f/b53bc1d0385529092ef562ab544e5ece,,
"21 Total
18 Instrumental
3 Acapella","8 Mile Soundtrack
(Collaboration with various artists)","(05/26/2002) (The Eminem Show releases)
(10/29/2002) (8 Mile soundtrack releases)",,,"A soundtrack that was made alongside the 2002 semi-autobiographical movie 8 Mile, starring Eminem. ",,,
,Instrumentals,,,,,,,
8 Mile Soundtrack,8 Mile (Instrumentals),The full 8 Mile Soundtrack instrumental album.,Instrumental Album,Instrumental,Full Lossless,https://pixeldrain.com/u/RrVtHSaR,,
8 Mile Soundtrack,"Lose Yourself (Instrumental)
(prod. Eminem & Jeff Bass)","Official instrumental for ""Lose Yourself""",Expanded Edition,Instrumental,Full Lossless,https://pillows.su/f/749b7dbe8001d2047ac47aeb2b9ff971,,
8 Mile Soundtrack,"Obie Trice - Love Me (Instrumental)
(prod. Eminem & Luis Resto)","Official instrumental for ""Love Me""",Expanded Edition,Instrumental,Full Lossless,https://pillows.su/f/12c650de008c14c56772c53ea64522c9,,
8 Mile Soundtrack,"8 Mile (Instrumental)
(prod. Eminem & Luis Resto)","Official instrumental for ""8 Mile""",Expanded Edition,Instrumental,Full Lossless,https://pillows.su/f/6bdc0580cde3288b9629d40196a9a5e2,,
8 Mile Soundtrack,"Obie Trice - Adrenaline Rush (Instrumental)
(prod. Red Spyda & Rush)","Official instrumental for ""Adrenaline Rush""",Expanded Edition,Instrumental,Full Lossless,https://pillows.su/f/447fe35b3dbf932f2fd8bc8a3d785ee9,,
8 Mile Soundtrack,"50 Cent - Places To Go (Instrumental)
(prod. Eminem)","Official instrumental for ""Places To Go""",Expanded Edition,Instrumental,Full Lossless,https://pillows.su/f/ccadd259518961ce1fe8c89c463cc413,,
8 Mile Soundtrack,"D12 - Rap Game (Instrumental)
(prod. Mr. Porter & Eminem)","Official instrumental for ""Rap Game""",Expanded Edition,Instrumental,Full Lossless,https://pillows.su/f/6252e8f60d74d258b1c48b539d7878c0,,
8 Mile Soundtrack,"JAY-Z - 8 Miles And Runnin' (Instrumental)
(prod. Eminem)","Official instrumental for ""8 Miles And Runnin'""",Expanded Edition,Instrumental,Full Lossless,https://pillows.su/f/d84f3c9754d24ca2066ab2e0a3908cf5,,
8 Mile Soundtrack,"Xzibit - Spit Shine (Instrumental)
(prod. Mr. Porter)","Official instrumental for ""Spit Shine""",Expanded Edition,Instrumental,Full Lossless,https://pillows.su/f/ed672ff792ab3eaa30bee020327a6e93,,
8 Mile Soundtrack,"Macy Gray - Time Of My Life (Instrumental)
(prod. Dante Ross & John Gamble)","Official instrumental for ""Time Of My Life""",Expanded Edition,Instrumental,Full Lossless,https://pillows.su/f/3f7d3e6349d9ff5e94b37451ab78c0d2,,
8 Mile Soundtrack,"Nas - U Wanna Be Me (Instrumental)
(prod. Chucky Thompson & Nas)","Official instrumental for ""U Wanna Be Me""",Expanded Edition,Instrumental,Full Lossless,https://pillows.su/f/c58d2e0b13c7135e9c3e6ceca57f2cb9,,
8 Mile Soundtrack,"50 Cent - Wanksta (Instrumental)
(prod. J-Praize, Freeman & Sha Money XL)","Official instrumental for ""Wanksta""",Expanded Edition,Instrumental,Full Lossless,https://pillows.su/f/86140f8feb09ec2417985f9aba26bf79,,
8 Mile Soundtrack,"Boomkat - Wasting My Time (Instrumental)
(prod. Kellin Manning & Martin Pradler)",Not on the 8 Mile Expanded Edition :(,None Yet,Instrumental,Not Available,:(,,
8 Mile Soundtrack,"Rakim - R.A.K.I.M. (Instrumental)
(prod. Mr. Porter)","Official instrumental for ""R.A.K.I.M.""",Expanded Edition,Instrumental,Full Lossless,https://pillows.su/f/57249b2d8efb172424e53d9fe01e0d06,,
8 Mile Soundtrack,"Young Zee - That's My Nigga Fo' Real (Instrumental)
(prod. Dante Ross & John Gamble)","Official instrumental for ""That's My Nigga Fo' Real""",Expanded Edition,Instrumental,Full Lossless,https://pillows.su/f/8961df5506cec8b08fa72854c613252c,,
8 Mile Soundtrack,"Gang Starr - Battle (Instrumental)
(prod. DJ Premier)","Official instrumental for ""Battle""",Expanded Edition,Instrumental,Full Lossless,https://pillows.su/f/0e047a451e766cb7e409e2fa9dad29fb,,
8 Mile Soundtrack,"Rabbit Run (Instrumental)
(prod. Eminem & Luis Resto)","Official instrumental for ""Rabbit Run""",Expanded Edition,Instrumental,Full Lossless,https://pillows.su/f/a2d07829d0648f05c33018da8a423365,,
8 Mile Soundtrack,Obie Trice - Rap Name (Instrumental),"Official instrumental for ""Rap Name""",Single Vinyl,Instrumental,Full HQ,https://pillows.su/f/0c3489c75640cb27574d73ca0b150179,,
,Acapellas,"
",,,,,,
8 Mile Soundtrack,Lose Yourself (Acapella),"Leaked in an acapella package on April 16th, 2025.",Leak,Acapella,Full Lossless,https://pillows.su/f/2111ac0dbe7ab52c1142024693c548ae,,
8 Mile Soundtrack,"Obie Trice - Love Me (Acapella)
(feat. 50 Cent & Eminem)","Official acapella for ""Love Me""",Single Vinyl,Acapella,Full Lossless,https://pillows.su/f/ea48eb2697efb7131bcbfbe70ce274a4,,
8 Mile Soundtrack,Obie Trice - Rap Name (Acapella) ,"Official acapella for ""Rap Name""",Single Vinyl,Acapella,Full HQ,https://pillows.su/f/813d58b51a2214f75d7b7caaa101863b,,
"13 Total
7 Instrumental
6 Acapella","D12 World
(Collaboration with D12)
(Devil's Night Part II, Halloween)","(6/19/2001) (Devil's Night releases)
(4/27/2004) (D12 World releases)",,,"Originally titled ""Devil's Night Part II"", as mentioned by Bizarre on Census Bureau and on the outro to Cheers by Obie Trice. D12 World is the second and final studio album by D12.",,,
,Instrumentals,,,,,,,
D12 World,"My Band (Instrumental)
(prod. Eminem & Luis Resto)","Official instrumental for ""My Band""",CD Single,Instrumental,Full Lossless,https://pillows.su/f/9c69b418de5c10e7b99838ef38bb99a3,,
D12 World,"U R The One (Instrumental)
(prod. Mr. Porter)","Official instrumental for ""U R The One""",Single Vinyl,Instrumental,Full Lossless,https://pillows.su/f/04cf039fbada6b9f7acd3f74dbc5e2fc,,
D12 World,"U R The One (Instrumental) [Eminem Remix]
(prod. Mr. Porter & Eminem)","Official instrumental for the Eminem remix of ""U R The One""",Single Vinyl,Instrumental,Full Lossless,https://pillows.su/f/8c72ff12abbf19f95b759bf21960f365,,
D12 World,"How Come (Instrumental)
(prod. Witt & Pep)","Official instrumental for ""How Come""",CD Single,Instrumental,Full Lossless,https://pillows.su/f/cfbab46ee8748498cb039eafc1bbc178,,
D12 World,"40 Oz. (Instrumental)
(prod. Trackboyz)","Official instrumental for ""40 Oz.""",CD Single,Instrumental,Full Lossless,https://pillows.su/f/b64b019456b2d5c087db127c6e415107,,
D12 World,"40 Oz. (Instrumental) [Remix]
(prod. Lil Jon)","Official instrumental for the Lil Jon remix of ""40 Oz.""",Promo CD,Instrumental,Full Lossless,https://pillows.su/f/2d0590991af1306f99b8bc61ce26a413,,
D12 World,"American Psycho II (Instrumental)
(prod. Dr. Dre & Mike Elizondo)","Official instrumental for ""American Psycho II""",Promo CD,Instrumental,Full HQ,https://pillows.su/f/771657a54fca20837fad3b9647261ef4,,
,Acapellas,"
",,,,,,
D12 World,My Band (Acapella),"OG Filename: MY BAND ACCA
Leaked in an acapella package on April 16th, 2025.",Leak,Acapella,Full Lossless,https://pillows.su/f/ce00b94d9f57e59f10a8cc523555dc90,,
D12 World,U R The One (Acapella),"Official acapella for ""U R The One""",Single Vinyl,Acapella,Full Lossless,https://pillows.su/f/33692e0a6eb4b848c1fdd722c6efb2f0,,
D12 World,U R The One (Acapella) [Eminem Remix],"Official acapella for the Eminem remix of ""U R The One""",Single Vinyl,Acapella,Full Lossless,https://pillows.su/f/87293977bfaec773ca382533d060b8e4,,
D12 World,How Come (Acapella),"OG Filename: How Come ACCA
Leaked in an acapella package on April 16th, 2025. Has part of Denaun's verse missing and the third hook. Has weird Hi-Hats before the acapella starts. These exporting issues likely come from Joe Strange messing it up.",Leak,Acapella,Full Lossless,https://pillows.su/f/920b3ecb409e00a23a463c9a8c949c40,,
D12 World,40 Oz. (Acapella),"Official acapella for ""40 Oz.""",Single Vinyl,Acapella,Full HQ,https://pillows.su/f/c794655ed28506603b4532b4daebb2c8,,
D12 World,40 Oz. (Acapella) [Remix],"Official acapella for the Lil Jon remix of ""40 Oz.""",Promo CD,Acapella,Full Lossless,https://pillows.su/f/c794655ed28506603b4532b4daebb2c8,,
"47 Total
34 Instrumental
13 Acapella",Encore,"(5/26/2002) (TES releases)
(11/12/2004) (Encore releases)",,,"From 2002-2004, Eminem was in the middle of some beef with Ja Rule & Benzino, making several diss tracks aimed at them, which were (for the most part) on the Invasion mixtape series hosted by DJ Green Lantern. Eminem would also sign Stat Quo in 2003. In November of 2003, a demo tape called ""Straight From The Lab"" would be leaked online in low quality by Nate's friend (not Nate as in Nate Dogg). This would cause Encore to be worked on even more with the leaks being replaced last minute. The song ""Like Toy Soldiers"" would also mark the end of his beef with Ja Rule & Benzino.",,,
,Instrumentals,,,,,,,
Encore,"Evil Deeds [V1] (Instrumental)
(prod. Dr. Dre)","Leaked by Joe Strange. Lacks the Curtains Up and Never Enough transitions, has a very long outro fadeout and breathing noises in the intro.",Leak,Instrumental,Full CDQ,https://pillows.su/f/bf2db34e8a0d4d2e3f0705dc43571b06,,
Encore,"Never Enough (Instrumental)
(prod. Dr. Dre & Mike Elizondo)",Leaked by Joe Strange. Lacks the Evil Deeds transition.,Leak,Instrumental,Full CDQ,https://pillows.su/f/d6da4702b42d2601d69b962e99cb9ec5,,
Encore,"Yellow Brick Road [V1] (Instrumental)
(prod. Eminem & Luis Resto)",Leaked by Joe Strange. Slightly longer outro.,Leak,Instrumental,Full CDQ,https://pillows.su/f/8ad78949333c75646fc076c3e60b5239,,
Encore,"Like Toy Soldiers (Instrumental)
(prod. Eminem & Luis Resto)","Official instrumental for ""Like Toy Soldiers"". Lacks the sample during the chorus parts, as it's in the acapella.",Promo CD,Instrumental,Full Lossless,https://pillows.su/f/0b02b41784ae70a27d00598a54dc9912,,
Encore,"Puke (Instrumental)
(prod. Eminem & Luis Resto)",Leaked by Joe Strange.,Leak,Instrumental,Full CDQ,https://pillows.su/f/8b757e87d58b6e55ae9ba7dda9e6c3e1,,
Encore,"Rain Man (Instrumental)
(prod. Dr. Dre)",Leaked by Joe Strange.,Leak,Instrumental,Full HQ,https://pillows.su/f/e4fcd3043b77f87176b280dd16c1d0c1,,
Encore,"Just Lose It (Instrumental)
(prod. Dr. Dre & Mike Elizondo)","Official instrumental for ""Just Lose It""",CD Single,Instrumental,Full Lossless,https://pillows.su/f/2a0dfcf6bef9782eff9dc22235a4ced5,,
Encore,"Ass Like That (Instrumental)
(prod. Dr. Dre & Mike Elizondo)","Official instrumental for ""Ass Like That""",CD Single,Instrumental,Full Lossless,https://pillows.su/f/44014b1b14714ddf66fe5134986366cc,,
Encore,"Mockingbird (Instrumental)
(prod. Eminem & Luis Resto)","Official instrumental for ""Mockingbird""",CD Single,Instrumental,Full Lossless,https://pillows.su/f/be483c6af956e4b0bc9e8ef3ffdc9b24,,
Encore,"Encore (Instrumental)
(prod. Dr. Dre & Mark Batson)","Official instrumental for ""Encore""",Single Vinyl,Instrumental,Full Lossless,https://pillows.su/f/9c3030879e557c6a482e5553b58de228,,
Encore,"We As Americans (Instrumental) 
(prod. Eminem & Luis Resto)","Leaked by Joe Strange. Has a slightly longer outro, different news segments in the intro, and ""Do you live in America? Do you love America?"" vocals in the outro.",Leak,Instrumental,Full CDQ,https://pillows.su/f/edd8ddbe4dc6bd3aa46445dc00822e5b,,
Encore,"Love You More (Instrumental)
(prod. Eminem & Luis Resto)",Leaked by Joe Strange. This is the same instrumental used on the clean version of the song.,Leak,Instrumental,Full CDQ,https://pillows.su/f/ffd7b4a16d14d247d1ad5f2c14d8e2b6,,
Encore,Beautiful (Instrumental) [V2],Joe Strange mentioned that a version of the Beautiful beat from the post-8 Mile period exists. Likely untitled at this point.,Info,Instrumental,Not Available,,,
Encore,Careful What You Wish For (Instrumental) [V1],"According to Joe Strange, the instrumental started during the TES / Encore time periods (unsure which one exactly so this is going in here for now). When listening to the headphone bleed of the New Perc stem from the 2006 version stems, you can hear an alternate beat, likely from this version.",Info,Instrumental,LQ Snippet,https://pillows.su/f/74f8a8704af6cfcea89ec86fa0af4815,,
Encore,"Christopher Reeves [V1] (Instrumental)
(prod. Eminem)
(Brand New Dance)",Leaked by Joe Strange. Has the same outro as the TDOSS release.,Leak,Instrumental,Full HQ,https://pillows.su/f/572613626f1310482f0289bd5c8963ce,,
Encore,"Go To Sleep (Instrumental)
(prod. Eminem)","Official instrumental for ""Go To Sleep"". Judging by the pitch, likely comes from a ""12 vinyl.",Single Vinyl,Instrumental,Full HQ,https://pillows.su/f/baf341055bddea73fe1e4155cef56fab,,
Encore,"Let's Lay Her
(Smack You (Instrumental))","The instrumental to Smack You was titled Let's Lay Her. Dated to April 10, 2003.",Info,Instrumental,Not Available,,,
Encore,"2Pac - One Day At A Time [Em's Version] (Instrumental)
(prod. Eminem)","Official instrumental for ""One Day At A Time""",Promo CD,Instrumental,Full CDQ,https://pillows.su/f/eb37a9aa6578680884b726d5b04e1ee8,,
Encore,"2Pac - Runnin' (Dying To Live) (Instrumental)
(prod. Eminem)","Official instrumental for ""Runnin' (Dying To Live)""",CD Single,Instrumental,Full CDQ,https://pillows.su/f/6202c741ef59490ed63e178eec63d913,,
Encore,"50 Cent - Many Men (Wish Death) (Instrumental)
(prod. Digga, Eminem & Luis Resto)","Official instrumental for ""Many Men (Wish Death)",Single Vinyl,Instrumental,Full HQ,https://pillows.su/f/be9dff1c36b8da508bc6ba57188ac37a,,
Encore,"50 Cent - Patiently Waiting (Instrumental)
(feat. Eminem) (prod. Eminem)",Longer than release.,Unknown,Instrumental,Full HQ,https://pillows.su/f/47cafe22ee8a911fac08572cb4b5e139,,
Encore,"50 Cent - Poor Lil Rich (Instrumental)
(prod. Sha Money XL & Eminem)",Source unknown.,Unknown,Instrumental,Full Lossless,https://pillows.su/f/deca95151af631ce0912d87e3c84a7b9,,
Encore,"DJ Kay Slay - I'm Gone (Instrumental)
(prod. Eminem & Luis Resto)","Official instrumental for ""I'm Gone""",Single Vinyl,Instrumental,Full HQ,https://pillows.su/f/4e4aeb3ee5a76108a54553df36d4fad4,,
Encore,"DJ Rectangle - You Must Be Crazy (Instrumental)
(prod. DJ Rectangle)","Official instrumental for ""You Must Be Crazy"". For some reason, it's almost 2 minutes shorter than the actual song.",Single Vinyl,Instrumental,Full HQ,https://pillows.su/f/09a7ec580e52eeca2ed63d400f700e9b,,
Encore,"G-Unit - I'm So Hood (Instrumental)
(prod. DJ Twinz, Eminem & Luis Resto)",Source unknown.,Unknown,Instrumental,Full Lossless,https://pillows.su/f/375ba9518f133da899238ec63d7fe23c,,
Encore,"King Gordy - Nightmares (Instrumental)
(prod. Bass Brothers & Eminem)","Official instrumental for ""Nightmares""",Single Vinyl,Instrumental,Full CDQ,https://pillows.su/f/cad079dae0e70a5321813b04e1ea372a,,
Encore,"King Gordy - The Pain (Instrumental)
(prod. Bass Brothers & Eminem)","Official instrumental for ""The Pain""",Single Vinyl,Instrumental,Full HQ,https://pillows.su/f/95f1a274829ce0f4a5605cd38efd1cd2,,
Encore,"Lloyd Banks - On Fire (Instrumental) [V1]
(prod. K1 Mil)","According to Eminem, the On Fire instrumental was originally produced by Kwame (a.k.a. K1 Mil) and only had a bass line, the kick, the snare and the synth lick.",Info,Instrumental,Not Available,,,
Encore,"Lloyd Banks - On Fire (Instrumental)
(prod. K1 Mil, Eminem & Luis Resto)","Official instrumental for ""On Fire""",Promo CD,Instrumental,Full HQ,https://pillows.su/f/85b6ecc65e484b53ac5c4cf4b739fc32,,
Encore,"Lloyd Banks - Warrior Part 2 (Instrumental)
(prod. Eminem)","Official instrumental for ""Warrior Pt. 2""",Single Vinyl,Instrumental,Full HQ,https://pillows.su/f/1a316ed19eccc50abbf188f430dde87b,,
Encore,"Nas - The Cross (Instrumental)
(prod. Eminem)","Official instrumental for ""The Cross""",Instrumental Album,Instrumental,Full Lossless,https://pillows.su/f/61710c3c132a0237c63ac2d70e61be6a,,
Encore,"Obie Trice - Don't Come Down (Instrumental)
(prod. Emile Haynie & Eminem)","Official instrumental for ""Don't Come Down""",Single Vinyl,Instrumental,Full HQ,https://pillows.su/f/e3455cff3f91bbc6cc9cb74af5be4b54,,
Encore,"Obie Trice - Got Some Teeth (Instrumental)
(prod. Eminem)","Official instrumental for ""Got Some Teeth""",CD Single,Instrumental,Full Lossless,https://pillows.su/f/91f93767220a6cac2bb567f1411bd8f5,,
Encore,"Obie Trice - Shit Hits The Fan (Instrumental)
(prod. Dr. Dre)","Official instrumental for ""Shit Hits The Fan""",CD Single,Instrumental,Full Lossless,https://pillows.su/f/7dd143cb89f9263163e04238bd3b2cd5,,
,Acapellas,"
",,,,,,
Encore,Like Toy Soldiers (Acapella),"OG Filename: Toy Soldiers ACCA
Leaked in an acapella package on April 16th, 2025. Includes the sample.",Leak,Acapella,Full Lossless,https://pillows.su/f/84f5377210b7d2d839aa814a2ec31aa7,,
Encore,Just Lose It (Acapella),"OG Filename: Just Lose It ACCA
Leaked in an acapella package on April 16th, 2025.",Leak,Acapella,Full Lossless,https://pillows.su/f/7b3719b597de86b2ab19cd8dc39ccaf0,,
Encore,Ass Like That (Acapella),"Official acapella for ""Ass Like That"".",Single Vinyl,Acapella,Full Lossless,https://pillows.su/f/83cad048d9edb6370394a427554befa9,,
Encore,"Encore (Acapella)
(feat. Dr. Dre & 50 Cent)","Official acapella for ""Encore""",Single Vinyl,Acapella,Full Lossless,https://pillows.su/f/89ce825b739ecd0065861ffc856e1c0e,,
Encore,Mockingbird (Acapella),"Official acapella for ""Mockingbird"".",Single Vinyl,Acapella,Full HQ,https://pillows.su/f/4e12600782612f7dbe8102e6a55e62b0,,
Encore,"50 Cent - Patiently Waiting [V2] (Acapella)
(feat. Eminem)",Has an extended intro with 50 Cent laughing.,Promo CD,Acapella,Full CDQ,https://pillows.su/f/858c5bf02444784d40eeb03e5a54533b,,
Encore,50 Cent - Many Men (Wish Death) (Acapella),Source unknown.,Unknown,Acapella,Full HQ,https://pillows.su/f/8d7c0ce4fe3e02d6b203f6115c3bb3c0,,
Encore,50 Cent - High All The Time (Acapella),Source unknown.,Unknown,Acapella,Full HQ,https://pillows.su/f/58a5480850aeb19a87791614a515bbf8,,
Encore,JAY-Z - Moment Of Clarity (Acapella),"Official acapella for ""Moment Of Clarity""",Acapella Album,Acapella,Full Lossless,https://open.spotify.com/track/6rYTwNecHoXZX9skXmsHZu?si=88192c54a3e442c4,,
Encore,Nas - The Cross (Acapella),Source unknown.,Unknown,Acapella,Full HQ,https://pillows.su/f/57a0fce8f9445799b9d0f2686af28914,,
Encore,Obie Trice - Got Some Teeth (Acapella),"Official acapella for ""Got Some Teeth""",CD Single,Acapella,Full Lossless,https://pillows.su/f/bb3840f10ae2198e8ad73d9cb8b28c27,,
Encore,"Obie Trice - Shit Hits The Fan (Acapella)
(feat. Dr. Dre & Eminem)","Official acapella for ""Shit Hits The Fan""",CD Single,Acapella,Full Lossless,https://pillows.su/f/20b2ea50d82a85d3158b0b89ed93498e,,
Encore,"Lloyd Banks - Warrior Part 2 (Acapella)
(feat. Eminem, 50 Cent & Nate Dogg)","Official acapella for ""Warrior Part 2"".",Single Vinyl,Acapella,Full HQ,https://pillows.su/f/5792f43f348a452a35d8452f6fa9f4e8,,
"13 Total
8 Instrumental
5 Acapella","Curtain Call
(The Funeral, Hiatus)","(11/12/2004) (Encore releases)
(12/6/2005) (Curtain Call releases)",,,"After Encore's release, Eminem would start work on some new music. He would also embark on the Anger Management 3 Tour alongside Lil Jon & 50 Cent. However, the European leg of the tour would be cancelled because Eminem checked into rehab for sleep medication. He would leave rehab in October 2005 and write Beautiful, as well as wrap up Curtain Call and release it in December.",,,
,Instrumentals,,,,,,,
Curtain Call,"Shake That (Instrumental)
(prod. Eminem & Luis Resto)","Official instrumental for ""Shake That""",CD Single,Instrumental,Full Lossless,https://pillows.su/f/cf0fd6ffe6b4f84a9d0cacfa6db5f114,,
Curtain Call,"When I'm Gone (Instrumental)
(prod. Eminem & Luis Resto)","Official instrumental for ""When I'm Gone""",CD Single,Instrumental,Full Lossless,https://pillows.su/f/11309370975370583cab78b2d2fea78c,,
Curtain Call,"2Pac - Ghetto Gospel (Instrumental)
(prod. Eminem & Luis Resto)",Source unknown.,Unknown,Instrumental,Full Lossless,https://pillows.su/f/c407278678d88285d9f8ac8a09db839b,,
Curtain Call,"2Pac - Thugs Get Lonely Too (Instrumental)
(prod. Eminem & Luis Resto)",Source unknown.,Unknown,Instrumental,Full Lossless,https://pillows.su/f/6ce4964ad956c13b8c6557d5f332e9e1,,
Curtain Call,"50 Cent - Ski Mask Way (Instrumental)
(prod. Disco D & Eminem)",Source unknown.,Unknown,Instrumental,Full Lossless,https://pillows.su/f/964d700bc9f8e28dfdf8957994e37400,,
Curtain Call,"Bizarre - Rockstar (Instrumental)
(prod. Eminem & Luis Resto)","Official instrumental for ""Rockstar""",CD Single,Instrumental,Full Lossless,https://pillows.su/f/da813eb9a66cc9707d382acdefb4e2ef,,
Curtain Call,"Tony Yayo - Drama Setter (Instrumental)
(prod. Eminem, Jeff Bass & Luis Resto)","Official instrumental for ""Drama Setter""",Promo CD,Instrumental,Full Lossless,https://pillows.su/f/7fc8e3afb2d73b3e9abc87d7ce3721a5,,
Curtain Call,"Trick Trick - Welcome 2 Detroit (Instrumental)
(prod. Eminem & Luis Resto)","Official instrumental for ""Welcome 2 Detroit""",CD Single,Instrumental,Full Lossless,https://pillows.su/f/0d312f506228d4a047999f7e63ebe3d9,,
,Acapellas,"
",,,,,,
Curtain Call,"Shake That (Acapella)
(feat. Nate Dogg)",Unknown source.,Unknown,Acapella,Full CDQ,https://pillows.su/f/bd7f559433a921be9d67b3692dbb65fb,,
Curtain Call,When I'm Gone (Acapella),"Official acapella for ""When I'm Gone""",Single Vinyl,Acapella,Full HQ,https://pillows.su/f/bfe6e2717375388f61ccde1a7c0ff822,,
Curtain Call,"50 Cent - GATman and Robbin (Acapella)
(feat. Eminem)",Unknown source.,Unknown,Acapella,Full HQ,https://pillows.su/f/d2eeb11ac9245918121acc504694a713,,
Curtain Call,Bizarre - Rockstar (Acapella),"Official acapella for ""Rockstar""",CD Single,Acapella,Full Lossless,https://pillows.su/f/901798acf1e713cfbc43eefba168ba59,,
Curtain Call,"Tony Yayo - Drama Setter (Acapella)
(feat. Eminem & Obie Trice)","Official acapella for ""Drama Setter""",Promo CD,Acapella,Full HQ,https://pillows.su/f/ba00263cdb0cf2b5b992eb181f683042,,
"13 Total
6 Instrumental
6 Acapella
1 Studio Multitrack",Album 6,"(12/06/2005) (Curtain Call releases)
(12/12/2005) (The first song from the album 6 folder is made)
(07/21/2006) (The last song from the album 6 folder is made)
(11/??/2006) (Album 6 is scrapped)",,,"Sometime after Curtain Call released, Eminem would start work on his next album. He would even sign Bobby Creekwater & Ca$his during this time period. Not a whole lot is known about this era beyond a folder for the album exists plus some songs made during the time period. Some of these tracks were evolved for King Mathers & only 3 were ever officialy released on Relapse: Refill but they were reworked.",,,
,Instrumentals,,,,,,,
Album 6,Careful What You Wish For [V2] (Instrumental),"OG Filename: 5.26.06 Careful Orig Instr_01
Instrumental without news segments and unfinished production.",Leak,Instrumental,Full Lossless,https://pillows.su/f/e23dc51f661eb2dc863363bed959fc45,,
Album 6,Careful What You Wish For [V3] (Instrumental),"OG Filename: 5.26.06 Careful Full Instr_02 / 5.26.2006 Careful Song Instr_01
Full instrumental, seen in the stems folder. Weirdly cuts off at the end, likely the reason Joe Strange combined it with the news-only file for the Dope Edit YouTube channel. Has a version with and without the news segments parts.",Leak,Instrumental,Full Lossless,"With News
W/o News",,
Album 6,"50 Cent - Peep Show (Instrumental) [V1]
(prod. Eminem)",Has a longer outro.,Promo CD,Instrumental,Full HQ,https://pillows.su/f/5c0754226640ced6ba92e6fc1919de10,,
Album 6,"Akon - Smack That (Instrumental)
(prod. Eminem)","Official Instrumental for ""Smack That""",Promo CD,Instrumental,Full Lossless,https://pillows.su/f/a7b21b5311ea4cb65fc1ced6f6f04553,,
Album 6,"Lloyd Banks - Hands Up (Instrumental)
(prod. Eminem & Luis Resto)","Official Instrumental for ""Hands Up""",CD Single,Instrumental,Full Lossless,https://pillows.su/f/56a05475d5d3258d96550fd9f9ef7622,,
Album 6,"Obie Trice - Jamaican Girl (Instrumental)
(prod. Eminem)",Source unknown.,CD Single,Instrumental,Full HQ,https://pillows.su/f/c3e87c9bbdfe2782fdfd28f939e085c8,,
,Acapellas,,,,,,,
Album 6,Careful What You Wish For [V2] (Acapella) (Unlayered),"OG Filename: 5.26.06 Careful MN Vox_01 / 5.26.06 Careful Hook ACCA_01
Acapella without layering, seen in the stems folder and later used for the MN Main edit until that was confirmed as fake.",Leak,Acapella,Full Lossless,https://pillows.su/f/d903703a42b5d229cce2f0014d99d393,,
Album 6,Careful What You Wish For [V2] (Acapella),"OG Filename: 5.26.06 Careful Verse ACCA_01 / 5.26.06 Careful Hook ACCA_01
Seen in the stems folder and later used for the release version of the song.",Leak,Acapella,Full Lossless,"Verse
Hook",,
Album 6,Careful What You Wish For [V2] (TV Track Acapella),"OG Filename: 5.26.06 Careful TV ACCA_01
Acapella to the TV track, seen in the stems folder. Lacks the intro speaking bit and has the hook.",Leak,Acapella,Full Lossless,https://pillows.su/f/d80a3f1977627b2916fa87abc423e3d2,,
Album 6,"Lloyd Banks - Hands Up (Acapella)
(feat. 50 Cent)",Source unknown.,Unknown,Acapella,Full HQ,https://pillows.su/f/25ff494dffad18e7a3cd03c12d1521bd,,
Album 6,"Obie Trice - Jamaican Girl (Acapella)
(feat. Brick & Lace)",Source unknown.,CD Single,Acapella,Full HQ,https://pillows.su/f/e9dcc71260e71bd10f0ea56e8d1bdf3e,,
,TV Tracks,,,,,,,
