  Album,Name & Date,Tracklist,Info,Image
The Marshall Mathers LP,Amsterdamn Tracklist #1 [11/12.XX.1999],"1. Jimmy, Brian & Mike
2. Mom
3. Let Us Live
4. Violence
5. I Am
6. Kim
7. Hell Freezes
8. Kill You",Seen on a lyric sheet.,
The Marshall Mathers LP,Amsterdamn Tracklist #2 [12.XX.1999],"1. Violence
2. Kill You
3. Jimmy, Brian & Mike
4. Under The Influence
5. The Kids
6. Buried Alive
7. Amityville",Seen on a lyric sheet.,
The Marshall Mathers LP,The Marshall Mathers LP Tracklist #1 [03.XX.2000],"01. PSA (Public Service Announcement 2000)
02. Kill You
03. Stan
04. Criminal
05. Paul (Paul - Skit)
06. I Never Knew I (Who Knew)
07. Skit (Mom)
08. The Way I Am
09. Remember Me
10. The Kids
11. I'm Back
12. Drug Ballad
13. Amityville
14. Shit On You
15. Marshall Mathers",Seen on a lyric sheet.,
The Marshall Mathers LP,The Marshall Mathers LP Tracklist #2 [03.XX.2000],"?. The Way I Am
?. Kim
?. Shit On You
?. Amityville
?. Paul
?. Ken Kaniff",Seen on a lyric sheet.,
The Marshall Mathers LP,The Marshall Mathers LP (Release),"01. Public Service Announcement 2000
02. Kill You
03. Stan (feat. Dido)
04. Paul - Skit
05. Who Knew
06. Steve Berman
07. The Way I Am
08. The Real Slim Shady
09. Remember Me? (feat. RBX & Sticky Fingaz)
10. I'm Back
11. Marshall Mathers
12. Ken Kaniff - Skit
13. Drug Ballad
14. Amityville (feat. Bizarre)
15. Bitch Please II (feat. Dr. Dre, Snoop Dogg, Xzibit & Nate Dogg)
16. Kim
17. Under The Influence (feat. D12)
18. Criminal","Official tracklist for ""The Marshall
Mathers LP""",
The Marshall Mathers LP,The Marshall Mathers LP (Clean),"01. Public Service Announcement 2000
02. **** You
03. Stan (feat. Dido)
04. Paul - Skit
05. Who Knew
06. Steve Berman
07. The Way I Am
08. The Real Slim Shady
09. Remember Me? (feat. RBX & Sticky Fingaz)
10. I'm Back
11. Marshall Mathers
12. Ken Kaniff - Skit
13. Drug Ballad
14. Amityville (feat. Bizarre)
15. ***** Please II (feat. Dr. Dre, Snoop Dogg, Xzibit & Nate Dogg)
16. The Kids
17. Under The Influence (feat. D12)
18. Criminal","Official tracklist for ""The Marshall
Mathers LP (Clean)""",
The Marshall Mathers LP,The Marshall Mathers LP (Tour Version),"01. Public Service Announcement 2000
02. Kill You
03. Stan (feat. Dido)
04. Paul - Skit
05. Who Knew
06. Steve Berman
07. The Way I Am
08. The Real Slim Shady
09. Remember Me? (feat. RBX & Sticky Fingaz)
10. I'm Back
11. Marshall Mathers
12. Ken Kaniff - Skit
13. Drug Ballad
14. Amityville (feat. Bizarre)
15. Bitch Please II (feat. Dr. Dre, Snoop Dogg, Xzibit & Nate Dogg)
16. Kim
17. Under The Influence (feat. D12)
18. Criminal
19. The Real Slim Shady (Instrumental)
20. The Way I Am (Instrumental)
21. Stan (Instrumental)
22. The Kids
23. The Way I Am (Danny Lohner Remix)","Official tracklist for ""The Marshall 
Mathers LP (Tour Version)""",
Devil's Night,Devil's Night (Release),"01. Another Public Service Announcement
02. Shit Can Happen
03. Pistol Pistol
04. Bizarre (skit)
05. Nasty Mind (feat. Truth Hurts)
06. Ain't Nuttin But Music
07. American Psycho
08. That's How (skit)
09. That's How...
10. Purple Pills
11. Fight Music
12. Instigator
13. Pimp Like Me (feat. Dina Rae)
14. Blow My Buzz
15. Obie Trice (skit)
16. Devil's Night
17. Steve Berman (skit)
18. Revelation
19. Girls (Hidden Track)","Official tracklist for ""Devil's Night""",
Devil's Night,Devil's Night (Clean),"01. Another Public Service Announcement
02. **** Can Happen
03. Pistol Pistol
04. Bizarre (skit)
05. Nasty Mind (feat. Truth Hurts)
06. Ain't Nuttin But Music
07. American Psycho
08. That's How (skit)
09. That's How...
10. Purple Hills (Album Version)
11. Fight Music
12. Instigator
13. Pimp Like Me (feat. Dina Rae)
14. Blow My Buzz
15. Obie Trice (skit)
16. Devil's Night
17. Steve Berman (skit)
18. Revelation
19. Girls (Hidden Track)","Official tracklist for ""Devil's Night (Clean)""",
Devil's Night,Devil's Night (Limited Edition Bonus Disc),"01. Another Public Service Announcement
02. Shit Can Happen
03. Pistol Pistol
04. Bizarre (skit)
05. Nasty Mind (feat. Truth Hurts)
06. Ain't Nuttin But Music
07. American Psycho
08. That's How (skit)
09. That's How...
10. Purple Pills
11. Fight Music
12. Instigator
13. Pimp Like Me (feat. Dina Rae)
14. Blow My Buzz
15. Obie Trice (skit)
16. Devil's Night
17. Steve Berman (skit)
18. Revelation
19. Girls (Hidden Track)
20. Shit On You
21. Words Are Weapons
22. These Drugs","Official tracklist for ""Devil's Night (Limited Edition Bonus Disc)""",
Devil's Night,Devil's Night (Expanded Edition),"01. Another Public Service Announcement
02. Shit Can Happen
03. Pistol Pistol
04. Bizarre (skit)
05. Nasty Mind (feat. Truth Hurts)
06. Ain't Nuttin But Music
07. American Psycho
08. That's How (skit)
09. That's How...
10. Purple Pills
11. Fight Music
12. Instigator
13. Pimp Like Me (feat. Dina Rae)
14. Blow My Buzz
15. Obie Trice (skit)
16. Devil's Night
17. Steve Berman (skit)
18. Revelation
19. Girls (Hidden Track)
20. Freestyle
21. Words Are Weapons
22. These Drugs
23. Shit On You
24. Shit On You (Acapella)
25. Shit On You (Instrumental)
26. Purple Pills (Instrumental)
27. Fight Music (Instrumental)
28. Blow My Buzz (Instrumental)","Official tracklist for ""Devil's Night (Expanded Edition)""",
The Eminem Show,The Eminem Show [V1],"01. Curtains Up (Skit)
02. White America
03. Business
04. Cleanin' Out My Closet
05. Square Dance
06. The Kiss - Skit
07. Soldier
08. Stimulate
09. Drips (feat. Obie Trice)
10. Without Me
11. Paul Rosenberg - Skit
12. Sing For The Moment
13. Superman (feat. Dina Rae)
14. Hailie's Song
15. Steve Berman - Skit
16. When The Music Stops (feat. D12)
17. Say What You Say (feat. Dr. Dre)
18. Till I Collapse (feat. Nate Dogg)
19. My Dad's Gone Crazy (feat. Hailie Jade)
20. Curtains Down","Official tracklist for ""The Eminem Show [V1]""",
The Eminem Show,The Eminem Show (Release),"01. Curtains Up (Skit)
02. White America
03. Business
04. Cleanin' Out My Closet
05. Square Dance
06. The Kiss - Skit
07. Soldier
08. Say Goodbye Hollywood
09. Drips (feat. Obie Trice)
10. Without Me
11. Paul Rosenberg - Skit
12. Sing For The Moment
13. Superman (feat. Dina Rae)
14. Hailie's Song
15. Steve Berman - Skit
16. When The Music Stops (feat. D12)
17. Say What You Say (feat. Dr. Dre)
18. Till I Collapse (feat. Nate Dogg)
19. My Dad's Gone Crazy (feat. Hailie Jade)
20. Curtains Down","Official tracklist for ""The Eminem Show""",
