  Album,Name & Date,Tracklist,Info,Image
The Re-Up,The Re-Up [Release],"01. Shady Narcotics (perf. Eminem)
02. We're Back (perf. Eminem, Obie Trice, Stat-Quo, Bobby Creekwater & Ca$his)
03. Pistol Pistol (Remix) (perf. Obie Trice)
04. Murder (perf. Bizarre & Kuniva)
05. Everything Is Shady (perf. Ca$his)
06. The Re-Up (perf. Eminem & 50 Cent)
07. You Don't Know (perf. Eminem, 50 Cent, Ca$his & Lloyd Banks)
08. Jimmy Crack Corn (perf. Eminem & 50 Cent)
09. Trapped (perf. Proof)
10. Whatever You Want (perf. Swifty McVay & Denaun)
11. Takin' All That (perf. Ca$his)
12. By My Side (perf. Stat-Quo)
13. We Ride For Shady (perf. Obie Trice & Ca$his)
14. There He Is (perf. Bobby Creekwater)
15. Tryin' Ta Win (perf. Stat-Quo)
16. Smack That (Remix) (perf. Akon, Stat-Quo & Bobby Creekwater)
17. Public Enemy #1 (perf. Eminem)
18. Get Low (perf. Stat-Quo)
19. Ski Mask Way (Eminem Remix) (perf. 50 Cent)
20. Shake That (Remix) (perf. Nate Dogg, Eminem, Obie Trice & Bobby Creekwater)
21. Cry Now - Shady Remix (perf. Obie Trice, Kuniva, Bobby Creekwater, Ca$his & Stat-Quo)
22. No Apologies (perf. Eminem)","Official tracklist for ""The Re-Up"".",
The Re-Up,The Re-Up [Release],"01. Shady Narcotics (perf. Eminem)
02. We're Back (perf. Eminem, Obie Trice, Stat-Quo, Bobby Creekwater & Ca$his)
03. Pistol Pistol (Remix) (perf. Obie Trice)
04. Murder (perf. Bizarre & Kuniva)
05. Everything Is Shady (perf. Ca$his)
06. The Re-Up (perf. Eminem & 50 Cent)
07. You Don't Know (perf. Eminem, 50 Cent, Ca$his & Lloyd Banks)
08. Jimmy Crack Corn (perf. Eminem & 50 Cent)
09. Trapped (perf. Proof)
10. Whatever You Want (perf. Swifty McVay & Denaun)
11. Takin' All That (perf. Ca$his)
12. By My Side (perf. Stat-Quo)
13. We Ride For Shady (perf. Obie Trice & Ca$his)
14. There He Is (perf. Bobby Creekwater)
15. Tryin' Ta Win (perf. Stat-Quo)
16. Smack That (Remix) (perf. Akon, Stat-Quo & Bobby Creekwater)
17. Public Enemy #1 (perf. Eminem)
18. Get Low (perf. Stat-Quo)
19. Ski Mask Way (Eminem Remix) (perf. 50 Cent)
20. Shake That (Remix) (perf. Nate Dogg, Eminem, Obie Trice & Bobby Creekwater)
21. Cry Now - Shady Remix (perf. Obie Trice, Kuniva, Bobby Creekwater, Ca$his & Stat-Quo)
22. No Apologies (perf. Eminem)
23. Billion Bucks (perf. Stat-Quo)","Official tracklist for ""The Re-Up (Bonus Track Version)"".",
King Mathers,King Mathers [V1] [12.XX.2007],"[1]
1. My Darling (+ Skit) [V12]
2. ???

?. Get Your Money Straight (feat. D12)

?. Syllables (feat. Dr. Dre, JAY-Z, 50 Cent, Stat-Quo & Ca$his) [V2] [2]

 [3]
?. I Get Money (Freestyle)
?. Everything I Do [V4]
?. Cut Back On My Syllable [V2]
?. 50 Ways To Kill Your Lover
?. ???

?. ???
?. Hip-Hop
?. It's Been Real
?. G.O.A.T.

?. Careful What You Wish For [V?] [4]

?. 4eva Shady (feat. Ca$his) [5]

?. King Mathers [6]

?. The Apple [V3] [7]","
Tracks known to be for the mixtape, after the Dre sessions and before Em's OD.

[1]: Confirmed by Joe Strange
[2]: Confirmed by Stat Quo
[3]: Audible/static song transitions
[4]: Seen on KM comps by Joe Strange
[5]: Allegedly confirmed by Ca$his in a deleted IG post
[6]: Unconfirmed but highly likely
[7]: Shares same static as other KM leaks",
King Mathers,King Mathers [V2] [XX.XX.2008],"[1]
?. My Darling [V13]

?. Get Your Money Straight (feat. D12)

?. Syllables (feat. Dr. Dre, JAY-Z, 50 Cent, Stat Quo & Ca$his) [V2] (Happy Birthday) [2]

[3]
?. I Get Money (Freestyle)
?. Everything I Do [V4]
?. Cut Back On My Syllable [V2]
?. 50 Ways To Kill Your Lover
?. ???

?. The Apple [V3]

?. ???
?. Hip-Hop
?. It's Been Real
?. G.O.A.T.

?. Careful What You Wish For [V?] [4]

?. Keys To The City [V2] [5]

 [6]
?. King Mathers 

?. Ballin' [V3] (Ballin' Uncontrollably)

?. Take It (Freestyle) [V3] (Listen Up) [7]","
Tracks known to be for the mixtape, post-OD and before Relapse sessions in the summer.

[1]: Confirmed by Joe Strange
[2]: Confirmed by Stat Quo
[3]: Audible/static song transitions
[4]: Seen on KM comps by Joe Strange
[5]: Confirmed by DJ Premier
[6]: Unconfirmed but highly likely
[7]: Seemingly confirmed by Joe Strange",
Relapse,Relapse: Valium 1 [V1] [XX.XX.2008],"?. My Darling [V13]
?. 3AM [V1] (3 a.m.)
?. Stay Wide Awake
?. On My Own
?. Keys To The City [V3]", Based on info from reliable sources and transitions. From late 2008.,
Relapse,Relapse: Valium 1 [V2] [1-3.XX.2009],"1. Here We Go Again
2. 3AM [V1]
3. My Mom
4. Elevator [V2] (There Used To Be A Saying)
5. Drop the Bomb (Drop The Bomb On 'Em)
6. Bagpipes (Bagpipes From Baghdad)
7. Wide Awake (Stay Wide Awake)
8. Insane
9. Same Song (Same Song & Dance)
10. On My Own
11. Buffalo Bill
12. Beautiful
13. Deja Vu
14. Ol Times Sake
15. Medicine Ball
16. Underground

Bonus Tracks
17. Relapse (I'm Having A Relapse)
18. Taking My Ball [V1]","Early tracklist for the album sometime between January and March of 2009, leaked by an info dumper.",
Relapse,Relapse: Valium 1 [V3] [3.20.2009],"01. Be Careful (Skit)
02. My Darling
03. 3AM in the Morning (3 a.m.)
04. My Mom
05. Insane
06. Bagpipes (Bagpipes From Baghdad)
07. Same Song (Same Song & Dance)
08. Rockstar [V2] (We Made You)
09. Medicine Ball
10. Paul (skit)
11. Ganja (Must Be The Ganja)
12. Deja Vu (skit) (Mr. Mathers (skit))
13. Deja Vu
14. Beautiful [V3] (Hard Act To Follow)
15. Ol Times Sake (feat. Dr. Dre) [V3]
16. Steve Berman (skit)
17. Underground
18. Ken Kaniff (skit)","Later tracklist for the album, leaked by an info dumper. The folder contains the instrumental to V1 of Sexual Healing. This is the last tracklist made before the release tracklist.",
Relapse,Relapse (Release),"01. Dr. West - Skit
02. 3 a.m.
03. My Mom
04. Insane
05. Bagpipes From Baghdad
06. Hello
07. Tonya - Skit
08. Same Song & Dance
09. We Made You
10. Medicine Ball
11. Paul - Skit
12. Stay Wide Awake
13. Old Time's Sake (feat. Dr. Dre)
14. Must Be The Ganja
15. Mr. Mathers - Skit
16. Deja Vu
17. Beautiful
18. Crack A Bottle (feat. Dr. Dre & 50 Cent)
19. Steve Berman - Skit
20. Underground","Official tracklist for ""Relapse""",
Relapse,Relapse (Deluxe),"01. Dr. West - Skit
02. 3 a.m.
03. My Mom
04. Insane
05. Bagpipes From Baghdad
06. Hello
07. Tonya - Skit
08. Same Song & Dance
09. We Made You
10. Medicine Ball
11. Paul - Skit
12. Stay Wide Awake
13. Old Time's Sake (feat. Dr. Dre)
14. Must Be The Ganja
15. Mr. Mathers - Skit
16. Deja Vu
17. Beautiful
18. Crack A Bottle (feat. Dr. Dre & 50 Cent)
19. Steve Berman - Skit
20. Underground
21. My Darling
22. Careful What You Wish For","Official tracklist for ""Relapse (Deluxe)"". Only available on digital platforms.",
Relapse,Relapse: Refill (Streaming),"Disc 1
01. Dr. West - Skit
02. 3 a.m.
03. My Mom
04. Insane
05. Bagpipes From Baghdad
06. Hello
07. Tonya - Skit
08. Same Song & Dance
09. We Made You
10. Medicine Ball
11. Paul - Skit
12. Stay Wide Awake
13. Old Time's Sake (feat. Dr. Dre)
14. Must Be The Ganja
15. Mr. Mathers - Skit
16. Deja Vu
17. Beautiful
18. Crack A Bottle (feat. Dr. Dre & 50 Cent)
19. Steve Berman - Skit
20. Underground

Disc 2
1. Drake - Forever (feat. Kanye West, Lil Wayne & Eminem)
2. Hell Breaks Loose (feat. Dr. Dre)
3. Buffalo Bill
4. Elevator
5. Taking My Ball
6. Music Box
7. Drop The Bomb On 'Em
8. My Darling
9. Careful What You Wish For","Official tracklist for the digital version of ""Relapse: Refill""",
Relapse,Relapse: Refill (CD),"Disc 1
01. Dr. West - Skit
02. 3 a.m.
03. My Mom
04. Insane
05. Bagpipes From Baghdad
06. Hello
07. Tonya - Skit
08. Same Song & Dance
09. We Made You
10. Medicine Ball
11. Paul - Skit
12. Stay Wide Awake
13. Old Time's Sake (feat. Dr. Dre)
14. Must Be The Ganja
15. Mr. Mathers - Skit
16. Deja Vu
17. Beautiful
18. Crack A Bottle (feat. Dr. Dre & 50 Cent)
19. Steve Berman - Skit
20. Underground

Disc 2
1. Drake - Forever (feat. Kanye West, Lil Wayne & Eminem)
2. Hell Breaks Loose (feat. Dr. Dre)
3. Buffalo Bill
4. Elevator
5. Taking My Ball
6. Music Box
7. Drop The Bomb On 'Em","Official tracklist for the physical version of ""Relapse: Refill""",
Relapse 2,Relapse 2 [V2] [5-7.XX.2009],"1. Insult 2 Injury

?. Key To My Room
?. Things Get Worse (feat. B.o.B)
?. Back and Forth

?. Love Drunk
?. Elevator

?. Sociopath (feat. 50 Cent)",Based on info from reliable sources and transitions.,
Relapse 2,Relapse 2 [V3] [10.XX.2009],"1. Cold Wind Blows [1]

[2]
?. Key To My Room
?. Things Get Worse (feat. B.o.B)
?. Back and Forth

[3]
?. Love Drunk
?. Elevator

?. On Fire [4]
?. Going Through Changes [1]
?. So Bad [4]
?. Ridaz [4]
?. No Love* [1]
?. Seasons* [1]
?. Session One* [1]
?. You're Never Over* [1]
?. Sociopath (feat. 50 Cent) [6]
?. Nut Up [7]
?. Is This Love [V3] (feat. Dr. Dre) [8]","
Relapse 2 tracklist that was scrapped right before Em shifted gears into Recovery and making Refill.
[1]: Just Blaze September 2009 sessions track
[2]: Sequence confirmed by Joe Strange
[3]: Audible song transition
[4]: Hawaii sessions track
[5]: Post-Hawaii / pre-Just Blaze sessions track
[6]: Alluded to by Em in an October 2009 interview
[7]: Alluded to by Em in a different October 2009 article
[8]: Confirmed by the file date",
Recovery,Recovery (Release),"01. Cold Wind Blows
02. Talkin' 2 Myself (feat. Kobe)
03. On Fire
04. Won't Back Down (feat. P!NK)
05. W.T.P.
06. Going Through Changes
07. Not Afraid
08. Seduction
09. No Love (feat. Lil Wayne)
10. Space Bound
11. Cinderella Man
12. 25 To Life
13. So Bad
14. Almost Famous
15. Love The Way You Lie (feat. Rihanna)
16. You're Never Over
17. Untitled","Official tracklist for ""Recovery""",
Recovery,Recovery (Deluxe),"01. Cold Wind Blows
02. Talkin' 2 Myself (feat. Kobe)
03. On Fire
04. Won't Back Down (feat. P!NK)
05. W.T.P.
06. Going Through Changes
07. Not Afraid
08. Seduction
09. No Love (feat. Lil Wayne)
10. Space Bound
11. Cinderella Man
12. 25 To Life
13. So Bad
14. Almost Famous
15. Love The Way You Lie (feat. Rihanna)
16. You're Never Over
17. Untitled
18. Ridaz
19. Session One (feat. Slaughterhouse)","Official tracklist for ""Recovery (Deluxe)"".",
Recovery,Recovery (Sampler CD),"1. So Bad
2. On Fire
3. W.T.P.
4. Talkin' 2 Myself (feat. Kobe)
5. Won't Back Down (feat. P!NK)
6. Space Bound
7. Almost Famous
8. Ridaz",,
Recovery,Recovery (Re-Release),"Though we don't have an actual tracklist for the Recovery Re-Release it can be safely assumed that all the normal album tracks were on it. It's unknown if any of the Deluxe tracks were going to be included.

01. Cold Wind Blows
02. Talkin' 2 Myself (feat. Kobe)
03. On Fire
04. Won't Back Down (feat. P!NK)
05. W.T.P.
06. Going Through Changes
07. Not Afraid
08. Seduction
09. No Love (feat. Lil Wayne)
10. Space Bound
11. Cinderella Man
12. 25 To Life
13. So Bad
14. Almost Famous
15. Love The Way You Lie (feat. Rihanna)
16. You're Never Over
17. Untitled

?. I Need A Doctor (feat. Dr. Dre & Skylar Grey)",Confirmed to exist by an MTV article and the metadata for the leaked I Need A Doctor file. It is rumored that Cocaine was possibly for this expansion.,
Return Of The Dozen Vol. 2,Return Of The Dozen Vol. 2 [11.XX.2009],"1. Intro (feat. Dolo)
2. Return Of The Dozen
3. Fugh University
4. Ugly Bitch (feat. Swizz Beats)
5. Da Name (feat. King Gordy)
6. Pushin' Peeps (feat. King Gordy & Rod Rae)
7. Big Bombs
8. Skit
9. Flint Eastwood (feat. Rare, Fame & Black Milk)
10. Return Of The Dozen 2 (feat. Trick Trick)
11. Big Proof
12. Tasty Juice [V2] (feat. Three 6 Mafia & Black Milk)
13. Kun (feat. Trick Trick)
14. Prison (feat. King Gordy, Marv Won & Rare)
15. Wake Up
16. Get U Fucked Up
17. Call The Cops
18. Skit
19. 3 Of Us (feat. Quest McCody & Lloyd Banks)
20. Eminem
21. It's The Dirty (feat. Vanessa Marquez)
22. Rondell, Outro
23. Forever (feat. Drake, Kanye West & Lil Wayne)","Posted to michiganhiphop.com on November 1st, 2009.",
Hell: The Sequel,Hell: The Sequel [V1] [XX.XX.2011],"1. Welcome 2 Hell
2. Fast Lane

?. Living Proof

?. Echo

?. Above The Law

?. I'm On Everything (feat. Mike Epps)

?. Lighters (feat. Bruno Mars)

8. Take From Me
9. Loud Noises (feat. Slaughterhouse)",Based on Eminem's claims in a 2011 Complex interview.,
Hell: The Sequel,Hell: The Sequel (Release),"1. Welcome 2 Hell
2. Fast Lane
3. The Reunion
4. Above The Law
5. I'm On Everything (feat. Mike Epps)
6. A Kiss
7. Lighters (feat. Bruno Mars)
8. Take From Me
9. Loud Noises (feat. Slaughterhouse)","Official tracklist for ""Hell: The Sequel""",
Hell: The Sequel,Hell: The Sequel (Deluxe),"1. Welcome 2 Hell
2. Fast Lane
3. The Reunion
4. Above The Law
5. I'm On Everything (feat. Mike Epps)
6. A Kiss
7. Lighters (feat. Bruno Mars)
8. Take From Me
9. Loud Noises (feat. Slaughterhouse)
10. Living Proof
11. Echo","Official tracklist for ""Hell: The Sequel (Deluxe)""",
The Marshall Mathers LP 2,The Marshall Mathers LP 2 (Release),"01. Bad Guy
02. Parking Lot - Skit
03. Rhyme Or Reason
04. So Much Better
05. Survival
06. Legacy
07. Asshole (feat. Skylar Grey)
08. Berzerk
09. Rap God
10. Brainless
11. Stronger Than I Was
12. The Monster (feat. Rihanna)
13. So Far...
14. Love Game (feat. Kendrick Lamar)
15. Headlights (feat. Nate Ruess)
16. Evil Twin","Official tracklist for ""The Marshall Mathers LP 2""",
The Marshall Mathers LP 2,The Marshall Mathers LP 2 (Deluxe),"01. Bad Guy
02. Parking Lot - Skit
03. Rhyme Or Reason
04. So Much Better
05. Survival
06. Legacy
07. Asshole (feat. Skylar Grey)
08. Berzerk
09. Rap God
10. Brainless
11. Stronger Than I Was
12. The Monster (feat. Rihanna)
13. So Far...
14. Love Game (feat. Kendrick Lamar)
15. Headlights (feat. Nate Ruess)
16. Evil Twin
17. Baby
18. Desperation (feat. Jamie N Commons)
19. Groundhog Day
20. Beautiful Pain (feat. Sia)
21. Wicked Ways","Official tracklist for ""The Marshall Mathers LP 2 (Deluxe)""",
The Marshall Mathers LP 2,The Marshall Mathers LP 2 (Expanded Edition),"01. Bad Guy
02. Parking Lot - Skit
03. Rhyme Or Reason
04. So Much Better
05. Survival
06. Legacy
07. Asshole (feat. Skylar Grey)
08. Berzerk
09. Rap God
10. Brainless
11. Stronger Than I Was
12. The Monster (feat. Rihanna)
13. So Far...
14. Love Game (feat. Kendrick Lamar)
15. Headlights (feat. Nate Ruess)
16. Evil Twin
17. Baby
18. Desperation (feat. Jamie N Commons)
19. Groundhog Day
20. Beautiful Pain (feat. Sia)
21. Wicked Ways
22. Don't Front (feat. Buckshot)
23. Survival - Instrumental
24. Berzerk - Instrumental
25. The Monster - Instrumental
26. Rap God - Instrumental
27. Headlights - Instrumental","Official tracklist for ""The Marshall Mathers LP 2 (Expanded Edition)""",
Shady XV,Shady XV (Release),"Disc 1
1. Shady XV (with Eminem)
2. Psychopath Killer (with Slaughterhouse, Eminem & Yelawolf)
3. Die Alone (with Eminem & Kobe)
4. Vegas (with Bad Meets Evil)
5. Y'all Ready Know (with Slaughterhouse)
6. Guts Over Fear (with Eminem & Sia)
7. Down (with Yelawolf)
8. Bane (with D12)
9. Fine Line (with Eminem)
10. Twisted (with Eminem, Skylar Grey & Yelawolf)
11. Right for Me (with Eminem)
12. Detroit Vs. Everybody (with Eminem, Royca Da 5'9, Big Sean, Danny Brown, Dej Loaf & Trick Trick)

Disc 2
1. I Get Money (with 50 Cent)
2. Purple Pills (with D12)
3. Lose Yourself (with Eminem)
4. Cry Now [Shady Remix] (with Obie Trice, Kuniva, Bobby Creekwater, Ca$his & Stat Quo)
5. Let's Roll (with Yelawolf & Kid Rock)
6. Hammer Dance (with Slaughterhouse)
7. P.I.M.P. (with 50 Cent)
8. You Don't Know (with Eminem, 50 Cent, Lloyd Banks & Ca$his)
9. My Band (with D12)
10. Wanna Know (with Obie Trice)
11. Wanksta (with 50 Cent)
12. The Setup (with Obie Trice & Nate Dogg)
13. In Da Club (with 50 Cent)
14. Fight Music (with D12)
15. Pop The Trunk (with Yelawolf)","Official tracklist for ""SHADYXV""",
Shady XV,Shady XV (European Release),"Disc 1
1. Shady XV (with Eminem)
2. Psychopath Killer (with Slaughterhouse, Eminem & Yelawolf)
3. Die Alone (with Eminem & Kobe)
4. Vegas (with Bad Meets Evil)
5. Y'all Ready Know (with Slaughterhouse)
6. Guts Over Fear (with Eminem & Sia)
7. Down (with Yelawolf)
8. Bane (with D12)
9. Fine Line (with Eminem)
10. Twisted (with Eminem, Skylar Grey & Yelawolf)
11. Right for Me (with Eminem)
12. Detroit Vs. Everybody (with Eminem, Royca Da 5'9, Big Sean, Danny Brown, Dej Loaf & Trick Trick)
13. Till It's Gone (with Yelawolf)

Disc 2
1. I Get Money (with 50 Cent)
2. Purple Pills (with D12)
3. Lose Yourself (with Eminem)
4. Cry Now [Shady Remix] (with Obie Trice, Kuniva, Bobby Creekwater, Ca$his & Stat Quo)
5. Let's Roll (with Yelawolf & Kid Rock)
6. Hammer Dance (with Slaughterhouse)
7. P.I.M.P. (with 50 Cent)
8. You Don't Know (with Eminem, 50 Cent, Lloyd Banks & Ca$his)
9. My Band (with D12)
10. Wanna Know (with Obie Trice)
11. Wanksta (with 50 Cent)
12. The Setup (with Obie Trice & Nate Dogg)
13. In Da Club (with 50 Cent)
14. Fight Music (with D12)
15. Pop The Trunk (with Yelawolf)
16. Lose Yourself [Demo Version] (with Eminem)","Official tracklist for the european version of ""SHADYXV""",
Shady XV,Shady XV (Best Buy Exclusive),"Disc 1
1. Shady XV (with Eminem)
2. Psychopath Killer (with Slaughterhouse, Eminem & Yelawolf)
3. Die Alone (with Eminem & Kobe)
4. Vegas (with Bad Meets Evil)
5. Y'all Ready Know (with Slaughterhouse)
6. Guts Over Fear (with Eminem & Sia)
7. Down (with Yelawolf)
8. Bane (with D12)
9. Fine Line (with Eminem)
10. Twisted (with Eminem, Skylar Grey & Yelawolf)
11. Right for Me (with Eminem)
12. Detroit Vs. Everybody (with Eminem, Royca Da 5'9, Big Sean, Danny Brown, Dej Loaf & Trick Trick)

Disc 2
1. I Get Money (with 50 Cent)
2. Purple Pills (with D12)
3. Lose Yourself (with Eminem)
4. Cry Now [Shady Remix] (with Obie Trice, Kuniva, Bobby Creekwater, Ca$his & Stat Quo)
5. Let's Roll (with Yelawolf & Kid Rock)
6. Hammer Dance (with Slaughterhouse)
7. P.I.M.P. (with 50 Cent)
8. You Don't Know (with Eminem, 50 Cent, Lloyd Banks & Ca$his)
9. My Band (with D12)
10. Wanna Know (with Obie Trice)
11. Wanksta (with 50 Cent)
12. The Setup (with Obie Trice & Nate Dogg)
13. In Da Club (with 50 Cent)
14. Fight Music (with D12)
15. Pop The Trunk (with Yelawolf)
16. Don't Front (with Eminem & Buckshot)
17. Lose Yourself [Demo Version] (with Eminem)","Offical tracklist for the Best Buy version of ""SHADYXV""",
Southpaw Soundtrack,"Southpaw: Music from and Inspired by the Motion Picture (Release)
","1. Cry For Love [pt. 1] (with James Horner)
2. Kings Never Die (with Eminem & Gwen Stefani)
3. Beast [Southpaw Remix] (with Rob Bailey and The Hustle Standard, Busta Rhymes, KXNG CROOKED & Tech N9ne)
4. This Corner (with Denaun)
5. What About The Rest of Us (with Action Bronson, Joey Bada$$ & Rico Love)
6. Raw (with Bad Meets Evil)
7. R.N.S. (with Slaughterhouse)
8. Wicked Games (with The Weeknd)
9. All I Think About (with Bad Meets Evil)
10. Drama Never Ends (with 50 Cent)
11. Mode (with PRhryme & Logic)
12. Notorious Thugs (with The Notorious B.I.G. & Bone Thugs-n-Harmony)
13. Phenomenal (with Eminem)
14. Cry For Love [pt. 2] (with James Horner)","Official tracklist for ""Southpaw: Music from and Inspired by the Motion Picture""",
Revival,Revival (Release),"01. Walk On Water (feat. Beyonce)
02. Believe
03. Chloraseptic (feat. PHRESHER)
04. Untouchable
05. River (feat. Ed Sheeran)
06. Remind Me (Intro)
07. Remind Me
08. Revival (Interlude)
09. Like Home (feat. Alicia Keys)
10. Bad Husband (feat. X Ambassadors)
11. Tragic Endings (feat. Skylar Grey)
12. Framed
13. Nowhere Fast (feat. Kehlani)
14. Heat
15. Offended
16. Need Me (feat. P!NK)
17. In Your Head
18. Castle
19. Arose","Official tracklist for ""Revival""",
Kamikaze,Kamikaze [V1],"01. The Ringer
02. Greatest
03. Lucky You (feat. Joyner Lucas)
04. Paul - Skit
05. Normal
06. Em Calls Paul - Skit
07. Stepping Stone
08. Not Alike (feat. Royce Da 5'9"")
09. Fall
10. Kamikaze
11. Nice Guy (feat. Jessie Reyez)
12. Good Guy (feat. Jessie Reyez)
13. Venom - Music From The Motion Picture",From an early back cover shared by Mike Saputo.,
Kamikaze,Kamikaze (Release),"01. The Ringer
02. Greatest
03. Lucky You (feat. Joyner Lucas)
04. Paul - Skit
05. Normal
06. Em Calls Paul - Skit
07. Stepping Stone
08. Not Alike (feat. Royce Da 5'9"")
09. Kamikaze
10. Fall
11. Nice Guy (feat. Jessie Reyez)
12. Good Guy (feat. Jessie Reyez)
13. Venom - Music From The Motion Picture","Official tracklist for ""Kamikaze""",
Music To Be Murdered By,Music To Be Murdered By: Side A (Release),"01. Premonition - Intro
02. Unaccommodating (feat. Young M.A)
03. You Gon' Learn (feat. Royce Da 5'9"" & White Gold)
04. Alfred - Interlude
05. Those Kinda Nights (feat. Ed Sheeran)
06. In Too Deep
07. Godzilla (feat. Juice WRLD)
08. Darkness
09. Leaving Heaven (feat. Skylar Grey)
10. Yah Yah (feat. Royce Da 5'9"", Black Thought, Q-Tip & Denaun)
11. Stepdad - Intro
12. Stepdad
13. Marsh
14. Never Love Again
15. Little Engine
16. Lock It Up (feat. Anderson .Paak)
17. Farewell
18. No Regrets (feat. Don Toliver)
19. I Will (feat. KXNG Crooked, Royce Da 5'9"" & Joell Ortiz)
20. Alfred - Outro","Official tracklist for ""Music To Be Murdered By: Side A""",
Side B,Music To Be Murdered By: Side B (Release),"01. Premonition - Intro
02. Unaccommodating (feat. Young M.A)
03. You Gon' Learn (feat. Royce Da 5'9"" & White Gold)
04. Alfred - Interlude
05. Those Kinda Nights (feat. Ed Sheeran)
06. In Too Deep
07. Godzilla (feat. Juice WRLD)
08. Darkness
09. Leaving Heaven (feat. Skylar Grey)
10. Yah Yah (feat. Royce Da 5'9"", Black Thought, Q-Tip & Denaun)
11. Stepdad - Intro
12. Stepdad
13. Marsh
14. Never Love Again
15. Little Engine
16. Lock It Up (feat. Anderson .Paak)
17. Farewell
18. No Regrets (feat. Don Toliver)
19. I Will (feat. KXNG Crooked, Royce Da 5'9"" & Joell Ortiz)
20. Alfred - Outro

21. Alfred - Intro
22. Black Magic (feat. Skylar Grey)
23. Alfred's Theme
24. Tone Deaf
25. Book Of Rhymes (feat. DJ Premier)
26. Favourite Bitch (feat. Ty Dolla $ign)
27. Guns Blazing (feat. Dr. Dre & Sly Piper)
28. Gnat
29. Higher
30. These Demons (feat. MAJ)
31. Key - Skit
32. She Loves Me
33. Killer
34. Zeus (feat. White Gold)
35. Thus Far - Interlude
36. Discombobulated","Official tracklist for ""Music To Be Murdered By: Side B - Deluxe Edition""",
Curtain Call 2,Curtain Call 2: The Hits (Release),"01. Godzilla (feat. Juice WRLD)
02. Lucky You (feat. Joyner Lucas)
03. Bad Meets Evil - Lighters (feat. Bruno Mars)
04. Gnat
05. Cinderella Man
06. Walk On Water (feat. Beyonce)
07. Rap God
08. Love The Way You Lie (feat. Rihanna)
09. Won't Back Down (feat. P!NK)
10. Higher
11. Berzerk
12. Not Afraid
13. From The D 2 The LBC (feat. Snoop Dogg)
14. Nowhere Fast (feat. Kehlani)
15. Fall
16. Phenomenal
17. Bad Meets Evil - Fast Lane
18. You're Never Over

19. 3 a.m.
20. Space Bound
21. Beautiful
22. The Monster (feat. Rihanna)
23. Venom - Music From The Motion Picture
24. Crack A Bottle (feat. Dr. Dre & 50 Cent)
25. Is This Love ('09) (feat. 50 Cent)
26. River (feat. Ed Sheeran)
27. Survival
28. Yelawolf - Best Friend (feat. Eminem)
29. Darkness
30. Kings Never Die (feat. Gwen Stafani)
31. No Love (feat. Lil Wayne)
32. Headlights (feat. Nate Reuss)
33. The King & I - From The Original Motion Picture Soundtrack ELVIS (feat. CeeLo Green)
34. Farewell
35. Rap God - Mr. Cii Remix","Official tracklist for ""Curtain Call 2""",
Curtain Call 2,Curtain Call 2: The Hits (Vinyl Version),"01. Godzilla (feat. Juice WRLD)
02. Crack A Bottle (feat. Dr. Dre & 50 Cent)
03. Walk On Water (feat. Beyonce)
04. Gnat
05. Space Bound
06. Love The Way You Lie (feat. Rihanna)
07. Rap God
08. No Love (feat. Lil Wayne)
09. From The D 2 The LBC (feat. Snoop Dogg)
10. River (feat. Ed Sheeran)
11. Not Afraid
12. Venom
13. Bad Meets Evil - Lighters (feat. Bruno Mars)
14. Survival
15. Higher
16. The Monster (feat. Rihanna)
17. Lucky You (feat. Joyner Lucas)
18. Is This Love ('09) (feat. 50 Cent)
19. Berzerk
20. Beautiful","Official tracklist for the vinyl version of ""Curtain Call 2""",
The Death of Slim Shady (Coup de Grâce),The Death Of Slim Shady (Coup de Grâce) (Release),"01. Renaissance
02. Habits (feat. White Gold)
03. Trouble
04. Brand New Dance
05. Evil
06. All You Got - Skit
07. Lucifer (feat. Sly Piper)
08. Antichrist (feat. Bizarre)
09. Fuel (feat. JID)
10. Road Rage (feat. Dem Jointz & Sly Piper)
11. Houdini
12. Breaking News - Skit
13. Guilty Conscience 2
14. Head Honcho (feat. Ez Mil)
15. Temporary (feat. Skylar Grey)
16. Bad One (feat. White Gold)
17. Tobey (feat. Big Sean & BabyTron)
18. Guess Who's Back - Skit
19. Somebody Save Me (feat. Jelly Roll)","Official tracklist for ""The Death Of Slim Shady (Coup de Grâce)""",
The Death of Slim Shady (Coup de Grâce),The Death Of Slim Shady (Coup de Grâce) [Expanded Mourner’s Edition],"01. Renaissance
02. Habits (feat. White Gold)
03. Trouble
04. Brand New Dance
05. Evil
06. All You Got - Skit
07. Lucifer (feat. Sly Piper)
08. Antichrist (feat. Bizarre)
09. Fuel (feat. JID)
10. Road Rage (feat. Dem Jointz & Sly Piper)
11. Houdini
12. Breaking News - Skit
13. Guilty Conscience 2
14. Head Honcho (feat. Ez Mil)
15. Temporary (feat. Skylar Grey)
16. Bad One (feat. White Gold)
17. Tobey (feat. Big Sean & BabyTron)
18. Guess Who's Back - Skit
19. Somebody Save Me (feat. Jelly Roll)

20. Steve Berman (skit) [2024]
21. Fuel (Shady Edition) [feat. Westside Boogie & Grip]
22. Like My Shit (feat. FIFTEENAFTER)
23. Kyrie & Luka (feat. 2 Chainz)
","Official tracklist for ""The Death Of Slim Shady (Coup de Grâce) [Expanded Mourner’s Edition]""",
