Era,Name,Notes,Designer,Date,Art,Art Type,Use,Link(s)
IWABOS,Jugg Walk [Cover 3],,,,,Front Cover,Yes,/xgold/art/jugg-walk-cover-3.jpg
IWABOS,ItWasntEnough,,,,,Front Cover,Yes,/xgold/art/itwasntenough.jpg
IWABOS,ItWillAllBeOverSoon,"Same cover as ""FAILURE IS NOT AN OPTION"". was seen used in a pic that X took that showed this as the tape cover and a few tracks.",Dylan Noir,,,Front Cover,Yes,/xgold/art/itwillallbeoversoon.jpg
IWABOS,ItWillAllBeOverSoon [Cover 2],NOTE: Image is a remake,,,,Front Cover,Yes,/xgold/art/itwillallbeoversoon-cover-2.jpg
IWABOS,ItWillAllBeOverSoon [Cover 3],,Garrette,,,Front Cover,No,/xgold/art/itwillallbeoversoon-cover-3.png
IWABOS,ItWillAllBeOverSoon [Cover 4],,Garrette,,,Front Cover,No,/xgold/art/itwillallbeoversoon-cover-4.png
IWABOS,ItWillAllBeOverSoon [Cover 5],Another cover art that was planned to be used but X didn't like it. Leaked by vlone (vlonerares on Insta).,Jedifilms,,,Front Cover,No,/xgold/art/itwillallbeoversoon-cover-5.jpg
IWABOS,THROAT the violent valentine lullaby,,,,,Front Cover,Yes,/xgold/art/throat-the-violent-valentine-lullaby.jpg
IWABOS,THROAT the violent valentine lullaby [Cover 2],,,,,Front Cover,Yes,/xgold/art/throat-the-violent-valentine-lullaby-cover-2.jpg
IWABOS,"IN THIS BITCH LIT, FREE KEKE & FREE 2 WOOP FREESTYLE",,Dylan Noir,,,Front Cover,Yes,/xgold/art/in-this-bitch-lit-free-keke-free-2-woop-freestyle.jpg
IWABOS,i don't wanna do this anymore ,,,,,Front Cover,Yes,/xgold/art/i-don-t-wanna-do-this-anymore.jpg
IWABOS,i don't wanna do this anymore [Cover 2],An image of X where he seems to be lying down on his side.,XXXTENTACION,,,Front Cover,Yes,/xgold/art/i-don-t-wanna-do-this-anymore-cover-2.jpg
IWABOS,I spoke to the devil in Miami remix,,,,,Front Cover,Yes,/xgold/art/i-spoke-to-the-devil-in-miami-remix.jpg
IWABOS,KING,"X's heartbreak logo, X also had this tatted on him.",XXXTENTACION,,,Front Cover,Yes,/xgold/art/king.jpg
IWABOS,KING [Cover 2],,XXXTENTACION,,,Front Cover,Yes,/xgold/art/king-cover-2.jpg
IWABOS,KING [Cover 3],"Cover art used for the Tumblr upload of KING, Cropped version oif the full ItWillAllBeOverSoon image.",,,,Front Cover,Yes,/xgold/art/king-cover-3.png
IWABOS,"Willy Wonka Was a Child Murderer",,XXXTENTACION,,,Front Cover,Yes,/xgold/art/willy-wonka-was-a-child-murderer.jpg
IWABOS,"RIP ROACH ""EAST SIDE SOULJA""",,,,,Front Cover,Yes,/xgold/art/rip-roach-east-side-soulja.jpg
IWABOS,TAKE A STEP BACK,,,,,Front Cover,Yes,/xgold/art/take-a-step-back.jpg
IWABOS,TAKE A STEP BACK [Cover 2],,,,,Front Cover,Yes,/xgold/art/take-a-step-back-cover-2.jpg
IWABOS,Innadat,"Image of Robb Bank$, from the C2: Death Of My Teenage Cover photoshoot",Robb Bank$,,,Front Cover,Yes,/xgold/art/innadat.jpg
IWABOS,Innadat [Cover 2],,,,,Front Cover,Yes,/xgold/art/innadat-cover-2.jpg
Bad Vibes Forever,"a helping hand, not a song","Photo of X as a child, would later be edited and used for tightrope.",XXXTENTACION,,,Front Cover,Yes,/xgold/art/a-helping-hand-not-a-song.jpg
Bad Vibes Forever,SUICIDE PIT (Freestyle),"Still taken from the Nickelodeon TV Show ""The Wild Thornberries"". ",Rybundy,,,Front Cover,Yes,/xgold/art/suicide-pit-freestyle.jpg
Bad Vibes Forever,SUICIDE PIT (Freestyle) [Cover 2],"tumblr_mipyueYs2I1qeqr5fo1_1280.png
Alternative cover art for SUICIDE PIT (Freestyle) leaked by Vlone.",,,,Alternative,No,/xgold/art/suicide-pit-freestyle-cover-2.png
Bad Vibes Forever,tightrope,X as a baby with his at the time tattoos added.,XXXTENTACION,,,Front Cover,Yes,/xgold/art/tightrope.jpg
Bad Vibes Forever,"YuNg BrAtZ",Image of a customised Bratz doll uploaded to deviant art.,jvcustoms,,,Front Cover,Yes,/xgold/art/yung-bratz.jpg
Bad Vibes Forever,YuNg BrAtZ [Cover 2],Still taken from the NotLinden and X altercation. One of X's most iconic Soundcloud cover arts.,XXXTENTACION,,,Front Cover,Yes,/xgold/art/yung-bratz-cover-2.jpg
Bad Vibes Forever,YuNg BrAtZ [Cover 3],Soundcloud removed the 2nd cover replacing with a simple gradient.,Soundcloud,,,Front Cover,Yes,/xgold/art/yung-bratz-cover-3.png
Bad Vibes Forever,Bodies,Image of static with a coffin with flowers and a face placed on it in the top left.,,,,Front Cover,Yes,/xgold/art/bodies.jpg
Bad Vibes Forever,today I will repost anyones song on my page for 24 hours!,Image of the Addams family that was also used as his profile picture for sometime. X was a fan of the Addams family as he named a track after Wednesday Addams.,,,,Front Cover,Yes,/xgold/art/today-i-will-repost-anyones-song-on-my-page-for-24-hours.jpg
Bad Vibes Forever,i wonder if bloods watch blues clues,,,,,Front Cover,Yes,/xgold/art/i-wonder-if-bloods-watch-blues-clues.jpg
Bad Vibes Forever,i wonder if bloods watch blues clues [Cover 3],"
PtYCAKE.png
Alt cover art planned for ""i wonder if bloods watch blues clues"" (Patty Cake). Created by Dylan Noir, Leaked by Vlone.",Dylan Noir,,,Alternative,No,/xgold/art/i-wonder-if-bloods-watch-blues-clues-cover-3.jpg
Bad Vibes Forever,Chapter 1 [Tumblr Upload],"Image of X when ikabod tatted ""BAD"" on his eyelid. The image was also used as his YouTube profile picture.",XXXTENTACION,,,Front Cover,Yes,/xgold/art/chapter-1-tumblr-upload.jpg
Bad Vibes Forever,HAPPY HALLOWEEN (FUCK THE POPULATION),Just an orange square that anyone could've made. The hex code is #FE6600.,Anyone,,,Front Cover,Yes,/xgold/art/happy-halloween-fuck-the-population.jpg
Bad Vibes Forever,HAPPY HALLOWEEN (FUCK THE POPULATION) [Cover 2],Used for STAIN's upload of the song. Hex code is #FF5B25.,Anyone,,,Front Cover,Yes,/xgold/art/happy-halloween-fuck-the-population-cover-2.jpg
Bad Vibes Forever,WAAAXXX,"Cover art used for ""WAAAXXX"".",Yaprak Asimov,,,Front Cover,Yes,/xgold/art/waaaxxx.jpg
Bad Vibes Forever,WAAAXXX [Cover 2],"Alternative cover art used for ""WAAAXXX"".",Yaprak Asimov,,,Front Cover,Yes,/xgold/art/waaaxxx-cover-2.jpg
Bad Vibes Forever,WAAAXXX [Cover 3],"Alternative cover art used for ""WAAAXXX"".",Yaprak Asimov,,,Front Cover,Yes,/xgold/art/waaaxxx-cover-3.jpg
Bad Vibes Forever,WAAAXXX [Cover 4],"Another alternative cover art used for ""WAAAXXX"" from Yaprak's ""PURE DATA"" EP.",Yaprak Asimov,,,Front Cover,Yes,/xgold/art/waaaxxx-cover-4.jpg
Bad Vibes Forever,KILL ME (Pain From The Jail Phone),Same as Happy Halloween.,Anyone,,,Front Cover,Yes,/xgold/art/kill-me-pain-from-the-jail-phone.jpg
Bad Vibes Forever,Bad Vibes Forever,Official cover art planned for the scrapped tape.,,,,Front Cover,No,/xgold/art/bad-vibes-forever.jpg
Bad Vibes Forever,Bad Vibes Forever [Cover 2],"Alternative and more known cover art for ""Bad Vibes Forever"".",,,,Front Cover,No,/xgold/art/bad-vibes-forever-cover-2.png
Bad Vibes Forever,Bad Vibes Forever [Tracklist],Tracklisting for the scrapped tape.,XXXTENTACION,,,Other,No,/xgold/art/bad-vibes-forever-tracklist.png
Bad Vibes Forever,BUY GARETTES CLOTHING OR I'LL FUCKING KILL YOU (Snippet),X's infamous mugshot with a black transparent parental advisory sign.,XXXTENTACION,,,Front Cover,Yes,/xgold/art/buy-garettes-clothing-or-i-ll-fucking-kill-you-snippet.jpg
Bad Vibes Forever,King Of The Dead [Fifty Grand Upload],Used for the Fifty Grand upload of the track. Image is a Face Swap edit of Hercules and Hades.,Buzz Feed,,,Front Cover,Yes,/xgold/art/king-of-the-dead-fifty-grand-upload.jpg
Bad Vibes Forever,PHONE CALL,"Static, unsure where from but finding this kinda stuff is like damn near impossible.",Unknown,,,Front Cover,Yes,/xgold/art/phone-call.jpg
Bad Vibes Forever,NOBODYS MIX (12/24/14),,,,,Front Cover,Yes,/xgold/art/nobodys-mix-12-24-14.jpg
Bad Vibes Forever,"Elephant In The Room (acoustic)",Photo of X's elephant neck tattoo.,XXXTENTACION,,,Front Cover,Yes,/xgold/art/elephant-in-the-room-acoustic.jpg
Bad Vibes Forever,Look At Me! (Re-release),,,,,Front Cover,Yes,/xgold/art/look-at-me-re-release.jpg
Members Only Vol. 3,Members Only Vol. 3,,Dylan Noir,,,Front Cover,Yes,/xgold/art/members-only-vol-3.jpg
Members Only Vol. 3,WHAT IN XXXTARNATION,,,,,Front Cover,Yes,/xgold/art/what-in-xxxtarnation.jpg
Members Only Vol. 3,Gospel,,,,,Front Cover,Yes,/xgold/art/gospel.jpg
Members Only Vol. 3,looking for a star,,,,,Front Cover,Yes,/xgold/art/looking-for-a-star.jpg
Members Only Vol. 3,i spoke to the devil in miami (YXXXNZ flip),Cover art for i spoke to the devil in miami (YXXXNZ flip). Image of YXXXNZ with an altered hue.,YXXXNZ,,,Front Cover,Yes,/xgold/art/i-spoke-to-the-devil-in-miami-yxxxnz-flip.jpg
Members Only Vol. 3,Revenge,,,,,Front Cover,Yes,/xgold/art/revenge.jpg
Members Only Vol. 3,"CRUCIFY THY INFANT, SON OF WHORE",,,,,Front Cover,Yes,/xgold/art/crucify-thy-infant-son-of-whore.jpg
Members Only Vol. 3,garette's REVENGE,,,,,Front Cover,Yes,/xgold/art/garette-s-revenge.jpg
Members Only Vol. 3,Str8 Shot,,,,,Front Cover,Yes,/xgold/art/str8-shot.jpg
Members Only Vol. 3,Off The Wall!,,,,,Front Cover,Yes,/xgold/art/off-the-wall.jpg
17,H2O (Album Version),,,,,Front Cover,Yes,/xgold/art/h2o-album-version.jpg
17,H2O (Album Version) [Cover 2],,,,,Front Cover,Yes,/xgold/art/h2o-album-version-cover-2.jpg
17,"Uh, Oh, Thots! (Remix)",,,,,Front Cover,Yes,/xgold/art/uh-oh-thots-remix.jpg
17,"Uh, Oh, Thots! (Remix) [Cover 2]","Same situation as YuNg BrAtZ, The songs cover art was removed and replaced by a gradient",Soundcloud,,,Front Cover,Yes,/xgold/art/uh-oh-thots-remix-cover-2.jpg
17,I WONDER IF BLOODS WATCH BLUE'S CLUES (PATTY CAKE),,,,,Front Cover,Yes,/xgold/art/i-wonder-if-bloods-watch-blue-s-clues-patty-cake.jpg
17,Ok Shorty!,Screenshot of X on facetime with PnB Rock,XXXTENTACION,,,Front Cover,Yes,/xgold/art/ok-shorty.jpg
17,In The End,,,,,Front Cover,Yes,/xgold/art/in-the-end.jpg
17,Roll In Peace,,,,,Front Cover,Yes,/xgold/art/roll-in-peace.jpg
17,Roll In Peace [Cover 2],,,,,Front Cover,Yes,/xgold/art/roll-in-peace-cover-2.jpg
17,fuck love [Alt],"Alternative cover art planned for 17's lead single ""fuck love"".",Empire,,,Front Cover,No,/xgold/art/fuck-love-alt.jpg
17,17,,,,,Front Cover,Yes,https://i1.sndcdn.com/artworks-000239703817-bj42u2-t500x500.jpg
17,17 [CD Cover],,,,,Front Cover,Yes,/xgold/art/17-cd-cover.jpg
17,17 [CD Back Cover],,,,,Back Cover,Yes,/xgold/art/17-cd-back-cover.jpg
UGLY,UGLY,,,,,Front Cover,No,/xgold/art/ugly.jpg
UGLY,UGLY [Full],"Full painting of the cover the scrapped EP ""UGLY"" was gonna have.",,,,Front Cover,No,/xgold/art/ugly-full.jpg
A GHETTO CHRISTMAS CAROL,Show Time,,,,,Front Cover,Yes,/xgold/art/show-time.jpg
A GHETTO CHRISTMAS CAROL,Show Time [Cover 2],"Alternative cover used for ""Show Time"" as Juicy J re-released the track on his album Money Bank in 2020.",,,,Front Cover,Yes,/xgold/art/show-time-cover-2.jpg
A GHETTO CHRISTMAS CAROL,Again,,,,,Front Cover,Yes,/xgold/art/again.jpg
A GHETTO CHRISTMAS CAROL,I'm Yours (Remix),,,,,Front Cover,Yes,/xgold/art/i-m-yours-remix.jpg
A GHETTO CHRISTMAS CAROL,MY GIRL,,,,,Front Cover,Yes,/xgold/art/my-girl.jpg
A GHETTO CHRISTMAS CAROL,Red Light!,Another red square that X used.,Anyone,,,Front Cover,Yes,/xgold/art/red-light.jpg
A GHETTO CHRISTMAS CAROL,May I Flex,Artwork for ,Major Entertainment,,,Front Cover,Yes,/xgold/art/may-i-flex.jpg
A GHETTO CHRISTMAS CAROL,A GHETTO CHRISTMAS CAROL,,XXXTENTACION,,,Front Cover,Yes,/xgold/art/a-ghetto-christmas-carol.jpg
A GHETTO CHRISTMAS CAROL,A GHETTO CHRISTMAS CAROL [Cover 2],,XXXTENTACION,,,Front Cover,Yes,/xgold/art/a-ghetto-christmas-carol-cover-2.jpg
?,Again (Alan Waker Remix),,,,,Front Cover,Yes,/xgold/art/again-alan-waker-remix.jpg
?,"#PROUDCATOWNER #IHATERAPPERS #IEATPUSSY
",Photo of X and his cat with a Snorlax plush.,XXXTENTACION,,,Front Cover,Yes,/xgold/art/proudcatowner-ihaterappers-ieatpussy.jpg
?,"THE BOY WITH THE BLACK EYES ",,,,,Front Cover,Yes,/xgold/art/the-boy-with-the-black-eyes.jpg
?,THE BOY WITH THE BLACK EYES [Cover 2],,,,,Front Cover,Yes,/xgold/art/the-boy-with-the-black-eyes-cover-2.jpg
?,THE BOY WITH THE BLACK EYES [Cover 3],,,,,Front Cover,Yes,/xgold/art/the-boy-with-the-black-eyes-cover-3.jpg
?,"Shining Like the Northstar",,,,,Front Cover,Yes,/xgold/art/shining-like-the-northstar.jpg
?,$aUcE!,,,,,Front Cover,Yes,/xgold/art/auce.jpg
?,Banded Up,,,,,Front Cover,Yes,/xgold/art/banded-up.jpg
?,Banded Up [Cover 2],,,,,Front Cover,Yes,/xgold/art/banded-up-cover-2.jpg
?,HOPE,,,,,Front Cover,Yes,/xgold/art/hope.jpg
?,?,,Dylan Noir,,,Front Cover,Yes,/xgold/art/.jpg
?,? [Back Cover],Back cover featuring the tracklist. ,Dylan Noir,,,Back Cover,Yes,/xgold/art/back-cover.png
?,? [Pre-Order Promo Gif],Promo gif used for when ? was out for Pre Order.,Dylan Noir,,,Other,Yes,/xgold/art/pre-order-promo-gif.gif
?,? [Out Now Promo Gif],Promo gif used for when ? was released.,Dylan Noir,,,Other,Yes,/xgold/art/out-now-promo-gif.gif
?,King's Dead (Freestyle),,,,,Front Cover,Yes,/xgold/art/king-s-dead-freestyle.jpg
SKINS,hearteater,,,,,Front Cover,Yes,/xgold/art/hearteater.jpg
SKINS,Trust Me,,,,,Front Cover,Yes,/xgold/art/trust-me.jpg
SKINS,Trust Me [Cover 2],,,,,Front Cover,Yes,/xgold/art/trust-me-cover-2.jpg
SKINS,GHOST BUSTERS,,,,,Front Cover,Yes,/xgold/art/ghost-busters.jpg
SKINS,I WONDER IF BLOODS WATCH BLUES CLUES & PATTY CAKE (Re-release),,,,,Front Cover,Yes,/xgold/art/i-wonder-if-bloods-watch-blues-clues-patty-cake-re-release.jpg
SKINS,Voss,,,,,Front Cover,Yes,/xgold/art/voss.jpg
SKINS,Voss [Cover 2],,,,,Front Cover,Yes,/xgold/art/voss-cover-2.jpg
SKINS,I Want You,,,,,Front Cover,Yes,/xgold/art/i-want-you.jpg
SKINS,Falling Down,,,,,Front Cover,Yes,/xgold/art/falling-down.jpg
SKINS,Falling Down [Cover 2],,,,,Front Cover,Yes,/xgold/art/falling-down-cover-2.jpg
SKINS,Don't Cry,,,,,Front Cover,Yes,/xgold/art/don-t-cry.jpg
SKINS,Don't Cry [Cover 2],,,,,Front Cover,Yes,/xgold/art/don-t-cry-cover-2.jpg
SKINS,Arms Around You,,,,,Front Cover,Yes,/xgold/art/arms-around-you.jpg
SKINS,Arms Around You (ORIGINAL),,,,,Front Cover,Yes,/xgold/art/arms-around-you-original.jpg
SKINS,BAD!,,,,,Front Cover,Yes,/xgold/art/bad.jpg
SKINS,SKINS ,,TNMVS,,,Front Cover,Yes,/xgold/art/skins.jpg
SKINS,SKINS [Back Cover],,,,,Back Cover,Yes,/xgold/art/skins-back-cover.jpg
SKINS,SKINS [Cover 2],,,,,Front Cover,No,/xgold/art/skins-cover-2.png
SKINS,SKINS [Cover 3],,,,,Front Cover,No,/xgold/art/skins-cover-3.jpg
SKINS,SKINS [Cover 4],,,,,Front Cover,No,/xgold/art/skins-cover-4.jpg
SKINS,Scared Of The Dark,,,,,Front Cover,Yes,/xgold/art/scared-of-the-dark.jpg
Members Only Vol. 4,Uptown / Bustdown,,,,,Front Cover,Yes,/xgold/art/uptown-bustdown.jpg
Members Only Vol. 4,Members Only Vol. 4,,Fred Lozano Jr. & Max Cohen,,,Front Cover,Yes,/xgold/art/members-only-vol-4.jpg
? (Deluxe),Backstroke [Streaming Cover],,,,,Front Cover,Yes,/xgold/art/backstroke-streaming-cover.jpg
? (Deluxe),MIDDLE CHILD,,,,,Front Cover,Yes,/xgold/art/middle-child.jpg
? (Deluxe),RUN IT BACK!,,,,,Front Cover,Yes,/xgold/art/run-it-back.jpg
? (Deluxe),RUN IT BACK! [Cover 2],,,,,Front Cover,Yes,/xgold/art/run-it-back-cover-2.jpg
? (Deluxe),"Falling Down (Travis Barker Remix)",,,,,Front Cover,Yes,/xgold/art/falling-down-travis-barker-remix.jpg
? (Deluxe),Royalty ,Cover art for Royalty. Uses X's signature hand with the Jamaican flag overlayed onto it.,Dylan Noir,,,Front Cover,Yes,/xgold/art/royalty.jpg
? (Deluxe),Ready Set Go & XXXTENTACION INTERLUDE,,,,,Front Cover,Yes,/xgold/art/ready-set-go-xxxtentacion-interlude.jpg
? (Deluxe),? (Deluxe),,,,,Front Cover,Yes,/xgold/art/deluxe.jpg
? (Deluxe),? (Deluxe) [Spotify Promo],Art used for promoting the release of ? (Deluxe) on Spotify.,EMPIRE,,,Other,Yes,/xgold/art/deluxe-spotify-promo.jpg
Bad Vibes Forever (2019),HEARTEATER,,,,,Front Cover,Yes,/xgold/art/hearteater.jpg
Bad Vibes Forever (2019),Everything We Need," 
 	
The official artwork for JESUS IS KING is an image of the album's vinyl disc. It features the bright blue hue that has been connected to the album throughout its promotion. This cover has an indirect correlation to some of Ye's previous work, particularly Yeezus. ""AR 1331 A"" is apparently the ""Archer Records (AR) pressing plant code"" assigned to a 1970 Detroit gospel single. However, unlike the original record, the JIK vinyl changed ""45 RPM EP"" to ""33 RPM LP.""",Tessa Mathias,,,Front Cover,Yes,/xgold/art/everything-we-need.jpg
Bad Vibes Forever (2019),VOICES,,,,,Front Cover,Yes,/xgold/art/voices.jpg
Bad Vibes Forever (2019),All For Me,,,,,Front Cover,Yes,/xgold/art/all-for-me.jpg
Bad Vibes Forever (2019),Bad Vibes Forever (2019),,,,,Front Cover,Yes,/xgold/art/bad-vibes-forever-2019.jpg
Bad Vibes Forever (2019),Bad Vibes Forever (2019) [CD Back Cover],,,,,Back Cover,Yes,/xgold/art/bad-vibes-forever-2019-cd-back-cover.jpg
LOOK AT ME: THE ALBUM,Angels 2 Demons (OG REMIX),Cover for JAMN's remix of his 2014 track uses a more edited version of X's XXX (UNMASTERED) cover art.,JAMN,,,Front Cover,Yes,/xgold/art/angels-2-demons-og-remix.jpg
LOOK AT ME: THE ALBUM,Angels 2 Demons (OG REMIX) [Cover 2],Photo of JAMN used for the songs 2nd cover art.,JAMN,,,Front Cover,Yes,/xgold/art/angels-2-demons-og-remix-cover-2.jpg
LOOK AT ME: THE ALBUM,Get Outta My Head,"The cover art for Funeral shows the title in a distinct typeface to create an ambigram—an image meant to be viewed at two different angles. If you rotate the image 180°, the letters form “Lil Wayne”:",Lil Wayne,,,Front Cover,Yes,/xgold/art/get-outta-my-head.jpg
LOOK AT ME: THE ALBUM,Get Outta My Head [Cover 2],"Cover art used for the Deluxe of Lil Wayne's album ""Funeral"".",Lil Wayne,,,Front Cover,Yes,/xgold/art/get-outta-my-head-cover-2.jpg
LOOK AT ME: THE ALBUM,Get Outta My Head [Cover 3],"An alternative cover art used for Lil Wayne's EP ""Funeral Features"".",Lil Wayne,,,Front Cover,Yes,/xgold/art/get-outta-my-head-cover-3.jpg
LOOK AT ME: THE ALBUM,School Shooters (Remix),Cover art used for Kemba's remix of School Shooters has X in the cover art.,Kemba,,,Front Cover,Yes,/xgold/art/school-shooters-remix.jpg
LOOK AT ME: THE ALBUM,"RIOT (Re-release)
",Cover art for RIOT that was briefly used before being changed to the one we know.,EMPIRE,,,Front Cover,No,/xgold/art/riot-re-release.jpg
LOOK AT ME: THE ALBUM,RIOT (Re-release) [Cover 2],"Cover art for the re-release of ""RIOT"". Uses an image of X from the ""Look At Me/RIOT"" music video.",EMPIRE,,,Front Cover,Yes,/xgold/art/riot-re-release-cover-2.jpg
LOOK AT ME: THE ALBUM,Jugg Walk (Re-release),Cover art used for the release of Jugg Walk! by GRIMMDoza.,GRIMMDoza,,,Front Cover,Yes,/xgold/art/jugg-walk-re-release.jpg
LOOK AT ME: THE ALBUM,Vice City - NFT Release,"Stephen Bliss rework of the cover art for the 2014 track ""Vice City"". Used in the NFT release.",Stephen Bliss,,,Front Cover,Yes,/xgold/art/vice-city-nft-release.jpg
LOOK AT ME: THE ALBUM,#IMSIPPINTEAINYOHOOD - NFT Release,"Stephen Bliss rework of the cover art for the 2016 track ""YuNg BrAtZ"". Used in the NFT release.",Stephen Bliss,,,Front Cover,Yes,/xgold/art/imsippinteainyohood-nft-release.jpg
LOOK AT ME: THE ALBUM,News/Flock - NFT Release,"Stephen Bliss rework of the cover art for the 2013 track ""News/Flock"". Used in the NFT release.",Stephen Bliss,,,Front Cover,Yes,/xgold/art/news-flock-nft-release.jpg
LOOK AT ME: THE ALBUM,i spoke to the devil in miami - NFT Release,"Stephen Bliss rework of the cover art for the 2016 track ""i spoke to the devil in miami"". Used in the NFT release.",Stephen Bliss,,,Front Cover,Yes,/xgold/art/i-spoke-to-the-devil-in-miami-nft-release.jpg
LOOK AT ME: THE ALBUM,Let's Pretend We're Numb - NFT Release,"Stephen Bliss rework of the cover art for the 2015 track ""Let's Pretend We're Numb"". Used in the NFT release.",Stephen Bliss,,,Front Cover,Yes,/xgold/art/let-s-pretend-we-re-numb-nft-release.jpg
LOOK AT ME: THE ALBUM,DANNY PHANTOM,"This is the official cover for TRIP AT KNIGHT, Trippie Redd’s fifth studio album and long-awaited sequel to LIFE’S A TRIP, his 2018 debut studio album. It was designed and created by Stephen Gibb who also did the LIFE’S A TRIP cover art.",Stephen Gibb,,,Front Cover,Yes,/xgold/art/danny-phantom.jpg
LOOK AT ME: THE ALBUM,Donda 2,"This promotional cover for Donda 2 was used for the announcement of the record’s listening party at the LoanDepot Park stadium in Miami on February 22nd 2022. The artwork was posted on Kanye West’s Instagram on February 12th 2022. Much like the first promotional cover, the image shows Kanye’s Chicago South Shore childhood home burning down in a billboard, but in a dark background.",,,,Front Cover,Yes,/xgold/art/donda-2.jpg
LOOK AT ME: THE ALBUM,MAY I,"Image of X, Ski Mask The Slump God & Robb Bank$ used for the single release of ""MAY I"".",Robb Bank$,,,Front Cover,Yes,/xgold/art/may-i.jpg
LOOK AT ME: THE ALBUM,MAY I [Cover 2],"Album art for Robb Bank$' FALCONIA which featured ""MAY I"" as a track.",Robb Bank$,,,Front Cover,Yes,/xgold/art/may-i-cover-2.jpg
LOOK AT ME: THE ALBUM,XXXTENTACION x Juice WRLD,Image of Juice WRLD's and X's face mashed together posted to Instagram to seemingly promote a new single between the two.,Columbia Records,,,Front Cover,Yes,/xgold/art/xxxtentacion-x-juice-wrld.jpg
LOOK AT ME: THE ALBUM,True Love [Cover Mockups],"Cover ideas made by Henock Sileshi. The name's of Ye's children and XXXTENTACION's child can be seen, showing the tracks theme of family. ",Henock Sileshi,,,Other,Yes,/xgold/art/true-love-cover-mockups.png
LOOK AT ME: THE ALBUM,True Love,"This is the cover for Donda 2’s lead single, “True Love,” Kanye West’s collaboration with XXXTENTACION. As revealed by Variety, the artwork, designed by Ye, portrays X’s handwritten notes from a journal found by his mother, Cleopatra Bernard. The passionate phrases fit the theme of “True Love,” as both artists share the complications behind loving their close ones.",Kanye West,,,Front Cover,Yes,/xgold/art/true-love.jpg
LOOK AT ME: THE ALBUM,LOOK AT ME: THE ALBUM,"The cover artwork of the compilation album features one of the most infamous photos of X, captured on May 6th, 2017 at the Rolling Loud performance. The original image was also used as X's Gmail profile picture.",Columbia Records,,,Front Cover,Yes,/xgold/art/look-at-me-the-album.jpg
LOOK AT ME: THE ALBUM,LOOK AT ME: THE ALBUM [Back Cover],"This is the tracklist for disc one of this album, titled “LOOK AT ME THEN.” This features previously released songs that are now only to be found on SoundCloud or YouTube.",Columbia Records,,,Back Cover,Yes,/xgold/art/look-at-me-the-album-back-cover.jpg
LOOK AT ME: THE ALBUM,LOOK AT ME: THE ALBUM [Back Cover 2],"This is the tracklist for disc two of this album, titled “LOOK AT ME NOW.” This features commercially available songs that have already been released.",Columbia Records,,,Back Cover,Yes,/xgold/art/look-at-me-the-album-back-cover-2.jpg
LOOK AT ME: XXXTENTACION,Toxic,Image used for the Toxic Bandlab challenge to help promote the documentary “Look At Me: XXXTENTACION“ and its bonus companion piece “In His Own Words: XXXTENTACION“.,Fader,,,Front Cover,Yes,/xgold/art/toxic.jpg
LOOK AT ME: XXXTENTACION,#TOXICbyXXX,Image used for the Toxic Bandlab challenge blog page.,Fader,,,Other,Other,/xgold/art/toxicbyxxx.jpg
LOOK AT ME: XXXTENTACION,Again (Sped Up),Cover art used for the Sped Up version of the track. is slightly different from the original one.,Noah Cyrus,,,Front Cover,Yes,/xgold/art/again-sped-up.jpg
LOOK AT ME: XXXTENTACION,Look at Me: XXXTentacion (Original Score),Album art used for the orginal score to accompany the Look At Me Documentary. Image would later be used in the Toxic cover art.,Fader,,,Front Cover,Yes,/xgold/art/look-at-me-xxxtentacion-original-score.jpg
Ongoing,I'm Not Human,Artwork is in the style of most of Dylan and X's work. Features a collage of X & Lil Uzi Vert images very reminiscent of the Members Only Vol. 3 cover.,Dylan Noir,,,Front Cover,Yes,/xgold/art/i-m-not-human.jpg
Ongoing,I'm Not Human [Cover 2],Almost identical artwork except for the removal of the text in the bottom right. Was only temporarily used in the Soundcloud re-release.,Dylan Noir,,,Front Cover,Yes,/xgold/art/i-m-not-human-cover-2.jpg
Ongoing,ItWasntEnough (Re-release) [Tracklist],"Tracklist used to promote the re-release of the 2016 EP ""ItWasntEnough"".",Columbia Records,,,Back Cover,No,/xgold/art/itwasntenough-re-release-tracklist.jpg
Ongoing,ItWasntEnough (Re-release) [Tracklist 2],Alt version of the tracklist used when the EP released.,Columbia Records,,,Back Cover,No,/xgold/art/itwasntenough-re-release-tracklist-2.jpg
Ongoing,EMOJI ,Text messages between X & RONNY J. Used for the single release of EMOJI by RONNY J.,RONNY J,,,Front Cover,Yes,/xgold/art/emoji.jpg
Ongoing,EMOJI [Cover 2],"Cover art for RONNY J's ""CHARGED UP"" album that featured the track EMOJI.",RONNY J,,,Front Cover,Yes,/xgold/art/emoji-cover-2.jpg
Ongoing,X & CUD,"Cover art for Kid Cudi's album ""INSANO"". This cover features a very out-of-this-world, trippy, abstract digital painting using plenty of vivid bright colors with shading in different spots with lines scattered throughout forming a lightning-like pattern, making for an insane album cover that truly stands out.",KAWS,,,Front Cover,Yes,/xgold/art/x-cud.jpg
Ongoing,X & CUD [Cover 2],Same cover art but without the Parental Advisory picture on it.,KAWS,,,Front Cover,Yes,/xgold/art/x-cud-cover-2.jpg
