Era,Name,Notes,Designer,Date,Art,Art Type,Use,Link(s)
Ice Hotel,Blood Stains,"This picture by Joe Klamar was taken in May 28, 2011 in a fight that took place in Banska Bystrica a region in Slovakia. The 2 fighters were Ján Mazúr and Jakub Gazdík being Ján the person appearing in the cover art being him to lose the fight to Jakub.",Drugz,,,Front Cover,Yes,/xgold/art/blood-stains.jpg
Ice Hotel,HUNNID,"This particular episode of The Simpsons from the 11th season released in October 24th, 1999 and the cover art appears at 8:08 being Lisa Simpson with her tougue out looking out of her mind.",Matt Groening,,,Front Cover,Yes,/xgold/art/hunnid.jpg
Ice Hotel,0C3AN *clip*,"Fox News was covering a high-speed chase that began in Phoenix, Arizona, using a live helicopter shot in September 28, 2012.  The anchor Shepard Smith was the person talking in the video when he saw JoDon Romero with 32 years old killing himself after he stopped the car chase.",Fox News,,,Front Cover,Yes,/xgold/art/0c3an-clip.jpg
Ice Hotel,ICY,"Image of actress Morrigan Sanders, She was a regular model for photographer Oleg Volk and has appeared in numerous print PSAs in local and national American magazines.The cover art photo was taken by Oleg Volk and was taken when she was 9 years old in 2011 for a Firearms Magazine.",Oleg Volk,,,Front Cover,Yes,/xgold/art/icy.jpg
Ice Hotel,Felonies,Artwork for this track is lost.,Unknown,,N/A,Lost,Yes,Unknown
Ice Hotel,Kick In The Door,"This hentai of the Dragonball Z series was made by french artist Desto and was made in 2008 being released in Desto website Parodie Paradise.
We can see the cover art used by X at 3:30.",Desto,,,Front Cover,Yes,/xgold/art/kick-in-the-door.jpg
Ice Hotel,cum,"Image of a forest with the words ""cum"" in Rocky AOE font. Forest location is unknown.",XXXTENTACION,,,Front Cover,Yes,/xgold/art/cum.jpg
Ice Hotel,Catch Me,Photo of Ski Mask with a skull mask on taken in 2014.,Ski Mask,,,Front Cover,Yes,/xgold/art/catch-me.jpg
Ice Hotel,INUYASHA,Inuyasha from Inuyashas. Parental advisory sign is cut off.,,,,Front Cover,Yes,/xgold/art/inuyasha.jpg
Ice Hotel,ICE HOTEL (intro),The Ice King's ice castle from Adventure Time.,Cartoon Network,,,Front Cover,Yes,/xgold/art/ice-hotel-intro.jpg
Ice Hotel,ICE HOTEL EP,"Gothic fantasy or Expiatory temple is a piece of digital artwork by George Grie. This image was initially inspired by the Expiatory Temple of the Sagrada Familia, the yet unfinished masterpiece of the world's most celebrated architect from Catalonia, Antonio Gaudi.",George Grie,,,Front Cover,Yes,/xgold/art/ice-hotel-ep.jpg
e.motion,3 AM freestyle,Artwork for this track is lost. Doesnt use the one we know as that image was created after this upload.,Unknown,,N/A,Lost,Yes,Unknown
e.motion,ecstasy,"19 year old Nebraska woman who stole $6000 from a bank in 2012. After the crime she immediately posted a video to YouTube titled ""Chick Bank Robber"" where she held bundles of cash up to the camera and bragged about what she'd done. She was caught the same day.",Hannah Sabata,,,Front Cover,Yes,/xgold/art/ecstasy.jpg
e.motion,e.motion,Graphic that anyone could've made. Finding the origin would be as hard as finding a needle in a haystack.,???,,,Front Cover,Yes,/xgold/art/e-motion.jpg
e.motion,hoe,Still taken from a 2002 porn video featuring a woman named Sara.,Ray Guhn,,,Front Cover,Yes,/xgold/art/hoe.jpg
e.motion,3 AM (freestyle) [Upload 2],"Image of X he took himself, Most likely taken on his laptops webcam. Unknown how he made himself green. Most likely just a filter. There is an alternate one without the green.",XXXTENTACION,,,Front Cover,Yes,/xgold/art/3-am-freestyle-upload-2.jpg
e.motion,ok (freestyle),"Image of Joana Linda posted to her Flickr Jan 1st, 2012",Joana Linda,,,Front Cover,Yes,/xgold/art/ok-freestyle.jpg
e.motion,???,"Uses Rocky AOE font and the full image features the ""catch"" cover art in all the corners.",XXXTENTACION,,,Front Cover,Yes,/xgold/art/.jpg
e.motion,elegant,Still taken from the Napoleon Dynamite film from 2004. Has the character Pedro sitting in a bathtub. Very low quality.,Jared Hess,,,Front Cover,Yes,/xgold/art/elegant.jpg
e.motion,tokyo nostalgia,Origin for this cover art is NEEDED like baaaaddd,,,,Front Cover,Yes,/xgold/art/tokyo-nostalgia.jpg
e.motion,sounds of the melting pot,,,,,Front Cover,Yes,/xgold/art/sounds-of-the-melting-pot.jpg
e.motion,sounds of the melting pot [Cover 2],,,,,Front Cover,Yes,/xgold/art/sounds-of-the-melting-pot-cover-2.jpg
e.motion,john carpenter,,John Carpenter,,,Front Cover,Yes,/xgold/art/john-carpenter.jpg
e.motion,catch,"Cover art is most likely inspired by Drake's track ""Days In The East"". Uses one of the corners from ""???""'s full cover art.",XXXTENTACION,,,Front Cover,Yes,/xgold/art/catch.jpg
e.motion,Bluddy Katon freestyle,"Still taken from the game ""Manhunt"" by Rockstar Games",Rockstar,,,Front Cover,Yes,/xgold/art/bluddy-katon-freestyle.jpg
e.motion,Who The Fuck Is God,,,,,Front Cover,Yes,/xgold/art/who-the-fuck-is-god.jpg
THE NOBODYS,The Shuttle,"Image of a man with ""NOBODYS"" tatted on his neck. X took this from ???'s tumblr page.",,,,Front Cover,Yes,/xgold/art/the-shuttle.jpg
THE NOBODYS,NOBODYS (Intro),"Image of a man with ""NOBODYS"" tatted on his neck. X took this from ???'s tumblr page.",,,,Front Cover,Yes,/xgold/art/nobodys-intro.jpg
THE NOBODYS,zones,,,,,Front Cover,Yes,/xgold/art/zones.jpg
THE NOBODYS,sounds of the melting pot (YXXXNZ TWIST),,,,,Front Cover,Yes,/xgold/art/sounds-of-the-melting-pot-yxxxnz-twist.jpg
THE NOBODYS,captain save a hoe,Literally just a pure white 500 x 500 image.,XXXTENTACION,,,Front Cover,Yes,/xgold/art/captain-save-a-hoe.jpg
THE NOBODYS,ghost in the shell,Artwork for this track is lost. Most likely had the THE NOBODYS cover.,Unknown,,N/A,Lost,Yes,Unknown
THE NOBODYS,ghosts,"Image of a man with ""NOBODYS"" tatted on his neck. X took this from ???'s tumblr page.",,,,Front Cover,Yes,/xgold/art/ghosts.jpg
THE NOBODYS,Angels 2 Demons,Artwork for this track is lost. ,Unknown,,N/A,Lost,Yes,Unknown
THE NOBODYS,ivebeentohelllucifersastandupguy,A red square. However in the full image (Change t500x500 in link to original) there is a blue line on the left side.,XXXTENTACION,,,Front Cover,Yes,/xgold/art/ivebeentohelllucifersastandupguy.jpg
THE NOBODYS,OKAGE THE SHADOW KING,Still taken from the Japanese game Okage: Shadow King released in March of 2001.,Zener Works,,,Front Cover,Yes,/xgold/art/okage-the-shadow-king.jpg
The Fall,WHO SHOT YA,Image of X used as a Soundcloud and Twitter avatar. Is the cover art for both WHO SHOT YA and NEVER.,XXXTENTACION,,,Front Cover,Yes,/xgold/art/who-shot-ya.jpg
The Fall,NEVER,Image of X used as a Soundcloud and Twitter avatar. Is the cover art for both WHO SHOT YA and NEVER.,XXXTENTACION,,,Front Cover,Yes,/xgold/art/never.jpg
The Fall,"i wanna be a witch (cover)",Still from The Wizard of Oz,,,,Front Cover,Yes,/xgold/art/i-wanna-be-a-witch-cover.jpg
The Fall,The Fall ,"Used for many of the tracks including; white girl, FUCKABITCHFACE, ghost, The Fall, NEVER & autumn burns bright",XXXTENTACION,,,Front Cover,Yes,/xgold/art/the-fall.jpg
The Fall,Mega Man,,,,,Front Cover,Yes,/xgold/art/mega-man.jpg
The Fall,Mega Man [Cover 2],Used for the 2017 reupload of the track.,,,,Front Cover,Yes,/xgold/art/mega-man-cover-2.jpg
The Fall,pistol (snippet),"Still taken from hit anime ""Attack on Titan"" of a smiling titan.",Hajime Isayama,,,Front Cover,Yes,/xgold/art/pistol-snippet.jpg
The Fall,brat bug (snippet),"Crop taken from a poster of the 1998 film ""A Bugs Life"" directed by John Lasseter & Andrew Stanton",John Lasseter,,,Front Cover,Yes,/xgold/art/brat-bug-snippet.jpg
♡ ʳ ᵃ ʳ ᵉ ♡,♡ ʳ ᵃ ʳ ᵉ ♡,"Photo depics X opening a ""Newport"" Cigarette Box",XXXTENTACION,,,Front Cover,Yes,/xgold/art/.jpg
♡ ʳ ᵃ ʳ ᵉ ♡,♡ ʳ ᵃ ʳ ᵉ ♡ [Uncropped],,XXXTENTACION,,,Front Cover,Yes,/xgold/art/uncropped.jpg
♡ ʳ ᵃ ʳ ᵉ ♡,ALONE PART 2,Part of the fall photoshoot,XXXTENTACION,,,Front Cover,Yes,/xgold/art/alone-part-2.jpg
♡ ʳ ᵃ ʳ ᵉ ♡,a message to tina belcher [Bandcamp Cover],"Part of the show ""Bobs Burgers""  a still frame on Season 1, Episode 6 - ""Sheesh! Cab, Bob?"" Tina Belcher asks what a transvestine hooker is while eating breakfast.",Loren Hal Bouchard,,,Front Cover,Yes,/xgold/art/a-message-to-tina-belcher-bandcamp-cover.png
♡ ʳ ᵃ ʳ ᵉ ♡,R U N,"Stock image of a photo X was getting for his then friend later turned girlfriend in 2016 ""Geneva Ayala""",,,,Front Cover,Yes,/xgold/art/r-u-n.jpg
♡ ʳ ᵃ ʳ ᵉ ♡,BOOFPACK,Image of cannabis seeds.,,,,Front Cover,Yes,/xgold/art/boofpack.jpg
♡ ʳ ᵃ ʳ ᵉ ♡,//Nobodys\\,,,,,Front Cover,Yes,/xgold/art/nobodys.jpg
♡ ʳ ᵃ ʳ ᵉ ♡,"MEANY",Artwork for this track is lost. ,Unknown,,N/A,Lost,Yes,Unknown
♡ ʳ ᵃ ʳ ᵉ ♡,A Nigga Like You,,,,,Front Cover,Yes,/xgold/art/a-nigga-like-you.jpg
♡ ʳ ᵃ ʳ ᵉ ♡,Autum Wind [Cover Idea],"Cover idea for Au Flexgod's mixtape ""Autum Wind"". ANLY probably would've this cover art too.",,,,Alternative,No,/xgold/art/autum-wind-cover-idea.jpg
Red Light District,pab moob (snippet),Artwork for this track is lost. ,Unknown,,N/A,No,Yes,Unknown
Red Light District,pab moob,"Wanted posted featuring Pinky and The Brain used for ""pab moob"".",Unknown,,,Front Cover,Yes,/xgold/art/pab-moob.jpg
Red Light District,pab moob [Bandcamp Cover],Artwork used for the Bandcamp upload of the song.,Anyone,,,Front Cover,Yes,/xgold/art/pab-moob-bandcamp-cover.jpg
Red Light District,rolling,Found on Tumblr bla bai,Rxnty,,,Front Cover,Yes,/xgold/art/rolling.jpg
Red Light District,Clarity (Snippet),,H. Kaleci,,,Front Cover,Yes,/xgold/art/clarity-snippet.jpg
Red Light District,skin & leave,"Image of an image, you can see X's fingers within the image.",XXXTENTACION,,,Front Cover,Yes,/xgold/art/skin-leave.jpg
Red Light District,red light lie (Intro),Artwork for this track is lost. ,Unknown,,N/A,Lost,Yes,Unknown
Red Light District,"""The Devils Playground"" Red Light Lie (clip)","Another red square which still has the blue line like in the ""ivebeentohell"" cover in the full image.",XXXTENTACION,,,Front Cover,Yes,/xgold/art/the-devils-playground-red-light-lie-clip.jpg
Red Light District,Love (Interlude),Artwork for this track is lost. ,Unknown,,N/A,Lost,Yes,Unknown
Red Light District,Red,Artwork for this track is lost. ,Unknown,,N/A,Lost,Yes,Unknown
Members Only Vol. 1,Freddy vs Jason,,,,,Front Cover,Yes,/xgold/art/freddy-vs-jason.jpg
Members Only Vol. 1,I & M,,,,,Front Cover,Yes,/xgold/art/i-m.jpg
Members Only Vol. 1,PRIME TIME,,,,,Front Cover,Yes,/xgold/art/prime-time.jpg
Members Only Vol. 1,Prime (Verse),A black square but when you brighten the image up theres actually a design of what looks to be some sort of red material.,XXXTENTACION,,,Front Cover,Yes,/xgold/art/prime-verse.jpg
Members Only Vol. 1,Members Only Vol. 1,,,,,Front Cover,Yes,/xgold/art/members-only-vol-1.jpg
Members Only Vol. 1,"TELL BUKKWEAT SUCK MY DICK (SNIPPET)
",,,,,Front Cover,Yes,/xgold/art/tell-bukkweat-suck-my-dick-snippet.jpg
Members Only Vol. 1,RUN UP ON ME (SNIPPET),,,,,Front Cover,Yes,/xgold/art/run-up-on-me-snippet.jpg
Members Only Vol. 1,NightmareZ & Prime Time (Black God Version),,,,,Front Cover,Yes,/xgold/art/nightmarez-prime-time-black-god-version.jpg
Members Only Vol. 1,NightmareZ [Cover 2],,,,,Front Cover,Yes,/xgold/art/nightmarez-cover-2.jpg
Members Only Vol. 1,Teeth (Interlude),An image of lilmixedhunny https://www.instagram.com/p/BpzDn0dhows/,lilmixedhunny,,,Front Cover,Yes,/xgold/art/teeth-interlude.jpg
Members Only Vol. 1,Backstroke,,,,,Front Cover,Yes,/xgold/art/backstroke.jpg
Members Only Vol. 2,"CHAPTER 1 (clip)",A black square but when you brighten the image up theres actually a design of what looks to be some sort of red material.,XXXTENTACION,,,Front Cover,Yes,/xgold/art/chapter-1-clip.jpg
Members Only Vol. 2,CHAPTER 2 (clip),,,,,Front Cover,Yes,/xgold/art/chapter-2-clip.jpg
Members Only Vol. 2,CHAPTER 2 (SNIPPET),An image of lilmixedhunny https://www.instagram.com/p/BpzDn0dhows/,lilmixedhunny,,,Front Cover,Yes,/xgold/art/chapter-2-snippet.jpg
Members Only Vol. 2,RIOT,A black square but when you brighten the image up theres actually a design of what looks to be some sort of red material.,XXXTENTACION,,,Front Cover,Yes,/xgold/art/riot.jpg
Members Only Vol. 2,Red Light Lie (YAWNS Re-Fix),,,,,Front Cover,Yes,/xgold/art/red-light-lie-yawns-re-fix.jpg
