Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
A Head Full of Dreams,"Voodoo (Demo 2)
(feat. Wizkid)","OG Filename: VOODOO SG stems WS CM new arr redbl intro MonMix X 20180204F
Less produced, features more English lyrics. Also features vocal samples throughout the song, along with a sample of Far Out's intro.",,,N/A,Not Publicly Available,Not Available,N/A
A Head Full of Dreams,"Voodoo (Spike Ref)
(feat. Wizkid)","OG Filename: VOODOO 2018 SPIKE REF 2
Alternate demo produced by Spike Stent.",,,N/A,Not Publicly Available,Not Available,N/A
"10 OG File(s)
17 Full
0 Tagged
3 Partial
9 Snippet(s)
9 Unavailable",Everyday Life,,,,,,,
Everyday Life,All My Love,Played by Chris for a fan. A song with the same name is included on Moon Music though it is unconfirmed if they are the same. Potentially related to Elodie.,0:44,,"Jun 21, 2019",Full,Recording,All My Love
Everyday Life,Arabesque (Tuscany) [V1],"OG Filename: ARABESQUE NoClick RikLiveMonMix A 20171206E
Jam of Arabesque including Act i, a full band version of Act ii, and the rock outro from Act iii.",5:55,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,Arabesque (Tuscany) [V2],"OG Filename: ARABESQUE WithClick RikLiveMonMix B 20171206E
More developed version of Act i.",4:42,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,Arabesque (Tuscany) [V3],"OG Filename: ARABESQUE Vox&PnoOnly RikLiveMonMix C 20171206E
More developed version of Act i played on piano.",3:40,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,Arabesque (Tuscany) [V4],"OG Filename: ARABESQUE RikLappyMonMix 20171212L
Instrumental of the Malibu recording.",7:26,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,Arabesque (Malibu),"OG Filename: ARABESQUE WS RikMonMix 20180202E
Almost fully developed mix featuring: an early Ballad of St. John, Act i with an extra chorus, Act ii with completely different lyrics and melody, and the rock outro from Act iii.",7:26,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,Arabesque (Loop Jam),"OG Filename: ARABESQUE Act3 WS Enc for radio FX 20180903C
Jam of the Arabesque guitar riff on loop.",,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,✨ Arabesque (2018),"OG Filename: ARABESQUE ELS Act 3 Guide COMP REF Timing X 20181016A
Combined mix of all 3 acts.",6:05,,"Feb 1, 2024",OG File,Lossless,Arabesque (2018)
Everyday Life,Arabesque (Ballad Of St. John),"OG Filename: ARABESQUE ELS ADD ballad of st john Act3 guide comp ref timing X 20181016A 
Included in the Robot sessions - seemingly identical to the mix above.",,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,Arabesque (Spike Ref),"OG Filename: ARABESQUE SPIKE REF 2
Rough mix of Act ii.",,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,Arabesque (Spike Ref) (Alt),"OG Filename: 05 ARABESQUE SPIKE REF 2 ALT LIM EW 20190325D
Rough mix of Act ii.",,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,Arabesque (August 2020),Alternate takes from a session folder.,,,N/A,Snippet,High Quality,Snippet
Everyday Life,Arabesque Act ii (???),"OG Filename: Arabesque Act2 HAM voc FX ref X 20200903F
Unknown what mix this is, or if it is related to Pt. 1.",,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,⭐ Arabesque Pt. 1,"OG Filename: ARABESQUE PT. 1 FL RikMonMix 20201008C
Revamped mix of Arabesque Act. iii from 2020 without the second half.",3:33,,"Apr 5, 2024",OG File,Lossless,Arabesque Pt. 1
Everyday Life,Ballad Of St. John [V1],"OG Filename: BALLAD OF ST JOHN MK comp ref X 20190208B
First half of Bani Adam - almost identical to the released version.",,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,Ballad Of St. John [V2],"OG Filename: BALLAD OF ST JOHN DCR comp ref WP 20190218A
Likely a better mix than the one above.",,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,Bani Adam (Spike Ref),"OG Filename: BANI ADAM EW ref X 20190322G
Likely a version with less production, as the recording is the same as the album.",,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,Biutyful (Spike Ref),"OG Filename: 09 BIUTYFUL SPIKE REF 2
Completely different instrumental - slower. Includes some alternate/extra lyrics.",3:55,,"Mar 12, 2024",OG File,Lossless,Biutyful
Everyday Life,"Break My Heart
(feat. ???)","Rough jam featuring an unknown female artist, likely the For Love Choir.",,,,Snippet,High Quality,Snippet
Everyday Life,Broken (Tuscany) [V1],"OG Filename: BROKEN RikLiveMonMix 20171206E
Long jam of Broken featuring multiple takes. Later comped into the 2019 Spike Ref.",14:11,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,Broken (Tuscany) [V2],"OG Filename: BROKEN RikLappyMonMix 20171207E
Rough demo of the song. Elements were also comped into the Spike Ref.",6:28,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,Broken (Tuscany) [V3],"OG Filename: BROKEN Inst RikLappyMonMix 20171207E
Instrumental of the mix above.",6:28,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,Broken (Tuscany) [V4],"OG Filename: BROKEN PumpOrgan&Celeste RikLiveMonMix 20171207B
Rough instrumental jam.",12:01,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,Broken (Malibu),"OG Filename: BROKEN WS RikMonMix JamTake4 X 20180201G
Long jam with better takes than the previous versions as well as the 2019 Spike Ref. It's unknown why the rough jams were chosen over this one.",7:26,,N/A,Not Publicly Available,Not Available,N/A
