Era,Name,Notes,Length,Release Date,Type,Streaming,Link(s)
Hurry Up Tomorrow (Score),Anima Pt. 1,"Track 2 on ""Hurry Up Tomorrow (Original Motion Picture Score)"".",3:55,"Jul 11, 2025",Album Track,No,Link needed
Hurry Up Tomorrow (Score),Gas Station,"Track 3 on ""Hurry Up Tomorrow (Original Motion Picture Score)"".",1:03,"Jul 11, 2025",Album Track,No,Link needed
Hurry Up Tomorrow (Score),Dance Until We’re Skin And Bones,"Track 4 on ""Hurry Up Tomorrow (Original Motion Picture Score)"".",1:57,"Jul 11, 2025",Album Track,No,Link needed
Hurry Up Tomorrow (Score),It’s Mostly Psychological,"Track 5 on ""Hurry Up Tomorrow (Original Motion Picture Score)"".",0:45,"Jul 11, 2025",Album Track,No,Link needed
Hurry Up Tomorrow (Score),Sky Is Falling,"Track 6 on ""Hurry Up Tomorrow (Original Motion Picture Score)"".",2:00,"Jul 11, 2025",Album Track,No,Link needed
Hurry Up Tomorrow (Score),Heartbeat Slower,"Track 7 on ""Hurry Up Tomorrow (Original Motion Picture Score)"".",2:21,"Jul 11, 2025",Album Track,No,Link needed
Hurry Up Tomorrow (Score),We’ll Take It Backstage,"Track 8 on ""Hurry Up Tomorrow (Original Motion Picture Score)"".",4:23,"Jul 11, 2025",Album Track,No,Link needed
Hurry Up Tomorrow (Score),Muted,"Track 9 on ""Hurry Up Tomorrow (Original Motion Picture Score)"".",1:41,"Jul 11, 2025",Album Track,No,Link needed
Hurry Up Tomorrow (Score),CloseEncounter,"Track 10 on ""Hurry Up Tomorrow (Original Motion Picture Score)"".",2:19,"Jul 11, 2025",Album Track,No,Link needed
Hurry Up Tomorrow (Score),I Feel Like I Know You,"Track 11 on ""Hurry Up Tomorrow (Original Motion Picture Score)"".",2:52,"Jul 11, 2025",Album Track,No,Link needed
Hurry Up Tomorrow (Score),Champagne Solves Everything,"Track 12 on ""Hurry Up Tomorrow (Original Motion Picture Score)"".",1:41,"Jul 11, 2025",Album Track,No,Link needed
Hurry Up Tomorrow (Score),In Too Deep,"Track 13 on ""Hurry Up Tomorrow (Original Motion Picture Score)"".",5:51,"Jul 11, 2025",Album Track,No,Link needed
Hurry Up Tomorrow (Score),Can You Hear Me Knocking?,"Track 14 on ""Hurry Up Tomorrow (Original Motion Picture Score)"".",0:41,"Jul 11, 2025",Album Track,No,Link needed
Hurry Up Tomorrow (Score),Anima Pt. 2,"Track 15 on ""Hurry Up Tomorrow (Original Motion Picture Score)"".",4:17,"Jul 11, 2025",Album Track,No,Link needed
Hurry Up Tomorrow (Score),Tomorrow's Coming,"Track 16 on ""Hurry Up Tomorrow (Original Motion Picture Score)"".",3:45,"Jul 11, 2025",Album Track,No,Link needed
