Era,Name,,Designer,Art Type,Photo,Project Type,Use,Link(s)
After Hours [V2],After Hours,Alternate cover for 'After Hours' featured on physicals sold by Target.,Aleksi Tammi,Digital,,Front Cover,Used (Alternate),
After Hours [V2],After Hours (Deluxe),"OG Filename: ABEL GRADE INVERT GAMMA GRADE
JR BG1 V2 WO FRAME SQUARE LIFTED FINAL ALT 23
Official cover for the deluxe edition of 'After Hours'.",Aleksi Tammi,Digital,,Front Cover,Used,
After Hours [V2],After Hours (Remixes),Official cover for the 'After Hours' remixes EP.,Aleksi Tammi,Digital,,Front Cover,Used,
After Hours [V2],Blinding Lights,Single cover for 'Blinding Lights'.,,Digital,,Front Cover,Used,
After Hours [V2],Blinding Lights,Single cover for the commemorative edition of 'Blinding Lights' seen on physicals.,,Scan,,Front Cover,Used (Alternate),
After Hours [V2],Blinding Lights,Single cover for the special edition of 'Blinding Lights' seen on physicals.,,Scan,,Front Cover,Used (Alternate),
After Hours [V2],Blinding Lights (Remix),,,Digital,,Front Cover,Used,
After Hours [V2],Blinding Lights (Major Lazer Remix),,,Digital,,Front Cover,Used,
After Hours [V2],Heartless,,,Digital,,Front Cover,Used,
After Hours [V2],Heartless / Blinding Lights,Single cover for 'Heartless / Blinding Lights'.,,Scan,,Front Cover,Used,
After Hours [V2],Heartless / Blinding Lights,"There are over 20 cover variants for the 'Heartless / Blinding Lights' single as part of collector editions.
They'll soon be linked as they'd take up too much space. [WIP]",,Scan,N/A,Front Cover,Used,
Dawn FM,Dawn FM,"Official cover for 'Dawn FM', The Weeknd's fifth studio album.",Matilda Finn,Digital,,Front Cover,Used,
Dawn FM,Dawn FM (Alternate World),"Official cover for 'Dawn FM (Alternate World)', the deluxe edition of 'Dawn FM'.",Matilda Finn,Digital,,Front Cover,Used,
Dawn FM,Dawn FM (Deluxe),Cover briefly seen on Spotify before being replaced with Alternate World.,Matilda Finn,Digital,,Front Cover,Used (Alternate),
Dawn FM,Dawn FM,"One of five alternate covers for 'Dawn FM', designed by Robert Beatty.",Robert Beatty,Digital,,Front Cover,Used (Alternate),
Dawn FM,Dawn FM,"One of five alternate covers for 'Dawn FM', designed by Robert Beatty.",Robert Beatty,Digital,,Front Cover,Used (Alternate),
Dawn FM,Dawn FM,"One of five alternate covers for 'Dawn FM', designed by Robert Beatty.",Robert Beatty,Digital,,Front Cover,Used (Alternate),
Dawn FM,Dawn FM,"One of five alternate covers for 'Dawn FM', designed by Robert Beatty.",Robert Beatty,Digital,,Front Cover,Used (Alternate),
Dawn FM,Dawn FM,"One of five alternate covers for 'Dawn FM', designed by Robert Beatty.",Robert Beatty,Scan,,Front Cover,Used (Alternate),
After Hours [V2],After Hours (Remixes),Cover for the After Hours Remixes EP.,,Digital,,Front Cover,Used,
After Hours [V2],After Hours (Remixes) [Clean],Clean cover for the After Hours Remixes EP.,,Digital,,Front Cover,Used,
After Hours [V2],The Highlights ,Front cover for the first release of 'The Highlights' compilation album. Released days before Abel's Super Bowl LV performance.,,Digital,,Front Cover,Used,
After Hours [V2],The Highlights [Clean],Clean album cover for 'The Highlights' compilation.,,Digital,,Front Cover,Used,
After Hours [V2],The Highlights [Back],Back cover for 'The Highlights' compilation album.,,Digital,,Back Cover,Used,
Dawn FM,Take My Breath,"Single cover for 'Take My Breath', the lead single from 'Dawn FM'.",,Digital,,Front Cover,Used,
Dawn FM,Take My Breath (Single Package),Single cover for 'Take My Breath [Single Package]'.,,Digital,,Front Cover,Used,
Dawn FM,Take My Breath [Alt #1],Alternate CD cover for 'Take My Breath'.,,Scan,,Front Cover,Alternate,
Dawn FM,"Swedish House Mafia - Moth To A Flame
(With The Weeknd)","Cover for, 'Moth To A Flame', by Swedish House Mafia with The Weeknd.",,Digital,,Front Cover,Used,
Dawn FM,Dawn FM,Main front cover for 'Dawn FM' shot by Matilda Finn around the same time the 'Gasoline' video was shot.,Matilda Finn,Digital,,Front Cover,Used,
Dawn FM,Dawn FM (Clean),Same as the main Dawn FM cover but without the parental advisory sticker. ,Matilda Finn,Digital,,Front Cover,Used,
Dawn FM,Dawn FM (Alternate World),Same as the main Dawn FM cover but with an Alternate World sticker. ,Matilda Finn,Digital,,Front Cover,Used,
Dawn FM,Dawn FM (Alternate World) (Clean),Same as the main Dawn FM (Alternate World) cover but without the parental advisory sticker. ,Matilda Finn,Digital,,Front Cover,Used,
Dawn FM,Dawn FM (Deluxe),Scrapped cover for a 'Dawn FM' deluxe album that was accidentally used for the Spotify release of the 'Alternate World' remix album. No evidence however suggests that there were originally extra unheard songs made for this deluxe album.,Matilda Finn,Digital,,Front Cover,Unused,
Dawn FM,Dawn FM [Collectors Edition #1],First collectors edition cover for 'Dawn FM'. Sold on vinyl & CD through the XO Store.,,Digital,,Front Cover,Alternate,
Dawn FM,Dawn FM [Collectors Edition #1] [Back],Back of the 'Dawn FM' Collectors Edtion 01.,,Digital,,Back Cover,Alternate,
Dawn FM,Dawn FM [Collectors Edition #2],Second collectors edition cover for 'Dawn FM'. Sold on vinyl & CD through the XO Store.,,Scan,,Front Cover,Alternate,
Dawn FM,Dawn FM [Collectors Edition #3],Third collectors edition cover for 'Dawn FM'. Sold on vinyl & CD.,,Scan,,Front Cover,Alternate,
Dawn FM,Dawn FM [Collectors Edition #3] [Back],Back of the 'Dawn FM' Collectors Edtion 03.,,,,Back Cover,Alternate,
Dawn FM,Dawn FM [Collectors Edition #4],Fourth collectors edition cover for 'Dawn FM'. Sold on vinyl & CD.,,Scan,,Front Cover,Alternate,
Dawn FM,Dawn FM [Collectors Edition #5],Fifth collectors edition cover for 'Dawn FM'. Sold on vinyl & CD.,,Scan,,Front Cover,Alternate,
Dawn FM,"Out Of Time
(KAYTRANDA Remix)","Cover for, ""Out Of Time"" Remix by KAYTRANDA.",,Digital,,Front Cover,Used,
Dawn FM,"Swedish House Mafia - Moth To A Flame
(With The Weeknd) (Moojoo Remix)","Cover for, 'Moth To A Flame' Remix by Moojoo. ",,Digital,,Front Cover,Used,
Dawn FM,"Starry Eyes
[MIKE DEAN Remix]",Single cover for the 'Starry Eyes' MIKE DEAN Remix.,,Digital,,Front Cover,Used,
Dawn FM,"Dawn FM
[OPN Remix]",Single cover for the 'Dawn FM' OPN Remix.,,Digital,,Front Cover,Used,
Dawn FM,How Do I Make You Love Me? [Sebastian Ingrosso & Salvatore Gannaci Remix],Single cover for the 'How Do I Make You Love Me?' Sebastian Ingrosso & Salvatore Gannaci Remix.,,Digital,,Front Cover,Used,
Dawn FM,"Best Friends [Remix]
(feat. Summer Walker)",Single cover for the 'Best Friends' Remix. Featuring Summer Walker.,,Digital,,Front Cover,Used,
Dawn FM,Nothing Is Lost (You Give Me Strength),"Single cover for, 'Nothing Is Lost (You Give Me Strength)'. Released for the Avatar: The Way Of Water soundtrack. ",,Digital,,Front Cover,Used,
Dawn FM,Nothing Is Lost (You Give Me Strength) (Japanese Cover),"Japanese cover for, 'Nothing Is Lost (You Give Me Strength)'. Released for the Avatar: The Way Of Water soundtrack. Extremely lq since I can't find it anywhere???",,Digital,,Front Cover,Used,
Dawn FM,Nothing Is Lost (You Give Me Strength) (Alt.),"Alternate cover for, 'Nothing Is Lost (You Give Me Strength)'. Released for the Avatar: The Way Of Water soundtrack. ",,Digital,,Front Cover,Alternate,
Dawn FM,"Die For You [Remix]
(feat. Ariana Grande)","Cover for the, 'Die For You' Remix, featuring Ariana Grande.",,Digital,,Front Cover,Used,
Dawn FM,Live at SoFi Stadium,"Cover for the live album, 'Live at SoFi Stadium'.
 I CANT FUCKING SING.",,Digital,,Front Cover,Used,
Dawn FM,"Metro Boomin - Creepin' (Remix)
(feat. The Weeknd, Diddy, & 21 Savage)","Cover for the single, 'Creepin' (Remix)'. Features The Weeknd, Diddy (😭😭😭), & 21 Savage.",,Digital,,Front Cover,Used,
The Idol,"Double Fantasy
(feat. Future)","Single cover for, 'Double Fantasy'. Featuring Future. Uses a screengrab from The Idol.",,Digital,,Front Cover,Used,
The Idol,"The Idol, Vol 1 (Music from the HBO Original Series)","Album cover for 'The Idol, Vol 1' that would eventually be scrapped in favor of the songs being released as singles. This same cover would later be reused for 'Popular'.",,Digital,,Front Cover,Used,
The Idol,"The Idol, Vol 1 (Music from the HBO Original Series) [Clean]","Clean album cover for 'The Idol, Vol 1'.",,Digital,,Front Cover,Used,
The Idol,"The Idol, Vol 1 (Music from the HBO Original Series) [Alt #1]","Alternate cover for 'The Idol, Vol.1', used as a CD cover for a box set that would later be cancelled. ",,Digital,,Front Cover,Alternate,
The Idol,"The Idol, Vol 1 (Music from the HBO Original Series) [Alt #2]","Alternate cover for 'The Idol, Vol.1', used as a CD cover for a box set that would later be cancelled. Only a low resolution version can be found from the boxset photos.",,Photo,,Front Cover,Alternate,
The Idol,"Popular 
(with Madonna) (feat. Playboi Carti)","Single cover for, 'Popular'. Featuring Madonna & Playboi Carti. Same as the cover art for scrapped 'The Idol Vol.1' album but with additional text.",,Digital,,Front Cover,Used,
The Idol,The Idol Episode 1 (Music from the HBO Original Series),Cover for 'The Idol Episode 1 (Music from the HBO Original Series)'.,,Digital,,Front Cover,Used,
The Idol,The Idol Episode 2 (Music from the HBO Original Series),Cover for 'The Idol Episode 2 (Music from the HBO Original Series). Uses a screengrab from The Idol.,,Digital,,Front Cover,Used,
The Idol,The Idol Episode 3 (Music from the HBO Original Series),Cover for 'The Idol Episode 3 (Music from the HBO Original Series)'. Uses a screengrab from The Idol.,,Digital,,Front Cover,Used,
The Idol,The Idol Episode 4 (Music from the HBO Original Series),Cover for 'The Idol Episode 4 (Music from the HBO Original Series)'.,,Digital,,Front Cover,Used,
The Idol,The Idol Episode 5 Part 1 (Music from the HBO Original Series),Cover for 'The Idol Episode 5 Part 1 (Music from the HBO Original Series)'. ,,Digital,,Front Cover,Used,
