Era,Name,"Notes
(Join the Gorillaz Tracker Discord Server!)",Length,"Release
Date",Type,Streaming,Links
Gorillaz,"19-2000 (The Wiseguys House Of Wisdom Remix)
feat. Miho Hatori, Tina Weymouth & Chris Frantz","Remix of ""19-2000"" by British musician Touché from The Wiseguys. Originally released as a b-side to certain formats of the ""19-2000"" single and later on the OG US/CA/BR releases of G-Sides. Available normally on the US/CA edition of G-Sides on Spotify and YouTube Music, but unavailable everywhere else.",7:15,"Jun 19, 2001",Bonus Track,No,Download
,Gorillazish Mix,Mixtape by Dan the Automator. Apparently released in August 2001. Most likely released at the same time as the 8th issue of the 'Fader' magazine,,,,,
Gorillaz,Interview 7,Track 1 from Gorillazish Mix by Dan The Automator. Samples the answer to question 7 from The Apex Tapes and The Shining by Badly Drawn Boy.,0:56,Aug 2001,Album Track,No,Download
Gorillaz,Ugly People Be Quiet,Track 2 from Gorillazish Mix by Dan The Automator. Samples the eponymous song by Cash Money & Marvelous.,3:23,Aug 2001,Album Track,No,Download
Gorillaz,Rocking It,Track 3 from Gorillazish Mix by Dan The Automator. Samples Rockin' It by Brand Nubian.,3:15,Aug 2001,Album Track,No,Download
Gorillaz,Interview 8,Track 4 from Gorillazish Mix by Dan The Automator. Samples the answer to question 8 from The Apex Tapes and 'Bout That Time by Large Professor.,0:53,Aug 2001,Album Track,No,Download
Gorillaz,Tomorrow Comes Today (Gorillazish Mix),Track 5 from Gorillazish Mix. Alternative mix made by Dan the Automator.,2:54,Aug 2001,Album Track,No,Download
Gorillaz,A Message From J&H Productions,Track 6 from Gorillazish Mix by Dan The Automator,0:47,Aug 2001,Album Track,No,Download
Gorillaz,Judgement Day,Track 7 from Gorillazish Mix by Dan The Automator. Samples Heard of Dem by Sizzla,2:35,Aug 2001,Album Track,No,Download
Gorillaz,A Message From J&H Productions Pt. II,Track 8 from Gorillazish Mix by Dan The Automator,0:12,Aug 2001,Album Track,No,Download
Gorillaz,Staralfur,Track 9 from Gorillazish Mix by Dan The Automator. Samples Svefn-g-englar by Sigur Rós. ,6:40,Aug 2001,Album Track,No,Download
Gorillaz,Positive Contact (Mario C/Automator Rmx),Track 10 from Gorillazish Mix by Dan The Automator. Remix of the Deltron 3030 song.,2:14,Aug 2001,Album Track,No,Download
Gorillaz,You Gots To Chill,Track 11 from Gorillazish Mix by Dan The Automator. Samples the eponymous song by EPMD,0:55,Aug 2001,Album Track,No,Download
Gorillaz,Handsome Boy Modeling School Promo,Track 12 from Gorillazish Mix by Dan The Automator. Samples Father Speaks by Handsome Boy Modeling School Promo.,0:45,Aug 2001,Album Track,No,Download
Gorillaz,5/4 (Gorillazish Mix),Track 13 from Gorillazish Mix. Alternative mix made by Dan the Automator.,1:11,Aug 2001,Album Track,No,Download
Gorillaz,It's Only When (Automator Mix),Track 14 from Gorillazish Mix by Dan The Automator. Samples Only When I Lose Myslef by Depeche Mode,3:27,Aug 2001,Album Track,No,Download
,"G-Sides
(prod. Gorillaz & Dan the Automator)","(March 26, 2001) (Gorillaz releases in the UK
(December 12, 2001)  G-Sides releases in Japan",,,A B-sides collection to Gorillaz released in 2001.,,
G-Sides,"911
feat. D12 & Terry Hall",Released December 7th 2001 on the Gorillaz website. Recorded in 2001 after D12 were left stranded in England after the 9/11 attacks. The track is credited to Gorillaz + D12,5:48,"Dec 7, 2001",Single,No,Download
G-Sides,"19-2000 (Soulchild Remix)
feat. Miho Hatori, Tina Weimouth & Chris Frantz","Track 1 from G-Sides, first released as a Gorillaz bonus track and on the 19-2000 single.",3:29,"Mar 26, 2001",Album Track,Yes,Stream
G-Sides,"Faust
feat. Miho Hatori","Track 5 from G-Sides, first released on the Rock The House single.",3:51,"Oct 22, 2001",Album Track,Yes,Stream
G-Sides,Clint Eastwood (Phi Life Cypher Version),"Track 6 from G-Sides, demo Of Clint Eastwood recorded during the febuary sessions with the song being reworked later on with Dan The Automator removing Phi Life Cypher in favour of Del tha funky homosapien and Damon Albarn providing a chorus, it was first released on the Clint Eastwood single.",4:52,"Mar 5, 2001",Album Track,Yes,Stream
G-Sides,Ghost Train,"Track 7 from G-Sides, one of the first gorillaz tracks made, it was first released on the Rock The House single.",3:54,"Oct 22, 2001",Album Track,Yes,Stream
G-Sides,Hip Albatross,"Track 8 from G-Sides, first released as a bonus track on the France and Malaysia version of Gorillaz and on the 19-2000 single.",2:42,"Mar 26, 2001",Album Track,Yes,Stream
G-Sides,12D3,"Track 9 and 10 from G-Sides, being track 10 on the international released and track 9 on the US and Brazilian released, it was first released on the Tomorrow Comes Today EP and on the Malaysian version of Gorillaz.",3:24,"Nov 27, 2000",Album Track,Yes,Stream
G-Sides,"Clint Frostwood
by Chillaz
Gorillaz Cover","A parody remix of Clint Eastwood about Frosty The Snowman, credited to an artist named Chillaz, it uses the original instrumental, edited for the lyrics. It was released on a christmas album called 'Kevin & Bean Present Swallow My Eggnog'",2:41,Dec 2001,Album Track,No,Link Needed
G-SIdes,Don Quixote's Christmas Bonanza,Full-length version. Resurfaced in 2019 after being found on a CD titled 'AIR Futures (Modern Rock December 2001)'.,4:08,Dec 2001,Album Track,No,Download
G-Sides,Film Music,"Released as a b-side for ""Tomorrow Comes Today"" in 2002, meant to be included in Celebrity Harvest's film's score.",3:04,"Mar 12, 2002",Bonus Track,No,Download
G-Sides,"Gorillaz On My Mind
19-2000 Redman Remix","Track 9 on the Blade II soundtrack - Redman rapping over ""19-2000"".",4:30,"Mar 19, 2002",Feature,No,Download
G-Sides,"Clint Eastwood (Video Version)
feat. Del The Funky Homosapien","This version of Clint Eastwood is unique because unlike other videos only having a different mix this version has a new musical intro, released first on the single, being released alongside other videos on the Phase One: Celebrity Take Down DVD on 2002",,"Mar 5, 2001",Other,No,Link Needed
G-Sides,"Clint Eastwood (Exclusive Mandarin Version)
feat. Vaness Wu & Stanley Huang","A live version fo Clint Eastwood in mandarin, released only video on the Phase One: Celebrity Take Down DVD",4:10,"Nov 18, 2002",Other,No,Link Needed
G-Sides,"Small Time Shot Away
by Massive Attack feat. 2-D","Released on the 100th Window album by Massive attack as the 7th track, this song has the vocals of 2D and 3D",8:00,"Feb 10, 2003",Feature,Yes,Stream
G-Sides,"Ambulance
by Blur","Released on the Think Tank album, it was made on a Gorillaz session, Damon thought it didn't suit Gorillaz so it was later released by Blur",5:08,"May 5, 2003",Other,Yes,Stream
G-Sides,"FM
by Nathan Haines feat. 2-D
Steely Dan Cover","A Steely Dan cover by Nathan Haines featuring 2D, released on the Squire For Hire album as the 6th track",4:38,"Oct 8, 2003",Feature,Yes,Stream
G-Sides,"I Need A Gun
by Damon Albarn
Dirty Harry Demo","Track 1 of Democrazy, later worked on to become Dirty Harry",1:30,"Dec 8, 2003",Other,No,Download
G-Sides,"Gotta' Get Down With The Passing Of Time
by Damon Albarn ","Track 13 of Democrazy, a Gorillaz demo that was planned to feature Johnny Cash",2:25,"Dec 8, 2003",Other,No,Download
G-Sides,"End Of Democrazy
by Damon Albarn ","Demo of an unreleased track called Democrazy for Gorillaz or Africa Express, revealed on a BBC Radio 6 Music interview, confirmed to feature Tony Allen",3:55,"Dec 8, 2003",Other,No,Download
,"Laika Come Home (Spacemonkeyz Vs. Gorillaz)
(prod. Gorillaz & Dan the Automator)
(Gorilla)","(1998) (Gorillaz is formed by Damon Albarn & Jamie Hewlett)
(December 12, 2001) (Gorillaz & G-Sides is officially released in the UK",,,,,
Laika Come Home,19-2000 (Darren Mix),"Early version of Jungle Fresh, released first as a website exclusive, then released on acetate, only 10 copies were given",3:44,2002,Single,No,Link Needed
Laika Come Home,"Jungle Fresh
feat. Miho Hatori","Track 1 from Laika Come Home, a remix of 19-2000",5:28,"Jul 1, 2002",Album Track,Yes,Stream
Laika Come Home,"Strictly Rubbadub
feat. U Brown","Track 2 from Laika Come Home, a remix of Slow Country",3:41,"Jul 1, 2002",Album Track,Yes,Stream
Laika Come Home,"Bañana Baby
feat. Earl Sixteen","Track 3 from Laika Come Home, a remix of Tomorrow Comes Today",5:29,"Jul 1, 2002",Album Track,Yes,Stream
Laika Come Home,Monkey Racket,"Track 4 from Laika Come Home, a remix of Man Research (Clapper)",5:57,"Jul 1, 2002",Album Track,Yes,Stream
Laika Come Home,De-Punked,"Track 5 from Laika Come Home, a remix of Punk",5:20,"Jul 1, 2002",Album Track,Yes,Stream
Laika Come Home,P45,"Track 6 from Laika Come Home, a remix of 5/4",4:26,"Jul 1, 2002",Album Track,Yes,Stream
Laika Come Home,Dub Ø9,"Track 7 from Laika Come House, a remix of Starshine",5:17,"Jul 1, 2002",Album Track,Yes,Stream
Laika Come Home,Crooked Dub,"Track 8 of Laika Come Home, a remix of Sound Check (Gravity)",5:31,"Jul 1, 2002",Album Track,Yes,Stream
Laika Come Home,Mutant Genius,"Track 9 of Laika Come Home, a remix of New Genious (Brother)",5:02,"Jul 1, 2002",Album Track,Yes,Stream
Laika Come Home,"Come Again
feat. Miho Hatori","Track 10 of Laika Come Home, a remix of Re-Hash",6:04,"Jul 1, 2002",Album Track,Yes,Stream
Laika Come Home,"A Fistful of Peanuts
feat. Earl Sixteen & U Brown","Track 11 of Laika Come Home, a remix of Clint Eastwood",5:53,"Jul 1, 2002",Album Track,Yes,Stream
Laika Come Home,"Lil' Dub Chefin'
feat. Terry Hall","Track 12 of Laika Come Home, a remix of M1 A1",5:42,"Jul 1, 2002",Album Track,Yes,Stream
Laika Come Home,More Rubbadub,"Bonus track fused with Lil' Dub Chefin', extended version of Strictly Rubbadub",5:14,"Jul 1, 2002",Bonus Track,Yes,Stream
Laika Come Home,More Peanuts,"Bonus track fused in in Lil' Dub Chefin' on the vinyl released, it comes after Strictly Rubbadub",6:39,"Jul 1, 2002",Bonus Track,Yes,Stream
Laika Come Home,"Lil' Dub Chefin' (Single Version)                                   
feat. Terry Hall","The single of Lil' Dub Chefin' has a different version from the album, having an intro an more changes in the instrumental of the song",4:41,"Jul 22, 2002",Single,Yes,Stream
Laika Come Home,"Spacemonkeyz Theme                                           
feat The Last Emperor & Stanley Huang","B-Side track of the Lil' Dub Chefin' single, it is the only song from Spacemonkeyz that is not a remix of a Gorillaz song",5:20,"Jul 22, 2002",Bonus Track,Yes,Stream
,"Demon Days
(prod. Gorillaz & Danger Mouse)
(Celebrity Harvest, We Are Happy Landfill)","(March 26, 2001) & (December 12, 2001) (Gorillaz & G-Sides are officially released)
(May 11, 2005) & (November 19, 2007) (Demon Days & D-Sides are officially released)",,,"With the goal of proving Gorillaz wasn’t a gimmick, Demon Days featured a noticeable shift in sound from the dub-influenced underground hip-hop of Gorillaz to a more political rock, pop, choral and hip-hop route brought on by string arrangements, drum-sequencing, and lyrics crticizing the Afghanistan War and life post-911. Co-produced by then-newcomer Danger Mouse, Demon Days is also the first Gorillaz album to heavily feature other artists and rely on collaboration, a future mainstay for all Gorillaz projects.",,
Demon Days,Roadkill : The Mixtape,,,,Other,No,Download
Demon Days,Intro,Track 1 from Demon Days.,1:07,"May 11, 2005",Album Track,Yes,Stream
Demon Days,Last Living Souls,Track 2 from Demon Days.,3:15,"May 11, 2005",Album Track,Yes,Stream
Demon Days,"Kids with Guns
(feat. Neneh Cherry)",Track 3 from Demon Days. Has a Neneh Cherry feature.,3:45,"May 11, 2005",Album Track,Yes,Stream
Demon Days,O Green World,Track 4 from Demon Days.,4:35,"May 11, 2005",Album Track,Yes,Stream
Demon Days,"Dirty Harry
(feat. Bootie Brown) ",Track 5 from Demon Days. Has a Bootie Brown feature.,3:50,"May 11, 2005",Single,Yes,Stream
Demon Days,"Feel Good Inc.
(feat. De La Soul)",Track 5 from Demon Days. Has a De La Soul feature.,3:42,"May 11, 2005",Single,Yes,Stream
Demon Days,El Mañana,Track 6 from Demon Days.,3:55,"May 11, 2005",Album Track,Yes,Stream
Demon Days,Every Planet We Reach Is Dead,Track 7 from Demon Days. ,4:55,"May 11, 2005",Album Track,Yes,Stream
Demon Days,"November Has Come
(feat. MF DOOM)",Track 8 from Demon Days. Has an MF DOOM feature.,2:45,"May 11, 2005",Album Track,Yes,Stream
Demon Days,"All Alone
(feat. Martina Topley-Bird & Roots Manuva)",Track 9 from Demon Days. Has features from Martina Topley-Bird and Roots Manuva.,3:33,"May 11, 2005",Album Track,Yes,Stream
Demon Days,White Light,Track 10 from Demon Days. ,2:13,"May 11, 2005",Album Track,Yes,Stream
Demon Days,"DARE
(feat. Shaun Ryder & Roses Gabor)",Track 11 from Demon Days. Has features from Shaun Ryder and Roses Gabor.,4:04,"May 11, 2005",Single,Yes,Stream
Demon Days,Fire Coming out of the Monkey's Head,Track 12 from Demon Days. ,3:19,"May 11, 2005",Album Track,Yes,Stream
Demon Days,Don't Get Lost in Heaven,Track 13 from Demon Days. ,2:11,"May 11, 2005",Album Track,Yes,Stream
Demon Days,Demon Days,Track 14 from Demon Days. ,4:28,"May 11, 2005",Album Track,Yes,Stream
Demon Days,Radio Documentary,Broadcast by BBC Radio 1 in 2005. CD released by Parlophone in 2006.,,,Other,No,Link Needed
,"D-Sides
(prod. Gorillaz & Danger Mouse)","(May 11th, 2005) Demon Days releases
(November 19, 2007) D-Sides releases.",,,A B-sides collection to Demon Days released in 2007.,,
D-Sides,68 State ,"Track 1 from D-Sides. First issued in the Japanese edition of Demon Days and as a B-Side on the Feel Good Inc 7"" picture disk",4:48,"May 9, 2005",Album Track,Yes,Stream
D-Sides,People,Track 2 from D-Sides. First released as a B-Side to DARE on the single's DVD,3:28,"Aug 29, 2005",Album Track,Yes,Stream
D-Sides,Hongkongaton,Track 3 from D-Sides. First released as a B-Side to Dirty Harry,3:35,"Nov 18, 2005",Album Track,Yes,Stream
D-Sides,We Are Happy Landfill,Track 4 from D-Sides.,3:39,"Nov 7, 2007",Album Track,Yes,Stream
D-Sides,Hong Kong                                                                            (feat. Chen Wei-Man),"Track 5 from D-Sides. Originally made for the 'HELP: A  Day In The Life' album, it was later reworked and added to D-Sides.",7:13,"Nov 7, 2007",Album Track,Yes,Stream
D-Sides,Highway (Under Construction),Track 6 from D-Sides. First issued as a B-Side to DARE,4:17,"Aug 29, 2005",Album Track,Yes,Stream
D-Sides,Rockit ,"Track 7 from D-Sides. First released on the gorillaz.com website on 8th of December 2004, it was later reworked and added to D-Sides",3:33,"Nov 7, 2007",Album Track,Yes,Stream
D-Sides,Bill Murray                                                                            (feat. The Bees),"Track 8 from D-Sides. Its demo is one of the very first in band's history, being written by Damon back in 1999",3:51,"Nov 7, 2007",Album Track,Yes,Stream
D-Sides,The Swagga,Track 9 from D-Sides. First released with visuals on the Demon Days Deluxe CD,4:57,"May 11, 2005",Album Track,Yes,Stream
D-Sides,Murdoc Is God,Track 10 from D-Sides. First released as a B-Side to Feel Good Inc on its japanese single releases,2:26,"Apr 27, 2005",Album Track,Yes,Stream
D-Sides,Spitting Out The Demons,Track 11 from D-Sides. First released as a B-Side to Feel Good Inc,5:10,"Apr 27, 2005",Album Track,Yes,Stream
D-Sides,"Don't Get Lost In Heaven [V1]
(Don't Get Lost In Heaven Drunk Version)",Track 12 from D-Sides.The Demo Version of Don't Get Lost In Heaven from D-Sides Had a Music Video Made During the Search for a Star Contest By _____ Most Likely from when the album was called Happy Landfill ,2:29,"Nov 7, 2007",Album Track,Yes,Stream
D-Sides,Stop The Dams                                                                           (feat. Ghostigital & The Reykjavik West End Brass Band)                                                                   ,"Track 13 from D-Sides. First released as a B-Side to the El Mañana/Kids With Guns single. The track is an alternate version of 'Aluminum', only played once in Iceland as a protest against the construction of the Kárahnjúkar Hydropower Plant.",5:39,"Apr 10, 2006",Album Track,Yes,Stream
D-Sides,DARE (DFA Remix),First released on DFA's 'The DFA Remixes: Chapter One' compilation and then later as track 14 from D-Sides,12:15,"Mar 27, 2006",Album Track,Yes,Stream
D-Sides,Feel Good Inc. (Stanton Warriors Remix),Track 15 from D-Sides,7:24,"Nov 7, 2007",Album Track,Yes,Stream
D-Sides,Kids With Guns (Jamie T's Turn to Monsters Mix),"First released on its own 12"" promo record, it was later featured as track 16 from D-Sides",4:22,Mar 2006,Album Track,Yes,Stream
D-Sides,DARE (Soulwax Remix),"First released digitally on Apple Music, it was later used as a B-Side to DARE and then finally featured as track 17 from D-SIdes",5:48,"Aug 19, 2005",Album Track,Yes,Stream
D-Sides,Kids With Guns (Hot Chip Remix),"First released on a 12"" promo record alongside the El Mañana Metronomy Remix, it was later featured as track 18 from D-Sides",7:09,"Apr 11, 2006",Album Track,Yes,Stream
D-Sides,El Mañana (Metronomy Remix),"First released on its own 12"" promo record, then on another one alongside the Kids With Guns Hot Chip Remix, it was finally featured as track 19 from D-Sides",5:44,Mar 2006,Album Track,Yes,Stream
D-Sides,DARE (Jrsnchz Blokroxtra Mix),"First released on a promo CD, and then featured as track 20 from D-Sides",5:26,Nov 2005,Album Track,Yes,Stream
D-Sides,Dirty Harry (Schtung Chinese New Year remix),Track 21 from D-Sides. Later used in the 2010 'The Karate Kid' movie,3:53,"Nov 7, 2007",Album Track,Yes,Stream
D-Sides,Kids With Guns (Quiet Village Remix),"First released on its own 12"" promo record, it was later featured as track 22 from D-Sides",10:02,"Jan 22, 2007",Album Track,Yes,Stream
D-Sides,"Samba At 13
(feat. Paraiso School of Samba)","First released as a b-side to ""DARE"", was added to the US iTunes on 19 December, 2006, and still remains exclusive to it regarding streaming services. First bonus track to the Japanese and Taiwanese Standard Edition CDs of D-Sides.",6:25,"Dec 19, 2006",Bonus Track,No,Download
D-Sides,Film Trailer Music,Meant to be used as the trailer music for the Bananaz documentary. Exclusive and second bonus track to the Japanese and Taiwanese Standard Edition CDs of D-Sides.,1:44,"Dec 19, 2007",Bonus Track,No,Download
,Monkey - Journey To The West,"(May 11, 2005) & (November 19, 2007) (Demon Days & D-Sides officially releases)
(August 18, 2008) (Monkey - Journey to the West officially releases)",,,"""Monkey - Journey To The West"" is an opera that is a stage adaptation of the Chinese novel ""Journey To The West,"" made in collaboration with Chinese actor and director Chen Shi-Zheng in 2005. Damon and Hewlett have both referred to Monkey: Journey To The West as a Gorillaz project. Originally, they intended for the soundtrack to be released as a Gorillaz project, under the Gorillaz name, but were unable to do so for legal reasons.",,
Journey To The West,"Monkey's World
(feat. Fei Yang)","Track 1 from Journey To The West, features vocals from Fei Yang as Monkey.",2:34,"Aug 18, 2008",Album Track,Yes,Stream
Journey To The West,"Monkey Travels
(feat. UK Chinese Ensemble)","Instrumental, track 2 from Journey To The West. Instrumentals preformed by the UK Chinese Ensemble.",0:45,"Aug 18, 2008",Album Track,Yes,Stream
Journey To The West,"Into the Eastern Sea
(feat. Fei Yang)","Track 3 from Journey To The West, features vocals from Fei Yang as Monkey.",0:35,"Aug 18, 2008",Album Track,Yes,Stream
Journey To The West,The Living Sea,Track 4 from Journey To The West,1:54,"Aug 18, 2008",Album Track,Yes,Stream
Journey To The West,The Dragon King,Track 5 from Journey To The West,2:19,"Aug 18, 2008",Album Track,Yes,Stream
Journey To The West,Iron Rod,Track 6 from Journey To The West,1:06,"Aug 18, 2008",Album Track,Yes,Stream
Journey To The West,Out of the Eastern Sea,Track 7 from Journey To The West,1:05,"Aug 18, 2008",Album Track,Yes,Stream
Journey To The West,Heavenly Peach Banquet,Track 8 from Journey To The West,3:32,"Aug 18, 2008",Album Track,Yes,Stream
Journey To The West,Battle into Heaven,Track 9 from Journey To The West,3:30,"Aug 18, 2008",Album Track,Yes,Stream
Journey To The West,O Mi To Fu,Track 10 from Journey To The West,0:57,"Aug 18, 2008",Album Track,Yes,Stream
Journey To The West,Whisper,Track 11 from Journey To The West,2:17,"Aug 18, 2008",Album Track,Yes,Stream
Journey To The West,Tripitaka's Course,Track 12 from Journey To The West,1:22,"Aug 18, 2008",Album Track,Yes,Stream
Journey To The West,Cofessions of a Pig,Track 13 from Journey To The West,3:21,"Aug 18, 2008",Album Track,Yes,Stream
Journey To The West,Sandy the River Demon,Track 14 from Journey To The West,2:16,"Aug 18, 2008",Album Track,Yes,Stream
Journey To The West,March of the Volunteers,Track 15 from Journey To The West,1:52,"Aug 18, 2008",Album Track,Yes,Stream
Journey To The West,The White Skeleton Demon,Track 16 from Journey To The West,1:34,"Aug 18, 2008",Album Track,Yes,Stream
Journey To The West,Monk's Song,Track 17 from Journey To The West,1:46,"Aug 18, 2008",Album Track,Yes,Stream
Journey To The West,I Love Buddha,Track 18 from Journey To The West,2:43,"Aug 18, 2008",Album Track,Yes,Stream
Journey To The West,March of the Iron Army,Track 19 from Journey To The West,2:45,"Aug 18, 2008",Album Track,Yes,Stream
Journey To The West,Pigsy in Space,Track 20 from Journey To The West,2:16,"Aug 18, 2008",Album Track,Yes,Stream
Journey To The West,Monkey Bee ,Track 21 from Journey To The West,5:01,"Aug 18, 2008",Album Track,Yes,Stream
Journey To The West,Disappering Volcano,Track 22 from Journey To The West,6:09,"Aug 18, 2008",Album Track,Yes,Stream
Journey To The West,"Monkey Bee (Journey to Beijing Version)
(TV Theme Version)",Track 24 on the Japanese version of Journey to the West. Used as part BBC Sport's marketing campaign for the 2008 Olympic Games,2:00,"Oct 22, 2008",Single,No,Download
Journey To The West,5 Point Star,"Instrumental, track 1 on the Art Box Set version of Journey to the West.",6:04,"Dec 8, 2008",Bonus Track,No,Download
Journey To The West,The Living Sea Introduction,"Instrumental, track 5 on the Art Box Set version of Journey to the West. Instrumental performed by David Coulter.",0:48,"Dec 8, 2008",Bonus Track,No,Download
Journey To The West,The Dragon Queen,Track 9 on the Art Box Set version of Journey to the West,1:34,"Dec 8, 2008",Bonus Track,No,Download
Journey To The West,Buddha's Palm,Track 14 on the Art Box Set version of Journey to the West,1:17,"Dec 8, 2008",Bonus Track,No,Download
Journey To The West,Monk's Funeral,Track 21 on the Art Box Set version of Journey to the West,1:39,"Dec 8, 2008",Bonus Track,No,Download
