Era,Name,"Notes
(Join the Gorillaz Tracker Discord Server!)",Length,"Release
Date",Type,Streaming,Links
Journey To The West,Volcano,Track 25 on the Art Box Set version of Journey to the West,1:09,"Dec 8, 2008",Bonus Track,No,Download
Journey To The West,Battle In Heaven ,Track 1 on the Monkey Om Box,0:31,"Dec 8, 2008",Bonus Track,No,Download
Journey To The West,Drums At The Station,Track 2 on the Monkey Om Box,0:08,"Dec 8, 2008",Bonus Track,No,Download
Journey To The West,The Heavenly Peach,Track 3 on the Monkey Om Box,0:32,"Dec 8, 2008",Bonus Track,No,Download
Journey To The West,Into The Sea,Track 4 on the Monkey Om Box,0:30,"Dec 8, 2008",Bonus Track,No,Download
Journey To The West,The Living Sea,Track 5 on the Monkey Om Box,0:31,"Dec 8, 2008",Bonus Track,No,Download
Journey To The West,March of The Iron Army,Track 6 on the Monkey Om Box,0:31,"Dec 8, 2008",Bonus Track,No,Download
Journey To The West,Desire,Track 7 on the Monkey Om Box,0:24,"Dec 8, 2008",Bonus Track,No,Download
Journey To The West,Monkey Bee 1,Track 8 on the Monkey Om Box,0:18,"Dec 8, 2008",Bonus Track,No,Download
Journey To The West,Monkey Bee 2,Track 9 on the Monkey Om Box,0:07,"Dec 8, 2008",Bonus Track,No,Download
Journey To The West,Pigsy in Space,Track 10 on the Monkey Om Box,0:14,"Dec 8, 2008",Bonus Track,No,Download
Journey To The West,Time Travel,Track 11 on the Monkey Om Box,0:30,"Dec 8, 2008",Bonus Track,No,Download
Journey To The West,Siren,Track 12 on the Monkey Om Box,0:42,"Dec 8, 2008",Bonus Track,No,Download
Journey To The West,Omi To Fu,Track 13 on the Monkey Om Box,0:15,"Dec 8, 2008",Bonus Track,No,Download
,Carousel,"(November 2007) (Work on Carousel begins)
(June 2008) (Recording for Plastic Beach begins)
(November 2009) (Carousel is scrapped)",,,"Announced in 2008 as the third Gorillaz album, Carousel was to be a multi-media orchestral art-rock project contained in 15 stories. Thematically, Carousel would revolve around the mystical aspects of Britain and the progression of life all taking place on a 100-mile pier. Carousel was scrapped by EMI who refused to fund the project while Damon and Jamie struggled to structure the project. Damon and Jamie would then carry over elements from Carousel to another Gorillaz project, Plastic Beach.",,
Carousel,"Martina Topley-Bird - Soldier Boy 
(feat. Gorillaz)
(Snakes and Ladders)","Re-recorded version of ""Snakes and Ladders"", features Roots Manuva's verse from ""Snakes and Ladders"" and presumably other parts. Released on iTunes May 5, 2008, currently unavailable.",2:07,"May 5, 2008",Feature,No,Old Link
Carousel,Heavenly Peach Banquet (Single Edit),Released on AppleMusic as part of the 'Monkey Bee Remixes' EP,3:32,"Jan 13, 2009",Single,Yes,"Download, stream"
Carousel,"Repetition Kills You
by The Black Ghosts & Damon Albarn","Composed by Damon, the song shares strong similarities with 68 State, making it most likely a rework of the D-Sides track",3:43,"Jan 25, 2009",Other,Yes,Stream
,Plastic Beach,"(January 14, 2009) (Damon plays three demos on BBC Radio 1)
(March 3, 2010) (Plastic Beach officially releases)",,,"Conceived initially as three separate projects: Carousel, Plastic Beach and Dee, The Opera. The third Gorillaz album took on a more environmental focus from Damon observing the amounts of plastic on the sands of a beach. Plastic Beach is infamous for going over the band's budget, and its scrapped content, leading to the 2018 #FreeTheSea campaign calling for the release of the 200+ unreleased songs recorded during the making of Phase 3.",,
Plastic Beach,"Orchestral Intro 
(feat. Sinfonia ViVA)",Track 1 from Plastic Beach. Has a Sinfonia ViVA feature.,1:09,"Mar 3, 2010",Album Track,Yes,Stream
Plastic Beach,"Welcome To The World Of The Plastic Beach 
(feat. Snoop Dogg & Hypnotic Brass Ensemble)",Track 2 from Plastic Beach. Has features from Snoop Dogg and Hypnotic Brass Ensemble.,3:35,"Mar 3, 2010",Album Track,Yes,Stream
Plastic Beach,"White Flag 
(feat. Bashy, Kano & The Syrian National Orchestra For Arabic Music)","Track 3 from Plastic Beach. Has features from Bashy, Kano & The Syrian National Orchestra For Arabic Music.",3:43,"Mar 3, 2010",Album Track,Yes,Stream
Plastic Beach,Rhinestone Eyes,Track 4 from Plastic Beach. ,3:20,"Mar 3, 2010",Single,Yes,Stream
Plastic Beach,"Stylo 
(feat. Mos Def & Bobby Womack)",Track 5 from Plastic Beach. Has features from Mos Def and Bobby Womack.,4:30,"Mar 3, 2010",Single,Yes,Stream
Plastic Beach,"Superfast Jellyfish 
(feat. Gruff Rhys & De La Soul)",Track 6 from Plastic Beach. Has features from Gruff Rhys and De La Soul.,2:54,"Mar 3, 2010",Single,Yes,Stream
Plastic Beach,"Empire Ants 
(feat. Little Dragon)",Track 7 from Plastic Beach. Has a feature from Little Dragon.,4:43,"Mar 3, 2010",Album Track,Yes,Stream
Plastic Beach,"Glitter Freeze 
(feat. Mark E. Smith)",Track 8 from Plastic Beach. Has a feature from Mark E. Smith.,4:03,"Mar 3, 2010",Album Track,Yes,Stream
Plastic Beach,"Some Kind Of Nature 
(feat. Lou Reed)",Track 9 from Plastic Beach. Has a feature from Lou Reed.,2:59,"Mar 3, 2010",Album Track,Yes,Stream
Plastic Beach,On Melancholy Hill,Track 10 from Plastic Beach.,3:53,"Mar 3, 2010",Single,Yes,Stream
Plastic Beach,Broken,Track 11 from Plastic Beach.,3:17,"Mar 3, 2010",Album Track,Yes,Stream
Plastic Beach,"Sweepstakes 
(feat. Mos Def & Hypnotic Brass Ensemble)",Track 12 from Plastic Beach. Has features from Mos Def and Hypnotic Brass Ensemble.,5:20,"Mar 3, 2010",Album Track,Yes,Stream
Plastic Beach,"Plastic Beach 
(feat. Mick Jones & Paul Simonon)",Track 13 from Plastic Beach. Has features from Mick Jones and Paul Simonon.,3:47,"Mar 3, 2010",Album Track,Yes,Stream
Plastic Beach,"To Binge 
(feat. Little Dragon)",Track 14 from Plastic Beach. Has a feature from Little Dragon.,3:55,"Mar 3, 2010",Album Track,Yes,Stream
Plastic Beach,"Cloud Of Unknowing 
(feat. Bobby Womack & Sinfonia ViVA)",Track 15 from Plastic Beach. Has features from Bobby Womack and Sinfonia ViVA.,3:06,"Mar 3, 2010",Album Track,Yes,Stream
Plastic Beach,Pirate Jet ,Track 16 from Plastic Beach.,2:32,"Mar 3, 2010",Album Track,Yes,Stream
Plastic Beach,Pirate's Progress,"Track 17 on the Japanese and iTunes Deluxe editions of Plastic Beach. Eventually added to Youtube Music, Deezer and Spotify on 29 January 2025.",4:02,"Mar 8, 2010",Album Track,Yes,Stream
Plastic Beach,"Three Hearts, Seven Seas, Twelve Moons","Track 18 on the iTunes Deluxe editions of Plastic Beach. Eventually added to Youtube Music, Deezer and Spotify on 29 January 2025.",2:14,"Mar 8, 2010",Album Track,Yes,Stream
,The Fall,"(December 25, 2010) & (April 19, 2011) (The Fall officially releases)
(January 30, 2015) (Jamie Hewlett posts new artwork of Murdoc & Noodle on Instagram)",,,"""The Fall"" is the fourth album by Gorillaz, infamous for being concieved on tour, on an iPad. It was first released as a download for members of the Gorillaz fan club on December 25th, 2010, followed by a wider physical release on April 19th, 2011 by Parlophone Records.",,
The Fall,Doncamatic                                                                          (feat. Daley),Single Released after Plastic Beach Released ,3:22,"Nov 21, 2010",Single,Yes,Stream
The Fall,Phoner To Arizona,Track 1 from The Fall.,4:14,"Dec 25, 2010",Album Track,Yes,Stream
The Fall,Revolving Doors,Track 2 from The Fall.,3:26,"Dec 25, 2010",Album Track,Yes,Stream
The Fall,HillBilly Man,Track 3 from The Fall.,3:50,"Dec 25, 2010",Album Track,Yes,Stream
The Fall,Detriot,Track 4 from The Fall.,2:03,"Dec 25, 2010",Album Track,Yes,Stream
The Fall,Shy-town,Track 5 from The Fall.,2:54,"Dec 25, 2010",Album Track,Yes,Stream
The Fall,Little Pink Plastic Bags,Track 6 from The Fall.,3:09,"Dec 25, 2010",Album Track,Yes,Stream
The Fall,The Joplin Spider,Track 7 from The Fall.,3:22,"Dec 25, 2010",Album Track,Yes,Stream
The Fall,The Parish Of Space Dust,Track 8 from The Fall.,2:25,"Dec 25, 2010",Album Track,Yes,Stream
The Fall,The Snake In Dallas,Track 9 from The Fall.,2:11,"Dec 25, 2010",Album Track,Yes,Stream
The Fall,Amarillo,Track 10 from The Fall.,3:24,"Dec 25, 2010",Album Track,Yes,Stream
The Fall,The Speak It Mountains,Track 11 from The Fall.,2:14,"Dec 25, 2010",Album Track,Yes,Stream
The Fall,Aspen Forest,Track 12 from The Fall.,2:50,"Dec 25, 2010",Album Track,Yes,Stream
The Fall,"Bobby In Phoenix
(feat. Bobby Womack)",Track 13 from The Fall. Has a feature from Bobby Womack.,3:16,"Dec 25, 2010",Album Track,Yes,Stream
The Fall,California and the Slipping of the Sun,Track 14 from The Fall.,3:24,"Dec 25, 2010",Album Track,Yes,Stream
The Fall,Seattle Yodel,Track 15 from The Fall.,0:38,"Dec 25, 2010",Album Track,Yes,Stream
The Fall,"Snoop Dogg - Sumthin Like This Night
(feat. Gorillaz)",Track From the Plastic Beach Sessions Given to Snoop Dogg for his Album ,3:39,"Mar 29, 2011",Feature,Yes,Stream
,The Fall Korg iElectribe Kit (I-Sides),Notes,,,,,
The Fall,Donca Matic,A take on Doncamatic,0:07,"Apr 11, 2011",Other,No,Download
The Fall,Gunz Kidz,A take on Kids With Guns,0:08,"Apr 11, 2011",Other,No,Download
The Fall,Ikeja,,0:10,"Apr 11, 2011",Other,No,Download
The Fall,Eugene,,0:10,"Apr 11, 2011",Other,No,Download
The Fall,Harbor,,0:07,"Apr 11, 2011",Other,No,Download
The Fall,Laid Back,,0:13,"Apr 11, 2011",Other,No,Download
The Fall,Revolv Ragga,A take on Revolving Doors,0:09,"Apr 11, 2011",Other,No,Download
The Fall,R' n B,,0:08,"Apr 11, 2011",Other,No,Download
The Fall,Amarstep,A take on Amarillo,0:07,"Apr 11, 2011",Other,No,Download
The Fall,Styla,A take on Stylo,0:09,"Apr 11, 2011",Other,No,Download
The Fall,Deepform,,0:09,"Apr 11, 2011",Other,No,Download
The Fall,Good Feel,A take on Feel Good Inc.,0:06,"Apr 11, 2011",Other,No,Download
The Fall,Oui Yah Man,A take on HillBilly Man,0:07,"Apr 11, 2011",Other,No,Download
The Fall,Camden,,0:07,"Apr 11, 2011",Other,No,Download
The Fall,Gamba Japan,,0:11,"Apr 11, 2011",Other,No,Download
The Fall,Shy Dub,A take on Shy-Town/Detroit,0:12,"Apr 11, 2011",Other,No,Download
The Fall,Detroitian,A take on Detroit,0:08,"Apr 11, 2011",Other,No,Download
The Fall,Pinky Bag,A take on Little Pink Plastic Bags,0:10,"Apr 11, 2011",Other,No,Download
The Fall,Revolvian,A take on Revolving Doors,0:15,"Apr 11, 2011",Other,No,Download
The Fall,Billstep,A take on HillBilly Man,0:06,"Apr 11, 2011",Other,No,Download
The Fall,Sunshine,A take on Clint Eastwood,0:05,"Apr 11, 2011",Other,No,Download
The Fall,Snakeace,A take on The Snake in Dallas,0:08,"Apr 11, 2011",Other,No,Download
The Fall,Atomic Power,,0:08,"Apr 11, 2011",Other,No,Download
The Fall,Donca Donca,A take on Doncamatic,0:08,"Apr 11, 2011",Other,No,Download
The Fall,Rescue Japan,,0:09,"Apr 11, 2011",Other,No,Download
The Fall,Montreal,,0:04,"Apr 11, 2011",Other,No,Download
The Fall,Oakland,,0:02,"Apr 11, 2011",Other,No,Download
The Fall,Funtime,,0:05,"Apr 11, 2011",Other,No,Download
The Fall,Garage,,0:07,"Apr 11, 2011",Other,No,Download
The Fall,Tomcat,,0:07,"Apr 11, 2011",Other,No,Download
The Fall,Time Lord,,0:06,"Apr 11, 2011",Other,No,Download
The Fall,Santa Fe,,0:09,"Apr 11, 2011",Other,No,Download
,"HUMANZ
(prod. Gorillaz, The Twilite Tone & Remi Kabaka Jr.)
(Transformerz)","(January 30, 2015) (Jamie Hewlett posts new artwork of Murdoc & Noodle on Instagram)
(April 27, 2017) (Humanz officially releases)",,,"After reuniting at a party, Damon and Jamie would begin work on a Gorillaz comeback album in 2015 titled Transformerz. After producer The Twilite Tone became involved in 2016, Transformerz would be renamed to Humanz, with a new concept imagining a party at the end of the world caused by (the then-hypothetical of) Donald Trump winning the 2016 US presidential election.",,
HUMANZ,"DoYaThing [V1]
(feat. André 3000 & James Murphy","Copy of a Parlophone Promo CD Rip - Released February 23, 2012. Includes the radio edit and the 13 minute long, uncensored version. Commissioned by Converse for their 'Three Artists One Song' campaign.",13:06,"Feb 23, 2012",Single,No,Link Needed
HUMANZ,"DoYaThing [V2]
(feat. André 3000 & James Murphy","Original .zip released by Converse February 23, 2012. Commissioned by Converse for their 'Three Artists One Song' campaign.",4:27,"Feb 12, 2012",Single,No,Link Needed
HUMANZ,"DoYaThing [V3]
(feat. André 3000 & James Murphy","OG Filename: 02 DoYaThing (full version)
Full-length version of ""DoYaThing"" released March 1, 2012 on Soundcloud..",13:04,"Mar 1, 2012",Single,No,Link Needed
HUMANZ,"Apple Carts 
by Damon Albarn","After being cut from Plastic Beach, Damon reworked the track for his 'Dr. Dee' opera",2:36,"May 7, 2012",Other,Yes,Stream
HUMANZ,"Watching the Fire That Waltzed Away
by Damon Albarn","Thought to be a rework of the cut Plastic Beach track ""Underwater""",2:37,"May 7, 2012",Other,Yes,Stream
HUMANZ,"Tree of Beauty
by Damon Albarn","Thought to be a rework of the cut Plastic Beach track ""Sea of Beauty Pop Song""",2:00,"May 7, 2012",Other,Yes,Stream
HUMANZ,Gorillaz - Live at Glastonbury Festival ,Semi-official CD only ever released in Brazil,,2016,Other,No,Link Needed
HUMANZ,Intro: I Switched My Robot Off,Track 1 from HUMANZ.,0:24,"Apr 27, 2017",Album Track,Yes,Stream
HUMANZ,"Ascension 
(feat. Vince Staples)",Track 2 from HUMANZ. Has a Vince Staples feature.,2:35,"Apr 27, 2017",Single,Yes,Stream
HUMANZ,"Strobelite 
(feat. Peven Everett)",Track 3 from HUMANZ. Has a Peven Everett feature.,4:32,"Apr 27, 2017",Album Track,Yes,Stream
HUMANZ,"Saturnz Barz 
(feat. Popcaan)",Track 4 from HUMANZ. Has a Popcaan feature.,3:01,"Apr 27, 2017",Single,Yes,Stream
HUMANZ,"Momentz 
(feat. De La Soul & Kevin Mercer)",Track 5 from HUMANZ. Has features from De La Soul and Kevin Mercer.,3:16,"Apr 27, 2017",Album Track,Yes,Stream
HUMANZ,Interlude: The Non-Conformist Oath,Track 6 from HUMANZ.,0:21,"Apr 27, 2017",Album Track,Yes,Stream
HUMANZ,"Submission 
(feat. Danny Brown & Kelela)",Track 7 from HUMANZ. Has features from Danny Brown and Kelala.,3:21,"Apr 27, 2017",Album Track,Yes,Stream
HUMANZ,"Charger
(feat. Grace Jones)",Track 8 from HUMANZ. Has a Grace Jones feature.,3:34,"Apr 27, 2017",Album Track,Yes,Stream
HUMANZ,Interlude: Elevator Going Up,Track 9 from HUMANZ.,0:04,"Apr 27, 2017",Album Track,Yes,Stream
HUMANZ,"Andromeda
(feat. DRAM)",Track 10 from HUMANZ. Has a DRAM feature.,3:17,"Apr 27, 2017",Single,Yes,Stream
HUMANZ,Busted And Blue,Track 11 from HUMANZ.,4:37,"Apr 27, 2017",Album Track,Yes,Stream
HUMANZ,Interlude: Talk Radio,Track 12 from HUMANZ.,0:19,"Apr 27, 2017",Album Track,Yes,Stream
HUMANZ,"Carnival
(feat. Anthony Hamilton)",Track 13 from HUMANZ. Has an Anthony Hamilton feature.,2:15,"Apr 27, 2017",Album Track,Yes,Stream
HUMANZ,"Let Me Out
(feat. Mavis Staples & Pusha T)",Track 14 from HUMANZ. Has features from Mavis Staples & Pusha T.,2:55,"Apr 27, 2017",Single,Yes,Stream
HUMANZ,Interlude: Penthouse,Track 15 from HUMANZ.,0:11,"Apr 27, 2017",Album Track,Yes,Stream
HUMANZ,"Sex Murder Party
(feat. Jamie Principle & Zebra Katz)",Track 16 from HUMANZ. Has features from Jamie Principle & Zebra Katz.,2:15,"Apr 27, 2017",Album Track,Yes,Stream
HUMANZ,"She's My Collar
(feat. Kali Uchis)",Track 17 from HUMANZ. Has a Kali Uchis feature.,2:55,"Apr 27, 2017",Album Track,Yes,Stream
HUMANZ,Interlude: The Elephant,Track 18 from HUMANZ. ,0:11,"Apr 27, 2017",Album Track,Yes,Stream
HUMANZ,"Hallelujah Money
(feat. Benjamin Clementine)",Track 19 from HUMANZ. Has a Benjamin Clementine feature.,4:23,"Apr 27, 2017",Album Track,Yes,Stream
HUMANZ,"We Got the Power
(feat. Jehnny Beth)",Track 20 from HUMANZ. Has a Jehnny Beth feature.,2:19,"Apr 27, 2017",Single,Yes,Stream
HUMANZ,Interlude: New World,Track 21 from the HUMANZ Deluxe.,,"May 24, 2017",Album Track,Yes,Stream
HUMANZ,"The Apprentice 
(feat. Rag'n'Bone Man, Zebra Katz & RAY BLK)","Track 22 from the HUMANZ Deluxe. Has features from Rag'n'Bone Man, Zebra Katz and RAY BLK.",,"May 24, 2017",Album Track,Yes,Stream
HUMANZ,"Halfway To The Halfway House 
(feat. Peven Everett)",Track 23 from the HUMANZ Deluxe. Has a feature from Peven Everett.,,"May 24, 2017",Album Track,Yes,Stream
HUMANZ,"Out Of Body 
(feat. Kilo Kish and Zebra Katz)",Track 24 from the HUMANZ Deluxe. Has features from Kilo Kish & Zebra Katz.,,"May 24, 2017",Album Track,Yes,Stream
HUMANZ,"Ticker Tape 
(feat. Carly Simon and Kali Uchis)",Track 25 from the HUMANZ Deluxe. Has features from Carly Simon & Kali Uchis.,,"May 24, 2017",Album Track,Yes,Stream
HUMANZ,"Circle Of Friendz 
(feat. Brandon Markell Holmes)",Track 26 from the HUMANZ Deluxe. Has a feature from Brandon Markell Holmes.,,"May 24, 2017",Album Track,Yes,Stream
HUMANZ,Sleeping Powder,"Digital only single, recorded in only 3 days. Track was made as a response to fans who wanted more 2D vocals on Humanz. Debuted early on Youtube and the Gorillaz app before going to streaming.",2:46,"Jun 8, 2017",Single,Yes,Stream
HUMANZ,"Garage Palace
(feat. Little Simz)","Single released to promote the Humanz Super Deluxe. B-side to ""Sex Murder Party"" on the vinyl box set.",2:31,"Oct 31, 2017",Single,Yes,Stream
HUMANZ,Long Beach,"FLAC ripped from vinyl by the Hologramz Team. Instrumental track made on Garage Band on Damon's iPad. B-side to ""Ascension"".",3:23,"Nov 3, 2017",Album Track,No,Download
HUMANZ,Colombians,"FLAC ripped from vinyl by the Hologramz Team. Instrumental track made on Garage Band on Damon's iPad. B-side to ""Strobelite""","3:57
","Nov 3, 2017",Album Track,No,Download
HUMANZ,Duetz,"FLAC ripped from vinyl by the Hologramz Team. One of three songs released on the Super Deluxe with vocals by Damon. B-side to ""Saturnz Barz"".","2:43
","Nov 3, 2017",Album Track,No,Download
HUMANZ,"Midnite Float
(feat. Azekel)","FLAC ripped from vinyl by the Hologramz Team. Azekel's vocals would be re-used in ""Momentz"", with the intro being used in ""Circle Of Friendz"". Features a synthesizer by Jean-Michel Jarre. B-side to ""Momentz"".",3:58,"Nov 3, 2017",Album Track,No,Download
HUMANZ,Grilling With His Face,"FLAC ripped from vinyl by the Hologramz Team. Instrumental track made on Garage Band on Damon's iPad. B-side to ""Submission"".","2:14","Nov 3, 2017",Album Track,No,Download
HUMANZ,"Charger (Alternative Version)
(feat. Pauline Black)","FLAC ripped from vinyl by the Hologramz Team. Version of ""Charger"" with Pauline Black's cut parts from the album version. B-side to ""Charger"".","2:57
","Nov 3, 2017",Album Track,No,Download
HUMANZ,"Busted and Blue (Faia Younan Special)
(feat. Faia Younan)","FLAC ripped from vinyl by the Hologramz Team. Version of ""Busted and Blue"" featuring Arabic vocals by Faia Younan. Released as one of two exclusive bonus tracks on the Japanese Deluxe CD on May 24, 2017, and later included as a B-side to ""Busted and Blue"" on the Super Deluxe Boxset.",3:39,"May 24, 2017",Album Track,No,Download
HUMANZ,"Carnival (2D Special)
(feat. Anthony Hamilton)","FLAC ripped from vinyl by the Hologramz Team. Full-length version with no cross-fading intro and full ""2D Special"" outro that was only played live. Not included on release version of Humanz because of sample clearance not being done in time for the album's release. B-side to ""Carnival"".",3:47,"Nov 3, 2017",Album Track,No,Download
HUMANZ,Five Whales In A Dream,FLAC ripped from vinyl. One of three songs released on the Super Deluxe with vocals by Damon.,2:36,"Nov 3, 2017",Album Track,No,Download
HUMANZ,"She's My Collar (Kali Uchis Spanish Special)
(feat. Kali Uchis)",FLAC ripped from vinyl. Kali sings in Spanish from the opposite perspective of 2D/Damon from the original version.,2:48,"Nov 3, 2017",Album Track,No,Download
HUMANZ,"Phoenix On The Hill
(feat. Sidiki Diabaté)",FLAC ripped from vinyl. Features vocals and Kora playing by Sidiki Diabaté.,3:21,"Nov 3, 2017",Album Track,No,Download
HUMANZ,Tranzformer,FLAC ripped from vinyl. Instrumental track made on Garage Band on Damon's iPad.,2:38,"Nov 3, 2017",Album Track,No,Download
,"The Now Now
(prod. Gorillaz, James Ford & Remi Kabaka Jr.)
(3-D)","(April 27, 2017) (Humanz officially releases)
(June 29, 2018) (The Now Now officially releases)",,,"Recorded during the Humanz Tour with the intention of having more Damon-centric songs to play at concerts after the reaction to his absence on the majority of Humanz. The Now Now is a largely funk-inspired album written from the perspective of 2-D, with the change in sound being accredited in-universe to the temporary substitution of Murdoc to Ace from The Powerpuff Girls as the band's bassist.",,
The Now Now,"Lao Ra, Lully & Throwing Shade - Frequency (No Dormir)","Recorded in 2018 in the solar-powered Kong Studios trailer with no involvement from Damon, Jamie, Remi, etc. Initially released on E.On's SoundCloud account on March 2018, but were taken down later on the same year.",3:10,March 2018,EP Track,No,Link Needed
The Now Now,RIP Swirl & MazeOne - Meadows,"Recorded in 2018 in the solar-powered Kong Studios trailer with no involvement from Damon, Jamie, Remi, etc. Initially released on E.On's SoundCloud account on March 2018, but were taken down later on the same year.",3:12,March 2018,EP Track,No,Link Needed
The Now Now,"Kram Berev, Kapitány Máté & Ress - Szél","Recorded in 2018 in the solar-powered Kong Studios trailer with no involvement from Damon, Jamie, Remi, etc. Initially released on E.On's SoundCloud account on March 2018, but were taken down later on the same year.",3:49,March 2018,EP Track,No,Link Needed
The Now Now,"In My Dreams
Kali Uchis feat. Damon Albarn","This song was originally meant to be featured on the Humanz : Super Deluxe boxset, but Damon decided to swap it with She's My Collar (Kali Uchis Spanish Special)",3:21,"Apr 6, 2018",Other,Yes,Stream
The Now Now,"Humility
(feat. George Benson)",Track 1 from The Now Now. Has a feature from George Benson.,3:17,"Jun 29, 2018",Single,Yes,Stream
The Now Now,Tranz,Track 2 from The Now Now. ,2:42,"Jun 29, 2018",Single,Yes,Stream
The Now Now,"Hollywood
(feat. Snoop Dogg & Jamie Principle)",Track 3 from The Now Now. Has features from Snoop Dogg & Jamie Principle.,4:53,"Jun 29, 2018",Single,Yes,Stream
The Now Now,Kansas,Track 4 from The Now Now,4:08,"Jun 29, 2018",Album Track,Yes,Stream
The Now Now,Sorcererz,Track 5 from The Now Now,3:00,"Jun 29, 2018",Single,Yes,Stream
The Now Now,Idaho,Track 6 from The Now Now,3:42,"Jun 29, 2018",Album Track,Yes,Stream
The Now Now,Lake Zurich,Track 7 from The Now Now,4:13,"Jun 29, 2018",Single,Yes,Stream
The Now Now,Magic City,Track 8 from The Now Now,3:59,"Jun 29, 2018",Album Track,Yes,Stream
The Now Now,Fire Flies,Track 9 from The Now Now,3:53,"Jun 29, 2018",Single,Yes,Stream
The Now Now,One Percent,Track 10 from The Now Now,2:21,"Jun 29, 2018",Album Track,Yes,Stream
The Now Now,Souk Eye,Track 11 from The Now Now,4:34,"Jun 29, 2018",Album Track,Yes,Stream
,"Song Machine, Season One: Strange Timez
(Almanac CD)","(June 29, 2018) (The Now Now officially releases)
(October 23, 2020) (Song Machine, Season One: Strange Timez officially releases)",,,"Setting out to not make an album, Damon, Jamie, and longtime collaborator and newly credited Gorillaz member Remi Kabaka Jr began work on releasing singles accompanied by music videos near-monthly throughout 2020 in a series titled Song Machine. However, after the rise of the COVID-19 pandemic in March, more songs would be created through Zoom and emails, leading to the first season of Song Machine being expanded into an album released as Song Machine, Season One: Strange Timez.",,
"Song Machine, Season One",Song Machine Theme Tune [V1],Original version before being updated to 30 seconds.,0:23,"Jan 28, 2020",Single,No,Download
"Song Machine, Season One",Song Machine Theme Tune [V2],"Interlude released January 28, 2020. Same as V1 but 7 seconds longer. ",0:30,"Jan 28, 2020",Single,Yes,Stream
"Song Machine, Season One","Strange Timez 
(feat. Robert Smith)","Track 1 from Song Machine, Season One. Features Robert Smith.",3:47,"Oct 23, 2020",Album Track,Yes,Stream
"Song Machine, Season One","The Valley Of The Pagans 
(feat. Beck)","Track 2 from Song Machine, Season One. Features Beck.",3:01,"Oct 23, 2020",Album Track,Yes,Stream
"Song Machine, Season One","The Lost Chord 
(feat. Leee John)","Track 3 from Song Machine, Season One. Features Leee John.",4:03,"Oct 23, 2020",Album Track,Yes,Stream
"Song Machine, Season One","Pac-Man 
(feat. ScHoolboy Q)","Track 4 from Song Machine, Season One. Features ScHoolboy Q.",3:12,"Oct 23, 2020",Album Track,Yes,Stream
"Song Machine, Season One","Chalk Tablet Towers 
(feat. St. Vincent)","Track 5 from Song Machine, Season One. Features St Vincent.",3:02,"Oct 23, 2020",Album Track,Yes,Stream
"Song Machine, Season One","The Pink Phantom 
(feat. Elton John & 6lack)","Track 5 from Song Machine, Season One. Features Elton John and 6lack.",4:13,"Oct 23, 2020",Album Track,Yes,Stream
"Song Machine, Season One","Aries 
(feat. Georgia & Peter Hook)","Track 7 from Song Machine, Season One. Features Georgia and Peter Hook.",4:13,"Oct 23, 2020",Album Track,Yes,Stream
"Song Machine, Season One","Friday 13th 
(feat. Octavian)","Track 8 from Song Machine, Season One. Features Octavian.",3:35,"Oct 23, 2020",Album Track,Yes,Stream
"Song Machine, Season One","Dead Butterflies 
(feat. Kano & Roxani Arias)","Track 9 from Song Machine, Season One. Features Kano and Roxani Arias.",4:33,"Oct 23, 2020",Album Track,Yes,Stream
"Song Machine, Season One","Désolé 
(feat. Fatoumata Diawara)","Track 10 from Song Machine, Season One. Features Fatoumata Diawara.",5:33,"Oct 23, 2020",Album Track,Yes,Stream
"Song Machine, Season One","Momentary Bliss 
(feat. slowthai & Soft Play)","Track 11 from Song Machine, Season One. Features slowthai and Soft Play.",3:41,"Oct 23, 2020",Single,Yes,Stream
"Song Machine, Season One","Opium 
(feat. EARTHGANG)","Track 12 from Song Machine, Season One deluxe. Features EARTHGANG.",6:50,"Oct 23, 2020",Album Track,Yes,Stream
"Song Machine, Season One","Simplicity 
(feat. Joan As Police Woman)","Track 13 from Song Machine, Season One deluxe. Features Joan As Police Woman",2:44,"Oct 23, 2020",Album Track,Yes,Stream
"Song Machine, Season One","Severed Head 
(feat. Goldlink & Unknown Mortal Orchestra)","Track 14 from Song Machine, Season One deluxe. Features Goldlink and Unknown Mortal Orchestra.",3:34,"Oct 23, 2020",Album Track,Yes,Stream
"Song Machine, Season One","With Love To An Ex 
(feat. Moonchild Sanelly)","Track 15 from Song Machine, Season One deluxe. Features Moonchild Sanelly.",3:01,"Oct 23, 2020",Album Track,Yes,Stream
"Song Machine, Season One","MLS 
(feat. JPEGMAFIA & CHAI)","Track 16 from Song Machine, Season One deluxe. Features JPEGMAFIA and CHAI.",3:13,"Oct 23, 2020",Album Track,Yes,Stream
"Song Machine, Season One","How Far? 
(feat. Tony Allen & Skepta)","Track 17 from Song Machine, Season One deluxe. Features Tony Allen and Skepta.",2:46,"Oct 23, 2020",Album Track,Yes,Stream
"Song Machine, Season One",Taxi Back To 80s Reykjavík,"Bonus track on the deluxe Japanese releases, including streaming services.",2:42,"Oct 23, 2020",Album Track,No,Download
