Era,Name,"Notes
(Gorillaz Leaks Discord)","File
Date","Full
Length",DATE,Type,Available Length,Quality,Link(s)
,"HUMANZ
(prod. Gorillaz, The Twilite Tone & Remi Kabaka Jr.)
(Transformerz)","(January 30, 2015) (Jamie Hewlett posts new artwork of Murdoc & Noodle on Instagram)
(April 27, 2017) (Humanz officially releases)",,,"After reuniting at a party, Damon and Jamie would begin work on a Gorillaz comeback album in 2015 titled Transformerz. After producer The Twilite Tone became involved in 2016, Transformerz would be renamed to Humanz, with a new concept imagining a party at the end of the world caused by (the then-hypothetical of) Donald Trump winning the 2016 US presidential election.",,,,
HUMANZ,"Ascension [V2]
(Vince Staples Vocal Takes)",One vocal take leaked on 10/27/21 along with snippet of full version. Stems and ProTools session being sold along with the demo,,,,Multi-Track Stems,Snippet,CD Quality,Download
HUMANZ,"Let Me Out [V2]
(Pusha T Vocal Takes)",Leaked in a groupbuy along with Let Me Out [V2]. Let Me Out [V1] was also in the folder that the vocal takes were in,,,,Multi-Track Stems,Full,Lossless,Download
HUMANZ,"Kilo Kish - Out Of Body [V1]
(ProTools Session)",One vocal take leaked on 10/27/21 along with snippet of full version. Stems and ProTools session being sold with the Kilo Kish solo demo.,,,,Multi-Track Stems,Snippet,CD Quality,Download
HUMANZ,Feel Good Inc. (Case & Point Remix),,,,,Multi-Track Stems,Full,Lossless,Download
HUMANZ,Feel Good Inc. (Danny Saber Remix),,,,,Multi-Track Stems,Full,Lossless,Download
HUMANZ,"Feel Good Inc. (Melancholy Town Remix)
(Feel Good Inc. Jeff Allen Remix)",,,,,Multi-Track Stems,Full,Lossless,Download
,"The Now Now
(prod. Gorillaz, James Ford & Remi Kabaka Jr.)
(3-D)","(April 27, 2017) (Humanz officially releases)
(June 29, 2018) (The Now Now officially releases)",,,"Recorded during the Humanz Tour with the intention of having more Damon-centric songs to play at concerts after the reaction to his absence on the majority of Humanz. The Now Now is a largely funk-inspired album written from the perspective of 2-D, with the change in sound being accredited in-universe to the temporary substitution of Murdoc to Ace from The Powerpuff Girls as the band's bassist.",,,,
The Now Now,Humility [Instrumental]                                                         (Humility SSMix5 InstMastered1644),Instrumental to Humilty higher quality file leaked during the 2024 Warner leak,,,,,Full,Lossless,
The Now Now,Sorcererz [Instrumental]                                                        (Sorcerez SSMix1 InstMastered1644),,,,,,,,
,"Song Machine, Season One: Strange Timez
(Almanac CD)","(June 29, 2018) (The Now Now officially releases)
(October 23, 2020) (Song Machine, Season One: Strange Timez officially releases)",,,"Setting out to not make an album, Damon, Jamie, and longtime collaborator and newly credited Gorillaz member Remi Kabaka Jr began work on releasing singles accompanied by music videos near-monthly throughout 2020 in a series titled Song Machine. However, after the rise of the COVID-19 pandemic in March, more songs would be created through Zoom and emails, leading to the first season of Song Machine being expanded into an album released as Song Machine, Season One: Strange Timez.",,,,
"Song Machine, Season One","Song Machine, Season One: Strange Timez [Instrumentals]","Released across 7"" records in the Super Deluxe box set. Only includes the main album's instrumentals.",,,,Instrumental,Full,CD Quality,https://drive.google.com/drive/folders/19tb_kWCTx8ygyiFecOsR-Ail7-_lEa6e?usp=sharing
,"Cracker Island
(prod. Gorillaz & Greg Kurstin)
(Song Machine, Season Two)","(August 26, 2021) (Meanwhile officially releases)
(February 24, 2023) (Cracker Island officially releases)",,,"Originally announced as the second season of Song Machine in October 2020; Jamie, through the Gorillaz Unofficial 2020 Plastic Beach Fanzine, would reveal that the project following Song Machine would take on a narrative-heavy structure, describing it as a ""more in-depth kinda epic story with the characters and music. Not just an album, but bigger."" Cracker Island would topically revolve around cults and the Los Angeles lifestyle, where the album was recorded in 9-11 days with album collaborator Greg Kurstin.",,,,
Cracker Island,Cracker Island [Instrumental],"OG Filename: CRACKER ISLAND_REF 3 EDIT 1 inst_mastered 24b 44k
Mastered Instrumental to Cracker Island.",3:34,"Jun 14, 2023","Feb 8, 2024",Instrumental,Full,Lossless,https://pixeldrain.com/u/H2a6opqH
Cracker Island,Oil [Instrumental],"OG Filename: OIL_REF 15 inst mastered 24b 44k
Mastered Instrumental to Oil.",3:50,"Jun 14, 2023","Feb 8, 2024",Instrumental,Full,Lossless,https://pixeldrain.com/u/AziRpfvc
