Era,Name,"Notes
(Join the Gorillaz Tracker Discord Server!)",Designer,Art Type,Image,Project Type,Use,Link(s)
Strange Timez,"Song Machine Episode 3:
Aries",,Jamie Hewlett,Digital,,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music114/v4/f0/af/23/f0af2319-8c1c-fa1b-d336-607e3ac7fe8f/190295240790.jpg
Strange Timez,How Far?,,Jamie Hewlett,,,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music124/v4/1e/10/0a/1e100a04-b6a1-f941-27b2-313d58b9ed08/190295215033.jpg
Strange Timez,"Song Machine Episode 4:
Friday 13th",,Jamie Hewlett,Digital,,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music113/v4/47/a9/0c/47a90c5b-1de7-b6d7-c340-2ebb6e446129/190295209131.jpg
Strange Timez,"Song Machine Episode 5:
Pac-Man",,Jamie Hewlett,Digital,,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music124/v4/ef/30/5e/ef305e62-2dc8-f79b-b0d9-5d3c1a3750c6/190295174279.jpg
Strange Timez,"Song Machine Episode 6:
Strange Timez",,Jamie Hewlett,Digital,,Front Cover,Used,https://gorillazforbeginners.files.wordpress.com/2020/10/strange-timez.jpg
Strange Timez,"Song Machine Episode 7:
The Pink Phantom",,Jamie Hewlett,Digital,,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music124/v4/5a/f1/5d/5af15d9e-751e-bd29-0011-66440841751a/190295129507.jpg
Strange Timez,"Song Machine, Season One: Strange Timez","Streaming cover for all versions of Song Machine, Season One: Strange Timez.",Jamie Hewlett,Digital,,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music125/v4/01/d6/6e/01d66e09-0bcc-c560-469b-f6f3af6124b6/190295143152.jpg
Strange Timez,"Song Machine, Season One: Strange Timez",,Jamie Hewlett,Digital,,Front Cover,Used,https://gorillazforbeginners.files.wordpress.com/2020/10/song-machine-season-one-strange-timez-1.png
Strange Timez,"Song Machine, Season One: Strange Timez (Deluxe)",,Jamie Hewlett,Digital,,Front Cover,Used,https://gorillazforbeginners.files.wordpress.com/2020/09/song-machine-season-one-strange-timez-deluxe-edition-1.jpg
Strange Timez,"Song Machine Episode 8:
The Valley Of The Pagans",,Jamie Hewlett,Digital,,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music124/v4/da/ff/1e/daff1e84-0fef-2592-896f-2159bc4f3199/190295093549.jpg
Strange Timez,"Song Machine Episode 9:
The Lost Chord",,Jamie Hewlett,Digital,,Front Cover,Used,https://gorillazforbeginners.files.wordpress.com/2020/12/the-lost-chord.jpg
Meanwhile,Meanwhile,,Jamie Hewlett,Digital,,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music125/v4/a9/07/6b/a9076b44-81d7-e348-263c-b598020aeffd/190296495748.jpg
"Gorillaz
(20th Anniversary)","Gorillaz
(20th Anniversary)",,Jamie Hewlett,Digital,,Front Cover,Used,https://pbs.twimg.com/media/FGRr8EiWYAodK_b.jpg
Cracker Island,Cracker Island [Single],,,Digital,,Front Cover,Used,https://gorillazforbeginners.files.wordpress.com/2022/06/cracker-island.jpg?w=2048
Cracker Island,New Gold,,,Digital,,Front Cover,Used,https://gorillazforbeginners.files.wordpress.com/2022/08/new-gold.jpeg?w=2048
Cracker Island,Baby Queen,,,Digital,,Front Cover,Used,https://gorillazforbeginners.files.wordpress.com/2023/03/baby-queen.jpg
Cracker Island,Skinny Ape,,,Digital,,Front Cover,Used,https://gorillazforbeginners.files.wordpress.com/2022/12/skinny-ape.jpg?w=2048
Cracker Island,Silent Running,,,Digital,,Front Cover,Used,https://gorillazforbeginners.files.wordpress.com/2023/01/silent-running.jpg
Cracker Island,Cracker Island [Album],,Jamie Hewlett,Digital,,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music112/v4/b3/b9/bb/b3b9bbdf-8d38-661e-f70b-2eb5e9765bb7/5054197315893.jpg
Cracker Island,Tormenta,Only low-resolution picture ever released,,Digital,,Front Cover,Used,https://gorillazforbeginners.files.wordpress.com/2023/03/tormenta.jpg
Mountain,Mystery Show Program,,,,,,,
Mountain,Mystery Show Program,,,,,,,
Mountain,Ballentine Promo Art,,,,,,,
Mountain,The Mountain,Main Album Cover Art,Jamie Hewlett,Digital,,Front Cover,Used,
Mountain,The Happy Dictator ,,,Digital,,Front Cover,Used,
Mountain,The Happy Dictator [Alt Cover],,,Digital,,Front Cover,Used,
,Radio Promo Art,,,,,,,
,Free Palestine 🇵🇸 ,,,,,,,
Mountain,The Manifesto,Manifesto Main Cover Art with russel,,Digital,,Front Cover,Used,
Mountain,Jea Band Jaipur art,Art of the Band performing with the Jea Band Jaipur in India released as promo for the Manifesto ,,Digital,,Front Cover,Used,
Mountain,2D Riding a Bus,Art of 2-D Riding a Bus in India ,,Digital,,Front Cover,Used,
Mountain,Amazon art,,,,,,,
Mountain,Dragon fight Art,,,,,,,
Mountain,The God of Lying ,,,Digital,,Front Cover,Used,
Mountain,The God of Lying [Alt Art],,,Digital,,Front Cover,Used,
Mountain,Joe Talbot Art,Art of Joe Talbot from IDLES in gorillaz art style released as promo art for The God of Lying,,Digital,,Front Cover,Used,
Mountain,Murdoc Committing a Crime,Art of murdoc smoking in India used in the Manifesto Visualiser ,,Digital,,Front Cover,Used,
Mountain,Russel Sleeping in a Chair,,,,,,,
