Era,Name,"Notes
(Join the Gorillaz Tracker Discord Server!)",Designer,Art Type,Image,Project Type,Use,Link(s)
Demon Days,El Mañana / Kids with Guns,,,,,Front Cover,Used,
Demon Days,Rise of the Ogre,,,,,Front Cover,Used,
Demon Days,"Dare
(EP Series)",,"Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,https://static.wikia.nocookie.net/kong/images/2/25/DAREEPSeriesCov.png/revision/latest?cb=20230317181115&format=original
Demon Days,"Dirty Harry
(EP Series)",,"Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,https://static.wikia.nocookie.net/kong/images/5/5a/Dirty-harry-ep.png/revision/latest?cb=20230429124109&format=original
Demon Days,"El Mañana
(EP Series)",,"Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,https://static.wikia.nocookie.net/kong/images/8/80/El-manana-ep.png/revision/latest?cb=20230317180718&format=original
Demon Days,"Feel Good Inc.
(EP Series)",,"Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,https://static.wikia.nocookie.net/kong/images/5/5a/FGIEPSeriesCov.png/revision/latest?cb=20230317180837&format=original
Demon Days,Phase Two: Slowboat to Hades,,,,,Front Cover,Used,
Demon Days,D-Sides,,Jamie Hewlett & Kate McLauchlan,Digital,,Front Cover,Used,https://ia902909.us.archive.org/19/items/mbid-dabb20b7-ce8c-4847-a2ef-eaacf92a0349/mbid-dabb20b7-ce8c-4847-a2ef-eaacf92a0349-25830394566.jpg
Demon Days,D-Sides (Deluxe Edition),,,,,Front Cover,Used,
Demon Days,Demon Days Live At The Manchester Opera House,,,,,Front Cover,Used,
Carousel,Bananaz,,,,,Front Cover,Used,
Carousel,Martina Topley-Bird - Poison,"Single cover for ""Poison"" by Martina Topley-Bird. Gorillaz are featured on the b-side ""Soldier Boy"".",,,,Front Cover,Used,
Journey To The West,Monkey - Journey To The West,,"Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music116/v4/a9/9a/de/a99ade19-2308-1e29-4dde-5f853c4d566d/634904138868.png
Plastic Beach,Pirate Radio,,,,,Front Cover,Used,
Plastic Beach,Stylo,,"Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,
Plastic Beach,Plastic Beach,"Daytime, Japanese edition (logo on the left side)","Jamie Hewlett &
Zombie Flesh Eaters",Photography; Digital,,Front Cover,Used,https://static.wikia.nocookie.net/kong/images/1/19/PlasticBeachDay.jpg/revision/latest?cb=20211124211707
,Plastic Beach,"Daytime, LP version (logo on the right side)","Jamie Hewlett &
Zombie Flesh Eaters",,,Front Cover,Used,
Plastic Beach,Plastic Beach,"Afternoon, CD & Digital releases","Jamie Hewlett &
Zombie Flesh Eaters",Photography; Digital,,Front Cover,Used,https://static.wikia.nocookie.net/kong/images/0/03/PB.jpg/revision/latest?cb=20230516170516
Plastic Beach,Plastic Beach,"Dusk, iTunes Deluxe edition","Jamie Hewlett &
Zombie Flesh Eaters",Photography; Digital,,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music124/v4/7e/69/1f/7e691f10-3cc1-67ec-5dc3-df3d8df68fa7/5099962829359.jpg
Plastic Beach,Plastic Beach,"Nighttime, Experience Edition CD and iTunes standard edition","Jamie Hewlett &
Zombie Flesh Eaters",Photography; Digital,,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music/v4/b8/f9/b9/b8f9b9f8-a609-bde2-0302-349436ffc508/825646291038.jpg
Plastic Beach,Superfast Jellyfish,,"Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,
Plastic Beach,White Flag,Cover for the Record Store Day 2010 Vinyl,"Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,https://static.wikia.nocookie.net/kong/images/a/a8/Gorillaz_White_Flag.jpg/revision/latest?cb=20230322012139&format=original
Plastic Beach,On Melancholy Hill,,"Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,https://static.wikia.nocookie.net/kong/images/b/b3/On_Melancholy_Hill_Digital_Cov.jpg/revision/latest?cb=20230629012937&format=original
Plastic Beach,Rhinestone Eyes,"Un-used cover for a single release of ""Rhinestone Eyes"" that is based on the final frame of the scrapped music video. Promo CD copies were sent out by EMI, but a full single release would be scrapped after Gorillaz went over budget.","Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,
Plastic Beach,iTunes Session,,"Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,
Plastic Beach,Doncamatic,,"Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,
Plastic Beach,Empire Ants,,"Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,
The Fall,The Fall,Sub Division Edition & Vinyl,"Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,https://static.wikia.nocookie.net/kong/images/3/32/The_Fall_Album_Art.jpg/revision/latest?cb=20180620191443&format=original
The Fall,Phoner To Arizona,"Cover that replaces The Fall's cover when played on the original page The Fall was released on.

Photos by Jamie Hewlett, Seb Monk, Mike Smith and Oswald Lee Henderson.","Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,https://drive.google.com/file/d/1r9ZLpjSOoWMFrv_lVJU1TJMs91-yTgo_/view?usp=share_link
The Fall,Revolving Doors,"Cover that replaces The Fall's cover when played on the original page the album was released on.

Photos by Jamie Hewlett, Seb Monk, Mike Smith and Oswald Lee Henderson.","Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,https://drive.google.com/file/d/1-D1mHanpVMxiBWqJnDFwrmcTXvFxi7J4/view?usp=share_link
The Fall,HillBilly Man,"Cover that replaces The Fall's cover when played on the original page the album was released on.

Photos by Jamie Hewlett, Seb Monk, Mike Smith and Oswald Lee Henderson.","Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,https://drive.google.com/file/d/1mZtlXrT39JvdcK9aHxBOg7ULxlZnX404/view?usp=share_link
The Fall,Detroit,"Cover that replaces The Fall's cover when played on the original page the album was released on.

Photos by Jamie Hewlett, Seb Monk, Mike Smith and Oswald Lee Henderson.","Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,https://drive.google.com/file/d/1sqkTI_q5KBlvu5Rn3Dd1egbTUhFvjimf/view?usp=share_link
The Fall,Shy-Town,"Cover that replaces The Fall's cover when played on the original page the album was released on.

Photos by Jamie Hewlett, Seb Monk, Mike Smith and Oswald Lee Henderson.","Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,https://drive.google.com/file/d/1tAF0r2VJePvl-eIbtdGIrXXyANT13H4q/view?usp=share_link
The Fall,Little Pink Plastic Bags,"Cover that replaces The Fall's cover when played on the original page the album was released on.

Photos by Jamie Hewlett, Seb Monk, Mike Smith and Oswald Lee Henderson.","Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,https://drive.google.com/file/d/15zc4-3kpuLbs9AHLQk4cw9LcVQsWu2cC/view?usp=share_link
