"Era","Name","Notes","Length","Release Date","Type","Streaming","Link(s)"
"Lost Files","pose 2 do
(prod. outtatown, ​starboy, & Lil 88)
(Money)","OG Filename: Money - Ken Carson (Nay Rough
Track 3 on Lost Files.","1:44","Jan 20, 2021","Mixtape Track","No","https://soundcloud.com/kencarson/pose-2-do?in=pjerrr-664704641/sets/ken-carson-lost-files&si=297acf540c7b4b4e8437e0cfb16af874&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing"
"Lost Files","phenomenon
(prod. Lil 88)
(Anyone)","OG Filename: Anyone - Ken Carson 8-23-20 
Track 4 on Lost Files.","2:06","Jan 20, 2021","Mixtape Track","No","https://soundcloud.com/kencarson/phenomenon?in=pjerrr-664704641/sets/ken-carson-lost-files&si=b036c861c8fa4acda4d1764ae8ae0a97&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing"
"Lost Files","⭐ stuck
(feat. Lil Yachty) (prod. starboy)","OG Filename: KENBOAT 20201
Track 5 on Lost Files.","1:42","Jan 20, 2021","Mixtape Track","No","https://soundcloud.com/kencarson/stuck-ft-lil-yachty?in=pjerrr-664704641/sets/ken-carson-lost-files&si=b07062fb32674c0e990fbafbcf13f16c&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing"
"Lost Files","fuk shit
(prod. starboy & outtatown)
(Riot)","OG Filename: KEN CARSON - RIOT OPEN
Track 6 on Lost Files.","2:08","Jan 20, 2021","Mixtape Track","No","https://soundcloud.com/kencarson/fuk-shit?in=pjerrr-664704641/sets/ken-carson-lost-files&si=27e2f59d83d5404a87574e8b8ac0040c&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing"
"Lost Files","Playboi Carti - Beno!
(prod. Ken Carson, outtatown, & Lil 88)","Track 4 on Whole Lotta Red.
Produced by Ken Carson, Lil 88, and outtatown - notable for being the first known song Ken has production credits for with Carti.","2:33","Dec 25, 2020","Production","Yes","https://open.spotify.com/track/4CYTQpr2jc4uBScYvpEK2w?si=250d08b2bfab411a"
"Lost Files","⭐ Call Nobody
(feat. International Jefe) (prod. BL$$D & Myles Harris)","OG Filename: Ken Car$on & Jefe - Call Nobody
A song released during November 2020.","1:36","Nov 16, 2020","Single","No","https://pillows.su/f/ef60a70bb90096551aa6b2ffe98cf0c8"
"Lost Files","CAPOREE - CAPO
(feat. Ken Carson) (prod. DJ Moon)","A song released by CAPOREE during November 2020.","2:53","Nov 5, 2020","Feature","No","https://pillows.su/f/e13fa7061ed31068b13f07de5e3ab573"
"Lost Files","Glow
(prod. ​starboy, outtatown, & Lil 88)","OG Filename: Ken - Glow
A song released during November 2020.","1:24","Nov 15, 2020","Single","No","https://pillows.su/f/3d490bbed01a96ca1590372a51ebfce9"
"Lost Files","Load
(prod. DiorWinterr, Juberlee, & Roark Bailey)","OG Filename: MOON KEN BARSON 3 LOAD
A song released during November 2020.","2:05","Nov 14, 2020","Single","No","https://lastshare.org/s/gQekzOnJFX9g8ig"
"Lost Files","Missing
(prod. starboy, Jasper Harris, & KP Beatz)","OG Filename: Missing KP Ken Carson 1-12-21 V2
“Missing” is a throwaway from Ken Car$on’s third EP, Teen X : Relapsed. As with most of his other throwaways, it is hosted on Sickö’s SoundCloud. The song was previewed a week before its release.","1:59","Jan 19, 2021","Single","No","https://pillows.su/f/a56355a24773486aa64c1a66c4bde05d"
