Era,Name,Notes,Link(s),Release Date,Type,Length,Available Length,Quality
"4 Single(s)
0 International Single(s)
1 Promotional Single(s)
5 Album Track(s)
0 Bonus Track(s)",Michael,"(10/26/2009) (The album ""Michael Jackson's This Is It"" is released)
(12/10/2010) (The posthumous ""Michael"" album is released)",,,"Sony's first efforts in a new frontier were marked with controversy from the start. Their first intended single ""Breaking News,"" was quickly called out by fans for being sung by someone who was obviously not Michael. Two other songs recieved the same treatment, and the album as a whole failed to match the success of Michael's older albums.",,,
Michael,Hold My Hand [w/Akon],Track #1 on initial release and re-release. Originally recorded in November 2007-June 2008 during sessions for an ill-fated comeback album.,https://open.spotify.com/track/1652voE1ZeLyehNC2kbHMb?si=242c206495774fff,"December 10th, 2010",Single,3:33,,
Michael,Hollywood Tonight [w/Taryll Jackson],"Track #2 on initial release and re-release. Originally recorded between August 1999 and November 2008, during the ""Invincible"" sessions and sessions for an ill-fated comeback album. Version used as base dates back to late 1999.",https://open.spotify.com/track/6J69x61f9wuyBBxjmYGFqb?si=6d5ba00dddea439d,"December 10th, 2010",Single,4:30,,
Michael,Jason Malachi - Keep Your Head Up,Track #3 (initial release only). Originally recorded during early-mid 2009 with James Porte on vocals.,,"December 10th, 2010",Album Track,4:51,,
Michael,(I Like) The Way You Love Me,"Track #4 on initial release; Track #3 on re-release. Originally released in 2004 for ""The Ultimate Collection."" Version used as base dates back somewhere within the timeframe of January 2008-April 2009.",https://open.spotify.com/track/3VDJf1JQWl9m3H1JgdhUNj?si=17f050c246b34061,"December 10th, 2010",Single,4:34,,
Michael,Jason Malachi - Monster [w/50 Cent],Track #5 (initial release only). Originally recorded during late 2009 with James Porte on vocals.,,"December 10th, 2010",Album Track,5:05,,
Michael,Best Of Joy,"Track #6 on initial release; Track #4 on re-release. Originally recorded between April 1991 (evolved from an earlier 1981 demo called ""The Toy"") and November 2008. Version used as base dates back to November 2008.",https://open.spotify.com/track/6fXnvKnT6f647ZcjKTTtz9?si=19851dec01444782,"December 10th, 2010",Album Track,3:02,,
Michael,Jason Malachi - Breaking News,"Track #7 (initial release only). Originally recorded between late 2008 (as ""Hot"") and late 2009-early 2010 (as ""Breaking News"") with James Porte on vocals.",,"December 10th, 2010",Promotional Single,4:14,,
Michael,(I Can't Make It) Another Day [w/a guitar performance by Lenny Kravitz],"Track #8 on initial release; Track #5 on re-release. Originally recorded between January-March 1999, with additional overdubs added by Lenny Kravitz during the summer of 2010.",https://open.spotify.com/track/5OgTq4ExF13EdcLD6PSYuN?si=333607dab79f42cd,"December 10th, 2010",Album Track,3:55,,
Michael,Behind The Mask,"Track #9 on initial release; Track #6 on re-release. Originally recorded between October-November 1981 and August-September 1982 during sessions for the ""Thriller"" album. Version used as base dates back to October-November 1981.",https://open.spotify.com/track/2q6GpGV3HC67QbNrBcZLxl?si=e539d9b6bffc40fc,"December 10th, 2010",Single,5:02,,
Michael,Much Too Soon,"Track #10 on initial release; Track #7 on re-release. Originally recorded between October-November 1981 and April 1994, during sessions for the ""Thriller"" and ""HIStory"" albums. Version used as base dates back to April 1994.",https://open.spotify.com/track/7caNdTLlZ1iW8VlnAr6L1U?si=2f00438498664e53,"December 10th, 2010",Album Track,2:48,,
"0 Single(s)
0 International Single(s)
0 Promotional Single(s)
10 Album Track(s)
1 Bonus Track(s)",Bad 25,"(12/10/2010) (The posthumous ""Michael"" album is released)
(09/18/2012) (Bad 25 is released)",,,,,,
Bad 25,Don't Be Messin' 'Round,"Track #1 on Disc 2 of Bad 25. Specific version dates back to February 1986 for a good majority of the track, with additional elements sourced from versions dating back to August and November 1986.",,"September 18th, 2012",Album Track,4:18,,
Bad 25,I'm So Blue,Track #2 on Disc 2 of Bad 25. Originally recorded between July and September 1985. Serviced to some Italian and Polish radio stations.,,"September 18th, 2012",Album Track,4:07,,
Bad 25,Song Groove (a.k.a. Abortion Papers),Track #3 on Disc 2 of Bad 25. Originally recorded between June 1983 and May 1984.,,"September 18th, 2012",Album Track,4:26,,
Bad 25,Free,"Track #4 on Disc 2 of Bad 25. Originally recorded on March 19th, 1986.",,"September 18th, 2012",Album Track,4:25,,
Bad 25,Price Of Fame,"Track #5 on Disc 2 of Bad 25. Originally recorded on January 20th-February 21st, 1986.",,"September 18th, 2012",Album Track,4:33,,
Bad 25,Al Capone,"Track #6 on Disc 2 of Bad 25. Recorded between late 1984 and February 17th, 1986. Specific version dates to late 1984.",,"September 18th, 2012",Album Track,3:34,,
Bad 25,Je ne veux pas la fin de nous [w/Siedah Garrett],Track #10 on Disc 2 of Bad 25. Originally recorded in April 1987.,,"September 18th, 2012",Album Track,4:07,,
Bad 25,Bad (Afrojack Remix - DJ Buddha Edit) [w/Pitbull],Track #11 on Disc 2 of Bad 25,,"September 18th, 2012",Album Track,4:24,,
Bad 25,Speed Demon (Nero Remix),Track #12 on Disc 2 of Bad 25,,"September 18th, 2012",Album Track,4:08,,
Bad 25,Bad (Afrojack Remix - Club Mix),Track #13 on Disc 2 of Bad 25,,"September 18th, 2012",Album Track,7:31,,
Bad 25,"Bad (Live At Yokohama Stadium - September 26th, 1987)",Track #14 on Disc 2 of Bad 25 (Japanese edition only),,"September 18th, 2012",Bonus Track,,,
"2 Single(s)
0 International Single(s)
0 Promotional Single(s)
6 Album Track(s)
10 Bonus Track(s)",XSCAPE,"(09/18/2012) (Bad 25 is released)
(05/09/2014) (XSCAPE is released)",,,"Released in 2014, XSCAPE started off strong, with its debut single ""Love Never Felt So Good"" proving very successful on the charts. Unfortunately, the botched launch of ""A Place With No Name"" as a single resulted in the album taking a hit, causing a deluxe edition featuring more songs to be canned at the last minute and the Estate to go into a hiatus of sorts. Around 24 songs were considered, with only 8 making it in.",,,
XSCAPE,Love Never Felt So Good,Track #1.,https://open.spotify.com/track/0S5EEpFAHcT7cm5XOASc29?si=5578569abfc04c95,"May 9th, 2014",Single,3:54,,
XSCAPE,Chicago,Track #2,https://open.spotify.com/track/5BKKy9fIJL5uM9fz1SnqyP?si=209c753f5ae4477c,"May 9th, 2014",Album Track,4:05,,
XSCAPE,Loving You,Track #3,https://open.spotify.com/track/4T1JlEsHdrxGxBltSFe5yA?si=fec323063b0a4f98,"May 9th, 2014",Album Track,3:15,,
XSCAPE,A Place With No Name,Track #4,https://open.spotify.com/track/35SI5zFEhOeo4XDBMwS41S?si=d3f6c8a59bc44371,"May 9th, 2014",Single,5:35,,
XSCAPE,Slave To The Rhythm,Track #5,https://open.spotify.com/track/4h5KB1btt2aZBq9EJHmWF4?si=e4330fa6a4a94063,"May 9th, 2014",Album Track,4:15,,
XSCAPE,Do You Know Where Your Children Are,Track #6,https://open.spotify.com/track/3Is1bUS1YtytSOfLk8892G?si=265c717b01944521,"May 9th, 2014",Album Track,4:36,,
XSCAPE,Blue Gangsta,Track #7,https://open.spotify.com/track/36lVpg8hgy37iZEazTOJBb?si=361a3359527c4ee5,"May 9th, 2014",Album Track,4:14,,
XSCAPE,Xscape,Track #8,https://open.spotify.com/track/0xzSpvDboL5Imo8cP1vMXm?si=c0695644841745b7,"May 9th, 2014",Album Track,4:04,,
XSCAPE,Chicago (Papercha$er Remix),Bonus track for the Sony Xperia Lounge,,"May 9th, 2014",Bonus Track,4:19,,
XSCAPE,Love Never Felt So Good (Original Version),Track #9 on the Deluxe Edition. Originally recorded with Paul Anka in June 1980.,https://open.spotify.com/track/7DciyLZWipMv860LBeupmK?si=87b6ff12d5ab4221,"May 9th, 2014",Bonus Track,3:19,,
XSCAPE,Chicago (Original Version),Track #10 on the Deluxe Edition. Originally recorded during March and April 1999.,https://open.spotify.com/track/3yNhWgz57tAUFGQm2btQ56?si=9b09056f741d4c75,"May 9th, 2014",Bonus Track,4:43,,
XSCAPE,Loving You (Original Version),"Track #11 on the Deluxe Edition. Originally recorded on June 16th-July 28th, 1985.",https://open.spotify.com/track/5Yo0Jz7YDAEPKsklNfQTA6?si=c91c60d9d1ae46a7,"May 9th, 2014",Bonus Track,3:02,,
XSCAPE,A Place With No Name (Original Version),"Track #12 on the Deluxe Edition. Originally recorded on August 25th, 1998-February 20th, 1999, with additional mixes and edits made during June 2004 and mid-late 2008. Specific mix dates to early May 1999.",https://open.spotify.com/track/4ou1FyPwLpzeOU3YjeQ4Mw?si=03788b415c2e467f,"May 9th, 2014",Bonus Track,4:55,,
