Era,Name,Notes,"File
Date",Leak Date,Full Length,No. Of Tracks,Available Length,Quality,Link(s)
"2 OG File(s)
9 Full
0 Tagged
0 Edited
3 Partial
0 Snippet(s)
3 Stem Bounce(s)
4 Unavailable",Thriller,"(10/18/1980) (The Jacksons' Triumph is released)
(11/29/1982) (Thriller is released)",,,"Quite possibly one of the most iconic albums ever made, to the point where it was seen as the best-selling album of all time alongside the Eagles' ""Greatest Hits"" album. Around 25-30 songs were made for the album, all in various states of completion.",,,,
,Sessions,,,,,,,,
Thriller,"Billie Jean
(prod. Quincy Jones & Michael Jackson)","OG Filename: Billie Jean 2009 Project
This Is It production session. Missing one of the raw tracks and a handful of clips. Temp description.",,"Mar 23, 2025",,N/A,Partial,Lossless,https://pillows.su/f/671bec4ec6d898b948335e3b341d0126
,Multitracks / Stems,,,,,,,,
Thriller,"Wanna Be Startin' Somethin' [Submixed Pack]
(prod. Quincy Jones & Michael Jackson)",,,,,10,Full,Lossless,https://pillows.su/f/e75a4cbb0d3d63f00d9a861e63bdaa20
Thriller,"Wanna Be Startin' Somethin' [Submixed Pack II]
(prod. Quincy Jones & Michael Jackson)",Is missing a few tracks.,,"Jan 9, 2020",,21,Full,Lossless,
Thriller,"Wanna Be Startin' Somethin'
(prod. Quincy Jones & Michael Jackson)",Submixed; has some unused horn parts.,,,,33,Full,Lossless,https://pillows.su/f/50ef90e55fe62790fd7e24babe8569ed
Thriller,"Baby Be Mine
(prod. Quincy Jones)",Rumored to have been swirling about in the trading circuit a few years ago.,,,,,Rumored,Not Available,
Thriller,"The Girl Is Mine
(prod. Quincy Jones & Michael Jackson)",Rumored to have been swirling about in the trading circuit a few years ago.,,,,48 (?),Rumored,Not Available,
Thriller,"Thriller [Vocal Slave Reels]
(prod. Quincy Jones)
(Starlight)","Transfer of two tapes - a lead vocal slave and a backing vocal slave - used during the production of ""Thriller."" Includes several alternate vocal takes and excludes the horn tracks as well as Vincent Price's famous laugh. Commonly known as the ""Starlight session"", but this is inaccurate.","Aug 17, 2009",,6:02,48,OG File,Lossless,
Thriller,"Thriller [IMAX Session]
(prod. Quincy Jones)
(Starlight)",,,,,35,Confirmed,Not Available,
Thriller,"Beat It
(prod. Quincy Jones & Michael Jackson)",Contains some unused ad libs from Michael.,,,,48,Confirmed,Not Available,
Thriller,"Billie Jean
(prod. Quincy Jones & Michael Jackson)",,,,7:11,39,Full,Lossless,
Thriller,"Billie Jean [BGV Slave Reel]
(prod. Quincy Jones & Michael Jackson)","Commonly known as ""Demo #2"", however this is inaccurate. Contains background vocal layers and cue mixes for an earlier version of the song.","Aug 19, 2009","Jan 9, 2020",,24,OG File,Lossless,https://pillows.su/f/039153869824cbf01a9cfdd14fef9ef2
Thriller,"Human Nature
(prod. Quincy Jones)","Temp description. Missing tracks, but everything for the song is there.","Aug 18, 2009",,,33,Partial,Lossless,
Thriller,"Human Nature
(prod. Quincy Jones)",Contains six unused vocal takes from Michael; some tracks are submixed.,,,,38,Full,Lossless,
Thriller,"P.Y.T. (Pretty Young Thing)
(prod. Quincy Jones)",Contains an unused vocal take.,,,,40,Partial,High Quality,
,Acapellas,,,,,,,,
Thriller,Billie Jean,,,,6:53,,Stem Bounce,CD Quality,"https://pillows.su/f/498f0ab6560e9681df97acb1e8bd11c9
https://pillows.su/f/0ba8a0ba7628d03ebe90cedf9b46bcb2 "
,Instrumentals,,,,,,,,
Thriller,"Wanna Be Startin' Somethin'
(prod. Quincy Jones & Michael Jackson)",,,,4:15,,Full,CD Quality,
Thriller,"Billie Jean
(prod. Quincy Jones & Michael Jackson)",,,,7:00,,Stem Bounce,CD Quality,https://pillows.su/f/23d8e9e72cf71fe60359c53a62c76eeb
,TV Tracks,,,,,,,,
Thriller,"Billie Jean
(prod. Quincy Jones & Michael Jackson)",,,,7:05,,Stem Bounce,CD Quality,https://pillows.su/f/86860eefb3925569dd7c37ab7213859f
Thriller,"Billie Jean (Long Version)
(prod. Quincy Jones & Michael Jackson)","Despite being labelled as an instrumental, it features adlibs and BGV, which classes it as a TV track.",,,6:19,,Full,Lossless,https://pillows.su/f/f5d53cf366096812253cff0335e9965b
Thriller,"P.Y.T. (Pretty Young Thing)
(prod. Quincy Jones)","Despite being labelled as an instrumental, it features BGV, which classes it as a TV track. Running too fast compared to the album version.",,"Nov 2, 2009",3:50,,Full,Lossless,https://pillows.su/f/f3ebe7a15c7eeb904af257572446171f
Thriller,"Thriller
(prod. Quincy Jones)
(Starlight)","Despite being labelled as an instrumental, it features adlibs, BGV, and the Vincent Price spoken word section, which classes it as a TV track.",,,6:01,,Full,Lossless,https://pillows.su/f/4c858e5101fabe3b2f9e531e9a6581c9
"1 OG File(s)
8 Full
0 Tagged
0 Edited
2 Partial
0 Snippet(s)
5 Stem Bounce(s)
3 Unavailable",Bad,"(11/29/1982) (Thriller is released)
(08/31/1987) (Bad is released)",,,"While not as successful as Thriller, Bad managed to bring upon eight singles (with one cancelled single in the form of Speed Demon) and a successful world tour spanning two years. Originally concieved as a 30-track triple album, Quincy Jones convinced Michael to keep it down to 11 tracks.",,,,
,Sessions,,,,,,,,
Bad,"I Just Can't Stop Loving You
(with Siedah Garrett) (prod. Quincy Jones & Michael Jackson)","OG Filename: I just cant stop loving Project
Production session for This Is It.
Contains full 24 track cue mix reel transfer + 4 extra tracks from a different reel, cut down tracks, as well as pitched down tracks for This Is It. Original transfer lacks proper track names, can be brought back using tracksheet photos (Cue Mix Reel, Mix Master) from Brad Sundberg's eBay listings (on WorthPoint). 1:1 with final mix, original Sound Designer II audio files missing (recoverable).

Cut down tracks originally leaked on January 9th, 2020, full folder leaked on March 23rd, 2025.",,"Mar 23, 2025",,N/A,Full,Lossless,https://pillows.su/f/eb00ed4b658af4a60f44112363e67d26
Bad,"Smooth Criminal (Moonwalker)
(prod. Quincy Jones & Michael Jackson)","Has an extended second verse. Includes Pro Tools sessions with all tracks in sync, tracks will be out of sync if not using the session.","Aug 14, 2009","Jan 9, 2020",,96,OG File,Lossless,https://pillows.su/f/9def48eb47c1064e4cc0f1d957cb9c1f
,Multitracks / Stems,,,,,,,,
