Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
Final sessions,"Shut Up And Dance [V2]
(ref. Eric Kirkland) (prod. Michael Prince)","Snippet leaked by Korgnex years ago, although it was not known to be from this song at the time. Slightly sped up snippets with voiceover leaked on October 23rd, 2025 in a video made by Znop for the verb channel. Snippets at the right speed were posted on November 7th and 11th. Partially leaked on December 27th, 2025, full track leaked later that day. Features Eric Kirkland on lead vocals and background vocals.",3:57,2008,"Dec 27, 2025",Full,High Quality,https://pillows.su/f/142761e6ff70cc59e41ed539136770d4
Final sessions,"Shut Up And Dance [V3]
(ref. Eric Kirkland) (prod. Michael Prince)","Snippet posted on October 25th, 2025. Has different mixing compared to the Korgnex snippet, as well as adlibs. ",,2008,"Oct 25, 2025",Snippet,CD Quality,https://pillows.su/f/bdc90f7c5ff3ef28098f07248ba38500 
Final sessions,"Shut Up And Dance [V4 - V??]
(ref. Eric Kirkland) (prod. Michael Prince)","According to Korgnex, there are multiple versions of the track with various lyric changes, including more upbeat mixes that ""incorporate BOTDF instrumentation.""",,2008,,Rumored,Not Available,https://www.mjjcommunity.com/threads/the-discussion-of-mjs-unreleased-tracks.144361/page-637#post-4740676
Final sessions,"Shut Up And Dance [V5]
(ref. Eric Kirkland) (prod. Michael Prince)","More fleshed out production with a guitar. Initial snippet is from the beginning of the song. According to the snippet filename, this is the last version of the track, however this is unconfirmed. Bridge snippet leaked on November 17th, 2025. Tampered version leaked on December 28th, 2025.",,2008,"Dec 28, 2025",Edited,High Quality,"https://pillows.su/f/31edeaf4119200214501e5cfc5e25779 
https://pillows.su/f/7ff1f0c3198631d1760fe0a31e7e71b6 "
Final sessions,"Stop Playin'
(ref. T-Pain, Usher, R. Lovett)","Track made in 2008 for a collaboration between Michael, Usher and T-Pain. The collaboration was dropped after the song was leaked the same year.",4:43,2008,2008,Full,CD Quality,https://pillows.su/f/b926bd28f11db4a50549d38d17f5a01e
Final sessions,"U Are
(ref. Rod Michael)
(You Are, U R)",Created by Rod Michael with the intention of having it be recorded by Michael. Teddy Riley has stated that Michael did record some of Rod's material but this is unconfirmed. Later released by Rod in 2023.,3:26,2005,,Full,Lossless,https://pillows.su/f/c73821ba36dc0bd3311ca8aa20b0b367
Final sessions,"🏅 Water
(prod. Michael Jackson & Theron ""Neff-U"" Feemster)","Is often described as ""complex"" and contains the sounds of dripping water; only a chorus was recorded. A LQ snippet was leaked on August 12th, 2023, and only one year later, another snippet was leaked by Damien Shields on his Faking Michael podcast, this time in HQ. Around 1 minute of the song was leaked in LQ by Zx1 on August 11th, 2025. Another LQ snippet featuring part of the intro leaked on October 25th, 2025.",2:59,,"Oct 25, 2025",Partial,Recording,"https://pillows.su/f/7c51e44a5200ab6645ec04753bcca509 
https://pillows.su/f/ff26d21cfb5efefe0dc97efb1a2a88f3 
https://pillows.su/f/ee4d08637d3b75644ecabe9746702fe7 
https://pillows.su/f/0b8aa2447a691211f0d86b22bdf06163 "
Final sessions,"What's Your Name
(ref. Rod Michael & ???) (prod. Jason Edmonds)
(UR NAME)",Created by Rod Michael with the intention of having it be recorded by Michael. Teddy Riley has stated that Michael did record some of Rod's material but this is unconfirmed. Later released by Rod in 2023.,3:38,~2005,,Full,High Quality,https://pillows.su/f/795d73e97c5211ed3bce44b3cbd96c3b
Final sessions,"🗑️ Why Can't You Hear Me
(ref. Bill Bottrell) (prod. Bill Bottrell)","Made during Michael's stay in Bahrain; never recorded by Michael. Originally uploaded to Bill Bottrell's SoundCloud, with the earliest mention of it dating back to 2014, before being removed at an unknown date. Resurfaced on September 18th, 2023.",3:38,,"Sep 18, 2023",Full,High Quality,https://pillows.su/f/23699d55dadc7ca2bc546c54891006b7
Final sessions,???,Spoken word piece with Michael speaking over a piano; previewed by Neff-U in the 2010 Michael album documentary. Title is unknown.,,,,Partial,Low Quality,https://pillows.su/f/af92eac484f3384b32a8d9e352dac83b
