Era,Name,Tracklist,Image,Date Made,Quality,Source,Link(s)
Owl Pharaoh,"Untitled Album [V1] [March - July 2013]
(Source: Travis Scott, Pharaohxx)","While it wasn't officially announced until later, Travis was openly working on a studio album alongside 'Owl Pharaoh'; he and Pharaohxx both made references to an album in March 2013, and Pharaohxx said that was originally meant to release in September 2013. Known songs from different periods are:

??. Armageddon
??. Can't Look In My Eyes
??. Untitled (""Somewhereinamerica"" instrumental)

Travis stated that the instrumental for JAY-Z's ""Somewhereinamerica"" was intended for the project, and he also said that he wanted to put ""Can't Look In My Eyes"" on it after Cudi initially scrapped it. According to Pharaohxx, ""Armageddon"" was also being saved for the album.",N/A,,N/A,,"""Somewhereinamerica"" Information (YouTube)

""Can't Look In My Eyes"" Information (Screenshots)

""Armageddon"" Information (Screenshot)"
Owl Pharaoh,"Owl Pharaoh [May 18, 2013]
(Source: Travis Scott)","Tracklist shared by Travis on May 18, 2013, three days before release.

01. medow creek 04.06.2013
02. Bad Mood / shit on you
03. Upper Echelon
04. naked 
05. CHAZZ INTERLUDE
06. UPtown
07. Travis Scott hell of night
08. Dance on the Moon
09. MIA 2.5
10. Drive Paris With Intro
11. TRAVI$ SCOTT - QUINTANA
12. 16 Chapels
13. Bandz

""Blocka La Flame"" is missing, ""Naked"" is the uncut version, ""Chazz Interlude"" is a lot longer, ""Dance on the Moon"" is notably shorter and ""Bandz"" notably longer, and ""Quintana"" is solo. Most other tracks are at least a few seconds different in length to what was released, excluding ""Quintana"" (was released as a single prior, and also used for the video) and ""16 Chapels"" (same as the version released in 2012).",,,Clear,,"Tracklist (Screenshot)

Original Instagram Post"
Owl Pharaoh,"Owl Pharaoh [iTunes Deluxe]
(Source: Travis Scott, Pharaohxx)","Announced by Travis to be a mixed and mastered version of the project with additional tracks, verses, and features; was set to be released in June 2013. No confirmed tracklist ever surfaced and the release was eventually quietly cancelled - GOODMUSICINSIDER later stated that Epic Records ""dropped the ball"" with its release. Tracks set to appear according to Pharaohxx were: 

??. Naked (Rick Rubin Rework)
??. Bandz (Remix)
??. Upper Echelon (Remix)
??. Home
??. Untitled Pharrell Collaboration
??. Untitled Kanye and Cudi Collaboration (possibly ""Can't Look In My Eyes""; nothing else was ever recorded)

""Blame"" with Mr Hudson is a rumoured song.",N/A,,N/A,,"Pharaohxx Posts (Screenshots)

GOODMUSICINSIDER Post (Screenshot)"
Days Before Rodeo,"Untitled Album [V2] [July 2013 - Early 2014]
(Source: Travis Scott, Pharaohxx)
(AKA: Fuego)","During an interview on HOT97 on July 16, 2013, Travis officially announced that he was working on an album, set to be released in 2014. At the time of the announcement, Travis said that he had recently been working with Crada, so any songs made with him are likely in contention; ""Naked"" and ""Can't Look In My Eyes"" may have still been in consideration (assuming Cudi hadn't taken the latter back yet) but ""Armageddon"" likely wasn't. Pharaohxx also said that the Rick Rubin rework of ""Naked"" would make the album. An October 31, 2013, Rolling Stone article said that Travis was considering 'Fuego' as a title, but 'Rodeo' was eventually settled on (in March 2014 at the latest). The project continued to evolve until eventually all songs from this time had been cut.",N/A,,N/A,,"HOT97 Announcement (YouTube)

Rolling Stone Article (Screenshot)"
Rodeo,"Rodeo [August 19, 2014]
(Source: GOODMUSICINSIDER)","By August 19, 2014, according to GOODMUSICINSIDER, 'Rodeo' already had features from James Blake, Justin Vernon of Bon Iver, and King Krule, as well as a song with PARTYNEXTDOOR and Young Thug that we now know is ""Perfect"" [V2]. Other probable songs include ""Pray 4 Love"" and ""Love"".",N/A,,N/A,,GOODMUSICINSIDER Post (Screenshot)
Rodeo,"Rodeo [March 2015]
(Source: Travis Scott, Speculation)","Travis played a few songs intended for 'Rodeo' at a Chicago meet-and-greet in March 2015. The songs played (in no particular order) were:

01. Oh My
02. Dinosaurus
03. Man in My City
04. Drunk
05. Young Thug - Dipped in Gold

""Dipped in Gold"" may have just been played for fun; it's rumoured that Travis wanted to use the song, but it's thought that he never recorded anything. Other songs such as ""3500"", ""90210"", ""Act 1 (Drown)"", ""Never Catch Me"", ""Poet and Parade"", ""Pray 4 Love"", and ""Wasted"" (among others) all existed at the time, but it's not known if they were being considered.",N/A,,N/A,,
Rodeo,"Rodeo [April 14, 2015]
(Source: Blake Harden)","Tracklist sourced from a document titled ""RODEO SONG STATUS"", dated April 14, 2015. Text in red is edited in (excluding the header); the list originally said 'Mozzy' instead of 'Mazi', so that has been corrected, and Keef has been added as a feature to ""Nightcrawler"", since he recorded for it on the same day.

01. Addy
02. Naughty
03. OK Alright (feat. ScHoolboy Q) [likely also feat. Kacy Hill, SZA and Zonaman]
04. 3500 [Kanye was wanted at this point]
05. Nightcrawler (feat. Chief Keef)
06. Act 1 (Drown) [feat. Young Thug & Yung Mazi]
07. 90210 (feat. Kacy Hill) [Kacy not mentioned, but was definitely on it]
08. Whole Lot's Changed (feat. Yung Mazi)
09. Only One
10. Wasted (feat. Yung Lean)
11. Bruh (Ooh Na Na) [feat. Young Thug]
12. Poet and Parade
13. Twist One Up (feat. Jeremih)

It can't be seen in the picture, but a note beside ""Only One"" says: ""TWO VERSIONS EXIST. ONE WITH BEGINNING LOOPED THROUGH AND ONE WITH OLD ENDING"".

It's unclear how exhaustive this tracklist is. Songs like ""Oh My"", ""Never Catch Me"", and ""Pray 4 Love"" all existed at the time and could reasonably be expected to appear, but they equally may not have been in consideration at this time; ""Pray 4 Love"" was handled entirely by The Weeknd's team, which could explain its absence.",,,Clear,,N/A
Rodeo,"Rodeo [April 23, 2015 Considerations]
(Source: Blake Harden)","A list of songs from April 23, 2015, that were being actively worked on by Travis. Not sequenced, it's simply a list of songs that could've been in consideration for 'Rodeo', with notes on the state of their completion and possible features (some hadn't recorded and didn't in the end). Note that ""Ok Alright"", ""Maria I'm Drunk"", and ""Oh My Dis Side"" existed at this point, but they were treated as individual songs on the list so that they could have their progression tracked more easily.

01. I Can Tell
02. Never Catch Me (feat. Tinashe)
03. 3500 (feat. Kanye West & Rick Ross)
04. Nightcrawler (feat. The Weeknd & Chief Keef)
04. Whole Lot's Changed
05. Flying High (feat. Pharrell Williams)
06. Ok (feat. ScHoolboy Q & Zona Man)
07. Alright (feat. SZA)
08. Joyride (feat. Tinashe)
09. Naughty
10. Maria
11. I'm Drunk (feat. Young Thug)
12. Oh My
13. Dis Side
14. Grant to You
15. 90210 (feat. Kacy Hill)

Click the link to see the full image.",,,Clear,,Full Image (Screenshot)
Rodeo,"Rodeo [July 1, 2015 Considerations]
(Source: Blake Harden)","A list of songs from July 1, 2015, that were being actively worked on by Travis. Very close to completion at this point, but is still missing some songs and has more that were later cut. Note that ""Ok Alright"", ""Maria I'm Drunk"", and ""Oh My Dis Side"" existed at this point, but they were treated as individual songs on the list so that  they could have their progression tracked more easily.

01. I Can Tell
02. Never Catch Me (feat. Tinashe & T.I.)
03. 3500 (feat. Future & 2 Chainz)
04. Nightcall (Nightcrawler) [feat. Rae Sremmurd & Chief Keef]
04. Whole Lot's Changed (feat. Fredo)
05. Flying High (feat. Pharrell Williams)
06. Ok (feat. ScHoolboy Q & ZonaMan) 
07. Alright (feat. SZA)
08. Joyride (feat. Tinashe)
09. Naughty
10. Maria 
11. I'm Drunk (feat. Young Thug & Justin Bieber)
12. Oh My 
13. Dis Side
14. Grant to You
15. 90210 (feat. Kacy Hill)
16. Pornography (feat. Z-Ro)
17. Wasted (feat. Juicy J)
18. Piss on Your Grave (feat. Kanye West)
19. 911-(MY EX BEST FRIEND (411/713)
20. Apple Pie
21. 20 Naked Bitches
22. Twist One Up (feat. Jeremih)
23. Poet and Parade
24. Antidote

""20 Naked Bitches"" is likely a feature rather than a 'Rodeo' consideration. This is the first time that ""Twist One Up"" and ""Poet and Parade"" had been revisited since the April 14 tracklist. It's unknown why ""My Ex Best Friend"" has such a confusing and unclear title. Click the link to see the full images.",,,Clear,,Full Images (Screenshots)
Rodeo,"Rodeo [Mid-Late July 2015]
(Source: Mike Dean)","Whiteboard tracklist shared by Mike Dean after the release of the album; Mike had previously shared a picture of the same whiteboard featuring only ""3500"" on July 13, 2015, and it appeared briefly in the back of a Snapchat video posted by Allen Ritter on July 21. Unlikely to be sequenced.

01. 3500
02. Oh My Dis Side (Quavo)
03. Night Call
04. Ok Alright
05. Antidote
06. Maria I'm Drunk
07. I Can Tell
08. 90210
09. Flying High
10. Never Catch Me
11. Pray For Love
12. Pornography
13. Wasted (King Krule)
14. Piss On Your Grave (Kanye)
15. [Blank/Erased]
16. My Ex Best Friend

Quite a few songs were still unfinished at this stage. ""Impossible"" and ""Apple Pie"" are missing; ""Apple Pie"" existed at the time, but it's not known if ""Impossible"" did. ""Nightcrawler"" is listed as ""Night Call"", which was its new title from June onwards; it was also titled this on the CD leak, though it was changed back to ""Nightcrawler"" for the official release. ""Pray 4 Love"" is listed as ""Pray For Love"". ""My Ex Best Friend"" has been crossed out, and a song has been erased. Possible contenders for the erased song are ""Twist One Up"" and ""Poet and Parade"" (which were both revisited and reconsidered for the album shortly before this tracklist was penned), and ""Joyride"" (which was sent to Rihanna around this time); the latter two are the only two songs that look like they could fit what is left of the erased text, but ""Poet and Parade"" is currently the most likely.
The same tracklist was printed on merchandising tees for Rodeo's 10th anniversary in 2025.",,,Clear,,"Tracklist (Screenshot)

Incomplete Version (Screenshot)"
