Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
Owl Pharaoh,"⭐ 12 Disciples
[prod. FKi 1st & Travis Scott]
(AKA: Follow Me)","Leaked by Fitz on KTT on June 1, 2013, after he was sold a pack of early 'Owl Pharaoh' tracks by Pharaohxx. Presumably the song ""Follow Me"" from the August 2012 tracklist. According to Pharaohxx, Travis gave the song to Kendrick at SXSW 2013, but he never ended up using it. The instrumental appears to be a reworked version of the FKi-produced beat used for ""Conclusion"" with Machine Gun Kelly and Travis Porter. Technically released on the Grand Hustle compilation tape 'We Run This Vol. 10'.",2:39,,"Jun 1, 2013",Full - HQ,,KrakenFiles
Owl Pharaoh,"16 Chapels (Remix)
[prod. Travis Scott & Kanye West]","Newer version with a ""harder"" beat intended for 'Owl Pharaoh', rumoured to be produced with Kanye. Mentioned on Tumblr by Travis, but the version on the project was unchanged.",,,,N/A,,
Owl Pharaoh,"Angels vs. Demons
[prod. Travis Scott]
(AKA: The City of Angels vs. Demons)","According to a tweet from Travis in September 2011, this song was to feature on a very early version of 'Owl Pharaoh'. Appears alongside ""Cracks"" on several tracklists leaked by L$, implying a two-part version.",,,,N/A,,
Owl Pharaoh,"Angels vs. Demons / Cracks
[prod. Travis Scott]",Two-part song that appears on several tracklists leaked by L$.,,,,N/A,,
Owl Pharaoh,"Animal (Remix)
(feat. T.I.)
[prod. TBHits, Kanye West & Travis Scott]","Reworked version with new drums from Kanye, announced on Twitter on January 5, 2013. A snippet was possibly played the same day (and again the following day) on Power 106, but all links appear to be dead, and KTT users who heard it all seemed to think that it sounded identical to the released version.",,,,N/A,,
Owl Pharaoh,"Armageddon
[prod. Travis Scott]","Initially made for an early version of 'Owl Pharaoh', likely in 2012, but Pharaohxx said it was being saved for an album that never materialised. An instrumental leaked on July 19, 2013, after being acquired from Tony Loney by KTT users Carlos and xxman. It was later used in 2016 by A$AP Twelvyy for ""Lords Never Worry"" with Nast and Rocky; no Travis vocals have ever surfaced.",,,,Instrumental - HQ,,KrakenFiles
Owl Pharaoh,"Back To Black (Cover)
[prod. HXLT]","Cover of Amy Winehouse's ""Back to Black"" that appears to be performed by Travis. Snippet originally leaked quietly on December 19, 2022, before being reposted on August 8, 2023. Said to be a reference for Beyoncé's version, but it's unclear why she would need a reference for a cover.",,,,Snippet - HQ,,Pillowcase
Owl Pharaoh,"Bad Mood [Demo]
[prod. Emile Haynie]","OG Filename: Bad Mood Rough Version 1
Early unfinished version disconnected from ""Shit On You"", with fewer verses and different lyrics. Leaked on July 19, 2013, after being acquired from Tony Loney by KTT users Carlos and xxman.",2:01,,"Jul 19, 2013",Full - HQ,,KrakenFiles
Owl Pharaoh,"Bad Mood / Shit On You [Demo]
[prod. Emile Haynie & J Gramm]","Appears on the May 2013 tracklist. 5:04 long, 14 seconds shorter than release.",5:04,,,N/A,,
Owl Pharaoh,"Bandz [Demo 1]
[prod. The Dope Boyz & MIKE DEAN]
(AKA: I Got Bandz)","Early version with a verse in place of Meek Mill played a couple of times in late 2012 and again at SXSW 2013. Leaked on July 19, 2013, after being acquired from Tony Loney by KTT users Carlos and xxman; Music Mafia later tried to auction it in 2018 as ""I Got Bandz"".",4:25,,"Jul 19, 2013",Full - HQ,,KrakenFiles
Owl Pharaoh,"Bandz [Demo 2] 
(feat. Meek Mill) 
[prod. The Dope Boyz & MIKE DEAN]","Appears on the May 2013 tracklist. 5:24 long, 53 seconds longer than release. Possibly adds Meek's verse to the above demo, before it was decided that one of Travis's verses should be cut.",5:24,,,N/A,,
Owl Pharaoh,"🏆 Blame 
(feat. Mr Hudson) 
[prod. Travis Scott]","Different to the 'Birds'-era ""Blame""; this is a new version of ""Analogue"" with Mr Hudson. Revealed by Pharaohxx on March 23, 2013; Travis confirmed its existence through a tweet three days later. Possibly intended for the scrapped iTunes deluxe version of 'Owl Pharaoh'.",,,,N/A,,
Owl Pharaoh,"Blocka La Flame [Demo 1]
[prod. Young Chop]
(AKA: Flocka)","Early version with some differing lyrics from the final release across both verses and no Popcaan. Also features the ""Ill America"" tag and pre-dates Mike Dean's contributions. Leaked October 8, 2019. Was originally Travis's song before Pusha T heard it and reworked it as his own for 'Wrath of Caine'. Titled ""Flocka"" at this stage, so it's likely the version found on the August 2012 tracklist.",3:20,,"Oct 8, 2019",Full - HQ,,KrakenFiles
