Era,Name,Notes,Art Type,Image,Project Type,Use,Link(s)
Take Me To Your Leader,Take Me To Your Leader [Vinyl Back],Vinyl back cover of Take Me To Your Leader.,Scan,,Back Cover,Used,https://ibb.co/Ngz5w8by
Take Me To Your Leader,Take Me To Your Leader [CD],,,,Physical Packaging,,
Take Me To Your Leader,Anti-Matter,,Digital,,Front Cover,Used,https://dump.li/image/get/5668f74cfea64f52.jpeg
Take Me To Your Leader,Anti-Matter [Back],,Scan,,Back Cover,Used,https://dump.li/image/get/005d09c456104f59.jpeg
Vaudeville Villain,Vaudeville Villain,,Digital,,Front Cover,Used,https://dump.li/image/get/f16c0dbbb38b0e8b.jpeg
Vaudeville Villain,Vaudeville Villain [Back],,Scan,,Back Cover,Used,https://dump.li/image/get/f0499cc15ac9f7c5.jpeg
Vaudeville Villain,Vaudeville Villain (Gold Edition),,Scan,,Front Cover,Used,https://i.ibb.co/gLLpjSrJ/81t-Zo-YLXl5-L-AC-SL1410.jpg
Vaudeville Villain,Vaudeville Villain (Gold Edition) [Back],,Scan,,Back Cover,Used,https://i.ibb.co/ZzSVWVFT/th.jpg
Vaudeville Villain,Rae Dawn / Change The Beat,Cover for the Rae Dawn / Change The Beat single release.,Digital,,Front Cover,Used,https://dump.li/image/get/ae53eae50e87f66e.jpeg
Vaudeville Villain,Rae Dawn / Change The Beat [Back],,Photo,,Back Cover,Used,https://dump.li/image/get/04851cbbaa5de62b.jpeg
Vaudeville Villain,Mr. Clean / Modern Day Mugging,,Digital,,Front Cover,Used,https://dump.li/image/get/492cac900598c19a.jpeg
Vaudeville Villain,Mr. Clean / Modern Day Mugging [Back],,Scan,,Back Cover,Used,https://dump.li/image/get/b053f217d18f6279.jpeg
Madvillainy,Madvillainy,Cover of Madvillainy.,Digital,,Front Cover,Used,https://dump.li/image/get/4ccfedaa734f5ca7.jpeg
Madvillainy,Madvillainy [Back],Back cover of Madvillainy.,Scan,,Back Cover,Used,https://dump.li/image/get/6348781d106ef98f.jpeg
Madvillainy,Money Folder / America's Most Blunted,Cover of the Money Folder / America's Most Blunted single.,Digital,,Front Cover,Used,https://i.ibb.co/8KjLyTL/Madvillain-Money-Folder-STH2064-23.jpg
Madvillainy,Money Folder / America's Most Blunted [Back],Back cover of the Money Folder / America's Most Blunted single.,Scan,,Back Cover,Used,https://i.ibb.co/FmBLC5F/R-6153926-1458081919-4191.jpg
Madvillainy,Curls / All Caps,Cover of the Curls / All Caps single.,Digital,,Front Cover,Used,https://i.ibb.co/mCy7PS4/Madvillain-Curls-STH2085-30.jpg
Madvillainy,Curls / All Caps [Back],Back cover of the Curls / All Caps single.,Scan,,Back Cover,Used,https://dump.li/image/get/7c92f16c5da1ad9a.jpeg
Madvillainy,Madvillainy Instrumentals,Cover of Madvillainy Instrumentals.,Digital,,Front Cover,Used,https://dump.li/image/get/6ca942f3445d3cee.jpeg
Madvillainy,Madvillainy Instrumentals [Back],Back cover of Madvillainy Instrumentals.,,,Back Cover,Used,https://ibb.co/Fk645NBV
Madvillainy,Four Tet Remixes,Cover of Madvillainy: Four Tet Remixes.,Digital,,Front Cover,Used,https://dump.li/image/get/bf5e0c40ba4d6735.jpeg
Madvillainy,Four Tet Remixes [Back],Back cover of Madvillainy: Four Tet Remixes.,Scan,,Back Cover,Used,https://dump.li/image/get/32abb4cbfe491b2c.jpeg
Madvillainy,Koushik Remixes,Cover of Madvillainy: Koushik Remixes.,Digital,,Front Cover,Used,https://ibb.co/NdRDZ8cH
Madvillainy,Four Tet & Koushik Remixes,Cover of Madvillainy: Four Tet & Koushik Remixes. Is a collage of scans of the A and B sides of the vinyl releases. This is the cover on Apple Music.,Digital,,Front Cover,Used,https://ibb.co/SwtBCy2Q
Madvillainy,Madvillainy 2: The Madlib Remix,Cover of Madvillainy 2: The Madlib Remix.,Digital,,Front Cover,Used,https://dump.li/image/get/dbb646bb31fed452.jpeg
Madvillainy,Madvillainy 2: The Madlib Remix [Back],Back cover of Madvillainy 2: The Madlib Remix.,Scan,,Front Cover,Used,https://dump.li/image/get/a1d3a3e8d0b189c3.jpeg
Madvillainy,Madvillainy Demos,Cover of Madvillainy Demos.,Digital,,Front Cover,Used,https://i.ibb.co/ScDhF9Y/Madvillain-Madvillainy-Demos-STH2196-01-800x.webp
Madvillainy,Madvillainy Demos [Back],Back cover of Madvillainy Demos.,Photo,,Back Cover,Used,https://i.ibb.co/pvgtPZG/Madvillain-Madvillainy-Demos-STH2196-05-800x.webp
Madvillainy,Madvillainy Demo Tape,"Photo of the official anniversary cassette tape release of the Madvillainy demos, commemorating the 10th anniversary of Madvillainy.",Photo,,Physical Packaging,Used,https://dump.li/image/get/06d8c736023a416d.jpeg
Madvillainy,Madvillainy [Audiophile Edition],Cover of Madvillainy: Audiophile Edition.,Digital,,Front Cover,Alternate,https://i.ibb.co/jrpXKwd/Madvillain-Madvillainy-Audiophile-Edition-Cover-01-800x.webp
Madvillainy,Madvillainy [Audiophile Edition] [Back],Back cover of Madvillainy: Audiophile Edition.,Photo,,Back Cover,Used,https://i.ibb.co/bgb7YgM/madvillainy-demos-carousel-slide-04-800x.webp
Venomous Villain,Venomous Villain [Digital],"Standard cover of Venomous Villain, without the Parental Advisory or Enhanced CD tags. This is the artwork included in the file, not the physical packaging. Artwork done by Sanford Greene. For some reason, a full quality version cannot be found online, so thank you to DOOM Hub member steel for ripping this for us.",Digital,,Front Cover,Used,https://ibb.co/60VH7Gm6
Venomous Villain,Venomous Villain [Physical Packaging],Physical packaging version of the Venomous Villain cover. Features Parental Advisory and Enhanced CD tags in the bottom left corner not seen on the digital cover.,Scan,,Physical Packaging,Used,https://dump.li/image/get/654562a1408ea461.jpeg
Venomous Villain,Venomous Villain [Back],Back cover for Venomous Villain.,Scan,,Back Cover,Used,https://dump.li/image/get/25b502fb810be45c.jpeg
Venomous Villain,Venomous Villain [Vinyl],"Vinyl cover of Venomous Villain. Features a tag promoting the track ""Doper Skiller"", featuring Kool Keith. If anyone wants to get us a better scan, be prepared to take out a loan lol.",Scan,,Front Cover,Used,https://ibb.co/VW84NK0W
Venomous Villain,Venomous Villain [CD],Disc art for Venomous Villain.,Scan,,Physical Packaging,Used,https://i.ibb.co/xStDbYf/ALBUMvvvvmore5.jpg
MM..FOOD,MM..FOOD,,Digital,,Front Cover,Used,https://i.ibb.co/2SRxFcW/cover.jpg
MM..FOOD,MM..FOOD [Back],,Scan,,Back Cover,Used,https://i.ibb.co/qFyVLcw/R-356592-1185972407.jpg
MM..FOOD,Hoe Cakes/Potholders,,Scan,,Front Cover,Used,https://dump.li/image/get/db211fe3dc7c9ec9.jpeg
MM..FOOD,Hoe Cakes/Potholders [Back],,Scan,,Back Cover,Used,https://dump.li/image/get/a0fb9c9b48c6a0b0.jpeg
MM..FOOD,MM..FOOD [OG Cover Art Sketch],The original sketch of MF DOOM’s ‘MM..FOOD’ cover art; drawn by JASON JAGEL,,,Concept Art,Concept Art,https://i.ibb.co/0BC67G2/Gcd1-AXQWIAAPk5v.jpg
MM..FOOD,MM..FOOD [OG Cover Art Painting],The original painting of MF DOOM’s ‘MM..FOOD’ cover art which depicts DOOM smoking a blunt. The blunt was removed via DOOM's request; drawn by JASON JAGEL,,,Concept Art,Concept Art,https://i.ibb.co/hRnr8FY/2736c72af7929a003076c835e6c34c6a-1.jpg
MM..FOOD,MM..FOOD (Deluxe Edition),,Digital,,Front Cover,Used,https://dump.li/image/get/76c5a9cc7a63b79d.jpeg
MM..FOOD,"MM.. FOOD ""Chocolate"" Packaging",Packaging for MM.. FOOD CD release that had a chocolate smell when you scratched it.,Photo,,Physical Packaging,Used,https://i.ibb.co/NxzvnF0/ssssssss81828fd7a0121397914110-L.jpg
MM..FOOD,MM..LEFTOVERS,,Scan,,Front Cover,Used,https://ibb.co/23MJZ0wH
MM..FOOD,MM..LEFTOVERS [Back],,Scan,,Back Cover,Used,https://dump.li/image/get/eaafa5da78a8623f.jpeg
MM..FOOD,MM.. More Food,"MM.. More Food never had any form of cover art, with its only packaging being a simple window sleeve.",Scan,,Physical Packaging,Used,https://ibb.co/M59dW9yH
MM..FOOD,MM.. FOOD (20th Anniversary Edition),Cover for MM.. FOOD's 20th Anniversary re-release. designed by Sam Rodriguez.,Digital,,Front Cover,Used,https://i.ibb.co/HgMSKPx/48339.jpg
MM..FOOD,MM.. FOOD (20th Anniversary Edition) [Back],,Photo,,Back Cover,Used,https://i.ibb.co/t8HNpMR/CD-Back-1800x1800.webp
MM..FOOD,MM.. FOOD (20th Anniversary Edition) [Animated Cover],,Digital,,Front Cover,Used,https://pillows.su/f/b8db363308e08a372e844d171d2c71c8
MM..FOOD,MM.. FOOD (20th Anniversary Edition) [Cassette Packaging],"Cassette packing for the 20th Anniversary Edition release of MM.. FOOD. Extends the standard cover length-wise, showing more of the diner.",Scan,,Physical Packaging,Used,https://ibb.co/TMM2snBz
MM..FOOD,MM.. FOOD 20th Anniversary [Banner],Banner used on DOOM's Bandcamp to promote the 20th anniversary of MM.. FOOD.,Digital,,Promo Art,Used,https://i.ibb.co/mDYfYT4/0037780996-100.png
MM..FOOD,MM.. FOOD 20th Anniversary [Backdrop],Backdrop used on DOOM's Bandcamp to promote the 20th anniversary of MM.. FOOD.,,,Promo Art,Used,https://i.ibb.co/C1yXV6N/0037415990-130.jpg
MM..FOOD,De La Soul - Rock Co.Kane Flow (Ft. MF DOOM),,Scan,,Front Cover,Used,https://i.ibb.co/gdGCxQH/R-357925-1458865807-4015.jpg
2006 - 2008,Live From Planet X,,Digital,,Front Cover,Used,https://i.ibb.co/7bhWs0M/888915230008-cover.jpg
2006 - 2008,Live From Planet X [Back],,Scan,,Back Cover,Used,https://i.ibb.co/hK1v11Y/R-477928-1360237367-5475.jpg
2006 - 2008,Live From Planet X [CD Back],,Scan,,Back Cover,Alternate,https://i.ibb.co/rw4P0Gq/R-477928-1360237378-6253.jpg
2006 - 2008,Vast Aire - Da Supafriendz (Ft. MF DOOM),,Scan,,Front Cover,Used,https://i.ibb.co/PcvsqsR/R-1626438-1336075652.jpg
2006 - 2008,Daedelus - Impending Doom,,Scan,,Front Cover,Used,https://i.ibb.co/wLt56C2/R-1030006-1227034067.jpg
2006 - 2008,Wu-Tang Clan - Biochemical Equation (Ft. RZA and MF DOOM),,Scan,,Front Cover,Used,https://i.ibb.co/V2PfpwW/195081584140.jpg
2006 - 2008,Moka Only - More Soup (Ft. MF DOOM),,Scan,,Front Cover,Used,https://i.ibb.co/MhRVJbZ/R-22650356-1648296921-3190.jpg
2006 - 2008,Johnathan Toth - Ghostwhirl (Ft. MF DOOM),,Scan,,Front Cover,Used,https://i.ibb.co/jGZDyww/R-863409-1610633635-5438.jpg
The Mouse And The Mask,The Mouse and the Mask," One of the two covers for The Mouse and the Mask, designed by  Jacob Escobedo.",Digital,,Front Cover,Used,https://i.ibb.co/zXRqszZ/DANGER-DOOM.jpg
