Era,Name,Notes,Art Type,Image,Project Type,Use,Link(s)
NehruvianDOOM,NehruvianDOOM [Back],,Scan,,Back Cover,Used,https://dump.li/image/get/0bc6ae1f74aaf953.jpeg
NehruvianDOOM,Flying Lotus - Masquatch (Ft. MF DOOM),Song made for FlyLo FM on GTA 5.,Digital,,Front Cover,Used,https://pomf2.lain.la/f/dw5ic5i3.jpg
NehruvianDOOM,PRhyme - Highs and Lows (Ft. MF DOOM and Phonte),,Digital,,Front Cover,Used,https://pomf2.lain.la/f/gzkd9kd.jpg
NehruvianDOOM,NehruvianDOOM (Redux),,Digital,,Front Cover,Used,https://i.ibb.co/s62MhN8/redux.jpg
The Missing Notebook Rhymes,"The Avalanches - Frankie Sinatra (Ft. Danny Brown, MF DOOM)",,Digital,,Front Cover,Used,https://pomf2.lain.la/f/7ca3wck0.jpg
The Missing Notebook Rhymes,The Missing Notebook Rhymes,"Cover for The Missing Notebook Rhymes designed by Jacob Escobedo, who also did The Mouse and the Mask's covers.",Digital,,Front Cover,Used,https://i.ibb.co/pz6h63M/doom.jpg
WestSide Doom,Kool Keith - Super Hero (Ft. MF DOOM),,Digital,,Front Cover,Used,https://i.ibb.co/0J79nvw/MC01-Nzc1-Lmpw-ZWc.jpg
WestSide Doom,Kool Keith - Super Hero (Ft. MF DOOM) [Alternate],,Digital,,Front Cover,Alternate,https://i.ibb.co/0J79nvw/MC01-Nzc1-Lmpw-ZWc.jpg
WestSide Doom,WestSide Doom,,Scan,,Front Cover,Used,https://i.ibb.co/8N3W9C1/888915658390-cover.jpg
WestSide Doom,WestSide Doom [Back],,Scan,,Back Cover,Used,https://i.ibb.co/933B76F/R-11190481-1609598290-9456.jpg
Czarface Meets Metal Face,Czarface Meets Metal Face,,Digital,,Front Cover,Used,https://i.ibb.co/qMnkFT4/706091000324.jpg
Czarface Meets Metal Face,Czarface Meets Metal Face [Back],,Scan,,Back Cover,Used,https://i.ibb.co/Wsgffkh/R-14937435-1585692740-3759.jpg
Czarface Meets Metal Face,Czarface Meets Metal Face (GASDRAWLS Exclusive Vinyl),,,,Front Cover,Alternate,https://i.ibb.co/bsH5NFV/SIL003-B-00-A-1800x1800.webp
Czarface Meets Metal Face,Czarface Meets Metal Face (Cassette),,Photo,,Physical Packaging,Used,https://i.ibb.co/1JXY3hz/R-11745134-1581020979-8131.jpg
Czarface Meets Metal Face,Czarface Meets Metal Face (White Repress),,Photo,,Front Cover,Alternate,https://i.ibb.co/0FrLbDG/R-21194512-1638397140-5428.jpg
Czarface Meets Metal Face,Czarface Meets Metal Face (White Repress) [Back],,Scan,,Back Cover,Alternate,https://i.ibb.co/6Xy3STQ/R-21194512-1638397139-8958.jpg
Czarface Meets Metal Face,Czarface Meets Metal Face (Instrumentals),,Digital,,Front Cover,Used,https://i.ibb.co/19nf0BM/706091000522.jpg
Czarface Meets Metal Face,Czarface Meets Metal Face (Instrumentals) (Cassette),,Photo,,Physical Packaging,Alternate,https://i.ibb.co/6JR8SCC/R-11745052-1581021127-1996.jpg
Czarface Meets Metal Face,YOTA (Youth of the Apocalypse) (Ft. MF DOOM) - Drop the Bomb,,Digital,,Front Cover,Used,https://pomf2.lain.la/f/ekd71xab.jpg
Czarface Meets Metal Face,Death Wish (Ft. Freddie Gibbs) - MUGGS X DOOM,,Digital,,Front Cover,Used,https://dump.li/image/get/e306f814ce76f55e.jpeg
Czarface Meets Metal Face,Man's Worst Enemy,,Digital,,Front Cover,Used,https://i.ibb.co/rQZ6Zdk/706091000454.jpg
Super What?,Ninjarous (Ft. MF DOOM) - Danger Mouse & Sparklehorse,,Digital,,Front Cover,Used,https://i.ibb.co/NLZf9Gg/c186c16729f32cf1ee38f88337d3882b.jpg
Super What?,Cookie Chips ft. (MF DOOM & Cam O'bi) - Rejjie Snow,"Cover for Cookie Chips, featuring Rejjie Snow in rabbit ears holding balloons.",Digital,,Front Cover,Used,https://i.ibb.co/NZC0t8Y/e3e1e434a4b5f7780b1bff06529e18d9.jpg
Super What?,Super What?,,Digital,,Front Cover,Used,https://i.ibb.co/RgPPP4L/706091201035-1.jpg
Super What?,Super What? [Back],,Scan,,Back Cover,Used,https://i.ibb.co/zsxHWpq/R-18616576-1623074111-9575.jpg
Super What?,Super What? [White Vinyl],,Scan,,Front Cover,Alternate,https://i.ibb.co/f109JBB/R-20128903-1633769874-5088.jpg
Super What?,Super What? [White Vinyl] [Back],,Scan,,Back Cover,Alternate,https://i.ibb.co/SQjssCF/R-20128903-1633769872-7996.jpg
Post Super What?,Dropout Boogie - Your Old Droog x MF DOOM,,Digital,,Front Cover,Used,https://dump.li/image/get/532948ed40e4d622.jpeg
Post Super What?,"Chase (Ft. Canibus, Kool Keith & MF DOOM) - Justin Thyme",,Digital,,Front Cover,Used,https://i.ibb.co/qs7j3H0/cover-4064832734812.jpg
Post Super What?,Barz Simpson (Ft. MF DOOM & Jay Electronica) - Sonnyjim,,Digital,,Front Cover,Used,https://dump.li/image/get/027ba9c9da9cb2ec.jpeg
