Era,Name,Notes,File Date,Leak Date,Full Length,BPM,Available Length,Quality,Link(s)
,"SOS
(S.O.S, Save Our Ship)","(06/09/2017) (Ctrl officially releases)
(09/04/2020) (""Hit Different"" releases as a loose single)
(12/25/2020) (The first single ""Good Days"" officially releases)
(??/??/2021) (The album's progress picked up pace throughout 2021 and 2022)
(06/09/2022) (The deluxe edition of Ctrl officially releases)
(12/09/2022) (SOS officially releases)",,,,,"SOS is the second studio album by American singer-songwriter SZA. It was released on December 9, 2022, by Top Dawg Entertainment and RCA Records. The album features guest appearances from Don Toliver, Phoebe Bridgers, Travis Scott, and the late Ol' Dirty Bastard. SZA worked with a variety of record producers and songwriters such as Babyface, Jeff Bhasker, Rob Bisel, Benny Blanco, Darkchild, DJ Dahi, Ant Clemons, and Lizzo. It serves as the follow-up to SZA's debut album Ctrl.",,
SOS,"27 Hours [Sessions]
(prod. Michael Uzowuru & Tyler Johnson)","Sessions for ""27 Hours."" Multiple users have stated that these sessions are passed and may leak soon; however, due to SZA's statement about suing those who leak content from SOS and upcoming projects, it may not be anytime soon.",,,N/A,140,Conflicting Sources,Not Available,N/A
SOS,"Kill Bill (Remix) [Sessions]
(feat. Doja Cat) (prod. Carter Lang)","Sessions for the ""Kill Bill"" remix featuring Doja Cat.",,,N/A,89,Snippet,CD Quality,https://pillows.su/f/22a41eb75020e76c20e42a51eb85bece
SOS,"Doja Cat - Kiss Me More [Sessions]
(feat. SZA) (prod. Carter Lang, Rogét Chahayed, ​tizhimself, Yeti Beats & Dr. Luke)","OG Filename: KMM - DOJA
Sessions for ""Kiss Me More"".","Nov 27, 2020",,N/A,111,Full,Lossless,https://pillows.su/f/f6dbc50be9206932e275914c23188db7
SOS,"All The Stars [Fortnite Stems]
(with Kendrick Lamar) (prod. Sounwave)
(All Of the Stars)","Fortnite stems for the clean album version of ""All The Stars"".",,,N//A,96.8,Full,Lossless,https://imgur.gg/f/b2we97o
SOS,"I Hate U [Stems]
(prod. Sir Dylan, ThankGod4Cody, Rob Bisel & Carter Lang)","Stems for ""I Hate U"".",,,N/A,107,Full,Lossless,https://pillows.su/f/3dfd67b718089eddc576f99484f38000
SOS,"Love Language [Guitar Stem]
(prod. ThankGod4Cody, Yakob, Carter Lang & The Neptunes)
(I Don't Need Rent)","OG Filename: LINT untitled Serato Sample 23-24b_1
Guitar stem for ""Love Language"" which leaked on 7/23/2024.",,,2:57,130,OG File,Lossless,https://pillows.su/f/edd881c1be76f9d95873fc81c206855d
SOS,"Power Is Power [Stems]
(with The Weeknd & Travis Scott) (prod. Myles Martin, DaHeala, Ricky Reed & The Weeknd)","Stems for an early version of ""Power Is Power"". Only contains audio from the final two minutes of the track, primarily focused on Travis' part as Mike Dean was adding additional production.",,,N/A,180,Full,Lossless,https://pillows.su/f/312e57891b0dbe442ce49386c2d906f8
SOS,"Conceited [Inst.]
(prod. ThankGod4Cody)","Instrumental for ""Conceited"".",,,2:33,150,Full,Lossless,https://pillows.su/f/2d967fc67cdc0a790216614f634755d1
SOS,"Ghost in the Machine [Inst.]
(feat. Phoebe Bridgers) (prod. Carter Lang, Rob Bisel & Matt Cohn)","Instrumental for ""Ghost in the Machine"".",,,3:38,125,Full,Lossless,https://pillows.su/f/0189e63517f203f064a229092fc29108
SOS,"Kill Bill [Inst.]
(prod. Carter Lang & Rob Bisel)","Instrumental for ""Kill Bill"".",,,2:34,89,Full,Lossless,https://pillows.su/f/905911cfddec07726539ac04071a8f0d
SOS,"Kill Bill (Remix) [Inst.]
(feat. Doja Cat) (prod. Carter Lang)","Instrumental for the ""Kill Bill"" remix featuring Doja Cat.",,,2:55,89,Full,CD Quality,https://pillows.su/f/92035fdfb2c727284318cf3f43677742
SOS,"Low [Inst.]
(prod. Aire Atlantica, Alessandro Buccellati & Rob Bisel)","Instrumental for ""Low"".",,,3:01,145,Full,Lossless,https://pillows.su/f/74b155a579aa9518e8765aff0416f92b
SOS,"Nobody Gets Me [Inst.]
(prod. benny blanco & Carter Lang)","Instrumental for ""Nobody Gets Me"".",,,3:02,150,Full,Lossless,https://pillows.su/f/1c5f4894e0051c8fd6e32664c7b16843
SOS,"Open Arms [Inst.]
(feat. Travis Scott) (prod. Michael Uzowuru, Rob Bisel & Teo Halm)","Instrumental for ""Open Arms"".",,,3:24,78,Full,Lossless,https://pillows.su/f/9c51eb8b5be131cdfde5ce59500bd38b
SOS,"Open Arms (Solo Version) [Inst.]
(prod. Michael Uzowuru, Rob Bisel & Teo Halm)","Instrumental for ""Open Arms (Solo Version)"".",,,3:04,78,Full,Lossless,https://pillows.su/f/b388b7d89b8d4cabbb40b8814698caf7
SOS,"Seek & Destroy [Inst.]
(prod. Carter Lang, Rob Bisel, Scum & ThankGod4Cody)","Instrumental for ""Seek & Destroy"".",,,3:25,152,Full,Lossless,https://pillows.su/f/306c1efd99e0225838fa2be183994648
SOS,"Shirt [Inst.]
(prod. Rodney Jerkins & Freaky Rob)
(Bloodstain)","Instrumental for ""Shirt"".",,,3:02,120,Full,Lossless,https://pillows.su/f/a42cd27ed30dc00561197a83c090783c
SOS,"Smoking on My Ex Pack [Inst.]
(prod. Jay Versace)","Instrumental for ""Smoking on My Ex Pack"".",,,1:23,81,Full,Lossless,https://pillows.su/f/efa1a8287d3a895e1229a9cd9ffcc56f
SOS,"Snooze [Inst.]
(prod. Babyface, Khristopher Riddick-Tynes, Leon Thomas III & BLK Beats)","Instrumental for ""Snooze"".",,,3:21,143,Full,Lossless,https://pillows.su/f/77e5d4e012a6b573f14d2f47623efe5a
