Era,Name,Notes,File Date,Leak Date,Full Length,BPM,Available Length,Quality,Link(s)
A [V1],Hold Me Close [Sessions],"OG Filename: 2.6.16 Sza 1
Sessions for ""Hold Me Close"".","Feb 6, 2016",,N/A,,Full,Lossless,https://pillows.su/f/b4f78a64ea247c04b70b4499725fc09a
A [V1],"Jodie Foster [Sessions]
(prod. Tyler, the Creator)
(Jodie)","OG Filename: SZA TRACKING 9 8 15
Sessions for ""Jodie Foster"".","Sep 8, 2015",,N/A,90,Full,Lossless,https://pillows.su/f/18c1eff7990496762e69b09ae6f1964c
A [V1],"Nothing To Say [Sessions]
(Wrangler)","OG Filename: SZA_Nothing To Say_04.26.16
Sessions for ""Nothing To Say"".","Apr 26, 2015",,N/A,115,Full,Lossless,https://pillows.su/f/332012c87da0701d2eb41fe3ed4012ee
A [V1],"Real Niggas Respect It [Sessions]
(Respect It, Real Shit)","OG Filename: SZA_11.13.14
Sessions for ""Real Niggas Respect It"".","Nov 13, 2014",,N/A,90,Full,Lossless,https://pixeldrain.com/u/NXqPyeWd
A [V1],"Convocation [Sessions]
(Roses)","OG Filename: 11-25-2014 SZA
Sessions for ""Convocation"". Contains vocal takes from the ""Sobriety"" sessions for some reason. Resurfaced on 1/30/2026.","Nov 25, 2014",,N/A,,Full,Lossless,https://pixeldrain.com/u/SYduPo4z
A [V1],"Convocation [Sessions]
(Roses)","OG Filename: 11-25-2014 SZA.2
Session for ""Convocation"".","Nov 25, 2014",,N/A,,Full,Lossless,https://pixeldrain.com/u/de6rff9v
A [V1],"Sobriety [Sessions]
(prod. Chris Calor, CoDy, LoveDragon, Thundercat & Sounwave)","OG Filename: SOBERIETY
Sessions for ""Sobriety"".","Sep 15, 2014",,N/A,76,Full,Lossless,https://pixeldrain.com/u/97DPZPpg
A [V1],"Space Cloud-9
(prod. Tommy Black)","OG Filename: ERA_SZA_06.22.15
Sessions for ""Space Cloud-9"".","Jun 22, 2015",,N/A,,Full,Lossless,https://pixeldrain.com/l/HnLikGiU#item=14
A [V1],"Supermodel [Sessions]
(prod. The Antydote)","OG Filename: SUPERMODEL
Sessions for ""Supermodel"".",,,N/A,97,Full,Lossless,https://pillows.su/f/1bc2cad11221a60035444e100647cf13
A [V1],"Tender [Sessions]
(prod. Felix Snow)","Sessions for ""Tender"". A snippet leaked on 9/5/2024.",,,N/A,76,Snippet,CD Quality,https://pillows.su/f/78b3d810d4d796d82c46a51219618ced
A [V1],"Wavy [Sessions]
(feat. James Fauntleroy) (prod. Prophit)","OG Filename: Copy of SZA Prophit1_James_Best
Sessions for ""Wavy"".",,,N/A,79,Full,Lossless,https://pixeldrain.com/u/guUw82pH
A [V1],"Wavy [Sessions]
(feat. James Fauntleroy) (prod. Prophit)","OG Filename: ERA_SZA Prophit1_James_Best
Sessions for ""Wavy"". Resurfaced on 1/30/2026.",,,N/A,79,Full,Lossless,https://pixeldrain.com/u/P6XaFdCs
A [V1],"Wavy [Sessions]
(feat. James Fauntleroy) (prod. Prophit)","OG Filename: SZA - Wavy
Sessions for ""Wavy"".","Sep 4, 2015",,N/A,79,Full,Lossless,https://pixeldrain.com/u/bmP2Mja9
A [V1],"Wavy [Sessions]
(feat. James Fauntleroy) (prod. Prophit)","OG Filename: Copy of Wavy NEW 2ND VRS 9.5.15
Sessions for ""Wavy"".","Sep 5, 2015",,N/A,79,Full,Lossless,https://pillows.su/f/1d0608db99efdee3da363014497ce30e
A [V1],"Wavy [Sessions]
(feat. James Fauntleroy) (prod. Prophit)","OG Filename: Wavy
Sessions for ""Wavy"".","Oct 11, 2015",,N/A,79,Full,Lossless,https://pixeldrain.com/u/nJ8MRPag
A [V1],Summertime [Sessions],"OG Filename: ™_11.26.14
Sessions for ""Summertime"".","Nov 26, 2014",,N/A,,Full,Lossless,https://pixeldrain.com/l/HnLikGiU#item=47
A [V1],??? [Sessions],Sessions from an unknown track. A snippet leaked on 9/5/2024.,,,N/A,,Snippet,CD Quality,https://pillows.su/f/5f9cafa1dba5f1e9d7e494e1f255e169
A [V1],??? [Sessions],"OG Filename: ERA_SZA_07.19.16
Empty session.","Jul 19, 2016",,N/A,,Full,Lossless,https://pixeldrain.com/l/HnLikGiU#item=15
A [V1],??? [Sessions],"OG Filename: 12_12_2015 Track 1
Empty session.","Dec 12, 2015",,N/A,,Full,Lossless,https://pixeldrain.com/l/HnLikGiU#item=3
A [V1],"Jay Rock - Redemption [Sessions]
(feat. SZA) (prod. Terrace Martin & Sounwave)
(Loved 1, Loved Ones)","OG Filename: Copy of Redemption_Loved 1 re ruff 3
Sessions for ""Redemption"" featuring SZA. Contains takes from Kendrick Lamar, SZA, and Jay Rock. Some integral files are missing, including: bounced files folder, Pro Tools X backups.",,,N/A,144,Full,Lossless,https://pillows.su/f/39f36c14363e7e8485da67279b6c04b5
A [V1],"Rihanna - Consideration [Stems]
(feat. SZA) (prod. Kuk Harrell & The Antydote)
(LouAnne Johnson)","OG Filename: Rihanna - Consideration (ft. SZA) (Multitrack)(16 Track)(44.1k-32bit)
Official multitrack stems for ""Consideration"".","Jan 28, 2016",,N/A,145,Full,Lossless,https://pillows.su/f/919be164f0ebe67da5c004797746d247
A [V1],"Curtains [Inst.]
(prod. Ivan Corpening)","OG Filename: 19
Instrumental for ""Curtains"". It is extended and features additional Sade vocals.","Jun 3, 2015",,2:43,130,OG File,Lossless,https://pillows.su/f/63d05b844bd162596ec07ada364b7eb3
A [V1],"Supermodel [V1] [Inst.]
(prod. The Antydote)","OG Filename: like a carving cloud
Instrumental for the early versions of ""Supermodel"".",,,3:53,91,OG File,Lossless,https://pillows.su/f/d5099a771669f2f21f5fcb7e9732b98a
A [V1],"Nothing To Say [V1] [Inst.]
(Wrangler)","Instrumental for ""Nothing To Say"".","Apr 27, 2015",,3:25,115,Full,Lossless,https://pillows.su/f/8b91510088b0303e2724c7f04be5424d
A [V1],"Wavy [V1] [Inst.]
(feat. James Fauntleroy) (prod. Prophit)","OG Filename: Prophit1_James_Best_Instrumental &
OG Filename (Metadata): Copy of SZA Prophit1_James_Bes
Instrumental for ""Wavy"" [V1].",,,3:26,79,OG File,CD Quality,https://pillows.su/f/42fdac0e29b8583bb7287e14a1302602
A [V1],"Felix Snow - Lies [V2] [Inst.]
(feat. SZA) (prod. Felix Snow)","OG Filename: sza21 2 inst vpm 120 
Instrumental for ""Lies"" [V1].",,,3:24,120,OG File,Lossless,https://pillows.su/f/6ad8198f8d3e12d58f45cd36d6fa79db
A [V1],"Rihanna - Consideration [Inst.]
(feat. SZA) (prod. Kuk Harrell & The Antydote)
(LouAnne Johnson)","Instrumental for ""Consideration"".",,,2:43,145,Full,Lossless,https://pillows.su/f/fd065e77fd46a86445c4328d8c4a01dc
A [V1],"Decisions [V2] [Acapella]
(prod. RoccStar)","Acapella for the bridge of ""Decisions"" [V2].","Apr 11, 2016",,0:40,101,Full,CD Quality,https://pillows.su/f/be31317ab972a733c5aaf24e7ac3796c
A [V1],"Wavy [V1] [Acapella]
(feat. James Fauntleroy) (prod. Prophit)","OG Filename: Prophit1_James_Best_Vocals &
OG Filename (Metadata): Copy of SZA Prophit1_James_Bes
Acapella for ""Wavy"" [V1].",,,3:26,79,OG File,CD Quality,https://pillows.su/f/83ab6db3503bd6aa46387e4da7c71676
