Era,Name,Notes,Length,Release Date,Type,Streaming,Link(s)
Punk [V1],"IDK - PradadaBang
(with Young Thug) (prod. IDK, Pierre, Blue Rondo & Almatic)","Released as a single and track 5 on IDK's album ""USEE4YOURSELF"". Vocals recorded by Vic Wainstein and Eden Eliah Nagar. MIxed by MIKE DEAN and Eden Eliah Nagar. Mastered by MIKE DEAN.",2:25,"Jul 2, 2021",Feature,Yes,https://music.apple.com/us/album/pradadabang/1570546915?i=1570546921
Punk [V1],"Mariah the Scientist - Walked In
(feat. Young Thug) (prod. PrettyJimmy & Victor Hejslet)","Track 3 on Mariah the Scientist's album ""RY RY WORLD"". Mixed and mastered by Johann Chavez.",2:55,"Jul 9, 2021",Feature,Yes,"https://music.apple.com/us/album/walked-in-feat-young-thug/1571821960?i=1571821964
https://open.spotify.com/track/4HnvRYwwhulZMABmLK86ue?si=67eb18ffc7d040ed"
Punk [V1],"EST Gee - Lick Back Remix
(feat. Future & Young Thug) (prod. FOREVEROLLING & Juke Wong)","Track 6 on EST Gee's album ""Bigger Than Life Or Death"". Vocals recorded by Ryan Youngblood and Afam Obianagyu. Mixed by Peter A. Barker. Mastered by Peter A. Barker and Jacob Stewart.",3:13,"Jul 21, 2021",Feature,Yes,https://music.apple.com/us/album/lick-back-remix-feat-future-young-thug/1576455253?i=1576455269
Punk [V1],"Belly - Better Believe
(feat. The Weekend & Young Thug) (prod. Zaytoven, DANNYBOYSTYLES & The ANMLS)","Released as a single and track 3 on Belly's album ""See You Next Wednesday"". Vocals recorded by Faris Al-Majed and Shin Kamiyama. Mixed by Fabian Marasciullo. Mastered by Colin Leonard.",3:26,"Jul 22, 2020",Feature,Yes,
Punk [V1],"Lil Duke - I Told Her
(feat. Young Thug) (prod. Wheezy)","Track 2 on Lil Duke's album ""Duke Hefner"". Vocals recorded by Bainz. Mixed by Bainz and Aresh Banaji. Mastered by Bainz.",3:56,"Jul 23, 2021",Feature,Yes,https://music.apple.com/us/album/i-told-her-feat-young-thug/1577159274?i=1577159352
Punk [V1],"Lil Duke - Not The Same
(feat. Young Thug) (prod. K Maddxx, Bainz , Jenso ""JP"" Plymouth & Tanner Schmiedl)","Track 10 on Lil Duke's album ""Duke Hefner"". Vocals recorded by Bainz and Jenso ""JP"" Plymouth. Mixed and mastered by Bainz.",3:23,"Jul 23, 2021",Feature,Yes,https://music.apple.com/us/album/not-the-same-feat-young-thug/1577159274?i=1577159370
Punk [V1],"YTB Trench - Mob Ties
(feat. Young Thug) (prod. Harto & TnTXD)","Track 8 on YTB Trench's album ""Versatalien"".",3:18,"Jul 20, 2021",Feature,Yes,https://music.apple.com/us/album/mob-ties-feat-young-thug/1577776129?i=1577776140
Punk [V1],"Trapboy Freddy - Freddy
(feat. Young Thug) (prod. Pi'erre Bourne)","Released as a single and track 4 on Trapboy Freddy's album ""Distractions"". Vocals recorded by Bainz. Mixed by Bainz. Mastered by Joe LaPorta.",3:26,"Aug 5, 2021",Feature,Yes,
Punk [V1],"YNW Melly - Caprisun Fun
(feat. Young Thug) (prod. Cxdy, OKTanner, OVRCZ & Taz Taylor)","Track 7 on YNW Melly's album ""Just A Matter of Slime"". Vocals recorded by Salvador Majail. Mixed by Christian “The Scientist” Perez. Mastered by 
Chris Athens.",2:44,"Aug 13, 2021",Feature,Yes,
Punk [V1],"Tick Tock
(prod. Dr. Luke & Rocco Did It Again!)","Official single for Punk, but was later scrapped before the album dropped. Vocals recorded by Bainz. Mixed by Bainz and Aresh Banaji. 
Mastered by Joe LaPorta.",2:39,"Aug 20, 2021",Single,Yes,"https://music.apple.com/us/album/tick-tock/1581846308?i=1581846309
https://open.spotify.com/track/3JXebpWufTcs8iegiRCBW7?si=c5db0db2106f4b07"
Punk [V1],"Rich Gang - Blue Emerald
(feat. Young Thug) (prod. T-Minus)",Single released by Rich Gang. Mixed and mastered by Kevin Peterson.,2:2,"Aug 27, 2021",Feature,Yes,
Punk [V1],"Kanye West - Remote Control
(feat. Young Thug) (prod. Kanye West, Ojivolta, Cubeatz, Digital Nas, 88-Keys & MIKE DEAN)","Track 12 on Kanye West's album ""Donda"". Additional production by Teddy Walton and Twisco. Vocal production by Cirkut. Thug's vocals were recorded by Bainz. Mixed by IRKO, MIKE DEAN, Sean Solymar and Tommy Rush. Mastered by IRKO.",3:18,"Aug 29, 2021",Feature,Yes,"https://music.apple.com/us/album/remote-control/1587795158?i=1587795566
https://open.spotify.com/track/45N9i9QraLWD6GW7xBqxnx?si=791a8a888f144e15"
Punk [V1],"Drake - Way 2 Sexy
(feat. Future & Young Thug) (prod. TM88 & Too Dope!)","Track 7 on Drake's album ""Certified Lover Boy"". Vocals recorded by Harley Arsenault and Eric Manco. Mixed by Noah ""40"" Shebib.",4:17,"Sep 3, 2021",Feature,Yes,"https://music.apple.com/us/album/way-2-sexy-feat-future-young-thug/1584281467?i=1584281770
https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG?si=9f7199b415404ea1"
