Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
WAR,"Powder [V2]
(prod. James Blake)","Version with added drums, features chopped James vocals. Unknown if Ye ever recorded. Snippet leaked December 11th, 2025.",,,"Dec 11, 2025",Snippet,CD Quality,https://pillows.su/f/9c8012250d32e4a397268a31d81606ce
The Colour In Anything,"Be That Man [V2]
(prod. James Blake)","OG Filename: Be That Man arr.2
A song made during 2014. Snippet leaked on December 1, 2025.",3:52,,"Dec 8, 2025",OG File,CD Quality,https://pillows.su/f/9b82a0064121f2aa501aee7c6296161c
WAR,"✨ Hold Up, Get Up [V2]
(prod. James Blake)","Solo Ye song with screaming vocals and a partially finished verse. Unknown if James Blake ever recorded for this. Has a slight beatswitch outro with different drums. Samples ""Britten: Songs from 'Friday Afternoons', Op. 7: A Tragic Story"" by Choir of Downside School, Purley. Track 4 on the October 2022 copy. Was heard briefly as files were being skipped through to be played on a Parti stream May 1st, 2025. HQ snippets later leaked November 30th and December 5th, 2025.",2:22,,"Dec 8, 2025",Full,CD Quality,https://pillows.su/f/e21c3e76b7ed07538d1698ca9b5144e4
The Colour In Anything,"A Fence So Low [V3]
(prod. James Blake)","OG Filename: A Fence So Low arr.3
A song made during 2014. Snippet leaked on December 1, 2025.",2:45,,"Dec 7, 2025",OG File,CD Quality,https://pillows.su/f/86e8b66860ea9f2853da2fadde82e767
Playing Robots Into Heaven [V2],"¥$ - All Is Love [V5]
(prod. James Blake)
(Fall In Love, All In Love, Fall In / All Is Love)","Solo Ty version. According to Ty, Ye sent him the WAR version of the song and told him to sing over James Blake's parts. Played by Ty on stream with Auger October 7th, and again on December 7th, 2025.",,,"Dec 7, 2025",Partial,Recording,https://pillows.su/f/e6e57720630d3515646f19d3c8145b17
Playing Robots Into Heaven [V2],"¥$ - All Is Love [V6]
(prod. James Blake)
(Fall In Love, All In Love, Fall In / All Is Love)",Version with Ty singing over Ye's voice memo vocals and James Blake background vocals. Ye's vocals are now tuned. Played on a Ty Dolla $ign Twitch stream. Featured on the 40-song JoyBoy tracklist.,,,"Dec 7, 2025",Full,Recording,https://pillows.su/f/f2dbf9124ab2a91593e13dfa84341f11
Trying Times,"¥$ - Traveller [V2]
(prod. James Blake & No ID)","Originally a WAR-era song interpolating ""Kwaku the Traveller"" by Black Sherif, now with vocals from Ty. Said by yougotonemore to be from VULTURES 2-era. Partially played by Ty on stream December 7th, 2025.",,,"Dec 7, 2025",Partial,Recording,https://pillows.su/f/cccbfcf5a60f2fb01c9ac2e0a1aa8eee
Playing Robots Into Heaven [V1],"New Choppies [V2]
(prod. James Blake)
(Always, What I Would Have Said At Virgil's Funeral, Virgil's Funeral)","OG Filename: NEW CHOPPIES james _95_2
Initial James Blake loop used as the base for later versions. Has a slower BPM compared to other versions. Original snippet posted November 5th, 2024, in a pack of 20 snippets (full pack being 57) of beats that were meant for WAR with solo James Blake production.",1:10,,"Dec 4, 2025",OG File,Lossless,https://pillows.su/f/c91e347e236f6a71152987520e72d910
Playing Robots Into Heaven [V2],"✨ Once In A Lifetime
(prod. James Blake)","OG Filename: Once in a lifetime idea
Made during November 2022 Playing Robots Into Heaven sessions. Original snippet leaked December 1st, 2025, leaking in full later the same day.",2:22,"Nov 10, 2022","Dec 1, 2025",OG File,CD Quality,https://pillows.su/f/57f7b6e2edd05792cfd25b6b01cfed8d
Assume Form,"⭐ You And Me Today
(prod. James Blake)","OG Filename: You And Me Today draft
Finished song made in May 2018.",2:47,"May 1, 2018","Nov 29, 2025",OG File,High Quality,https://pillows.su/f/81e1e06347e3bf6d14535af0207da842
