Era,Name,Tracklist,Image,Date Made,Quality,Source,Link(s)
Coven Music Sessions Vol.1,Coven Music Sessions Vol.1,"1. Pencil Pouch
2. Bills
3. Doechii 101
4. Spooky Coochie Live (Interlude)
5. Body Offer
6. Weekend
7. Mocking Bird
8. Everything You Need",,,Clear,Official Release,
Oh The Places You’ll Go,Oh The Places You’ll Go,"1. Oh The Places You'll Go
2. Yucky Blucky Fruitcake
3. Black Girl Memoir
4. God
5. Something Real
6. What's Your Name
7. Drop Out",,,Clear,Official Release,
Bra-Less,Bra-Less,"1. Pms
2. Truth
3. Shit
4. Girl",,,Clear,Official Release,
she / her / black bitch,she / her / black btich,"1. Swamp Bitches (with Rico Nasty)
2. Bitch I'm Nice
3. Bitches Be (with Jst Ray)
4. This Bitch Matters
5. Persuasive (with SZA)",,,Clear,Official Release,
Unfinished Love Songs,Unfinished Love Songs,"1. Childish
2. Emotions
3. Foolish
4. Roll",,,Clear,Unofficial Release,
Debut Album [V1],Debut Album [V1],"1. IGNANT
2. WICKED (feat. ?)
3. BOOTY DROP
4. SWEAT
5. ALTER EGO
6. BOOM BAP (feat. ?)
7. WHAT IT IS
8. ROCKET
9. SLIDE
10. TURN ME ON
11. COCOA
12. DANCING W/ MY CLOTHES OFF (feat. ?)",,,Clear,Doechii,
Alligator Bites Never Heal,Alligator Bites Never Heal,"1. STANKA POOH
2. BULLFROG
3. BOILED PEANUTS
4. DENIAL IS A RIVER
5. CATFISH
6. SKIPP
7. HIDE N SEEK
8. BLOOM
9.WAIT
10. DEATH ROLL
11. PROFIT
12. BOOM BAP
13. NISSAN ALTIMA
14. GTFO
15. HUH!
16. SLIDE
17. FIREFLIES
18. BEVERLY HILLS
19. ALLIGATOR BITES NEVER HEAL",,,Clear,Official Release,
Alligator Bites Never Heal,Alligator Bites Never Heal (Extended),"1. STANKA POOH
2. BULLFROG
3. BOILED PEANUTS
4. DENIAL IS A RIVER
5. CATFISH
6. SKIPP
7. HIDE N SEEK
8. BLOOM
9.WAIT
10. DEATH ROLL
11. PROFIT
12. BOOM BAP
13. NISSAN ALTIMA
14. GTFO
15. HUH!
16. SLIDE
17. FIREFLIES
18. BEVERLY HILLS
19. ALLIGATOR BITES NEVER HEAL
20. ANXIETY",,,Clear,Official Release,
