Era,Name,Notes,Length,Release Date,Shoot Date,Type,Availability,Status,Link(s)
Narcissist,"Donda Mini Documentary
(dir. Nico Ballestros)","Mini Donda documentary. Features cameos from Pusha T, Playboi Carti, Rick Rubin and CyHi. Spawned the ""Alright, play Off The Grid"" meme.",4:57,"Aug 27, 2021",N/A,Documentary,Full,Unreleased,https://imgur.gg/f/veJYIcE
Narcissist,The Opium Concept.pdf,"Official (yes, official) opium moodboard (yes, it is official, shogani previewed it in the past privately himself). Features such grail sections as ""Fan Interaction"", and ""Design | Mood"". Leaked (almost) in full, with only the second page missing in Carti Tracker Hub discord, but some sections are blurry (hence Partial Availaibility). (again, yes it is official)",N/A,"Mar 28, 2025",N/A,Other,Partial,Unreleased,"http://music.froste.lol/image/5262fa5bec9a55ee2d2e339e240995a0/play
http://music.froste.lol/image/f49a799f45ebee18c7c0beeacfe32556/play 
http://music.froste.lol/image/5542b821ab9062c150d6e7d02baa56b2/play 
http://music.froste.lol/image/eaaea468395c0d15277171615d973b77/play 
http://music.froste.lol/image/ad08ecad216bd2c3de59e4b2615ae777/play"
Narcissist,YAMS DAY 2021,Documentary/Compilation type of videos of the A$AP Mob in honour of A$AP Yams (like the AWGE DVDs) Carti is featured using the footage at 8:27 that was shot for the Music Video for 4U by Pi'erre Bourne.,56 :02,"Mar 1, 2021",N/A,Other,Full,Officially Released,https://youtu.be/OHqPFBxIqpQ?t=507
Narcissist,Sedition Magazine,Visualizer for SEDITION MAGAZINE. (Released right before the NARCISSIST 9/13/21 INCIDENT),0:37,"Sep 12, 2021",N/A,Visualizer,Full,Officially Released,"https://www.seditionmagazine.com/shop/orwrw4ykwazg3w587j4xobxde1ign2 
https://imgur.gg/f/pFPdFa5"
MUSIC [V1],Playboi Carti Introduces The Hardscatto,Ad for the the Thomas Ashbourne Hardscatto‏‏‎‏‏ drink,1:00,"Aug 26, 2022",N/A,Promo,Full,Officially Released,https://www.youtube.com/watch?v=yFVsggpbo_o
MUSIC [V3],"??? [Promotional Video]
(with Ye)","There was supposed to be an ad for the 7th single that was going to be released on the YEEZY app, similar to the ""Forever"" music video containg Carti & Kanye's best moments.",N/A,"Feb 14, 2024",N/A,Promo,N/A,Unreleased,N/A
MUSIC [V3],"Dear O [Documentary]
(dir. Joy Divizn)",A short documentary / compilation of videos of Carti spending time with his son Onyx posted by Joy Divizn on his Instagram. Very wholesome. Iggy Azalea later came out and stated that the footage in this documentary were the only times he ever came to see Onyx.,2:40,"Dec 20, 2023",N/A,Documentary,Full,Officially Released,https://krakenfiles.com/view/anXgzEDBR1/file.html
MUSIC [V3],BACKD00R [Music Video],"Carti posted on his Instagram stories the song BACKD00R. With the text ""BACKDOOR A MF"" tagging ye",N/A,"Nov 20, 2024",N/A,Unknown,Snippet,Low Quality,https://krakenfiles.com/view/a45RcyRtTl/file.html
MUSIC [V3],"🥉 CRUSH [Visualizer 1]
(feat. Travis Scott & DJ Swamp Izzo) (prod. F1LTHY)","Seems to be a video promoting 'CRUSH', was posted on Playboi Carti's Instagram in a carosuel post on December 16th, 2024. Unknown if a full music video in this style was shot for the song.",N/A,"Dec 16, 2024",N/A,Visualizer,Snippet,Unreleased,https://i.imgur.gg/w1v4xpk-Crush.mp4
MUSIC [V3],"CRUSH [Visualizer 2]
(feat. Travis Scott & DJ Swamp Izzo) (prod. F1LTHY)","Previewed by Gabriel Moses at an event alongside FINE SHIT. According to Gabriel, they recorded videos for every song on the album.",N/A,"Apr 5, 2025",N/A,Visualizer,Snippet,Unreleased,https://krakenfiles.com/view/HhZoOIJgO1/file.html
MUSIC [V3],FINE SHIT [Visualizer],Visualizer directed by Gabe Moses along CRUSH.,N/A,"Apr 7, 2025",N/A,Visualizer,Snippet,Unreleased,"https://imgur.gg/f/aqMHKSu  
https://imgur.gg/f/rzKQl9X"
BABY BOI,LIKE WEEZY & RATHER LIE [Performance],BET Awards performance of LIKE WEEZY and a solo choir version of RATHER LIE,4:03,"Jun 10, 2025","June 10, 2025",Live Performance,OG File,Officially Released,https://imgur.gg/f/aIVURKJ
BABY BOI,All Red Fortnite Emote,All Red's fortnite emote assets,N/A,"Apr 15, 2025",N/A,Other,Full,Officially Released,"https://fnggcdn.com/items/17735/video.mp4 
https://fortnite.gg/img/items/17735/icon.png?1 
https://fortnite.gg/img/items/17735/featured.png?1"
BABY BOI,Carti Fortnite Bundle,"Skin made its first appearance on ""Fortnite Zero Hour Event"". Later came out as a full bundle. For some reason doesn't include Sky's Jam Track.",N/A,"Dec 11, 2025",N/A,Other,Full,Officially Released,https://mega.nz/folder/OBkR1BgD#eIwMXwpMh8mZYd6Q57JE4A
BABY BOI,"Zombie / Boss in ""Fortnite Zero Hour Event""","Code was found inside of fortnite files that carti was gonna be a zombie boss, but didnt happened",N/A,"Nov 29, 2025",N/A,Other,Screenshot,Unreleased,"https://imgur.gg/f/nwFyiWf 
https://imgur.gg/f/VRoQrD0"
BABY BOI,Fortnite Zero Hour Event,"Carti appearance on ""Fortnite Zero Hour Event"", playing basketball while EVILJORDAN plays",N/A,"Nov 29, 2025",N/A,Other,Full,Officially Released,https://x.com/i/status/1994845266974052452
