Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
Love Is Blind,"??? - Eternal Bliss
(feat. d4vd) [prod. grayskies]",,2:45,,"Jun 4, 2026",Full,High Quality,https://pillows.su/f/5847634ad33e1ef3ce51f65773b367a9
Love Is Blind,"??? - ???
(feat. d4vd)",OG Filename: New_Project.m4a,2:16,,"Jun 4, 2026",OG File,High Quality,https://pillows.su/f/5e99b0a5648d6b8312c65fdeddab60f4
The Root Of It All [V1],"Sleep Well [V1]
[prod. Spencer Stewart & Stint]","OG Filename: AUDIO_9760.m4a
Earliest known version of Sleep Well with no jazz instruments. Leaked on June 4th, 2026.",2:52,,"Jun 4, 2026",OG File,CD Quality,https://pillows.su/f/490d10aaec244ad32222459176c751c5
Garden Of Eden,"Bad News [V2]
[prod. Joel Little]","OG Filename: bad-news-3.79.m4a
Demo of Bad News with a slower tempo and minor mixing differences. Leaked on May 4th, 2026.",2:52,,"Jun 4, 2026",OG File,CD Quality,https://pillows.su/f/885ff38e9a82f2d84950a637a460e95d 
Garden Of Eden,"??? - All My Fault
(feat. d4vd)",OG Filename: All_My_Fault_ft_d4vd.m4a,1:39,,"Jun 4, 2026",OG File,High Quality,https://pillows.su/f/0e20e201d5b54b01f50fe1d13dd86c8c
WITHERED,If You Love Me,"Song previewed by d4vd via Twitch stream. Higher quality snippet leaked on May 4th, 2026. Another snippet later leaked on May 30th, 2026.","2:42
0:18
0:09",,"May 30, 2026",Partial,High Quality,"1. https://imgur.gg/f/LRNeRq2 
2. https://imgur.gg/f/WuQcwh1
3. https://imgur.gg/f/S1S1Ghd"
Unknown,"🎤 Over
[prod. D'Mile]","Cover of Lucky Daye's ""Over."" Unknown when snippet first leaked.",0:26,,"May 28, 2026",Snippet,High Quality,https://imgur.gg/f/iWctNAO
Love Is Blind,"AlphaTruly - Safe And Sound [V1]
(feat. d4vd)",OG Filename: Safe_and_sound__ft_d4vdd.m4a,2:14,,"May 26, 2026",OG File,High Quality,https://pillows.su/f/4a84457501a8a0446ba941bf7d1d9042
WITHERED Deluxe: Marcescence,🏆 To Your City,"Song recorded in May of 2025. First snippet leaked on April 22nd, 2026. Second snippet leaked on May 26th, 2026.",0:14,,"May 26, 2026",Snippet,High Quality,"1. https://imgur.gg/f/btUp6fo
2. https://imgur.gg/f/FzbeMmw"
Post-Incident,Cellular,"Song recorded in November 2025. Tagged file leaked on May 24th, 2026.",2:32,,"May 24, 2026",Full,Tagged,https://pillows.su/f/bf893deb0c2609f9c2660a4987d4037e
Love Is Blind,"🎤 A New Kind Of Love
[prod. Guy Sigsworth]
(moment)","Cover of Frou Frou and Imogen Heap's ""A New Kind Of Love"" recorded in 2022. Snippet leaked on May 21st, 2026.",0:10,,"May 21, 2026",Snippet,High Quality,https://imgur.gg/f/lMZzyMo
Love Is Blind,"🎤 before i close my eyes
[prod. John Cunningham]","Cover of XXXTENTACION's ""before i close my eyes"" recorded in 2022. Snippet leaked on May 21st, 2026.",0:10,,"May 21, 2026",Snippet,High Quality,https://imgur.gg/f/Hh90HI6
Love Is Blind,"🎤 Jugaste y Sufrí
[prod. Pedro Tovar Jr. & Edgar Rodriguez]","Cover of Eslabon Armando & DannyLux's ""Jugaste y Sufrí"" recorded in 2022. First previewed by d4vd via a now deleted TikTok. Snippet leaked on May 21st, 2026.","0:27
0:14",,"May 21, 2026",Snippet,High Quality,"1. https://pillows.su/f/22828d5bccacbe9e6dd76a84c868ad45
2. https://imgur.gg/f/j4gj117"
Love Is Blind,"🎤 Say It
[prod. Andrew ""Pop"" Wansel & Toro]","Cover of Tory Lanez' ""Say It"" recorded in 2022. Snippet leaked on May 21st, 2026.",0:08,,"May 21, 2026",Snippet,High Quality,https://imgur.gg/f/4y3Sepv
Love Is Blind,"🎤 Sound Design
[prod. Jordan Church]","Cover of SSGKobe's ""Sound Design"" recorded in 2022. Snippet leaked on May 21st, 2026.",0:07,,"May 21, 2026",Snippet,High Quality,https://imgur.gg/f/rdoZIdE
WITHERED Deluxe: Marcescence,"Rhea Raj - Now That Ur Gone [V1]
(feat. d4vd) [prod. Rhea Raj, Naliya, & Lara Raj]","Demo version of Rhea Raj's ""Now That Ur Gone"" with a verse from d4vd. Snippet leaked on May 21st, 2026.",0:11,,"May 21, 2026",Snippet,High Quality,https://imgur.gg/f/oUE3evp
Unknown,"Audrey Mika - Ghost
(feat. d4vd)",,2:53,,"May 21, 2026",Full,Lossless,https://pillows.su/f/577b51154d38f065749a083572fcb1d9
Unknown,"???
(Rifle)",,,,"May 21, 2026",,,https://imgur.gg/f/9gB4aq3
Garden Of Eden,"Gabriela Bee - Getting Old
(feat. d4vd)","Recorded in July of 2023. First previewed on Gabriela Bee's Tiktok. Snippet later leaked on May 20th, 2026.","0:18
0:21",,"May 20, 2026",Snippet,High Quality,"1. https://imgur.gg/f/Vd7NYb0
2. https://imgur.gg/f/XLXq0ah"
WITHERED,"🏆 Thousand Different Things [V2]
(Let Me Love You)","Final version of Thousand Different Things. 2 snippets leaked on May 20th, 2026.","0:18
0:07",,"May 20, 2026",Snippet,Various,"1. https://imgur.gg/f/2oOCytM
2. https://imgur.gg/f/1QiGSuc"
WITHERED Deluxe: Marcescence,"🏆 Tell Me Something
[prod. dollatega, w1nkk & 05alagen]","First snippet posted to d4vd's burner Instagram on May 14th, 2025. Second snippet leaked on May 20th, 2026.","0:28
0:10",,"May 20, 2026",Snippet,High Quality,"1. https://imgur.gg/f/7yktrUI 
2. https://imgur.gg/f/LwSsGsu "
