Era,Name,Notes,Made By,Type,Currently Available,Link(s)
Love Is Blind,Follow You,Song that was almost sold in a PB before being confirmed to be fake,,,Snippet High Quality,
Untitled Rock EP,Contagious,"AI mockup of ""Contagious"" made by Huertav2. Leaked in a bundle titled ""Bloody Walls""",,,Full Low Quality,
Petals To Thorns [V2],Forever In Love,"AI mockup of ""Forever In Love"" made by Huertav2. Leaked in a bundle titled ""Bloody Walls""",,,Full Low Quality,
WITHERED,Only Now,"AI mockup of ""Only Now"" made by Huertav2. Leaked in a bundle titled ""Bloody Walls""",,,Full Low Quality,
