Era,Name,Notes,Length,Release Date,Type,Streaming,Link(s)
Petals To Thorns [V2],Backstreet Girl,,4:10,,Other,Yes,https://open.spotify.com/track/5Meg9N5ucSRecfEwThveJG?si=6a839c85ae634866
Petals To Thorns [V2],"You and I
[prod. grayskies]",,2:32,,Other,Yes,https://open.spotify.com/track/3Z7u704DxOBzbOihSnf1fK?si=7d3768b51b78437c
Petals To Thorns [V2],Romantic Homicide,,2:12,,Other,Yes,https://open.spotify.com/track/2e6yPSLafbwnZbvVxCb4jJ?si=01883ee01f204eda
Petals To Thorns [V2],The Bridge,,3:01,,Other,Yes,https://open.spotify.com/track/3WZd17aEXDS2DwojGUjOgv?si=4ea27ab7bd1142aa
Petals To Thorns [V2],"This Is How It Feels
(feat. Laufey)",,,,Feature,No,
"Number of Leaks
Number of LQ Leaks
Number of Snippets
Number of Recordings
Number of Unavailable",The Lost Petals,"(Start Date) (Start Action)
(End Date) (End Action)

Notes about era",,,,,
The Lost Petals,"Song Title
(feat. [Feature 1], [Feature 2] & [Feature 3]) (prod. [Producer 1], [Producer 2] & [Producer 3])
([Alt Title 1], [Alt Title 2], [Alt Title 3])",Notes,Length of song,Mar 2021,Other,,"Link
Link 2
Link 3"
The Lost Petals,Notes From A Wrist,,3:09,,Other,,
The Lost Petals,Hollow Prayers,,2:46,,Other,,
The Lost Petals,"Rehab
[prod. grayskies]",,4:11,,Other,,
The Lost Petals,Poetic Vulgarity,,4:00,,Other,,
The Lost Petals,Once More,,2:01,,Other,,
The Lost Petals,"21 Savage - Call Me Revenge (Call Of Duty: Modern Warfare 3)
(feat. d4vd)",,,,Other,,
The Lost Petals,"Holly Humberstone - Superbloodmoon
(feat. d4vd)",,,,Other,No,
"Number of Leaks
Number of LQ Leaks
Number of Snippets
Number of Recordings
Number of Unavailable",WITHERED,"(Start Date) (Start Action)
(End Date) (End Action)

Notes about era",,,,,
WITHERED,Leave Her,,,,Single,Yes,https://open.spotify.com/track/4AbYZMzeVqGE8Ys4wbI0PT?si=94e1f6591d764b35
WITHERED,2016,,,,Single,Yes,https://open.spotify.com/track/2T9G81i8JSiPUyP8H4ZVqn?si=cffc0ec0c5f44ae3
WITHERED,"My House Is Not A Home
[prod. Jack Hellenback, Scott James, & silent$ky]",,,"March 8th, 2024",Single,Yes,https://open.spotify.com/track/0ssxoYXlw70MY4lh3JsI9q?si=1b605e7cedaf446b
WITHERED,"Feel It (From ""Invincible"")
[prod. Gray Toomey, Noah Ehler, & Sam Homaee]",,,"March 28th, 2024",Other,Yes,
WITHERED,"There Goes My Baby
[prod. Gray Toomey, Jack Hallenback, silent$sky, Scott James, & Ben10K]",,,"July 12th, 2024",Other,Yes,
WITHERED,"Remember Me (Intro) (from the series Arcane Leauge of Legends)
[prod. Gray Toomey, Noah Ehler, & Alex Seaver]",,,"November 15th, 2024",Feature,Yes,https://open.spotify.com/track/2V3kShnNfzFkjh2UqCaMwb?si=d084b0db7f7b4055
WITHERED,"Remember Me (from the series Arcane Leauge of Legends)
[prod. Gray Toomey, Noah Ehler, Jack Hallenback, Scott James, & silent$sky]",,,"November 15th, 2024",Other,Yes,https://open.spotify.com/track/5oi8dkse5YTnTSWm3XgMET?si=20ce608e7f504d35
WITHERED,"Where'd It Go Wrong?
[prod. Tyler Spry & prodvelvet]",,,,Other,Yes,https://open.spotify.com/track/3BeFCtNb6sZhK83h8bgH7Y?si=7accc57a3362489f
WITHERED,"One More Dance
[prod. Tyler Spry & Harry Charles]",,,"February 7th, 2025",Other,Yes,https://open.spotify.com/track/16kpoxQlKVSmgdwvuIsFmY?si=78e7974b0b214219
WITHERED,"Crashing
(feat. Kali Uchis) [prod. Tyler Spry & prodvelvet]",,,"February 28th, 2025",Other,No,
WITHERED,"What Are You Waiting For
[prod. Tyler Spry]",,,"March 28th, 2025",Other,Yes,https://open.spotify.com/track/7tpDUdHdHbRCqg5T1DQiKs?si=87bf6bf4ff4e4aaa
WITHERED,"Atomic Land
[prod. Scott James, Jack Hallenback, & silent$ky]",,,"April 25th, 2025",Other,Yes,https://open.spotify.com/track/1wU8Qt52GkCuGebe6DrDCF?si=9722982e291d498c
WITHERED,"Sky
[prod. Scott James, Jack Hallenback, & silent$ky]",,,"April 25th, 2025",Production,Yes,https://open.spotify.com/track/4d67w51Ac7FOOz5t4Mi4BL?si=94160599962d4d5e
WITHERED,"You Left Me First
[prod. Tyler Spry & Harry Charles]",,,"April 25th, 2025",Other,Yes,https://open.spotify.com/track/3OIlUsNyFDOxH7DViIfsiU?si=804d221175734863
WITHERED,"Say It Back
[prod. Scott James, Jack Hallenback, silent$ky, & Tyler Spry]",,,"April 25th, 2025",Other,Yes,https://open.spotify.com/track/1HiECeYHCvYICq1VBFeHUw?si=126b8a5e227845ce
WITHERED,"Friend Again
[prod. Scott James, Jack Hallenback, silent$ky, & Tyler Spry]",,,"April 25th, 2025",Other,Yes,https://open.spotify.com/track/7sKvdKqLxiRJmsoX0UGTMI?si=13081a5470e246fe
WITHERED,"Somewhere In The Middle
[prod. Scott James, Jack Hallenback, & silent$ky]",,,"April 25th, 2025",Other,Yes,https://open.spotify.com/track/0lw3KsUf7yPGqtECwfsVTh?si=9c8abf5d067843cb
WITHERED,"⚠️ Invisible String Theory (Interlude)
[prod. Scott James, Jack Hallenback, & silent$ky]",,,"April 25th, 2025",Other,Yes,https://open.spotify.com/track/5oFZvRIHhv4cox6DUvKO0z?si=b3092bc1dfb74cd9
WITHERED,"Is This Really Love?
[prod. Tyler Spry & Ryan Tedder]",,,"April 25th, 2025",Other,Yes,https://open.spotify.com/track/6NEfCu0Ei1IP2DsQosjFaA?si=5ab7d5fe4145415d
WITHERED,"Ghost
[prod. Scott James, Jack Hallenback, silent$ky, & Matt Maltese]",,,"April 25th, 2025",Other,Yes,https://open.spotify.com/track/7CUvbVnv7DCGhbxCEIavq3?si=e3a89f4ec87d4b74
WITHERED,"Afterlife
[prod. Scott James, Jack Hallenback, silent$ky, & Zach Ezzy]",,,"April 25th, 2025",Other,Yes,https://open.spotify.com/track/2UAzZzzuBTfgvZHTFyV7Lj?si=404a36e58fef4c16
WITHERED,"Unrequited - Bonus Track
[prod. prodvelvet]","Recorded on October 12th, 2024. Original file leaked on March 3rd, 2026.",,"May 30th, 2025",Other,Yes,"1. https://open.spotify.com/track/5d6MRVzTKybTPRjE9ZRpO3?si=f896400ffe9b4f1a
2. https://pillows.su/f/329925322a14b7b44078cad98c118943"
