Era,Art,Name,Description,Creator,Review,Downloads,Streaming
,Renovations,,,,,,
Good Ass Job,,g00d a$$ Job,GAJ rework imagining a synthy pop-inspired record released in early 2010. Has a balanced track selection of MBDTF album track edits implementing various demo elements and LP5 scraps often associated with the GAJ era.,IcyEdits,Review - thai,MEGA,"Yedits.net
[untitled]"
Good Ass Job,,The 4 Seasons: W.S.S.F,"B Side to ""Good Ass Job"", with a much more melodic direction that mashes the pop, synthy sound of Graduation and the soul sample sound of TCD that the prequel comp had utilised but presented in a much more grounded way.",Santino,,MEGA,"Yedits.net
[untitled]"
Good Ass Job,,Good Ass Job,"GAJ comp utilizing the more unique tracks of the era, whether they are the well-known, defining ones or more obscure picks, such as features or from leaked beats. All of the songs have been reworked with new vocals and a merge of the production styles found on Graduation and MBDTF.",Santino,,MEGA,"Yedits.net
[untitled]
[untitled] (Bonuses)"
Good Ass Job,,Winter Spring Summer Fall,"Comp set in late 2009 where the VMAs incident never happened, featuring unheard and/or more obscure songs from 808s-GAJ-MBDTF eras, edited in a laidback, simplistic style without much reworking or maximallism.",ApeHard,,MEGA,"Yedits.net
[untitled]"
,Vanilla-style,,,,,,
Good Ass Job,,"🌟Good Ass Job
V2",Collection of tracks remastered and restructured with little added prod or reimaginings. The best way to listen to the leaks/OG LP5 songs.,"SimpleJosh
(a.k.a. Close Salami)",,MEGA,"Yedits.net
[untitled]"
Good Ass Job,↳ Alt:,"Good Foot Job
The Director's Cut","Alternative take on the comp above. Fleshes out and experiments with the lesser known demos of the era by adding verses or production changes that adhere to the original leaks. Please, ignore the stupid name and cover.","SimpleJosh
(a.k.a. Close Salami)",,MEGA,
Good Ass Job,,"Good Ass Job
V2","Classic GAJ comp with minimal MBDTF overlap and a few G.O.O.D. Fridays tracks. Songs have been restructured, and in a few cases reworked, to make an accurate imagining of the album that still retains listenability and quality.","Ivory
(a.k.a. Ivy & casual)",,MEGA,[untitled]
,Honorable Mentions,,,,,,
Good Ass Job,,"Good Ass Job
4.19.10",Somewhat simple GAJ comp that adds verses and features to nearly every beat from the demo beat copy along with some more obscure LP5 beats.,biob,,MEGA,
"1 Overhaul
1 Renovation
3 Extensions
3 HMs",,"My Beautiful Dark Twisted Fantasy
(My Dark Twisted Fantasy)",,"Highlights:
⭐My Beautiful Dark Twisted Symphony - quent.in
🌟My Beautiful Dark Twisted Fantasy (Mike Dean Live Inspired) - Harley Banks",,,
,Overhauls,,,,,,
My Beautiful Dark Twisted Fantasy,,⭐My Beautiful Dark Twisted Symphony,5 songs from Kanye's magnum opus with new string arrangements meant to enhance the listening experience and offer a more cinematic atmosphere to Kanye West's most lavish project to date.,quent.in,,"MEGA
Google Drive",[untitled]
,Renovations,,,,,,
My Beautiful Dark Twisted Fantasy,,"🌟My Beautiful Dark Twisted Fantasy
(Mike Dean Live Inspired)",MBDTF comp that makes the original album experience even grander with new synths and production inspired by Mike Dean's live production.,Harley Banks,,MEGA,[untitled]
,Extensions,,,,,,
My Beautiful Dark Twisted Fantasy,,"My Beautiful Dark Twisted Fantasy
(Extended)","Extended MBDTF comp, utilizing the recordforhype.zip interlude tracks as well as added G.O.O.D. Friday songs, scrapped features, sample intros/outros and restructures to make the songs feel grander.",JonJeffJonJon,,"MEGA
MEGA
Google Drive",
My Beautiful Dark Twisted Fantasy,,Hell Of A Life,"High quality BSB Dante extension, with sample showcases, added non-album tracks and any extra official elements available around the era.",BSB Dante,,"MEGA
MEGA","Yedits.net
[untitled]"
My Beautiful Dark Twisted Fantasy,,Good Ass Job,"Classic LP5 comp based on the Donda's Boy rumor, with every song drawn out with intros, outros and scrapped/remix features to all be 10 minutes long. Has an hour long Runaway bonus stringed from different live performances.",88888u,,"MEGA
Google Drive",[untitled]
,Honorable Mentions,,,,,,
My Beautiful Dark Twisted Fantasy,,"My Beautiful Dark Twisted Fantasy
Remastered",Remastered version of release My Beautiful Dark Twisted Fantasy.,u/fosterlynch,,MEGA,
My Beautiful Dark Twisted Fantasy,,"G.O.O.D. Fridays
(Remastered)",Remastered version of the GF 2010 singles.,Chropic,,MEGA,
My Beautiful Dark Twisted Fantasy,,"✨Good Kid, Twisted Fantasy
(with Kendrick Lamar)",Mashup album of MBDTF and GKMC. Got covered by multiple news outlets and even a reaction from Anthony Fantano. Sequel to 2049.,Toasty Digital,,MEGA,"YouTube
Yedits.net"
"1 Extension
1 Remix
1 HM",,"Watch The Throne
(Collaboration with JAY-Z)",,"Highlights:
⭐Return Of The Throne - Reborn Sinner",,,
,Extensions,,,,,,
Watch The Throne,,The Throne,"High quality BSB Dante extension, with sample showcases, added non-album tracks and any extra official elements available around the era.",BSB Dante,,"MEGA
MEGA",[untitled]
,Remixes,,,,,,
Watch The Throne,,⭐Return Of The Throne,"Comp imagining a realistic sequel to WTT released in 2013. Focused more on sonics similar to JAY-Z’s Magna Carta…Holy Grail album, featuring reworks and recreations of tracks from there as well as of WTT era tracks.",Reborn Sinner,,MEGA,Yedits.net
,Honorable Mentions,,,,,,
Watch The Throne,,"Watch The Throne
Remastered",Remastered Version of release Watch The Throne.,u/fosterlynch,,MEGA,
1 Overhaul,,"Cruel Summer
(Collaboration with G.O.O.D. Music)",,"Highlights:
N/A",,,
,Overhauls,,,,,,
Cruel Summer,,✨Seasonal Affective Disorder,"EDM-inspired Cruel Summer rework. Based off the original tracklist, but with a couple songs removed and a couple from the era added. Songs range from the original songs with extra keys to actual entirely different instrumentals.",GHOSTWLKAR,,MEGA,[untitled]
"3 Renovations
2 Vanilla-style
1 Alt
4 HMs",,Thank God For Drugs,,"Highlights:
⭐Thank God For Drugs - SimpleJosh
🌟Lost Yeezus V2 - SimpleJosh",,,
,Renovations,,,,,,
Thank God For Drugs,,⭐Thank God For Drugs,"Extensive LP6 comp covering almost everything known about in the eras, with new production based on the album tracks' demos, as well as extended and reworked leaks. Considered a timeless comp amongst the community.","SimpleJosh
(a.k.a. Close Salami)",,MEGA,"Yedits.net
[untitled]"
Thank God For Drugs,,Thank God For Drugs,Community comp using SJ's version as a backbone while still adding plenty of new production based on the source material and some trap influences. Covers even more content than SJ's due to covering new leaks as well.,Jozzuh & Co.,,"MEGA
Google Drive",
Thank God For Drugs,↳ Alt:,"Thank God For Drugs
Akimbo's Cut","Akimbo's personal cut of the main comp, polishing and stripping down most of the tracklist songs. Considered a more accurate rendition of the era.",Akimbo,,MEGA,"Yedits.net
[untitled]"
Thank God For Drugs,,Black American Psycho,LP6 comp containing various reworks and recreations of songs based on established and newly surfaced material from the era along with samples from the movie American Psycho inspired by BSB Dante's BAP comp.,Solidus Jack,Review - ASMODEUS,MEGA,Yedits.net
,Vanilla-style,,,,,,
Thank God For Drugs,,"🌟Lost Yeezus
V2",LP6 comp focused on improving and polishing various leaks of the era with as little reworking as possible to preserve their original atmospheric sound. The best way to experience the old and new LP6 leaks in an accurate way.,"SimpleJosh
(a.k.a. Close Salami)",,MEGA,Yedits.net
Thank God For Drugs,,Thank God For Drugs,"Personal LP6 rendition attempting to stay accurate to the more grandiose, scattered electronic style of the earliest demos without adding or overhauling much of the production already present in them and their released versions.",Matsu,,MEGA,
,Honorable Mentions,,,,,,
Thank God For Drugs,,"Yedits Presents:
Thank God For Drugs","2nd installment in the YP series. Encapsulates the dreamy, maximalist vibe that was thought to be part of the era. Some edits were updated for SimpleJosh's TGFD but its other edits are still worth checking out.",Yedits Presents Team,,"MEGA
MEGA (Sessions)
Google Drive
Google Drive (Sessions)",Yedits.net
Thank God For Drugs,,Drugs Made Yeezus,"Comp acting as a hybrid of the Yeezus album tracks and leaks, merging elements from release, leaks or edits from other people.",Leo,Review - Regular.JJ,MEGA,
Thank God For Drugs,,✨Thank God For Drugs,Reimagining of LP6 material combined into a comp resembling a prog album. Uses interludes and leitmotifs to make an experience different from Yeezus.,themusicnerdguy,"Review - the.g4mbik
Review - Taco
Review - dondhi","MEGA
MEGA",Yedits.net
Thank God For Drugs,,Thank God For Drugs,"LP6 comp aiming for an overproduced and scattered feel, whether it be through added/reworked production or complete reimaginings.",paci & bobert,,MEGA,
"1 Overhaul
2 Renovations
2 Vanilla-style
1 Extensions
6 HMs",,Yeezus,,"Highlights:
⭐GOD WANTS YOU - windybro",,,
,Overhauls,,,,,,
Yeezus,,⭐GOD WANTS YOU,"Complete re-envisioning of Yeezus, warping the album into a horrorcore, experimental collage containing multiple samples from the Twin Peaks show, as well as even more added production that still retains elements of release.",windybro,,MEGA,"Yedits.net
[untitled]"
,Renovations,,,,,,
Yeezus,,"YEEZUS
REMASTERED","Reimagined version of Yeezus to be more detailed, polished, and directed in a new way, incorporating several elements from the OG versions and still preserving the abrasiveness and boldness of the released project.",IcyEdits,,MEGA,Yedits.net
Yeezus,,NOT FOR SALE,Yeezus comp with grittier production reminiscent of industrial sounds and different arrangements to make the songs more complete for the editor's liking. Contains all the released songs as well as Awesome and 4444.,"DJ GOTHFUKKER
(a.k.a. REBORNSAINT & sohelpmegod._)",,MEGA,Yedits.net
,Vanilla-style,,,,,,
Yeezus,,"Yeezus
(Extended)",Curated Yeezus comp with various QoL changes across the TL as well as merging and incorporating several edits from other LP6 comps.,Soundwave,,"MEGA
MEGA
Google Drive",
Yeezus,,Yeezification,"Double disc comp with one on Yeezus and the other on Yeezus II (and this one is not very good). Has added alternative production on some aspects of the songs such as drums or synths, but no huge overhauls.",ahmed2.0_,,"MEGA
Google Drive",[untitled]
,Extensions,,,,,,
Yeezus,,"Yeezus
(Extended)","Extended Yeezus comp, with added features, leaks and any extra official instrumentation, mostly live, available around the era. Steers somewhat from the original experience sometimes but very extensive otherwise.",JonJeffJonJon,,"MEGA
Google Drive",
,Honorable Mentions,,,,,,
Yeezus,,"Yeezus
Remastered",Remastered Version of release Yeezus.,u/fosterlynch,,MEGA,
Yeezus,,Not For Sale,"High quality BSB Dante extension, with sample showcases, added non-album tracks and any extra official elements available around the era.",BSB Dante,,MEGA,[untitled]
