Era,"Name
(Check out the Tracker website!)","Description
(Join the Discord for updates and suggestions!)",Type,Date,Quality,Source,Link(s)
Section.80,Section.80 [V1],"Section.80 is Kendrick Lamar’s first full-length project, released on July 2, 2011, via Top Dawg Entertainment; although the project was marketed and distributed like a studio album, Lamar has consistently referred to it as a mixtape.

1. Fuck Your Ethnicity
2. Hol' Up
3. ADHD
4. No Make-Up (Her Vice) (feat. Colin Munroe)
5. Tammy's Song (Her Evils)
6. Chapter Six
7. Ronald Reagan Era (His Evils)
8. Poe Mans Dreams (His Vice) (feat. GLC)
9. The Spiteful Chant (feat. ScHoolboy Q)
10. Chapter Ten
11. Keisha's Song (Her Pain) (feat. Ashtrobot)
12. Rigamortis
13. Kush & Corinthians (His Pain) (feat. BJ The Chicago Kid)
14. Blow My High (Members Only)
15. Ab-Soul's Outro (feat. Ab-Soul)
16. HiiiPower",Released,"Jul 2, 2011",Clear,Official,https://pillows.su/f/d68c56377f5144c38b3791095fcc90b3
Section.80,Section.80 [V2],"Same as the main tracklist, except with ""The Spiteful Chant"" removed due to sample clearance issues. This is the version featured on most streaming services.

1. Fuck Your Ethnicity
2. Hol' Up
3. ADHD
4. No Make-Up (Her Vice) (feat. Colin Munroe)
5. Tammy's Song (Her Evils)
6. Chapter Six
7. Ronald Reagan Era (His Evils)
8. Poe Mans Dreams (His Vice) (feat. GLC)
9. Chapter Ten
10. Keisha's Song (Her Pain) (feat. Ashtrobot)
11. Rigamortis
12. Kush & Corinthians (His Pain) (feat. BJ The Chicago Kid)
13. Blow My High (Members Only)
14. Ab-Soul's Outro (feat. Ab-Soul)
15. HiiiPower",Released,"Jul 2, 2011",Clear,Official,https://open.spotify.com/album/1bkN9nIkkCnXeG4yitVS1J?si=qULF1Y0HSTKBE_odZFf3Yw
"good kid, m.A.A.d city","good kid, m.A.A.d. city (August - October 2012)","Earliest known tracklist for ‘‘good kid, m.A.A.d. city”, circa August - October 2012 to clear samples. Leaked on January 27, 2024 as a groupbuy bonus.

#: Poetic Justice (feat. Drake)
#: Shirane (Sherane a.k.a Master Splinter's Daughter)
#: Kill My Vibe (Bitch, Don't Kill My Vibe)
#: Swimming Pools (Swimming Pools (Drank))
#: County Building Blues
#: Money Trees (feat. Jay Rock)
#: Sing About Me
#: Good Kid
#: She Needs Me II
#: Now Or Never (feat. Mary J. Blige)
#: The Art Of Peer Pressure
#: Real
#: M.a.a.d city
#: Dying of Thirst
#: Eifle Tower (Backseat Freestyle)",Listening Party,August - October 2012,Clear,Leaked,N/A
"good kid, m.A.A.d city","good kid, m.A.A.d. city [Listening Party 1]","First listening party for 'good kid, m.A.A.d. city'; took place on Sept. 18, 2012.
1: Bitch, Don't Kill My Vibe (feat. Lady Gaga)
2: Backseat Freestyle
3: Black Boy Fly
4: m.A.A.d. city (feat. MC. Eiht)
5: Money Trees (feat. Jay Rock)
6: Poetic Justice (feat. Drake)",Listening Party,"Sep 18, 2012",Clear,Secondary,N/A
"good kid, m.A.A.d city","good kid, m.A.A.d. city [Listening Party 2]","Second listening party for 'good kid, m.A.A.d. city'; took place on Sept. 19, 2012.

1: Bitch, Don't Kill My Vibe (feat. Lady Gaga)
2: Money Trees (feat. Jay Rock)
3: Backseat Freestyle
4: ???
5: m.A.A.d. city (feat. MC. Eiht)
6: Black Boy Fly
7: Poetic Justice (feat. Drake)
8: Compton (feat. Dr. Dre)",Listening Party,"Sep 19, 2012",Clear,Secondary,N/A
"good kid, m.A.A.d city","good kid, m.A.A.d. city","""good kid, m.A.A.d city"" is Kendrick Lamar’s major label debut, released on October 22, 2012 through Top Dawg Entertainment, Aftermath Entertainment and Interscope Records.

1: Sherane a.k.a. Master Splinter's Daughter
2: Bitch, Don't Kill My Vibe
3: Backseat Freestyle
4: The Art of Peer Pressure
5: Money Trees (feat. Jay Rock)
6: Poetic Justice (feat. Drake)
7: good kid (feat. Pharrell Williams)
8: m.A.A.d. city (feat. MC. Eiht)
9: Swimming Pools (Drank) [Extended Version]
10: Sing About Me, I'm Dying of Thirst
11: Real (feat. Anna Wise)
12: Compton (feat. Dr. Dre)",Released,"Oct 22, 2012",Clear,Official,https://open.spotify.com/album/0Oq3mWfexhsjUh0aNNBB5u?si=dyG4DZRsSUy8XoQDd0lJew
"good kid, m.A.A.d city","good kid, m.A.A.d. city (Deluxe Edition)","The deluxe version, shown here, contains the aforementioned “The Recipe,” “Black Boy Fly”, and “Now Or Never”.

1: Sherane a.k.a. Master Splinter's Daughter
2: Bitch, Don't Kill My Vibe
3: Backseat Freestyle
4: The Art of Peer Pressure
5: Money Trees (feat. Jay Rock)
6: Poetic Justice (feat. Drake)
7: good kid (feat. Pharrell Williams)
8: m.A.A.d. city (feat. MC. Eiht)
9: Swimming Pools (Drank) [Extended Version]
10: Sing About Me, I'm Dying of Thirst
11: Real (feat. Anna Wise)
12: Compton (feat. Dr. Dre)
13: The Recipe (feat. Dr. Dre)
14: Black Boy Fly
15: Now Or Never (feat. Mary J. Blige)",Released,"Oct 22, 2012",Clear,Official,https://open.spotify.com/album/748dZDqSZy6aPXKcI9H80u?si=D55HiiChTcW46ELVunjXBA
Collaboration with J. Cole,Collaboration with J. Cole,"?. The Jig Is Up (Dump'n)
?. Shock the World (feat. BJ the Chicago Kid)
?. Temptation (feat. JaVonté)
?. Wait For Tomorrow",Unreleased,,Not Available,Leaked,N/A
To Pimp A Butterfly,"To Pimp A Butterfly (January 25, 2015)","Earliest known tracklist for ‘‘To Pimp A Butterfly”, circa January 2015. Leaked on January 26, 2024 as a groupbuy bonus.

1: The Wesley Theory (Wesley's Theory)
2: TDAF (For Free? (Interlude))
3: King Kunta
4: Institutionalized
5: Walls (These Walls)
6: U (u)
7: Lucy (For Sale? (Interlude))
8: Home (Momma)
9: Lie2KickIt (You Ain't Gotta Lie (Momma Said))
10: Boo Boo (Hood Politics)
11: Dollar (How Much a Dollar Cost)
12: Complexion (Complexion (A Zulu Love))
13: Blacker (The Blacker the Berry)
14: i
15: Mortal Man",Unreleased,"Jan 25, 2015",Clear,Leaked,N/A
To Pimp A Butterfly,To Pimp A Butterfly,"Final Tracklist for Kendrick's third studio album, ""To Pimp A Butterfly"", released on March 15, 2015.

1: Wesley's Theory
2: For Free? - Interlude
3: King Kunta
4: Institutionalized
5: These Walls
6: u
7: Alright
8: For Sale? - Interlude
9: Momma
10: Hood Politics
11: How Much A Dollar Cost
12: Complexion (A Zulu Love)
13: The Blacker The Berry
14: You Ain’t Gotta Lie (Momma Said)
15: i
16: Mortal Man",Released,"Mar 15, 2015",Clear,Official,N/A
