Era,"Name
(Check out the Tracker website!)","Description
(Join the Discord for updates and suggestions!)",Type,Date,Quality,Source,Link(s)
Everybody Sensitive,Everybody Sensitive [2018 Tracklist],"Words from Kendrick Lamar about ""Everybody Sensitive"":

""Everybody Sensative Is about..... 
Stories that standout to me, Language /, Perspectives / Stereotypes / Racism / Color-ism / Sexism / Unfiltered truth / Insensitivity / Healing / Heathy and Unhealthy !!! 🙏🏿🙏🏿🙏🏿👈🏿/ Dehumanize / Racist / Sexist / Homophobic / Colorism / A Must listen""

1. Abortion Money 
2. Twanda 
3. Domestic (We Cry Together)
4. Daddy Issues (Father Time)
5. Fasting (Fasting From The Bullshit)
6. Life of Marty 
7. Vent (Crown)
8. Look At Me (Not For Sale?)
9. Comfort Zone Disturbed
10. Father May I (Worldwide Steppers)
11. I Was Here
12. Rich and Poor 
13. Tranquilizer 
14. Addicted To Bitches",Unreleased,October 2018,Clear,Leaked,N/A
Everybody Sensitive,Everybody Sensitive [2018 Tracklist],"2nd unfinished 2018 tracklist for ""Everybody Sensitive"". A lot of these titles are not the final titles and likely didn't have this punctuation.
Words from Kendrick Lamar about ""Everybody Sensitive"":
""My most controversial. Brutally honest. Somewhat Disturbing. And Comical. Egotistic .  Will piss a few off. Like a satire almost. But the body of works dwells in the concept of respecting perspectives. That's the narrative. Through story telling."" 

1. Abortion Money
2. The First Time I Fucked A White Bitch (Worldwide Steppers)
3. My Aunty (A Man Now) (Auntie Diaries)
4. D u m b m e s t i c (We Cry Together)
5. Vent ! ! ! (Crown)
6. Fasting....From Bullshit (Fasting From Bullshit)
7. N I G G A News (Nigga News)
8. Comfort Zone Disturbed
9. R e a l i g i o n
10. Light Skin Dark Skin (Hoes) (Tranquilizer?)
11. Murder Is Minor (The Heart Part 5?)
12. Speak Your TRUTH",Unreleased,October 2018,Clear,Leaked,N/A
Everybody Sensitive,Everybody Sensitive [2019 Tracklist],"Finalized 2019 version of ""Everybody Sensitive"".

1. Fasting From Bullshit   
2. Nigga News (feat. Boosie?)
3. Love Song (feat. Taylour Paige) (We Cry Together)   
4. Take Off (Vent #3)
5. Vent #1 (Crown)
6. Out My Skin (Silent Hill?)
7. Daddy Issues (feat. Sampha) (Father Time)
8. The Heart 5 (The Heart Part 5)
9. Happy (Make Me Happy)
10. Slide
11. Abortion Money (feat. Beth Gibbons)
12. Handsome (Bitch Face)
13. Outta Pocket
14. Vent #2 / Get Some Too (Itsy Bitsy / range brothers?)
15. Aunty Diaries (Auntie Diaries)
16. Piano Song (Mr. Morale? Mirror?)

Loose songs considered but did not make the cut:
Public Enemy (feat. Bakar)
How The Fuck",Unreleased,2019,Clear,Leaked,N/A
Mr. Morale [V2],Mr. Morale [May 2020 Tracklist],"Confirmed by zaytop that a May 2020 version of the album was finished and being mixed and mastered before being delayed due to COVID.

1. Bitch Face
2. Daddy Issues (feat. Sampha)
3. Make Me Happy
4. Pocket Off
5. Overthink / Tranquilizer

#?: Auntie Diaries
#?: It's Us
#?: Nigga News
#?: The Heart Part 5 (I Want You)
#?: We Cry Together (feat. Taylour Paige) (We Cry Together)
#?: We Next (Silent Hill)
#?: Vent (Crown)

Most likely were part of the album but not confirmed:
Mirror
Abortion Money
Mr. Morale (Pray)",Unreleased,May 2020,Clear,Leaked,N/A
Mr. Morale [V3],Mr. Morale & The Big Steppers,"Mr. Morale & The Big Steppers is the fifth studio album by Kendrick Lamar, released on May 13, 2022.

Disc 1:
1: United In Grief
2: N95
3: Worldwide Steppers
4: Die Hard (feat. Blxst & Amanda Reifer)
5: Father Time (feat. Sampha)
6: Rich - Interlude
7: Rich Spirit
8: We Cry Together (feat. Taylour Paige)
9: Purple Hearts (feat. Summer Walker & Ghostface Killah)

Disc 2:
1: Count Me Out
2: Crown
3: Silent Hill (feat. Kodak Black)
4: Savior - Interlude
5: Savior (feat. Baby Keem & Sam Dew)
6: Auntie Diaries
7: Mr. Morale (feat. Tanna Leone)
8: Mother I Sober (feat. Beth Gibbons)
9: Mirror

Disc 3:
1: The Heart Part 5",Released,"May 13, 2022",Clear,Official,https://open.spotify.com/album/79ONNoS4M9tfIA1mYLBYVX?si=RbL_zpbGS7eljJmERgfSZw
Mr. Morale [V3],Mr. Morale & The Big Steppers [Session Names],"Session names for every Mr. Morale song except for ""We Cry Together"" leaked by Gamma.

1. Grieve (United In Grief)
2. Take Off (N95)
3. I'm A Killa (Worldwide Steppers)
4. Die Hard
5. Daddy Issues (Father Time)
6. Kodak Interlude (Rich (Interlude))
7. Attractive (Rich Spirit)
8. STFU (Purple Hearts)
9. T&F (Count Me Out)
10. Can't Please Everybody (Crown)
11. Push (Silent Hill)
12. Keem Interlude (Savior (Interlude))
13. Savior
14. Auntie is a Man (Auntie Diaries)
15. Heavy (Mr. Morale)
16. Mother (Mother I Sober)
17. Choose Me (Mirror)
18. I Want You (The Heart Part 5)",Session,"May 28, 2023",Clear,Leaked,N/A
Mr. Morale [V3],Louis Vuitton Men’s Spring-Summer 2023 Show,"Live performance show at The Louvre hosted by Louis Vuitton. Kendrick performs different versions of certain songs along with alternate lyrics as tribute to Virgil Abloh.

Setlist:
01. FAMU Marching Band - “Mighty Rattlers""
02. FAMU Marching Band - ""Get Up""
03. Kendrick Lamar - “Savior”
04. Kendrick Lamar - “Rich Spirit”
05. Kendrick Lamar - “Count Me Out”
06. Kendrick Lamar - “N95”
07. FAMU Marching Band - ""Rattler To The Bone""
08. FAMU Marching Band – ""S.O.S."" (written by The S.O.S. Band)",Setlist,"Jun 23, 2022",Clear,Official,https://youtu.be/6SX50BOmArI
Mr. Morale [V3],Kendrick Lamar Headlines Glastonbury Festival,"Performance from Glastonbury Festival 2022, when Kendrick headlined. Recorded on the Pyramid Stage at Worthy Farm in Pilton, UK. Features alternate versions of some songs.

Setlist:
01. Savior - Interlude (Instrumental)
02. United in Grief
03. m.A.A.d city
04. Money Trees
05. Backseat Freestyle
06. The Art of Peer Pressure (Part 1)
07. Swimming Pools (Drank)
08. Poetic Justice
09. Bitch, Don't Kill My Vibe - Remix
10. N95
11. Count Me Out
12. King Kunta
13. i
14. Alright
15. Institutionalized
16. The Blacker The Berry
17. BLOOD.
18. DNA.
19. ELEMENT.
20. Silent Hill
21. LOYALTY.
22. LUST.
23. HUMBLE.
24. LOVE.
25. Savior",Setlist,"Jun 26, 2022",Clear,Official,https://archive.org/details/kendrick-lamar-glastonbury
Mr. Morale [V3],"Kendrick Lamar's The Big Steppers Tour: Live From Paris [Livestream]
(feat. Tanna Leone & Baby Keem) (dir. Dave Free & Mike Carson) (prod. Dave Free, Cornell Brown, Christian Coffrey, Debra Davis, Jared Heinke, Kendrick Lamar, Hank Neuberger)","Concert streamed by Amazon Music on October 22, 2022. Includes the tour mixes of some songs with extra production, shortened verses, alternate vocalizations and a narrator for the show.

Setlist:
01. With The Villains
02. Picasso
03. slow nirvana
04. Death n' Taxes
05. Here We Go Again
06. Heartbreaker
07. Butterfly

08. trademark usa
09. hooligan
10. Scapegoats
11. MOSHPIT
12. HONEST
13. Praise God
14. lost souls
15. issues
16. 16
17. ORANGE SODA

18. Savior - Interlude (Instrumental)
19. United In Grief
20. N95
21. ELEMENT.
22. Worldwide Steppers
23. Backseat Freestyle
24. Rich Spirit
25. HUMBLE.
26. Father Time
27. m.A.A.d city
28. Purple Hearts
29. King Kunta
30. LOYALTY.
31. Swimming Pools (Drank)
32. Bitch, Don't Kill My Vibe
33. Die Hard
34. LUST.
35. DNA.
36. Count Me Out
37. Money Trees
38. LOVE.
39. Alright
40. Mirror
41. Silent Hill
42. vent
43. range brothers
44. family ties
45. Crown
46. Mr. Morale
47. Savior",Setlist,"Oct 22, 2022",Clear,Official,https://archive.org/details/kendrick-lamar-live-from-paris
Mr. Morale [V3],The Steppers Tour - Live From Paris (Amazon Original),"Excerpts from the Paris concert streamed on Amazon Music on November 25, 2022.

Setlist:
01. N95
02. Father Time
03. HUMBLE.
04. Backseat Freestyle
05. family ties",Released,"Nov 25, 2022",Clear,Official,https://www.discogs.com/release/32776317-Kendrick-Lamar-The-Steppers-Tour-Live-From-Paris-Amazon-Original
GNX,GNX,"GNX is the sixth studio album by Kendrick Lamar. It was surprise released on November 22, 2024.

1: wacced out murals 
2: squabble up 
3: luther (feat. SZA)
4: man at the garden 
5: hey now (feat. Dody6)
6: reincarnated 
7: tv off (feat. Lefty Gunplay)
8: dodger blue (feat. Roddy Ricch, Siete7x & Wallie the Sensei)  
9: peekaboo (feat. Az Chike) 
10: heart pt. 6 
11: gnx (feat. Hitta J3, Peysoh & YoungThreat) 
12: gloria (feat. SZA)",Official Release,"Nov 22, 2024",Clear,Official,https://open.spotify.com/album/0hvT3yIEysuuvkK73vgdcW?si=PHUp1ba1SnCYjETJgh7c1A
