Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
Breezy,"Pray For Me
(feat. Moneybagg Yo) (prod. OG Parker)",Breezy era throwaway.,,,"May 11, 2024",Full,CD Quality,https://pillows.su/f/68bcadeaa1f5b08dc0cea6a2c6b4fda4
Indigo,"Come Together [V1]
(ref. Rahky) (prod. Cardiak & Hitmaka)","Demo by Rahky, played on the Joe Budden podcast episode with Tank in 2024.",,,"Apr 29, 2024",Snippet,Recording,https://pixeldrain.com/u/R5sUEpon
Indigo,"Bus Stop
(with Tory Lanez & Elijah Blake)","OG filename: Tory Lanez x Chris Brown x Elijah Blake - BUS STOP & BUS STOP - ELIJAH VERSE
File is dated 2022 but it's likely for the collab tape with Tory.",,,"Apr 28, 2024",Full,CD Quality,https://pillows.su/f/3b9102db7d4f88249d28af0d21bc14b3
F.A.M.E.,"Where'd She Go
(feat. Kevin McCall & Sevyn Streeter) (prod. Timbaland)",F.A.M.E. era throwaway.,,,"Apr 22, 2024",Full,High Quality,https://pillows.su/f/125f4fafc43bcd4dc056ef879b69440a
Indigo,"Paradise [V1]
(feat. Feli Ferraro) (prod. BRVYN & OG Parker)
(Closer, Big Body Benz)","OG FIilename: Paradise CB x OG Parker x Feli Ferraro
First version without Don Toliver, from 2018.",,,"Mar 26, 2024",Full,High Quality,https://pillows.su/f/57a7d98118340a89cb10620e0f419b55
Breezy,"Knotch - Hope That You Get
(prod. Prince)","OG Filename: 01 KNOTCH - HOPE THAT YOU GET ( PRODUCER PRINCE)-3
Leaked in a 2024 megaleak. This song was likely in consideration for being used for Breezy considering that Knotch has written for Chris Brown before on Fortune. Features production from the same Price that filed the lawsuit against Diddy.",,,"Jan 1, 2024",Full,CD Quality,https://pillows.su/f/ea6c57557d4743a6dfe955964636364c
Breezy,"Knotch - I Got You
(prod. Prince)","OG Filename: KNOTCH - I GOT YOU ( PRODUCER PRINCE)  new-4
Leaked in a 2024 megaleak. This song was likely in consideration for being used for Breezy considering that Knotch has written for Chris Brown before on Fortune. Features production from the same Price that filed the lawsuit against Diddy.",,,"Jan 1, 2024",Full,CD Quality,https://pillows.su/f/21b4e951d02a9c1d07ad2ffab65740da
Indigo,"Tory Lanez - Bad Then A Beach [V1]
(prod. Smash David)
(JLO)","Solo Tory Lanez with an open verse. Tory does the chorus on this version in full, which he does not on the official Chris Brown release. He also does all of Chris Brown's lines during their back and forth 1st verse from the official release.",,,"Dec 8, 2023",Full,CD Quality,https://pillows.su/f/5fe801e7aa3b5d1f7a0e744f90bfeb57
Indigo,"Arsonal - Can't Fight [V3]
(feat. Chris Brown)",From 2019.,,,"Aug 12, 2023",Full,CD Quality,https://pillows.su/f/a4fae8150e0cd8186ac342435394b62c
Breezy,"⭐ Hold It Down
(prod. CashMoneyAP)
(Anarchy, Would You)","Snippet leaked in 2021 before being leaked in full on July 25, 2023. Most likely a Breezy leftover but it could have some Indigo roots.",,,"Jul 25, 2023",Full,High Quality,https://pillows.su/f/d43ad2192bcaa95e3778ec5eb3b4a8b5
