Era,"Name
(Tracker Website Here)",Info / Notes,Track Length,Release Date,Type,Streaming?,Link(s)
We Love You Tecca 2,"Lil Benny - OK!
(prod. Lil Tecca & sharkboy)",,2:03,"Apr 23, 2021",Production,Yes,https://open.spotify.com/track/3loJ0CVylzggUCMbF52ZoY?si=5f7606bdbaa04445
We Love You Tecca 2,"Lil Benny - One Up
(prod. Lil Tecca)",,2:11,"May 6, 2021",Production,Yes,https://open.spotify.com/track/6g7HpSdDMsCMkJtTK97Y4S?si=dceb303e864248b2
We Love You Tecca 2,"Lil Benny - Rewind
(prod. Lil Tecca)",,1:43,"May 6, 2021",Production,Yes,https://open.spotify.com/track/0zPsxdrK7HyvYlboHekM1s?si=70051bb0d7bf4863
We Love You Tecca 2,"Lil Candy Paint - ATM
(prod. Lil Tecca)",,1:47,"May 7, 2021",Production,Yes,https://open.spotify.com/track/2gh8KOd4syilf6iC8uTXpq?si=7990399a0903498c
We Love You Tecca 2,"Dcxshy - Test
(prod. Lil Tecca)",,1:38,"May 30, 2021",Production,Yes,https://open.spotify.com/track/5LTorARY1Ph8e31XVtnAPq?si=e339ff084b2a4b56
We Love You Tecca 2,"KA$HDAMI - I Know
(prod. Lil Tecca)",,1:32,"Jun 2, 2021",Production,Yes,https://open.spotify.com/track/5bWPyfo3zr6gav4GNlmDQR?si=d2b8c72f1c114264
We Love You Tecca 2,"Dcxshy - Basic!
(prod. Lil Tecca)",,1:42,"Jun 13, 2021",Production,Yes,https://open.spotify.com/track/5A9Hb5qOztBWP8iofp1gHy?si=7c3bd7cf779b470b
We Love You Tecca 2,"Yung Fazo - Angelic Anthem
(feat. tana) (prod. Lil Tecca)",,2:27,"Jun 16, 2021",Production,Yes,https://open.spotify.com/track/1zM7rZTKbvrUg90tNvO52h?si=1722df476a774551
We Love You Tecca 2,"Devstacks - I Can't Lose
(prod. Lil Tecca)",,1:35,"Jun 18, 2021",Production,Yes,https://open.spotify.com/track/4BxOkJt4qiUQmtjPy4oaP3?si=927ef13d249544d9
We Love You Tecca 2,"jonoftf - pretend
(prod. Lil Tecca & Maajins)",,2:06,"Jun 4, 2021",Production,No,https://www.youtube.com/watch?v=S6q4hN6qFSQ
We Love You Tecca 2,"1stClassAngels - Cypher
(feat. Vell Viace, jonoftf, Luisss, Onlybino!, Yung Fazo, Devstacks & Dcxshy) (prod. Lil Tecca, Dalz & Maajins)","OG Filename: dcxshy, devstacks, yung fazo, onlybino, luisss, jonoftf, & mbmvell (prod. Lil Tecca, Dalz, & Maajins)-2.wav",3:47,"Jun 12, 2021",Production,No,https://soundcloud.com/1stclassangels/cypher
We Love You Tecca 2,"Lil Benny - Angel Baby Freestyle
(prod. Lil Tecca)",OG Filename: angel baby v2,1:24,"May 12, 2021",Production,No,https://soundcloud.com/nycessentialss/lil-benny-angel-baby-freestyle
We Love You Tecca 2,"Lil Benny - Ksubi Denim
(prod. Lil Tecca)",OG Filename: Ksubi denim.mp3,1:39,"May 31, 2021",Production,No,https://soundcloud.com/1stclassangels/lil-benny-ksubi-denim-prod-lil
We Love You Tecca 2,"BenjiCold - Stealing Sauce
(prod. Lil Tecca)",OG Filename: stealing sauce final.mp3,1:48,"Jun 1, 2021",Production,No,https://soundcloud.com/benjicold/stealing-sauce-prod-lil-tecca
We Love You Tecca 2,"Lil Benny - City Of Angels
(prod. Lil Tecca)",,1:23,"Jun 23, 2021",Production,No,https://soundcloud.com/lilbennyxo/lil-benny-city-of-angels-prod
We Love You Tecca 2,"Lil Benny - Already Did It
(prod. Lil Tecca)",,1:33,"Jun 23, 2021",Production,No,https://soundcloud.com/lilbennyxo/alreadydidit?in=lonelynites%2Fsets%2Fangels
We Love You Tecca 2,"Lil Benny - Up!
(feat. Yung Fazo) (prod. Lil Tecca)",,1:47,"Jun 23, 2021",Production,No,https://soundcloud.com/lilbennyxo/benny-up
We Love You Tecca 2,"Rico Baby Savage - Nap Time
(feat. Vell Viace) (prod. Lil Tecca)",,2:03,"Sep, 21 2020",Production,No,https://soundcloud.com/ikky-rico/nap-time-feat-mbm-vell-prod-by-lil-tecca
We Love You Tecca 2,"Dcxshy - Active
(prod. Lil Tecca)",,1:49,"Jul 11, 2021",Production,No,https://soundcloud.com/1stclassangels/dcxshy-active
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable",TEC,"(08/27/2021) (We Love You Tecca 2 is officially released)
(09/22/2023) (TEC is officially released)",,,"Whilst taking a brief break after We Love You Tecca 2 in 2021, Lil Tecca quietly began work on his third studio album, TEC. The album was officially released on September 22nd, 2023, marking a confident return to form and showcasing Tecca’s growth as both a rapper and producer. Throughout TEC, Tecca experiments with darker, more polished production and sharper lyricism, blending his signature melodic sound with a more mature and focused tone. The project includes standout tracks like “500lbs,” “HVN ON EARTH” featuring Kodak Black, and “Yawa,” which highlight his evolution while maintaining the catchy energy that first made him popular. Unlike his earlier work, TEC feels more cohesive and self-assured, reflecting Tecca’s progression from a teenage sensation to an established artist in full control of his sound.",,
,Album Tracks,On Streaming,,,,,
TEC,"Yves
(prod. BNYX® & Riggy)",Track 1 on TEC.,2:17,"Sep. 22, 2023",Album Track,Yes,https://open.spotify.com/track/7DRM6aQqMhVMweZ8H7UBei?si=72a3dd70117244de
TEC,"HVN ON EARTH
(with Kodak Black) (prod. BNYX® & Lil Tecca)","First released as a single, later became track 2 on TEC.",3:08,"Aug. 18, 2023",Album Track,Yes,https://open.spotify.com/track/4367dXCt02KMgELPisJ2D4?si=f750eed4d8204106
TEC,"Gist
(prod. Rio Leyva, ThankYouWill, Nash Beats & Taz Taylor)",Track 3 on TEC.,2:10,"Sep. 22, 2023",Album Track,Yes,https://open.spotify.com/track/6dkffLWo31KnXmwCLsgA2K?si=73b4ed6013994347
TEC,"500lbs
(prod. Rio Leyva, 4OUR & Taz Taylor)","First released as a single, later became track 4 on TEC.",2:24,"Jul. 21, 2023",Album Track,Yes,https://open.spotify.com/track/1xWkeSPhf3bZqHY7Ncz8vp?si=c9a3b5a1ef2f49a1
TEC,"Fell In Love
(with Ken Carson) (prod. Clif Shayne & AM Producer)",Track 5 on TEC.,2:53,"Sep. 22, 2023",Album Track,Yes,https://open.spotify.com/track/302EsF6DE70LfngVNLlqo5?si=cdf024e398634ce5
TEC,"TEC
(prod. KC Supreme, Dreamz, eli.yf & Taz Taylor)",Track 6 on TEC.,2:11,"Sep. 22, 2023",Album Track,Yes,https://open.spotify.com/track/14QI6pBFZ9UtMqze2QdJhm?si=8323872da69b4634
TEC,"Salty
(prod. Nick Mira, Rio Leyva, Dynox, Scizzie & Taz Taylor)",Track 7 on TEC.,2:15,"Sep. 22, 2023",Album Track,Yes,https://open.spotify.com/track/3YcOIEVaosMwND6mYRgzVe?si=e9a783840e1940c3
TEC,"Real Discussions
(prod. Rio Leyva, 206Derek, Matt Spatola, WASSUP MAINE & Taz Taylor)",Track 8 on TEC.,1:58,"Sep. 22, 2023",Album Track,Yes,https://open.spotify.com/track/47IAA5n1Sk5j1Pm4l74RGk?si=09c202cf454e448f
TEC,"Dead or Alive
(prod. Rio Leyva, 4OUR & Taz Taylor)","First released as a single, later became track 9 on TEC.",2:02,"Sep. 19, 2023",Album Track,Yes,https://open.spotify.com/track/25iB3wmUOdPF4mj9lNjbtH?si=d0f6253e69e04ea5
TEC,"Want It Bad
(prod. Dystinkt Beats)",Track 10 on TEC.,2:10,"Sep. 22, 2023",Album Track,Yes,https://open.spotify.com/track/4MH3blBofrBllAg4sRcqgM?si=f52a8a5bbba346db
TEC,"U Don't Know Tec
(prod. Rio Leyva, ThankYouWill, Nash Beats & Taz Taylor)",Track 11 on TEC.,1:50,"Sep. 22, 2023",Album Track,Yes,https://open.spotify.com/track/1N07KMMtQW7YUzAtmroYOq?si=e37a88c3bb154045
TEC,"Used2This
(prod. Rio Leyva, DT, Biinx & Taz Taylor)",Track 12 on TEC.,2:25,"Sep. 22, 2023",Album Track,Yes,https://open.spotify.com/track/0EKAROsLKmddZmMrf4Sf37?si=7668d278bccf4e1c
TEC,"Trippin On U
(prod. Nick Mira, Rio Leyva & Taz Taylor)",Track 13 on TEC.,2:00,"Sep. 22, 2023",Album Track,Yes,https://open.spotify.com/track/346ittEDcO0iunrqX0iDi1?si=bdc4d44182934c5a
TEC,"Either Way
(prod. Mike Hector, ​​ninetyniiine, Gray Toomey & Falcons)",Track 14 on TEC.,3:10,"Sep. 22, 2023",Album Track,Yes,https://open.spotify.com/track/30kR4o9ClDoZkZmgaXmbQ1?si=49d9b2c24257445e
TEC,"Need Me
(prod. Ronio)","First released as a single, later became track 15 on TEC.",2:20,"May 11, 2023",Album Track,Yes,https://open.spotify.com/track/7a636g0dl8a487foiAcoCM?si=2ed7b7759b6a49c7
TEC,"Monday to Sunday
(prod. Noah Mejia, Spaceman, Dilip, Otxhello & Taz Taylor)",Track 16 on TEC.,2:50,"Sep. 22, 2023",Album Track,Yes,https://open.spotify.com/track/4XuhhLn59vKP4pCAnBg6Vz?si=e52aaaba3db249d66
TEC,"Down With Me
(prod. ​jk8)","The 17th track off of the bonus edition of Lil Tecca’s 2023 album, TEC, adding the previously released single “Down With Me” to the tracklist.",2:00,"Dec. 29, 2023",Album Track,Yes,https://open.spotify.com/track/5ZDIwpR2JMwuRM8xumtmxn?si=684047ec7f184130
,Singles,,,,,,
TEC,"Blessing
(prod. Yung Tago)",Released as a single by Tecca.,2:24,"Dec. 9, 2022",Single,Yes,https://open.spotify.com/track/6DswwzQlABrNoqjNydtvuX?si=2bcc6af4eeba461c
TEC,"Fallin
(prod. ninetyniiine & Menoh)",Released as a single by Tecca.,2:01,"Jan 28, 2022",Single,Yes,https://open.spotify.com/track/4v3W97RqEN0kgaLAre1pbJ
TEC,"Prada
(w/ 24kGoldn) (prod. Humblebee, Taz Taylor, OVRCZ, & Cxdy)",Released as a single by Tecca and 24kGoldn.,2:31,"Oct 8, 2021",Single,Yes,https://open.spotify.com/track/4wuMS7NGVbU7hdu94K5icd
TEC,"Treesha
(prod. Menoh)",Released as a single by Tecca.,1:45,"Aug. 26, 2022",Single,Yes,https://open.spotify.com/track/2mzlyJ8Gb8cFMJvfENKnJQ?si=4002e0da9fee43e6
TEC,"Faster
(prod. Void Stryker, Ric Fade, Taz Taylor, Census, & Lil Tecca)",Released as a single by Tecca.,2:09,"Aug 5, 2022",Single,Yes,https://open.spotify.com/track/1dH43IEzvkRIFu6HdXWCha?si=0f767a3f4abb49d4
TEC,"Wildin
(w/ Warhol.SS) (prod. Menoh)",Released as a single by Warhol.SS.,3:37,"Sep 25, 2021",Single,No,https://soundcloud.com/3200warhol/lil-tecca-x-warholss-wildin-prod-menoh?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
,Features,,,,,,
TEC,"Internet Money & Lil Tecca - Falsetto
(prod. 2one2, Census, & Taz Taylor)","Track 6 on Internet Money's ""We All We Got""",2:15,"Aug 19, 2022",Feature,Yes,https://open.spotify.com/track/6OFeW7smNQqrIMfYlMSUdD?si=6fa0d60586a3474a
TEC,"Mabel - Let Love Go
(feat. Lil Tecca) (prod. SG Lewis)","Released as a single, later became track 8 on Mabel's ""About Last Night..."".",2:53,"Jun 29, 2022",Feature,Yes,https://open.spotify.com/track/6wULOKKYcFk3K6bJnFPxMg
TEC,"Coi Leray - Mission Impossible
(w/ Lil Tecca) (prod. Chief Keef & DP Beats)","Track 16 on Coi Leray's ""Trendsetter"".",2:13,"Apr 8, 2022",Feature,Yes,https://open.spotify.com/track/22jA1SdVRnIISa8CVg444o?si=1275b02471f44832
TEC,"Rich Amiri - Poppin
(feat. Lil Tecca) (prod. Rio Leyva, ThankYouWill, Paryo & Taz Taylor)","Released as a single, later became track 6 on Rich Amiri's ""Evolution"".",2:53,"Feb. 24, 2023",Feature,Yes,https://open.spotify.com/track/6eLY5NX9HkvAtrvRrPOW0F?si=98162e16c2b34508
TEC,"Lil Wayne - Anti-Hero
(w/ Lil Tecca) (prod. Alex Lustig & Tay Keith)","Track 3 on Lil Wayne's ""Sorry 4 the Wait (Re-Release)"".",3:12,"Jan 14, 2022",Feature,Yes,https://open.spotify.com/track/5HZ5NjyJVMaboBgG6uQMpK
TEC,"ArrDee - Flowers (Say My Name) [Remix]
(feat. Lil Tecca) (prod. WhYJay & LiTek)","Remix of ""Flowers (Say My Name)"" by ArrDee.",2:38,"Feb 25, 2022",Feature,Yes,https://open.spotify.com/track/4UpONN1cC0MHoJUuIGOXG4?si=0512cde8b4f14a0d
TEC,"TyFontaine - Good Life
(feat. Lil Tecca) (prod. ThankYouWill, Nick Mira, & Cxdy)","Track 5 on TyFontaine's ""Ascension (Deluxe) - Virtual World 2"".",2:16,"Oct 20, 2021",Feature,Yes,https://open.spotify.com/track/4dQRw7ylWmjumuK5LQycqJ?si=480404eb0c384918
TEC,"Internet Money - She Want Some More
(feat. Ken Carson & Lil Tecca) (prod. Outtotown, Ken Carson, & star boy)","OG Filename: she want some more
Released as a single, later became track 2 on Internet Money's ""We All We Got"".",3:04,"Jul 22, 2022",Feature,Yes,https://open.spotify.com/track/6MXlAZuSUsbKAN68ErtWj5?si=643cfd6c12f344c8
TEC,"Ken Carson - gang
(feat. Destroy Lonely & Lil Tecca) (prod. ISSY & ilykimchi)
(no friends)","Track 2 on Ken Carson's ""lost_files_3"".",2:49,"Jan 29, 2022",Feature,No,https://soundcloud.com/kencarson/gang_ft_lil_tecca_and_destroy_lonely?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
TEC,"Ken Carson - SHOULDA LISTENED
(feat. Lil Tecca & Destroy Lonely) (prod. UpMadeIt, Lil 88 & Nawbilly)","OG Filename: Ken Tecca Lonely - Shoulda Listened v1.0
Track 7 on Ken Carson's ""X TWO THREE"".",,"Jun 8, 2022",Feature,No,https://soundcloud.com/underthefallen/ken-carson-shouldve-listened
,Production,,,,,,
TEC,"Pasto Flocco - Make Her Shy!
(prod. Lil Tecca)",Released as a single by Pasto Flocco.,1:05,"Nov. 26, 2022",Production,Yes,https://open.spotify.com/track/2bVnt04CV6C9OrzVI3gpgd?si=1882f9b69b974b99
TEC,"Vell Viace - Remember Me
(prod. Lil Tecca & Menoh)",Released as a single by Vell Viace.,1:48,"Apr. 1, 2023",Production,Yes,https://open.spotify.com/track/4MFPZHwSziLGhnQe54p2I7?si=b938f3f37e00434f
TEC,"Shaio - Cartis
(prod. Lil Tecca & Rio Leyva)",Released as a single by Shaio.,1:50,"Aug 22, 2022",Production,Yes,https://open.spotify.com/album/22epkmjL2m38iGXpnu3ncz?si=ipVRjSxfTsuptIe2K0X2YA
TEC,"jonoftf - show a band
(feat. Dcxshy) (prod. Lil Tecca)","Track 1 on jonoftf's ""Vitality"".",1:50,"Dec 24, 2021",Production,Yes,https://open.spotify.com/track/1BrmvRSFWm72k57ahottO4?si=5eeb7e4494434469
TEC,"Prod - X PILL
(prod. Lil Tecca)",Released as a single by Prod.,2:17,"Feb 25, 2022",Production,Yes,https://open.spotify.com/album/2TG1j655LHQjZPDNq0qOGk?si=4Rc5PejWShOhFCAuIjDWxg
TEC,"Dcxshy - How It Go
(prod. Lil Tecca)","Track 9 on Dcxshy's ""HIDDEN GEM"".",1:40,"Oct. 7, 2022",Production,Yes,https://open.spotify.com/track/1snfxttNP3QdwTOxaw3QpO?si=ca3e055a98e44e51
TEC,"Lil Benny - WYA!
(prod. Lil Tecca)","Track 2 on Lil Benny's ""Blue Dreams"".",2:48,"Sep 24, 2021",Production,Yes,https://open.spotify.com/track/0ta9sYe3vWF9NWiznG4Lka?si=5d179805e9554520
TEC,"Prod - ATM
(prod. Lil Tecca)","Track 1 on Prod's ""ATM @ BANK""",1:44,"Aug 11, 2023",Production,No,https://soundcloud.com/proddd/atm-prod-lil-tecca
TEC,"Vell Viace - BootUp
(feat. Lil Benny) (prod. Lil Tecca)","Track 1 on Vell Viace's ""Fair Chance"".",1:43,"Jan 18, 2022",Production,No,https://soundcloud.com/vellmbm/bootup-ft-lil-benny-prod-lil?in=vellmbm/sets/fair-chance&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
TEC,"Lil Benny - Demon Girl
(prod. Lil Tecca)","Track 1 on Lil Benny's ""#B4BTS"".",2:12,"Nov 16, 2021",Production,No,https://soundcloud.com/lilbennyxo/lil-benny-demon-girl-prod-1?in=lilbennyxo/sets/b4-bts&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
TEC,"Lil Benny - M&M
(prod. Lil Tecca & 1stClassAngles)","Track 12 on Lil Benny's ""BTS"".",1:43,"Jan 31, 2022",Production,No,https://soundcloud.com/lilbennyxo/lil-benny-blonde-p-lil-tecca?in=lilbennyxo/sets/bts&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable",PLAN A,"(9/20/24) (PLAN A is officially released)
(9/21/24) (PLAN A (🅰️ EDITION) is officially released)
(9/26/24) (PLAN A (AAA EDITION) is officially released)",,,"PLAN A is a focused, melodic project from Lil Tecca that continues his signature approach of clean, catchy production and effortless flows, blending themes of relationships, confidence, and lifestyle into a smooth, replayable listening experience. Leading into the release, Tecca built anticipation through social media rollout and early drops like “BAD TIME,” which helped set the tone for the project’s more polished and intentional sound. Across PLAN A, he leans into bright, upbeat instrumentals and laid-back delivery, keeping the focus on melody and consistency, resulting in a cohesive album that reinforces his strength in creating accessible, high-energy music.",,
,Album Tracks,On Streaming,,,,,
PLAN A,"TASTE
(prod. Rio Leyva, Vendr, Dammittony & Taz Taylor)","First released as a single, later became track 1 on PLAN A.",2:50,"Aug. 9, 2024",Album Track,Yes,https://open.spotify.com/track/3IM6Cc6bK88qFYXrF8wh8t?si=cd32794a409d444d
PLAN A,"BAD TIME
(prod. Noah Mejia, Census, Chef9thegod & Taz Taylor)","First released as a single, later became track 2 on PLAN A.",3:30,"Aug. 30, 2024",Album Track,Yes,https://open.spotify.com/track/1D9XWqsoNWIfLEzjHcrgMx?si=3d881e22b11745a8
PLAN A,"120
(prod. Rio Leyva, ThankYouWill, Vendr, Census & Taz Taylor)",Track 3 on PLAN A.,2:10,"Sep 20, 2024",Album Track,Yes,https://open.spotify.com/track/5Pvpk8WHAvmmxMr7SkcZsN?si=93f036769cde48d6
PLAN A,"I CAN'T LET GO
(feat. Don Toliver) (prod. Bugz Ronin, Bhristo, 206Derek, MONEY JEZU$ & Taz Taylor)",Track 4 on PLAN A.,2:30,"Sep. 20, 2024",Album Track,Yes,https://open.spotify.com/track/1Ftb0PK0Qqwax3gofiMd2X?si=148b24b5094441b8
PLAN A,"VOUGE
(prod. LMG & Taz Taylor)",Track 5 on PLAN A.,2:33,"Sep 20, 2024",Album Track,Yes,https://open.spotify.com/track/3xXDLFPydivY2cb5AUgWOv?si=be170c7f93a745c0
PLAN A,"24HRS
(prod. Jay Trench)",Track 6 on PLAN A.,2:22,"Sep 20, 2024",Album Track,Yes,https://open.spotify.com/track/3kIWgW0rAMIxUSkqwwYb7h?si=3ee2e499f44341fc
PLAN A,"NUMBER 2
(prod. Rio Leyva, Scizzie & Taz Taylor)","First released as a single, later became track 7 on PLAN A.",2:17,"May 3, 2024",Album Track,Yes,https://open.spotify.com/track/3p1coqZaHyGvFVLb7EmmeE?si=94efadd8fb974466
PLAN A,"NEVER LAST
(prod. Rio Leyva, venny, 1keep & Taz Taylor)","First released as a single, later became track 8 on PLAN A.",2:21,"May 3, 2024",Album Track,Yes,https://open.spotify.com/track/7JKwHEhYWjEDiaAVqm0RZd?si=4bc0d51eb18a46ab
PLAN A,"HOMEBODY
(prod. Noah Mejia, vvspipes & Taz Taylor)",Track 9 on PLAN A.,1:59,"Sep. 20, 2024",Album Track,Yes,https://open.spotify.com/track/6wl5DS8O5WRBJFUF6uW5Nf?si=5b3a0ed49dbb4540
PLAN A,"SELF2SELF
(prod. Kassgocrazy)",Track 10 on PLAN A.,1:49,"Sep 20, 2024",Album Track,Yes,https://open.spotify.com/track/1y2o15aeoDhGB4BC0bclDI?si=ff6947dcac724ae0
PLAN A,"SEPERATE WAYS
(prod. Spaceman, Paryo & Taz Taylor)",Track 11 on PLAN A.,2:10,"Sep 20, 2024",Album Track,Yes,https://open.spotify.com/track/46UtQmjQidwCtW2PqFmQuu?si=fa2daf577699485a
PLAN A,"TIME & A PLACE
(prod. Rio Leyva, Census, LMG & Taz Taylor)",Track 12 on PLAN A.,2:31,"Sep. 20, 2024",Album Track,Yes,https://open.spotify.com/track/4aRiZLGMY3K8IeDKSlZPAC?si=1d2b20c85157431f
PLAN A,"4U
(prod. Rio Leyva, Noah Mejia, Census, Vendr, KC Supreme & Taz Taylor)",Track 13 on PLAN A.,2:22,"Sep. 20, 2024",Album Track,Yes,https://open.spotify.com/track/60SgHjJSxTh7FuJm6E5fTS?si=bfbc1f2824c3453c
PLAN A,"FLOWERS
(prod. BryceUnknwn, ​y2tnb, Dycemadeit, Berlo & Taz Taylor)",Track 14 on PLAN A.,2:39,"Sep. 20, 2024",Album Track,Yes,https://open.spotify.com/track/4kXwkxljWwlA1MqxRQGrwS?si=c3638b822e0b4061
PLAN A,"COLD GIRLS
(prod. Rio Leyva, Noah Mejia, Vendr & Taz Taylor)",Track 15 on PLAN A.,2:43,"Sep. 20, 2024",Album Track,Yes,https://open.spotify.com/track/3eti9ys6rCIwNZH9dDWiJ6?si=42ba7715ca0748a7
PLAN A,"MAMA
(prod. Rio Leyva, Census, PAX, IzzyNG & Taz Taylor)",Track 16 on PLAN A.,2:33,"Sep. 20, 2024",Album Track,Yes,https://open.spotify.com/track/0CRuLnFERIe8KRkM9iWbWH?si=1a9e940012bf42f8
PLAN A,"D1
(prod. Census, TYTO, Deyflo & Taz Taylor)",Track 17 on PLAN A.,2:16,"Sep. 20, 2024",Album Track,Yes,https://open.spotify.com/track/2VLnOOBxwytrSmr6r4iW7u?si=65d584be8d4d4d55
PLAN A,"ALL THE TIME
(prod. Rio Leyva, Nash Beats & Taz Taylor)",Track 18 on PLAN A.,2:42,"Sep. 20, 2024",Album Track,Yes,https://open.spotify.com/track/5tBcJTXlENIl3fr8SsJAua?si=828071212e234d78
,Features,,,,,,
PLAN A,"Internet Money - This My Life
(feat. Lil Tecca, The Kid Laroi, Lil Skies) (prod. Jacob Wice, Daniyel, Car!ton, Cole Bennett, Kosher World & marvy ayy)","Track 4 on ""All Is Yellow"" by Interent Money.",2:49,"Jan 26, 2024",Feature,Yes,https://open.spotify.com/track/5CT3zRd2FKM7F81KEacXIP?si=f6bdf553bf974843
PLAN A,"Sheff G - Never Again
(feat. Lil Tecca) (prod. Great John & WhoIsJiggi)","Track 14 on ""Proud Of Myself"" by Sheff G.",3:09,"Nov 15, 2024",Feature,Yes,https://open.spotify.com/track/4r2RvehxpkkOYkMUyUXpkx?si=eea5cfedeaa14301
,Production,,,,,,
PLAN A,"SoFaygo - Precision
(feat. Don Toliver) (prod. Lil Tecca, Kassgocrazy)",,2:38,"July 12, 2024",Production,Yes,https://open.spotify.com/track/2v0EGZ57xziY8aZMc79Hwl?si=f78b60817ddd4ef3
,Off-Streaming,PLAN A (🅰️ EDITION) / PLAN A (AAA EDITION),,,,,
PLAN A,"RIGHT NOW RADIO
(prod. strmz & Yjay Beats)",Track 19 on PLAN A (🅰️ EDITION).,2:07,"Sep 26, 2024",Album Track,No,https://pillows.su/f/0dc78bd2f68a09e756727859ec246ca5
PLAN A,"RISK MY LIFE
(prod. Menoh & Jdolla)",Track 20 on PLAN A (🅰️ EDITION).,1:40,"Sep 26, 2024",Album Track,No,https://pillows.su/f/e27a61ac06bcd4c052510658cca1a401
PLAN A,"OVER YOU
(prod. Uno Jordan, Lodini & Oliver Easton)",Track 19 on PLAN A (AAA EDITION).,2:58,"Sep 26, 2024",Album Track,No,https://pillows.su/f/1e3ed17908028fb7b2ca6b971978f87d
PLAN A,"MONTANA
(prod. TwonTwon)",Track 20 on PLAN A (AAA EDITION).,2:21,"Sep 26, 2024",Album Track,No,https://pillows.su/f/732adfb0bb8f064f9ec426cae147a8c1
,DOPAMINE,"(3/22/25) (Dopamine is announced on his story)
(6/1/25) (Lil Tecca posts on his story the album length and a message saying ""ITS TIME"")
(6/13/25) (DOPAMINE drops)
(6/14/25) (DOPAMINE: THE RUSH DIGITAL ALBUM drops)",,,"Following a wave of anticipation, Lil Tecca teased Dopamine on June 1st by posting “ITS TIME” over his studio setup, hinting at a potential June 6th drop and a runtime of around 41:32. Leading up to the release, singles like “Dark Thoughts” and “Owa Owa” helped build momentum, with “Dark Thoughts” gaining notable popularity online, before the album ultimately arrived on June 13, 2025. The project delivers a concise set of melodic, high-energy tracks with polished production and Tecca’s signature effortless flow, focusing on themes of lifestyle, success, and relationships while maintaining a cohesive, replayable feel.",,
,Album Tracks,On Streaming,,,,,
DOPAMINE,"Dark Thoughts
(prod. Lucas Scharff & Folie’s)","Released as a single on Mar. 14, 2025, later released as track 1 on DOPAMINE.",2:16,"Mar 14, 2025",Album Track,Yes,https://open.spotify.com/track/7EW7Yivb93qKAtp5qEm5of?si=0f1ac3fb19f84f41
DOPAMINE,"OWA OWA
(prod. Rio Leyva, Taz Taylor & Lil Tecca)","First previewed by 192ssara, reposted by Tecca. Later released as a single on May 30, 2025. Now track 2 on DOPAMINE.",2:12,"May 30, 2025",Album Track,Yes,https://open.spotify.com/track/5E3XPRJVgYnxhMAFI7nZ7N?si=9481b8077bc14135
DOPAMINE,"Half The Plot
(prod. Rio Leyva, ​namelesss, Lawzy & Taz Taylor)",Track 3 on DOPAMINE.,2:45,"Jun 13, 2025",Album Track,Yes,https://open.spotify.com/track/3zAWhIscp6ehzXv3KHorwb?si=61afe8c5ee1b4d3a
DOPAMINE,"The Truth
(prod. Georgie & Taz Taylor)",Track 4 on DOPAMINE.,2:24,"Jun 13, 2025",Album Track,Yes,https://open.spotify.com/track/3OlHOWZAY88QndJOnUIXZS?si=699cfe5cf44e4681
DOPAMINE,"Favorite Lie
(prod. Census, Taz Taylor & Supera)",Track 5 on DOPAMINE.,2:49,"Jun 13, 2025",Album Track,Yes,https://open.spotify.com/track/5KEixB30VO3hb8etUPkMEq?si=9bbad490addc4e12
DOPAMINE,"Hollywood
(prod. Elijah Dallas)",Track 6 on DOPAMINE.,2:53,"Jun 13, 2025",Album Track,Yes,https://open.spotify.com/track/2LL6dfca1MFpzlZ2hqXWOn?si=aca93ea65d1b475c
DOPAMINE,"X Factor
(prod. icami, Faizo, Taz Taylor & Jerez)",Track 7 on DOPAMINE.,2:11,"Jun 13, 2025",Album Track,Yes,https://open.spotify.com/track/6udczUMR1LHZ8sEbpUm2zk?si=2fb261d69a8548355
DOPAMINE,"Don't Rush
(prod. Rio Leyva, Georgie & Taz Taylor)",Track 8 on DOPAMINE.,2:24,"Jun 13, 2025",Album Track,Yes,https://open.spotify.com/track/5PhLPmHezPl0ZmcsTRnSqC?si=9c6668010e334aa1
DOPAMINE,"Boys Don't Cry
(prod. Kassgocrazy & 17evo)",Track 9 on DOPAMINE.,2:31,"Jun 13, 2025",Album Track,Yes,https://open.spotify.com/track/6aCzWpIVNoaT8OTeQ3w8If?si=fe482a2825934816
DOPAMINE,"Sure Of It
(prod. Census, burny, TYTO & Taz Taylor)",Track 10 on DOPAMINE.,2:12,"Jun 13, 2025",Album Track,Yes,https://open.spotify.com/track/4rSJbYijmlwucbK3exn2Dg?si=7e96a559d2fd41ab
DOPAMINE,"LYK
(prod. Rio Leyva, Georgie & Taz Taylor)",Track 11 on DOPAMINE.,2:43,"Jun 13, 2025",Album Track,Yes,https://open.spotify.com/track/35I744zsds1ALbM4rid5et?si=b1dfabfb1c654d76
