Era,"Name
(Tracker Website Here)",Info / Notes,Track Length,Release Date,Type,Streaming?,Link(s)
We Love You Tecca,"Amigo
(prod. Taz Taylor, Jo L’Z & Manso)",Track 8 on We Love You Tecca.,2:30,"Aug 30, 2019",Album Track,Yes,https://open.spotify.com/track/2BULAwmRpScmZE7YOF07e5?si=a1ef03dc690643c9
We Love You Tecca,"Glo Up
(prod. Payday & NextLane Beats)","Uploaded to Soundcloud on September 25th, 2019. Later would be track 9 on Tecca's debut album, ""We Love You Tecca.""",1:54,"Sep. 25, 2019",Album Track,Yes,https://open.spotify.com/track/4QjLUh87xXSWoOVFbtjkWb?si=1d71ac46313c4ced
We Love You Tecca,"Phenom
(prod. Stoopid Lou, Nick Mira & Dez Wright)",Track 10 on We Love You Tecca.,3:22,"Aug 30, 2019",Album Track,Yes,https://open.spotify.com/track/7uVu5amg3zP3p2n22WhY2z?si=18f6c8f9899c495c
We Love You Tecca,"Weatherman
(prod. King LeeBoy & CashMoneyAP)",Track 11 on We Love You Tecca.,2:52,"Aug 30, 2019",Album Track,Yes,https://open.spotify.com/track/10mIc2UoZkg1kaOfKSZ8y1?si=d6f1bf41613a45d4
We Love You Tecca,"DUI
(prod. Rambow)",Track 12 on We Love You Tecca.,2:14,"Aug 30, 2019",Album Track,Yes,https://open.spotify.com/track/4Bhdiu8zhwQR3tXy8YMbCj?si=ebfa6636e7554a18
We Love You Tecca,"Love Me
(prod. Dystinkt Beats)","Uploaded to Soundcloud on October 24th, 2018. Would later get picked up by the underground listeners. The song would later get a music video uploaded to YouTube on November 18th in the same year, this Music Video actually features $NOT. Later would be track 13 on Tecca's debut album, ""We Love You Tecca.""",1:57,"Oct 24, 2018",Album Track,Yes,https://open.spotify.com/track/4e0FYxSROat25pH16zMTZI?si=b2e19d190bc24d67
We Love You Tecca,"Molly Girl
(prod. Menoh)","Uploaded to Soundcloud on March 17th, 2019. Later would be track 14 on Tecca's debut album, ""We Love You Tecca.""",2:01,"Mar 17, 2019",Album Track,Yes,https://open.spotify.com/track/2SFaHGfSeOYBA0foNEVlIY?si=d36fb1d9481d46f8
We Love You Tecca,"The Score
(prod. Dez Wright & Taz Taylor)",Track 15 on We Love You Tecca.,2:08,"Aug 30, 2019",Album Track,Yes,https://open.spotify.com/track/4ndxiJH8MkwIvPpRn8DVJA?si=fca98b68063a4bed
We Love You Tecca,"Senorita
(prod. Chapo, CashMoneyAP & YoungKio)",Track 16 on We Love You Tecca.,2:15,"Aug 30, 2019",Album Track,Yes,https://open.spotify.com/track/06xih8BhxlC9EbjqHWBtEs?si=e31149188111477a
We Love You Tecca,"Count Me Out
(prod. Dystinkt Beats)","Uploaded to Soundcloud on September 23, 2018 as a single. Later would be track 17 on Tecca's debut album, ""We Love You Tecca.""",2:54,"Sep 23, 2018",Album Track,Yes,https://open.spotify.com/track/7FITP8MVBwdQcbNAr0aVio?si=0f15bbefa4b84abe
We Love You Tecca,"Ransom (Remix)
(with Juice WRLD) (prod. Nick Mira & Taz Taylor)","Uploaded to Soundcloud on August 14th, 2019. Later would be track 18 on Tecca's debut album, ""We Love You Tecca.""",2:51,"Aug 14, 2019",Album Track,Yes,https://open.spotify.com/track/2WsuSYJNXGKXVYkHPnq2yp?si=8a28ac43e42747d9
,Singles,,,,,,
We Love You Tecca,"why u look mad
(prod. Rio Leyva & Ginseng)",,2:22,"Dec 15, 2019",Single,Yes,https://open.spotify.com/album/6t3XY3pufq7luAGEopwu6h?si=LZ0FfZNSTx-zGw8SSLYQIA
We Love You Tecca,"Rags To Riches
(prod. Kairo & Minor2Go)","Soundcloud exclusive. Would later be left off Tecca's debut album ""We Love You Tecca"" unknown why but was likely replaced by another song.",2:13,"Jul 4, 2018",Single,No,https://pillows.su/f/0da513b21b459f95d8b5cca2088214ad
We Love You Tecca,"Love No Thot
(prod. J Beatz)",“Love No Thot” is Lil Tecca’s play on “No Scrubs” by the female music trio TLC.,2:06,"Dec 16, 2018",Single,No,https://pillows.su/f/0f0f99b34fa69dda0474ec1a86595174
We Love You Tecca,"No Feelings
(prod. Slick’JayBeatz)","Posted as a Soundcloud exclusive on December 4th, 2018. Left off of We Love You Tecca for an unknown reason.",2:04,"Dec 4, 2018",Single,No,https://pillows.su/f/679756a6ce51837ef62101014f36b683
,Features,,,,,,
We Love You Tecca,"menoh - 4. A.M.
(feat. Lil Tecca) (prod. Menoh Beats)",Soundcloud/Youtube Exclusive,2:01,"May 30, 2019",Feature,No,https://pillows.su/f/2241ef7f03442697b02070ecdcce53e0
We Love You Tecca,"Daz Merchant - Love It
(feat. Lil Tecca) (prod. Mike Hector)","Released, but has since been deleted.",2:38,"Jun 30, 2018",Feature,No,https://pillows.su/f/f8ea62c31f86c3389d2f971f48809719
,Virgo World,"(08/30/2019) (We Love You Tecca is officially released)
(09/18/2020) (Virgo World is officially released)",,,"Whilst riding the success of his debut mixtape We Love You Tecca in 2019, Lil Tecca began working on his first studio album, Virgo World. The project was officially released on September 18th, 2020, marking a more polished and experimental sound compared to his earlier work. During this era, Tecca explored a wider range of production styles, blending melodic trap with softer, moodier instrumentals while maintaining his signature catchy flow. The album featured collaborations with artists like Polo G, Lil Durk, Nav, and Internet Money, showcasing his versatility and growing presence in the scene. Despite mixed critical reception, Virgo World demonstrated Tecca’s transition from a viral newcomer to a more established artist.",,
,Album Tracks,On Streaming,,,,,
Virgo World,"Our Time
(prod. Jayron)",Track 1 on Virgo World.,1:38,"Sep. 18, 2020",Album Track,Yes,https://open.spotify.com/track/2WxUIiq06XXPYWl9YcRJnD?si=90e2e133dd9a4784
Virgo World,"Actin Up
(prod. CassellBeats)",Track 2 on Virgo World.,1:57,"Sep. 18, 2020",Album Track,Yes,https://open.spotify.com/track/6VJzxfMybfnOm4Te1hqUk3?si=d330957a5061444e
Virgo World,"When You Down
(with Polo G feat. Lil Durk) (prod. DeeMarc)",Track 3 on Virgo World.,3:13,"Sep. 18, 2020",Album Track,Yes,https://open.spotify.com/track/5kTn07V96U8LyoQgz6DZzX?si=ab736b7d33a34e64
Virgo World,"Back It Up
(prod. Leon Thomas, Rowan, Rex Kudo, Sevn Thomas & Mike Hector)",Track 4 on Virgo World.,2:34,"Sep. 18, 2020",Album Track,Yes,https://open.spotify.com/track/04J9aoBIvtKSeDCvC6OEAk?si=caacbdbd03b54065
Virgo World,"Chemistry
(prod. OnlyKND)",Track 5 on Virgo World.,2:13,"Sep 18, 2020",Album Track,Yes,https://open.spotify.com/track/7niut1GcKrCVZe4mx7Tqp8?si=bbc1302b14c2406a
Virgo World,"Royal Rumble
(prod. Z3N & Sean Turk)","First released as a single, later became track 6 on Virgo World.",2:39,"Aug. 26, 2020",Album Track,Yes,https://open.spotify.com/track/4XslNXIadAFZ1PmbELe5TB?si=4c6fa46504774a95
Virgo World,"Foreign
(feat. NAV) (prod. Taz Taylor, Rio Leyva, Repko, Spaceman & Census)",Track 7 on Virgo World.,2:13,"Sep. 18, 2020",Album Track,Yes,https://open.spotify.com/track/3CTOc6QGsoaxwaPJYFxNsG?si=73b205e209d0416e
Virgo World,"Selection
(with Skrillex, DJ Scheme) (prod. Rex Kudo, Nurі, DJ Scheme & Skrillex)",Track 8 on Virgo World.,1:40,"Sep. 18, 2020",Album Track,Yes,https://open.spotify.com/track/5Kwd75iAKLEMncFz19aYrk?si=4ee74284663b42a7
Virgo World,"Take 10
(prod. TBHits, Ambezza & Xavi)",Track 9 on Virgo World.,2:24,"Sep. 18, 2020",Album Track,Yes,https://open.spotify.com/track/6jfaiTyyoqqZfbV94PW8th?si=634fca6e09a14e3e
Virgo World,"Dolly
(with Lil Uzi Vert) (prod. TXBITHETEENVGER, C4Bombs & B-Rackz)
(Dolly White, Hit The Trap Like Max)",Track 10 on Virgo World.,2:59,"Sep. 18, 2020",Album Track,Yes,https://open.spotify.com/track/77Xwqkw7VrV8E5FCq9JhO8?si=eb25e8fe4e724961
Virgo World,"Insecurities
(prod. Taz Taylor & Nick Mira)",Track 11 on Virgo World.,2:18,"Sep. 18, 2020",Album Track,Yes,https://open.spotify.com/track/5MahkGwmekesRqoPSqF9Ja?si=8ad5fe1c18c548f7
Virgo World,"Tic Toc
(prod. Menoh)",Track 12 on Virgo World.,2:32,"Sep. 18, 2020",Album Track,Yes,https://open.spotify.com/track/2DumUKurdtPHh0eUauFuqw?si=e1bb1d01db8f4a69
Virgo World,"Miss Me
(prod. Blake Slatkin, Sam Wish & Kid Culture)",Track 13 on Virgo World.,1:58,"Sep. 18, 2020",Album Track,Yes,https://open.spotify.com/track/4r98f87mBfMAfdQvUImksB?si=8d2db7cf778e4a59
Virgo World,"True To The Game
(feat. Reign) (prod. Taz Taylor, Spaceman & Census)",Track 14 on Virgo World.,2:56,"Sep. 18, 2020",Album Track,Yes,https://open.spotify.com/track/0hBmlHuZzZFcmzUZezNjZQ?si=1850c941547a4786
