Era,Name,Notes,Length,File Date,Release Date,Type,Streaming,On DSPs,Link(s)
Eternal Atake [V3],"⭐ Lo Mein
(prod. Brandon Finessin & Bugz Ronin)",Track #2 on Eternal Atake.,3:15,"Jan 11-14, 2020","Mar 6, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/6CUP2khYzdphXebxVTfPE3?si=e62b6678c0e34287
Eternal Atake [V3],"⭐ Silly Watch
(prod. Supah Mario)
(Funny Money, .40 Glock)",Track #3 on Eternal Atake.,3:16,"Jun 12, 2019","Mar 6, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/5egD7A5x9AHdVO2fMo3Wbo?si=b3161c9450584c56
Eternal Atake [V3],"✨ POP
(prod. Brandon Finessin & Oogie Mane)","Track #4 on Eternal Atake. Uses the same instrumental as ""Jah Voice"" by Robb Bank$.",3:47,"Oct ??, 2018","Mar 6, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/1jDbQz6tr52WgScCTXMnaN?si=0c217454eb554cf6
Eternal Atake [V3],"You Better Move
(prod. Brandon Finessin & Nick Seeley)
(Move)",Track #5 on Eternal Atake. Samples sound effects from 3D Pinball Space Cadet.,3:17,"Jul 2, 2019","Mar 6, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/6YAxCn4juTWn5hWl2hzHGw?si=ba0bac9074774d40
Eternal Atake [V3],"⭐ Homecoming
(prod. Bugz Ronin)
(Philly Jawn)",Track #6 on Eternal Atake.,3:34,"Feb 8, 2020","Mar 6, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/6vxU64pcIuQ38O015Zy4qj?si=a413ecfff6ca41e1
Eternal Atake [V3],"✨ I'm Sorry
(prod. Brandon Finessin & StarBoy)","Track #7 on Eternal Atake. Interpolates ""P2"". This song also marks the start of the Renji section of the album.",3:32,"??? ??, 2019","Mar 6, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/1xcOYJxDa5pObgxY1r0I9c?si=b6d114a8244347f8
Eternal Atake [V3],"Celebration Station
(feat. WanMor) (prod. Brandon Finessin & Outtatown)
(Bands, Bands)","Track #8 on Eternal Atake. Samples ""raindrops (an angel cried)"" by Ariana Grande. Features uncredited vocals from the WanMor choir.",3:15,"Jun-Jul ??, 2019
(Uzi)
Dec 21-22, 2019
(WaMo)","Mar 6, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/25B5fGr9K0VdZJiRFsnMO4?si=f702ba948f2a49ad
Eternal Atake [V3],"✨ Bigger Than Life
(feat. WanMor) (prod. Oogie Mane & Dez Wright)
(Nothing To Think About)","DMP Filename: Lil Uzi Vert - Bigger Than Life main mix 116.245 DMP.hi
Track #9 on Eternal Atake.",3:13,"Dec 21-22, 2019
(WaMo)","Mar 6, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/2oHDJHNondITqbl8xZ9vPn?si=34dd7dbf52e547a1
Eternal Atake [V3],"✨ Chrome Heart Tags
(feat. WanMor) (prod. Chief Keef)","Track #10 on Eternal Atake. Shares the same beat with Chief Keef's ""Skrt Skrt Skrt"".",3:33,"Mar 30, 2019
(Uzi)
Dec 21-22, 2019
(WaMo)","Mar 6, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/46mT9NR7N9Zf5MolcrBgE3?si=408e8eef390a4fad
Eternal Atake [V3],"⭐ Bust Me
(feat. WanMor) (prod. Bugz Ronin)",Track #11 on Eternal Atake.,3:14,"Feb ??, 2019
(Uzi)
Dec 21-22, 2019
(WaMo)","Mar 6, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/4wBcaYqLPm7EtDVoJQORU4?si=fe33db271154411b
Eternal Atake [V3],"⭐ Prices
(feat. WanMor) (prod. Harper)
(Up On My Price)","Track #12 on Eternal Atake. Samples ""way back"" by Travis Scott. Features uncredited vocals from the WanMor choir.",3:53,"Dec 4, 2018
(Uzi)
Dec 21-22, 2019
(WaMo)","Mar 6, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/4YcWzLSnGqLjSCycuSMHnn?si=7fc66bf29c8047d0
Eternal Atake [V3],"✨ Urgency
(feat. Syd & WanMor) (prod. Wheezy & Bobby Raps)",Track #13 on Eternal Atake. Features uncredited vocals from the WanMor choir. This song also marks the start of the Uzi section of the album.,3:01,"May 26, 2018
(Uzi)
Oct ??, 2018
(Syd)
Dec 21-22, 2019
(WaMo)","Mar 6, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/5KlPy74NOEAt8jC3FYURnQ?si=422ed48ab59a4461
Eternal Atake [V3],"⭐ Venetia
(prod. Brandon Finessin & Outtatown)
(New Bands)",Track #14 on Eternal Atake.,3:09,"??? ??, 2019","Mar 6, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/3BYIzNZ3t9lRQCACXSMLrT?si=878c04d702cc487e
Eternal Atake [V3],"✨ Secure The Bag
(prod. Bugz Ronin)
(Not The Same, On The Road)",Track #15 on Eternal Atake.,3:58,"Jan 16, 2018","Mar 6, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/7gHZGXSJzM29WA384suYY2?si=ddb104ce8e6d4e59
Eternal Atake [V3],"⭐ P2
(prod. TM88)
(The End, XO TOUR Llif3 Pt. 2)","Track #16 on Eternal Atake. Sequel to ""XO TOUR Llif3"".",3:55,"Jan 26, 2020","Mar 6, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5?si=f1cb78d56de44e36
Eternal Atake [V3],"Futsal Shuffle 2020 (Bonus Track)
(prod. Brandon Finessin, StarBoy, Mayyzo & Loesoe)
(Do Better)",Track #17 on Eternal Atake.,3:19,"Oct ??, 2019","Mar 6, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/2fOlBMkWR7lXJfqp5VTbDG?si=1394029ff3274ab4
Eternal Atake [V3],"That Way (Bonus Track)
(feat. WanMor) (prod. Supah Mario, Yung Lan & Felipe S)
(Want It That Way, Yellow Queen)",Track #18 on Eternal Atake.,3:32,"Sep 29, 2018
(Uzi)
Dec 21-22, 2019
(WaMo)","Mar 6, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC?si=b3b93ee75fd54df7
,"Eternal Atake (Deluxe) - LUV vs. the World 2. (DSPs) - Side A - Released Mar. 13, 2020",,,,,,,,
Eternal Atake [V3],"⭐ Myron
(prod. Oogie Mane & Supah Mario)
(Ran Up All My Bands, Like Me)",Track #1 on Eternal Atake (Deluxe) - LUV vs. The World 2. Has different mixing compared to leak.,3:45,"Apr 14, 2018
(Chor & FV)
Mar 7, 2020
(Ad & SV)","Mar 13, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ?si=e017a36a62744841
Eternal Atake [V3],"✨ Lotus
(prod. Oogie Mane, Don Cannon & Ineza Beats)
(You A 10)",Track #2 on Eternal Atake (Deluxe) - LUV vs. The World 2. Has different mixing compared to leak and different Uzi lines.,3:14,"May 10, 2018","Mar 13, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/4SnlSaLJJ7reJMCHM5YUuX?si=57391c1537df4067
Eternal Atake [V3],"⭐ Bean (Kobe)
(feat. Chief Keef) (prod. Pi'erre Bourne)
(ROLLI, Rolli, Count It Up, Jellybean, Rockstar Life, Rollie)","Track #3 on Eternal Atake (Deluxe) - LUV vs. The World 2.
The song was recorded in a three-song studio session, for Pi'erre Bourne's birthday. One of Uzi's best songs from his entire discography. Unfortunately, it has a somewhat rough mix, compared to the original version, making Sosa's vocals a bit scuffed and quieter.",3:59,"Sep 19, 2017","Mar 13, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/0IpnZchq8ek2A6pGEP2Qb1?si=2dd0bcf348e64815
Eternal Atake [V3],"⭐ Yessirskiii
(with 21 Savage) (prod. Pi'erre Bourne)","Track #4 on Eternal Atake (Deluxe) - LUV vs. The World 2. Was actually a 21 Savage, at first. Uzi just recorded over an open verse. Which explains why Uzi's contributions are so short.",3:39,,"Mar 13, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/59JWp4PjZ9TRM8cmtaDYB1?si=848d53b897c84376
Eternal Atake [V3],"✨ Wassup
(feat. Future) (prod. Pi'erre Bourne)
(What's Up?)","Track #5 on Eternal Atake (Deluxe) - LUV vs. The World 2. It didn't originally have Future as a feature; a verse done by Uzi was cut, leaving space for Future to record over it. The file used was exported on March 9, 2020.",3:13,"Dec ??, 2018","Mar 13, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/19Ec2gbNtQTE44IizcPjtD?si=0eb2fd113dd24042
Eternal Atake [V3],"✨ Strawberry Peels
(feat. Young Thug & Gunna) (prod. Wheezy & Blackout)
(Dim Da Fn Lights, Strawberry Pills)","Track #6 on Eternal Atake (Deluxe) - LUV vs. The World 2. Its name had to be censored from ""Pills"" to ""Peels"". Was originally titled after its used sample (""Dim Da Lights"" by Blackout (feat. Lil Coop (Playa Posse) & Lil E (Playa Posse)). It also interpolates ""Neon Guts (feat. Pharrell Williams)"", and ""Sold Out Dates (feat. Lil Baby)"" by Gunna.",1:55,"Mar 9, 2020","Mar 13, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/4lAQfuREAHG8IC0PiiigBt?si=802ebd5f57e649cb
Eternal Atake [V3],"I Can Show You
(prod. Oogie Mane & shadow412)","Track #7 on Eternal Atake (Deluxe) - LUV vs. The World 2. Was originally longer, with an extra verse, and different lines.",2:00,"May ??, 2018","Mar 13, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/0AhJag7VI8uFf3mJFsTwvf?si=543fb09129fe4810
Eternal Atake [V3],"✨ Moon Relate
(prod. Kid808 & Danny Wolf)
(Me and The Moon Relate, Wolf Moon, Kickin' It)","Track #8 on Eternal Atake (Deluxe) - LUV vs. The World 2. Initially intended to release on Luv Is Rage 2, being listed on its marketing plan as ""Wolf Moon"". This released version has a significant downgrade on the mixing, with a less hyped up beat, and quieter overall.",3:02,"Mar 19, 2017","Mar 13, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/4sWGHlZGM1XA7TyWdtBAbA?si=470e5ce0ce7f4faf
Eternal Atake [V3],"✨ Come This Way
(prod. Lyle Leduff)
(This Way)","Track #9 on Eternal Atake (Deluxe) - LUV vs. the World 2. Samples ""Xtalk"" by Hundred Waters. Just like with the previous songs on the Deluxe, has a new restructured beat, with a worse mix than the original version. This was a huge grail from Luv Is Rage 2, which also wasn't released on 2016-2017.",2:53,"Dec 8, 2016","Mar 13, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/2BjNjFJAQTxqUPGpOnrese?si=ed4e53b881024681
Eternal Atake [V3],"✨ Trap This Way (This Way)
(prod. Oogie Mane)
(This Way)","Track #10 on Eternal Atake (Deluxe) - LUV vs. the World 2. Once again, has a slightly worse mix than the released.",3:05,"Nov 25, 2017","Mar 13, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/7vTspUAmMKFkUpKL9HLZNL?si=79044054e8514353
Eternal Atake [V3],"No Auto
(feat. Lil Durk) (prod. DY Krazy & Kid Wond3r)","Track #11 on Eternal Atake (Deluxe) - LUV vs. the World 2. Samples Lil Wayne's ""BM J.R."".",2:15,"Mar 11, 2019
(Durk)","Mar 13, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/5erLs80hB2TbFWgSAbVQpe?si=516e382b50ea4a0e
Eternal Atake [V3],"Money Spread
(feat. Young Nudy) (prod. Pi'erre Bourne)
(Effortless, No Effort)","Track #12 on Eternal Atake (Deluxe) - LUV vs. the World 2. It didn't originally have Young Nudy as a feature; a verse done by Uzi was cut, leaving space for Nudy to record over it.",3:37,"Jan 31, 2019","Mar 13, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/5tBdxqz8gauIO8Hh8qwo0H?si=41990cff76a74862
Eternal Atake [V3],"Got The Guap
(feat. Young Thug) (prod. Brandon Finessin & Outtatown)",Track #13 on Eternal Atake (Deluxe) - LUV vs. the World 2.,2:57,"Mar ??, 2020","Mar 13, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/1HF6P40Z7nfExGaB1Gk99v?si=ee14b53f50be4286
Eternal Atake [V3],"Leaders
(feat. NAV) (prod. NAV, Cash (XO), Pro Logic & Money Musik)","Track #14 on Eternal Atake (Deluxe) - LUV vs. the World 2. Was likely a solo NAV track at first, or Uzi was initially the feature, due to his short contribution to the song.",3:15,"Feb ??, 2020","Mar 13, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/4D7NrSeqkTarBrJ80b2sBc?si=d171fc4527d348a4
,Pluto x Baby Pluto,,,,,,,,
,Features,,,,,,,,
Pluto x Baby Pluto,"Future - All Bad
(feat. Lil Uzi Vert) (prod. Brandon Finessin & Outtatown)
(Call Back)","Track #14 on Future's album ""High Off Life"".",3:27,,"May 15, 2020",Feature,Released on DSPs,Yes,https://open.spotify.com/track/021lWIHJrURZrmvYQ1xcM8?si=acd9d318b9404f97
,"Pluto x Baby Pluto (DSPs) - Released Nov. 13, 2020",,,,,,,,
Pluto x Baby Pluto,"✨ Stripes Like Burberry
(prod. DJ ESCO)",Track #1 on Pluto x Baby Pluto.,3:14,,"Nov 13, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/6lt8iodSkYWEV0ifKCSlfg?si=e4e01d66ad0947a9
Pluto x Baby Pluto,"Marni On Me
(prod. Brandon Finessin & Outtatown)",Track #2 on Pluto x Baby Pluto.,3:49,,"Nov 13, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/6NaVCCFGylOLZAgk5eTTid?si=17dcc84c31ad41cc
Pluto x Baby Pluto,"Sleeping On The Floor
(prod. D. Hill & Loudy Luna)",Track #3 on Pluto x Baby Pluto.,3:30,,"Nov 13, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/0DUHmrwC8ZviGGC2o2JBy1?si=bfad26af6b594c55
Pluto x Baby Pluto,"✨ Real Baby Pluto
(prod. Zaytoven & Twysted Genius)","Track #4 on Pluto x Baby Pluto. Seemingly interpolates and samples ""Black & Chinese"" by Quavo & Travis Scott (Huncho Jack).",3:01,,"Nov 13, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/1rP5gAqMlm8d6UnfseuzSm?si=0face28185d94d07
Pluto x Baby Pluto,"⭐ Drankin N Smokin
(prod. 12Hunna, DY Krazy & Hagan)","Track #5 on Pluto x Baby Pluto. A music video was released for the song, on January 7th, 2021.",4:22,,"Nov 13, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/0k7wmahjkn389wAZdz19Cv?si=4edee6d575c143a1
Pluto x Baby Pluto,"⭐ Million Dollar Play
(prod. Zaytoven & Buddah Bless)",Track #6 on Pluto x Baby Pluto.,3:24,,"Nov 13, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/7liO3TEHfUqLnIlN54CW1D?si=f45545c999f74d48
Pluto x Baby Pluto,"⭐ Plastic
(prod. London on da Track & TheLabCook)",Track #7 on Pluto x Baby Pluto.,3:05,"Jun ??, 2020","Nov 13, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/6GK5du9ndZ7ZwMBrTRTGMH?si=7f3b718deec3456a
Pluto x Baby Pluto,"✨ That's It
(prod. Wheezy & Nils)","Track #8 on Pluto x Baby Pluto. A music video was released for the song, on Nov 12, 2020.",4:04,"May ??, 2020","Nov 13, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/5n6gBhdEjCuj3obgCoTEFD?si=d1b9249b08e542c4
Pluto x Baby Pluto,"✨ Bought A Bad Bitch
(prod. DJ ESCO & Chiveer)",Track #9 on Pluto x Baby Pluto.,3:07,,"Nov 13, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/5syD6f38Jhckk5g9DgoCta?si=0a0a0b00108c4c2c
Pluto x Baby Pluto,"Rockstar Chainz
(prod. Torey Montana)",Track #10 on Pluto x Baby Pluto. Performed solo by Future.,3:42,,"Nov 13, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/0NXeZp31dd0cJ9t8FdKsTg?si=a2b550f5d78e417d
Pluto x Baby Pluto,"🗑️ Lullaby
(prod. DY Krazy & Bobby Raps)",Track #11 on Pluto x Baby Pluto. Performed solo by Lil Uzi Vert with minimal effort.,4:22,"Nov ??, 2020","Nov 13, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/2N7KguJOBZtV2Px3T1z5sB?si=e8860f123c78478b
Pluto x Baby Pluto,"She Never Been To Pluto
(prod. Brandon Finessin & Lukrative)
(Never Been To Pluto)",Track #12 on Pluto x Baby Pluto.,3:24,"May ??, 2020","Nov 13, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/7yOoJXW6wkpzlJpfjDKhIV?si=ade1214486904f77
Pluto x Baby Pluto,"Off Dat
(prod. DJ ESCO)",Track #13 on Pluto x Baby Pluto.,3:05,,"Nov 13, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/5qk0TivMEVkujTu7xJLKu7?si=5869cc9c145e4f97
Pluto x Baby Pluto,"I Don't Wanna Break Up
(prod. D. Hill & Gudda Tay)",Track #14 on Pluto x Baby Pluto.,4:04,,"Nov 13, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/7JwmlNz8ic9ATnLn7DyAKx?si=a6776ab9e47e4f8b
Pluto x Baby Pluto,"Bankroll
(prod. Brandon Finessin, Lukrative & Dotmidorii)","Track #15 on Pluto x Baby Pluto. Seems to inerpolate Uzi & Carti's ""Yea, Yea"".",3:07,,"Nov 13, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/3h1LpNOGh1NgKVQPetS2Ed?si=54ed49179b6c43b4
Pluto x Baby Pluto,"Moment of Clarity
(prod. Fxxxxy, Turbo & Yung Talent)","Track #16 on Pluto x Baby Pluto. Shares the same instrumental with Gunna's ""More Room To Grow"", and NBA YoungBoy's ""Shots"".",3:42,,"Nov 13, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/5iHaOaMTQA3f24kD4oTR2x?si=1b4445f7be60446f
,"Pluto x Baby Pluto Deluxe (DSPs) - Released Nov. 17, 2020",,,,,,,,
Pluto x Baby Pluto,"✨ Tic Tac
(prod. Brandon Finessin & Alien)",Track #1 on Pluto x Baby Pluto (Deluxe).,4:34,,"Nov 17, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/0anUgBvnA4u5LsHUeLRprc?si=be3c645b7f934185
Pluto x Baby Pluto,"My Legacy
(prod. Brandon Finessin & Lukrative)",Track #2 on Pluto x Baby Pluto (Deluxe).,2:13,,"Nov 17, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/4V9K7DLPZNhCH77wLsAiNF?si=f8f82c876b7b4fc8
Pluto x Baby Pluto,"Heart In Pieces
(prod. DJ ESCO)",Track #3 on Pluto x Baby Pluto (Deluxe).,2:47,,"Nov 17, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/669gYFBhezfYPXQP1hBMOX?si=fbb6b5bda8154065
Pluto x Baby Pluto,"✨ Because of You
(prod. Brandon Finessin & Loesoe)","Track #4 on Pluto x Baby Pluto (Deluxe). Samples ""Me4U (feat. Morrie)"" by Danny L Harle, and interpolates ""Delirious (feat. Soulja Boy)"" by Vistoso Bosses.",3:17,,"Nov 17, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/6vbe3GmRG30x2nraEvHudq?si=b43efdffd8af4698
Pluto x Baby Pluto,"Bust a Move
(prod. Brandon Finessin & ShaunGoBrazy)",Track #5 on Pluto x Baby Pluto (Deluxe).,3:34,,"Nov 17, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/2z0LyXYmPgos95olIAQIO3?si=e3f502e28b334038
Pluto x Baby Pluto,"Baby Sasuke
(prod. Brandon Finessin, Lusi & Rok)",Track #6 on Pluto x Baby Pluto (Deluxe).,2:47,,"Nov 17, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/4Y4Xmm8OLUJSdR9OkaxV97?si=e6b7f35f73ca4f88
Pluto x Baby Pluto,"⭐ Patek
(prod. Brandon Finessin & StarBoy)","OG Filename: PATEK (MAIN) SING MASTER
Released in a two pack with Over Your Head, and later became track #23 on Pluto x Baby Pluto (Deluxe). Was initally longer, with more Uzi lines done throughout the original version.",4:41,"May 17, 2020","Jul 31, 2020
Nov 17, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/76MjtLfZoTNc3BDqUVjuRH?si=fd2a966c41db4065
Pluto x Baby Pluto,"⭐ Over Your Head
(prod. D. Hill, TM88 & DJ Moon)","Released in a two pack with Patek, and later became track #24 on Pluto x Baby Pluto (Deluxe).",3:07,"Jun 15, 2020","Jul 31, 2020
Nov 17, 2020",Album,Released on DSPs,Yes,https://open.spotify.com/track/0Tcw8w9pvPrZoORgxsNASW?si=cf9c29c097e54b7d
,Baby Pluto Era,,,,,,,,
,Singles and throwaways,,,,,,,,
Baby Pluto Era,"Sasuke
(prod. Brandon Finessin & Outtatown)
(Sasuke (Pt. 1))","Experimental-high pitched ""baby voice"" track. It was released to ""compete"" against Playboi Carti's ""@ MEH"", but after further information was revelaed, they were actually cooperating with each other to boost Carti's ""Whole Lotta Red's hype; showcasing Carti's new flow. Unfortunately, both this and Carti's track received some heavy criticism due to how weird and ""effortless"" the tracks sounded. It had a music video recorded, that ended up getting scrapped.",4:41,"Apr 19-20, 2020","Apr 24, 2020",Single,Released on DSPs,Yes,https://open.spotify.com/track/0ROE31C8Wu4neZoR9stM9e?si=4a59407c0e5b480d
,Features,,,,,,,,
Baby Pluto Era,"✨ Swoosh God - Like I’m Swoosh
(feat. Lil Uzi Vert) (prod. Pi'erre Bourne)
(Candy, X Candy)","Released as the intro to Swoosh God’s album ""Controversy"" without the Carti verse, as he presumably didn't clear it. The song was deleted on Mar 27, 2020, and replaced by “Who Else”.",1:25,"Jan 4, 2018","Mar 22, 2020",Feature,Released on DSPs,No,https://www.youtube.com/watch?v=mqveC7okQbs
Baby Pluto Era,"The Weeknd - Heartless - Remix
(feat. Lil Uzi Vert) (prod. Metro Boomin, The Weeknd, Dre Moon & Illangelo)",Remix of the track by The Weeknd.,3:20,,"Apr 3, 2020",Feature,Released on DSPs,Yes,https://open.spotify.com/track/7wcoSs40brhyS3htaaDkgD?si=4f377e0fd12e4687
Baby Pluto Era,"NAV - Status
(feat. Lil Uzi Vert) (prod. NAV, Cash, Keanu & Pro Logic)","Track 6 on NAV's album ""Good Intentions"".",2:54,,"May 8, 2020",Feature,Released on DSPs,Yes,https://open.spotify.com/track/6KhmSJf9FvdAcq1tr8LcYD?si=78daac24881b4e77
Baby Pluto Era,"Gunna - RELENTLESS
(feat. Lil Uzi Vert) (prod. Nik D, OZ & Wheezy)","Track 23 on Gunna's album ""WUNNA (Deluxe)"".",2:48,"Apr ??, 2020","May 22, 2020",Feature,Released on DSPs,Yes,https://open.spotify.com/track/6nDSLDomNqfet6w0r1GHAz?si=4bd42b62075843bc
Baby Pluto Era,"G Herbo - Like This
(feat. Lil Uzi Vert & Chase The Money)
(prod. Chase The Money, Chase Davis, DJ Victoriouz)","Track #7 on G Herbo's Album ""PTSD (Deluxe)""",3:35,,"May 29, 2020",Feature,Released on DSPs,Yes,https://open.spotify.com/track/0s8rtUFhQuZYpLj7yUaDUH?si=md6MuIqUQiaKZ_lErlvi1w
Baby Pluto Era,"Lil Wayne - Multiple Flows
(with Lil Uzi Vert) (prod. Brandon Finessin)","Track 4 on Lil Wayne's album ""Funeral (Deluxe)""",3:54,,"May 29, 2020",Feature,Released on DSPs,Yes,https://open.spotify.com/track/33NAQaVm6TRv1phc0fPsfb?si=a6d15ce086224e24
Baby Pluto Era,"Cassius Jay - Today Was A Good Day
(feat. Lil Uzi Vert) (prod. Cassius Jay)
(Die Today)","OG Filename: Uzi Cassius Spinz Die Today.mp3
Originally titled ""Die Today"", was previewed by Carti on day of recording, and was considered to be on LIR2 (Deluxe). Was uploaded by Cassius in 2019, later became Track #8 on Cassius Jay's album ""Trap Sinatra 2"" without credits to Uzi. ",2:52,"Mar 18, 2017","Jun 30, 2020",Feature,Released on DSPs,Yes,https://open.spotify.com/track/2oXWE7bRXChFHBHHUz06xU?si=ewQxaADdS8ytM4IX1vIeXQ
Baby Pluto Era,"NoCap - Count A Million
(feat. Lil Uzi Vert) (prod. Yung Tago, Al Geno)",Single released by NoCap featuring Lil Uzi Vert alongside a music video. Later became track 8 on NoCap's album ''Steel Human''.,3:37,,"Jun 20, 2020",Feature,Released on DSPs,Yes,https://open.spotify.com/track/5Y8gxwzYNE5VzrHyqZq22f
Baby Pluto Era,"A Boogie wit da Hoodie & Don Q - Flood My Wrist
(feat. Lil Uzi Vert) (prod. Doe Pesci & Nick Mira)","Single released by A Boogie wit da Hoodie & Don Q featuring Lil Uzi Vert. Later appeared on the single release of ""Vroom Vroom"" by A Boogie wit da Hoodie as track 2.",3:00,,"Jul 1, 2020",Feature,Released on DSPs,Yes,https://open.spotify.com/track/5Tj4faD9lGyMw8ZatUYR6G?si=5f2f50b3545c4c5d
Baby Pluto Era,"StaySolidRocky - Party Girl (Remix)
(feat. Lil Uzi Vert) (prod. Nashi)","A single released by StaySolidRocky of his remix ""Party Girl"" featuring Lil Uzi Vert.",2:27,,"Jul 8, 2020",Feature,Released on DSPs,Yes,https://open.spotify.com/track/2oDeWW00ZhuVybf5X8dYsj?si=8da1caf0e2ae4a86
Baby Pluto Era,"Lil Tecca - Dolly
(feat. Lil Uzi Vert) (prod. C4 Bombs, TXBITHETEENVGER & B Rackz)","Track 10 off Lil Tecca's album ""Virgo World"". Later appeared as track 3 on Lil Tecca's compilation album ""Virgo Rising"".",2:59,,"Sep 18, 2020",Feature,Released on DSPs,Yes,https://open.spotify.com/track/77Xwqkw7VrV8E5FCq9JhO8?si=5459fcfe44f848ea
Baby Pluto Era,"YN Jay - Coochie Friends
(feat. Lil Uzi Vert) (prod. Energy Beats)
(Coochie Scout, Pt. 2, Coochie Scout (Remix), Hold ONNNNN)","Has three different versions that were released, under different titles.",3:30,,"Sep 26, 2021",Feature,Released on DSPs,No,LINK NEEDED
Baby Pluto Era,"Lil Gnar - Diamond Choker
(feat. Lil Uzi Vert) (prod. Bankroll Got It)","Single released by Lil Gnar featuring Lil Uzi Vert alongside a music video. Later became track 13 on Lil Gnar's album ""DIE BOUT IT"".",2:35,,"Oct 16, 2020",Feature,Released on DSPs,Yes,https://open.spotify.com/track/2yQqv7D8uisLynF3YT0UxG?si=05a6ef69d332453a
,Forever Young,,,,,,,,
,Singles and throwaways,,,,,,,,
Forever Young,"Pump Up The Jam                                                                  
(prod. FaxOnly, BNYX®, Finesse & Mean XVI) ","Track #5 on ""Space Jam: A New Legacy (Original Motion Picture Soundtrack)"". Samples Technotronic's ""Pump Up The Jam"", paying homage to said track.",2:17,"Oct 16, 2020","Jul 9, 2021",Single,Released on DSPs,Yes,https://open.spotify.com/track/2aUQpQBZF5KjfGHffx2oFo
,Features,,,,,,,,
Forever Young,"DeJ Loaf - Simply
(feat. Lil Uzi Vert) (prod. SwaggBoyy & Kino Beats)",Released as track 14 on 'Sell Sole II'.,3:26,,"Oct 23, 2020",Feature,Released on DSPs,Yes,https://open.spotify.com/track/0Eug0ATDYB0zroFPNP0k6R?si=001641747f204771
Forever Young,Doe Boy - Bussin                                            (feat. Lil Uzi Vert) (prod. Southside) ,"Track #6 on Doe Boy's collaborative album with Soutshide ''Demon R Us''. A music video released soon after as a promotional single on Nov 11, 2020",3:57,"Jul 12, 2020","Nov 6, 2020",Feature,Released on DSPs,Yes,https://open.spotify.com/intl-fr/track/0eJKjbdEwnWbWyJI9z1gMg
