Era,Name,"Notes
(yellow border indicates a detag, audio fix, or a good fake)",Made By,Type,Available Length,Link(s)
Fake,"DJ Snake - Oh Me Oh My [Demo]
(feat. Travis Scott)
(AKA: Oh Me)","Leaked July 30, 2019. Has a fake bridge made from unused vocal takes.",,Fake,Not Available,
Fake,Ooh,"Fake snippet leaked in April 2019; tagged as being for the LGBT community. Made using a well-produced instrumental and real unreleased vocal stems from ""I'm Fine"".",,Fake,Not Available,
Fake,"Outside [Demo] 
(feat. 21 Savage)","Found in an old compilation. Sounds identical, but has a slightly muddier mix. Presumed to be fake.",,Fake,Not Available,
Fake,Palm Trees [Demo],"A semi-solo edit of Preme's ""Palm Trees"". Neither version is a leak as some seem to think, it's just a feature and this supposed 'demo' is merely an edit.",,Edit,Not Available,
Fake,Part Time [OG File],Uses AI to remove the .WAV Radio tags.,,Edit,Not Available,
Fake,Promethazine,"Fan-made edit of ""Wine and Hennessy"".",,Edit,Not Available,
Fake,"Pussy [Demo]
(feat. Gunplay & Chuck Inglish)","Was on the tracker at one point as I falsely believed it to be the real demo until it resurfaced in August 2020, as it was labelled as a demo in old compilations from around the time it leaked, and on SoundCloud. This is actually just a remaster made by someone on KTT in 2013.",,Edit,Not Available,
Fake,Rager Universe [Project],"Fan-made album compilation that appeared on Travis Scott's Apple Music and Spotify pages in late 2019. It consisted of some of Travis' most loved leaks at the time, plus ""Promethazine"". Mentioned here since it caused various news articles to be published.",,Fake,Not Available,
Fake,"RaRa [Demo]
(feat. Lil Uzi Vert)","Fake version made using a combination of the Demo 1 and the released version. A leaked snippet of this had Music Mafia tags, which would be more than enough proof if it didn't sound so obviously fake.",,Fake,Not Available,
Fake,Rocket,"Not really talked about much, but an old snippet channel has a video of what is possibly an unreleased Travis song titled ""Rocket"" semi-audible in the background - it's actually a song titled ""Leg Over"" by Mr Eazi.",,Mislabel,Not Available,
Fake,"Scars
(feat. Hudson Mohawke & Kanye West)","Instrumental leaked by KTT user xxman in July 2013, supposedly produced with Hudson Mohawke and Kanye West. xxman later said that it's fake.",,Fake,Not Available,
Fake,"SDP Interlude (Remix)
(feat. Lil Uzi Vert)","Fake ""remix"" containing Uzi vocals, originally said to have been recorded in 2017, leaked in April 2, 2025. The Uzi vocals come from an untitled song made in March 2019, later leaked partially in May 2025.",,Fake,Not Available,
Fake,"Young Thug - She Flexin
(feat. Travis Scott)",Previewed by Thug in 2015. Travis was incorrectly rumoured as a feature.,,False Rumour,Not Available,
Fake,"Stars On The Roof
(feat. The Weeknd)",Fanmade AI song that went viral on TikTok in 2023.,,Fake,Not Available,
