Era,Name,Notes,Length,Date Made,Type,Available Length,Quality,Link(s)
,"Heaven Or Hell
(2018 - 2020)","(07/08/2018) (ASTROWORLD Hawaii sessions begin)
(03/13/2020) (Heaven Or Hell is released)",,,"Don started working on his debut studio album in July 2018 at the Hawaii sessions for Travis Scott's album ASTROWORLD. ""After Party,"" ""Spaceship,"" and ""Candy"" were recorded in these sessions. ""Slippy Slide"" and ""Clap"" were both cut last-minute, as seen in a whiteboard where the final tracklist is being decided with Mike Dean. On November 24, 2020, a folder named ""Don Toliver Deluxe"" was seen on Mike Dean's computer, but nothing came of it.",,,
,Music Videos,,,,,,,
Heaven Or Hell,After Party,"Directed by White Trash Tyler
Released on Mar 18, 2020",,,Music Video,Full,High-Res,https://www.youtube.com/watch?v=4IahvCIqeOc&ab_channel=DonToliver
Heaven Or Hell,Can't Feel My Legs,"Directed by Kenneth Cappello
Released on Dec 13, 2019",,,Music Video,Full,High-Res,https://www.youtube.com/watch?v=S1GxqV65Tsg&ab_channel=DonToliver
Heaven Or Hell,Cardigan,"Directed by Michelle Parker
Released on May 21, 2020",,,Music Video,Full,High-Res,https://www.youtube.com/watch?v=7WLt74z_TkI&ab_channel=DonToliver
Heaven Or Hell,No Idea,"Directed by Grant Singer
Released on May 29, 2019",,,Music Video,Full,High-Res,https://www.youtube.com/watch?v=_r-nPqWGG6c&ab_channel=DonToliver
Heaven Or Hell,"Jack Gilinsky - My Love
(feat. Don Toliver)","Released on Apr 16, 2020",,,Music Video,Full,High-Res,https://www.youtube.com/watch?v=sxYCUV6ZOHM&ab_channel=JackGilinskyVEVO
Heaven Or Hell,"Travis Scott - OUT WEST
(feat. Young Thug)","Directed by Travis Scott & White Trash Tyler
Don is seen sporadically in the background 
Released on Mar 20, 2020",,,Appearance,Full,High-Res,https://www.youtube.com/watch?v=qAlF70MdfwU&ab_channel=TravisScottVEVO
,Performances,,,,,,,
Heaven Or Hell,The After Hours Tour,"The Weeknd announced on February 21, 2020 that he would be going on tour with Don being one of the openers. The other openers consited of Sabrina Claudio & 88Glam.
The tour never ended up happening however due to the Covid-19 pandemic
",,,Live Performance,Confirmed,Not Available,
