Era,Name,Notes,Length,Release Date,Type,Streaming,Link(s)
LIFE'S A TRIP,"Wish (Trippie Mix)
(with Diplo) (prod. Wyatt Sanders, Boaz van de Beatz & Diplo)",Track 3 on LIFE'S A TRIP.,2:56,"Aug 10, 2018",Album Track,Yes,https://open.spotify.com/track/0c0YHn3DIQLl1opsQDd9kO?si=c07cb81aa4f545fd
LIFE'S A TRIP,"Missing My Idols
(prod. Nik D & OZ)",Track 4 on LIFE'S A TRIP.,2:26,"Aug 10, 2018",Album Track,Yes,https://open.spotify.com/track/51dPQyVG0gSxrgybhR7Pxi?si=7780c3bd2a1341b4
LIFE'S A TRIP,"Forever Ever
(feat. Young Thug & Reese LAFLARE) (prod. G Koop & Murda Beatz)",Track 5 on LIFE'S A TRIP.,3:57,"Aug 10, 2018",Album Track,Yes,https://open.spotify.com/track/4bnq2OQUwACkp2vCEbY52g?si=0f7e33196c1941f1
LIFE'S A TRIP,"Bird Shit
(prod. WE ARE THE STARS & Wheezy)",Track 6 on LIFE'S A TRIP.,3:48,"Aug 10, 2018",Album Track,Yes,https://open.spotify.com/track/6HBzbL6FX6MfvTPCtS51iY?si=ef0a28dc66f54296
LIFE'S A TRIP,"BANG!
(prod. OZ)",Track 7 on LIFE'S A TRIP.,4:43,"Aug 10, 2018",Album Track,Yes,https://open.spotify.com/track/5uPvflN6t4ORihIjTHIQOu?si=5c648dbc395342f0
LIFE'S A TRIP,"Shake It Up
(prod. OZ, Wallis Lane, Angelo Arce & Mia Wallis)",Track 11 on LIFE'S A TRIP.,1:56,"Aug 10, 2018",Album Track,Yes,https://open.spotify.com/track/2bTRpIxPniQmrSgwmtF1b2?si=992a7d05a8914f88
LIFE'S A TRIP,"Oomps Revenge
(prod. BeatPusher)",Track 12 on LIFE'S A TRIP.,2:00,"Aug 10, 2018",Album Track,Yes,https://open.spotify.com/track/5DV3lkwyIYRgAlunraSpOW?si=fbe1591977c3424f
LIFE'S A TRIP,"Gore
(prod. Reske & OZ)",Track 13 on LIFE'S A TRIP.,2:42,"Aug 10, 2018",Album Track,Yes,https://open.spotify.com/track/6Xb2iLlSfxsvOjM3J5y0dD?si=6dd9b94359354880
LIFE'S A TRIP,"Underwater FlyZone
(prod. WE ARE THE STARS)",Track 14 on LIFE'S A TRIP.,5:48,"Aug 10, 2018",Album Track,Yes,https://open.spotify.com/track/6AId2aKm8d23lG0TNMYxwm?si=c4daddbdf092467a
"15 Album Track(s)
1 Single(s)
10 Feature(s)
8 Music Video(s)
0 Other","A Love Letter To You 3
(A.L.L.T.Y. 3)","(Aug 10, 2018) (LIFE'S A TRIP is released)
(Nov 9, 2018) (A Love Letter To You 3 is released)",,,Other,,
A Love Letter To You 3,"Fire Starter [Music Video]
(feat. Emani22) (prod. Tony Trouble & Honorable C.N.O.T.E.)","Official music video for track 2 on A Love Letter To You 3, produced by WAVYLORD",2:41,2018,Other,No,https://www.youtube.com/watch?v=FeMbJGCT3qw
A Love Letter To You 3,"Negative Energy [Music Video]
(feat. Kodie Shane) (prod. Staccato)","Official music video for track 4 on A Love Letter To You 3, directed by @BryceKuhn‬",2:57,2018,Other,No,https://www.youtube.com/watch?v=IahlFGCLKfc
A Love Letter To You 3,"Lil Karay - Facts on Facts
(feat. Trippie Redd & Jae Tea)",Track 1 on Smoove in the Flesh 2.,2:35,"Aug 15, 2018",Feature,Yes,https://open.spotify.com/track/5AWYhgZbK98q3YkMnkOlD6?si=142d9904820a42cb
A Love Letter To You 3,"Lil Yachty - 66 [Music Video]
(feat. Trippie Redd) (prod. DY Krazy & Steve Lean)","Official music video for track 17 on Lil Boat 2, directed by Drew Kirsch, Lil Yachty, and Mihailo Andic, DP being Kai Saul, produced by Kai Saul & Randy Marshall, edited by Glassface, and video commissioner being Kevin Kloecker.",2:34,"Aug 16, 2018",Other,No,https://www.youtube.com/watch?v=4lT-2giDhQg
A Love Letter To You 3,"Lil Yachty - Mood Swings
(feat. Trippie Redd) (prod. Earl on the Beat)",Track 7 on BIRTHDAY MIX 3.,1:36,"Aug 23, 2018",Feature,No,https://soundcloud.com/nolimitszach/lil-yachty-ft-trippie-redd-mood-swings?si=6476eda51fd549ac8ce8bc094d81f643&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
A Love Letter To You 3,"UKA UKA [Music Video]
(prod. OZ)","Official music video for track 10 on LIFE'S A TRIP, shot by Matt Keane, directed by KRStudios.",2:38,"Sep 2, 2018",Other,No,https://www.youtube.com/watch?v=0EBCMC32l-0
A Love Letter To You 3,"Loyalty Before Royalty [Music Video]
(prod. Rex Kudo & OZ)","Official music video to preview track 12 on A Love Letter To You 3, directed by LOUIEKNOWS.",0:59,"Sep 3, 2018",Other,No,https://www.youtube.com/watch?v=WM0slEEJats
A Love Letter To You 3,"Phora - Love Is Hell [Music Video]
(feat. Trippie Redd) (prod. Dee B, Native Beats & ANTHRO)",Official music video for track 1 on Love Is Hell.,4:18,"Sep 8, 2018",Other,No,https://www.youtube.com/watch?v=C8JdpcbxSN0
A Love Letter To You 3,"Phora - Love Is Hell
(feat. Trippie Redd) (prod. Dee B, Native Beats & ANTHRO)",Track 1 on Love Is Hell.,4:18,"Sep 8, 2018",Feature,Yes,https://open.spotify.com/track/2Tn4XArLhjrZEhBKlAle0j?si=bdd581938eb54813
A Love Letter To You 3,"LouGotCash - Too Turnt
(feat. Trippie Redd) (prod. Roofeeo, Federico Vindver & Jahaan Sweet)",Track 5 on Louniversal.,3:27,"Sep 14, 2018",Feature,Yes,https://open.spotify.com/track/7q3bYs8TeyhO033yetvnQJ?si=929dfc28dd8a468e
A Love Letter To You 3,"Youngboy Never Broke Again - Murda
(feat. Trippie Redd) (prod. Louie Bandz & Dubba-AA)",Track 5 on Decided.,3:18,"Sep 21, 2018",Feature,Yes,https://open.spotify.com/track/2CEXhYY4cGmjyTyZJw7Wo0
A Love Letter To You 3,"Kodie Shane - Bass
(feat. Trippie Redd)",Track 6 on Stay Tuned,3:34,"Oct 6, 2018",Feature,Yes,https://open.spotify.com/intl-fr/track/2gSEgzZjJPHAXSyKJSQr9e?si=10b457197adc4da1
A Love Letter To You 3,"Smokepurpp - 50k
(feat. Trippie Redd) (prod. RONNY J)",Released on Firstdraft Music on Youtube.,2:30,"Oct 15, 2018",Feature,No,https://www.youtube.com/watch?v=Uq2TgrH_VOE
A Love Letter To You 3,"Lil Yachty - Forever World
(feat. Trippie Redd) (prod. OZ)","Track 12 on Nuthin' 2 Prove. Samples Faith Evans' 1995 track, ""Soon As I Get Home.""",5:01,"Oct 19, 2018",Feature,Yes,https://open.spotify.com/track/1tKvqOrnJ0zhAuFS6yfNTk?si=d16a8e5648f04b11
A Love Letter To You 3,"Topanga
(prod. Chopsquad DJ)",Track 1 on A Love Letter To You 3. The lead single of the project.,3:35,"Oct 22, 2018",Single,Yes,https://open.spotify.com/track/1Am3fwJi1NF1sD2McZfVWi?si=3d250ad3e1814b34
A Love Letter To You 3,"Black Magic [Music Video]
(prod. Ricky P)",Official music video for track 1 on TR666+!$ 1400/800.,2:27,"Oct 26, 2018",Other,No,https://www.youtube.com/watch?v=s09D3mYrX-0
A Love Letter To You 3,"Tory Lanez - FeRRis WhEEL
(feat. Trippie Redd) (prod. Dez Wright & OZ)",Track 8 on LoVE me NOw.,2:31,"Oct 26, 2018",Feature,Yes,https://open.spotify.com/track/0Z1nbG2KOuRKntstSAkSox?si=93a9f73a44bd4d86
A Love Letter To You 3,"Joji - R.I.P.
(feat. Trippie Redd) (prod. Ryan Hemsworth & Joji)",Track 10 on BALLADS 1.,2:38,"Oct 26, 2018",Feature,Yes,https://open.spotify.com/track/4HKWrGhNxub4PTLg5CM5fW?si=b64db67906d94e5f
A Love Letter To You 3,"Topanga [Music Video]
(prod. Chopsquad DJ)","Official music video for track 1 on A Love Letter To You 3, directed by Kenneth Cappello",3:42,"Oct 30, 2018",Other,No,https://www.youtube.com/watch?v=qE4Z0KfzpE8
A Love Letter To You 3,"Fire Starter
(feat. Emani22) (prod. Tony Trouble & Honorable C.N.O.T.E.)",Track 2 on A Love Letter To You 3.,2:37,"Nov 9, 2018",Album Track,Yes,https://open.spotify.com/track/6hbXRJsagTP8vDmz5e0U0b?si=a7ff93ceb18c4121
A Love Letter To You 3,"Toxic Waste
(prod. King Henry & Diplo)",Track 3 on A Love Letter To You 3.,2:53,"Nov 9, 2018",Album Track,Yes,https://open.spotify.com/track/4ylaCRU4F6m0icStoTeX35?si=bf8a4d01cfb245f2
A Love Letter To You 3,"Negative Energy
(feat. Kodie Shane) (prod. Staccato)",Track 4 on A Love Letter To You 3.,2:58,"Nov 9, 2018",Album Track,Yes,https://open.spotify.com/track/5OvxVXpGfp2rKQ3X0CqcIr?si=490b97f05f5245cb
A Love Letter To You 3,"Can't Love
(prod. OZ)",Track 5 on A Love Letter To You 3.,2:49,"Nov 9, 2018",Album Track,Yes,https://open.spotify.com/track/1iZg40RiFZNlX52QDlf9oz?si=518be3e885d1485d
A Love Letter To You 3,"Love Scars 3
(prod. Reske & OZ)",Track 6 on A Love Letter To You 3.,2:09,"Nov 9, 2018",Album Track,Yes,https://open.spotify.com/track/1gAxoOzwsjcxmluS0Fjjd8?si=036b153a9fba4a6b
A Love Letter To You 3,"A.L.L.T.Y. 3
(feat. Baby Goth) (prod. Dez Wright & OZ)",Track 7 on A Love Letter To You 3.,3:00,"Nov 9, 2018",Album Track,Yes,https://open.spotify.com/track/5pEp4XIoJminFDCAfmqdY5?si=401a8ad94d8d40c8
A Love Letter To You 3,"Emani Interlude
(feat. Emani22) (prod. Tariq Beats, Foreign Teck & OZ)",Track 8 on A Love Letter To You 3.,1:36,"Nov 9, 2018",Album Track,Yes,https://open.spotify.com/track/2zPjy2qSgfQPBcdBztVmMe?si=c628df5a3a2648f2
A Love Letter To You 3,"Elevate & Motivate
(feat. YoungBoy Never Broke Again & Nel-Denarro) (prod. Kris Chordz & OZ)",Track 9 on A Love Letter To You 3.,3:41,"Nov 9, 2018",Album Track,Yes,https://open.spotify.com/track/5nkOddmGK5TxAi4voMVbdq?si=2c51b73c3f5f4959
A Love Letter To You 3,"I Tried Loving
(prod. Icon South)",Track 10 on A Love Letter To You 3.,3:13,"Nov 9, 2018",Album Track,Yes,https://open.spotify.com/track/2vgZx9rE4a3fqG6Y7jFYMC?si=bd086201cd1b4d10
A Love Letter To You 3,"Wicked
(prod. OZ)",Track 11 on A Love Letter To You 3.,2:18,"Nov 9, 2018",Album Track,Yes,https://open.spotify.com/track/5mFnYgPkEpr2eoMqvSOXQe?si=71629dac8b8f4e40
A Love Letter To You 3,"Loyalty Before Royalty
(prod. Rex Kudo & OZ)",Track 12 on A Love Letter To You 3.,2:22,"Nov 9, 2018",Album Track,Yes,https://open.spotify.com/track/3smqlcU3WHhzAKNbfFRi3w?si=b2d82965946e4a15
A Love Letter To You 3,"1400 / 999 Freestyle
(feat. Juice WRLD) (prod. Cujo, Pas Beatz & OZ)",Track 13 on A Love Letter To You 3. The song was originally leaked before the album.,2:55,"Nov 9, 2018",Album Track,Yes,https://open.spotify.com/track/0axBgt9y0GvMCLuRl2xBKG?si=c10b19a2e9c747e0
A Love Letter To You 3,"So Alive
(prod. Racer Nellzz & Goose the Guru)",Track 14 on A Love Letter To You 3.,1:59,"Nov 9, 2018",Album Track,Yes,https://open.spotify.com/track/79n6uVxSuaMAcjXsmi0CUq?si=02f2d37e88554ba6
A Love Letter To You 3,"Diamond Minds
(feat. Tory Lanez & Elliott Trent) (prod. 808-H & Elliott Trent)",Track 15 on A Love Letter To You 3.,3:05,"Nov 9, 2018",Album Track,Yes,https://open.spotify.com/track/7sqcrlmJ8HKF34QYCQkVi6?si=d41976456dd04948
A Love Letter To You 3,"Camp Fire Tale
(prod. WE ARE THE STARS)",Track 16 on A Love Letter To You 3.,2:29,"Nov 9, 2018",Album Track,Yes,https://open.spotify.com/track/2VYJxyUCmbObni5GZeHrJX?si=ac533c9a510c43b9
"17 Album Track(s)
0 Single(s)
12 Feature(s)
4 Music Video(s)
1 Other",Old Self,"(Nov 9, 2018) (A Love Letter To You 3 is released)
(Feb 28, 2019) (Old Self is released)",,,Other,,
Old Self,"Baby Goth - Swimming
(feat. Trippie Redd & Lil Xan) (prod. Wallis Lane & DJ Fu)",Track 2 on Baby Goth.,3:18,"Nov 30, 2018",Feature,Yes,https://open.spotify.com/track/16g4ZLTaLb3CIPypMEod31?si=4e4a3168fdb5483a
Old Self,"Chris King - Evil Kunevil
(feat. Trippie Redd) (prod. DP Beats)",Track 6 on SNOT FRIDAY.,2:10,"Dec 1, 2018",Feature,Yes,https://open.spotify.com/track/0UBNqsemMUVkhxZDrzqv9o?si=dffbdce9e3d24d4d
Old Self,"Lil Keed - Red Hot
(feat. Trippie Redd) (prod. M-80)",Track 6 on Keed Talk To 'Em.,3:18,"Dec 12, 2018",Feature,Yes,https://open.spotify.com/track/596cvRw6BN7MehWwoW9Jfm?si=f4156b4373954796
Old Self,"Shootem Up - Ms. Butterworth
(feat. Trippie Redd & Lil Keed) (prod. Jaylon The Producer)",Track 7 on Disappointed.,3:55,"Dec 14, 2018",Feature,No,https://pillows.su/f/01cb6d8f3e1a2286d10d4a5aba618bba
Old Self,"What's My Name? [Music Video]
(prod. OZ)","Released on YouTube via Trippie Redd, directed by WAVYLORD.",1:59,"Dec 25, 2018",Other,No,https://www.youtube.com/watch?v=A-ExzsVbCUg&pp=ygUbd2hhdCdzIG15IG5hbWUgdHJpcHBpZSByZWRk
Old Self,"10k.Caash - Larry Lobster
(feat. Trippie Redd & GUN40) (prod. FKi 1st)",Track 2 on Ho Ho Ho.,1:21,"Dec 25, 2018",Feature,No,https://soundcloud.com/user-586201819/10k-cash-ft-trippie-redd-gun-larry-lobster?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Old Self,"Gway - Right Here
(feat. Trippie Redd & TTO K.T.)","Track 4 on 50 Shades Of Gway. Credits under ""Trippie Red"" 😭",3:27,"Dec 25, 2018",Feature,Yes,https://open.spotify.com/track/5IaiVF10LjTNlVMNerYVdk?si=049a2536d9134b10
Old Self,"Kvng Shad - Fuck The Other Side
(feat. Trippie Redd) (prod. 1040)",Released on Kvng Shad's SoundCloud,3:26,"Dec 28, 2018",Feature,No,https://soundcloud.com/kvng-shad-277278794/fuck-the-other-side-feat-kvng-shad-trippie-redd
Old Self,"Major Zoe - You a Lame
(feat. Trippie Redd) (prod. Brandon Ritter)",Track 4 on 1804.,2:27,"Dec 30, 2018",Feature,Yes,https://open.spotify.com/track/1rgtxl0KSB7wV7aTzK4NiF?si=deef77bb85a44f95
Old Self,"Sunny 2point0 - Man Down [Music Video]
(feat. Trippie Redd) (prod. 888)","Released on the WORLDSTARHIPHOP YouTube channel, shot by Matt Keane and edited by brickprod.",2:20,"Jan 1, 2019",Other,No,https://www.youtube.com/watch?v=xwGWtw6KQhI
Old Self,"Fedez - Che cazzo ridi
(feat. Trippie Redd & Tedua) (prod. Michele Canova)",Track 4 on Paranoia Airlines.,3:36,"Jan. 4, 2019",Feature,Yes,https://open.spotify.com/track/7GeC7Nb58zsPnlFSfF0HZU?si=7b6de5392c4245da
Old Self,"Tory Lanez - FeRRis WhEEL [Music Video]
(feat. Trippie Redd) (prod. Dez Wright & OZ)","Official music video for track 8 on LoVE me NOw, directed by Tory Lanez & Joshua “Mid Jordan” Farias",2:35,"Jan 15, 2019",Other,No,https://www.youtube.com/watch?v=23WAkmi7PBo
Old Self,"Coi Leray - Big Dawgs
(feat. Trippie Redd) (prod. Martianonthebeat & EmDotWhoosh)",Track 6 on EC2.,2:41,"Jan 18, 2019",Feature,Yes,https://open.spotify.com/track/7oUKw1urKfCeDfRir0483R?si=b55be63a61eb4767
Old Self,"Wiz Khalifa - Alright
(feat. Trippie Redd & Preme) (prod. Wallis Lane & Foreign Teck)",Febuary 2019 feature.,2:57,"Feb 1, 2019",Feature,Yes,https://open.spotify.com/track/3k9vMJ09zyVP3N2pi8Yzj0?si=9385979284c9444b
Old Self,"Emani22 - Inside
(feat. Trippie Redd) (prod. Staccato)",Febuary 2019 feature.,2:42,"Feb 5, 2019",Feature,No,https://soundcloud.com/emani_22/inside-ft-trippie-redd?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Old Self,"TIME TO DIE [Music Video]
(feat. FreeMoney800) (prod. Chopsquad DJ)
(Time Difference)","Released on YouTube via Trippie Redd, directed by LOUIEKNOWS",3:00,"Feb 17, 2019",Other,No,https://www.youtube.com/watch?v=3aPmfFmgD44
Old Self,"TIME TO DIE
(feat. FreeMoney800) (prod. Chopsquad DJ)
(Time Difference)",Released on YouTube via Trippie Redd.,3:00,"Feb 17, 2019",Other,No,https://www.youtube.com/watch?v=634YsK4vLCc&pp=ygUTdGltZSB0byBkaWUgdHJpcHBpZQ%3D%3D
Old Self,"Super Sayin 14
(prod. 808-H)",Track 1 on Old Self. Posted on Soundcloud by hnzrhunter.,2:59,"Feb 28, 2019",Album Track,No,https://soundcloud.com/trippieredd/super-sayin-14?in=trippieredd/sets/yenom&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Old Self,"Careless Vibes
(feat. Hendoo) (prod. ICYTWAT)
(Hate)",Track 2 on Old Self. Posted on Soundcloud by hnzrhunter.,2:06,"Feb 28, 2019",Album Track,No,https://soundcloud.com/trippieredd/careless-vibes-ft-hendoo-1?in=trippieredd/sets/yenom&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Old Self,"Real
(feat. Skynny Blu3) (prod. 808-H)
(Old Self, Real Nigga Tactics)",Track 3 on Old Self. Posted on Soundcloud by hnzrhunter.,3:32,"Feb 28, 2019",Album Track,No,https://soundcloud.com/trippieredd/real-ft-skynny-blu3?in=trippieredd/sets/yenom&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Old Self,"Lithium
(prod. 808-H)
(Hope It Ain't Too Late)",Track 4 on Old Self. Posted on Soundcloud by hnzrhunter.,2:39,"Feb 28, 2019",Album Track,No,https://soundcloud.com/trippieredd/lithium?in=trippieredd/sets/yenom&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Old Self,"FUCK NIGGA
(feat. Kodie Shane) (prod. Pi’erre Bourne)",Track 5 on Old Self. Posted on Soundcloud by hnzrhunter.,3:37,"Feb 28, 2019",Album Track,No,https://soundcloud.com/trippieredd/fuck-nigga-ft-kodie-shane-produce-by-pierre-bourne?in=trippieredd/sets/yenom&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Old Self,"DRUGGY
(feat. TTO K.T.) (prod. Vance Burdge)",Track 6 on Old Self. Posted on Soundcloud by hnzrhunter.,3:11,"Feb 28, 2019",Album Track,No,https://mega.nz/file/InUiiCTL#RL87LXivsmW3Z5TGANDwj3qnetVr133uyoarJPKIqdo
Old Self,"Trench Dweller
(prod. ???)",Track 7 on Old Self. Posted on Soundcloud by hnzrhunter.,3:22,"Feb 28, 2019",Album Track,No,https://soundcloud.com/trippieredd/trench-dweller?in=trippieredd/sets/yenom&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Old Self,"Love Is Dead
(prod. Clams Casino)",Track 8 on Old Self. Posted on Soundcloud by hnzrhunter.,2:31,"Feb 28, 2019",Album Track,No,https://soundcloud.com/trippieredd/love-is-dead?in=trippieredd/sets/yenom&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Old Self,"2014 Freestyle
(prod. Soulmuzik Tracks & Rareflower)",Track 9 on Old Self. Posted on Soundcloud by hnzrhunter.,2:20,"Feb 28, 2019",Album Track,No,https://soundcloud.com/trippieredd/2014-freestyle?in=trippieredd/sets/yenom&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Old Self,"I'm Rich !
(prod. Pi’erre Bourne)",Track 10 on Old Self. Posted on Soundcloud by hnzrhunter.,1:36,"Feb 28, 2019",Album Track,No,https://soundcloud.com/trippieredd/im-rich-produced-by-pierre-bourne?in=trippieredd/sets/yenom&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Old Self,"APPLY THE PRESSURE
(feat. TTO K.T.) (prod. Swang & Vance Burdge)",Track 11 on Old Self. Posted on Soundcloud by hnzrhunter.,3:20,"Feb 28, 2019",Album Track,No,https://soundcloud.com/trippieredd/apply-the-pressure-ft-tto-kt?in=trippieredd/sets/yenom&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Old Self,"Pull Up On You
(feat. Rasta Papii) (prod. Rasta Papii)",Track 12 on Old Self. Posted on Soundcloud by hnzrhunter.,4:12,"Feb 28, 2019",Album Track,No,https://soundcloud.com/trippieredd/pull-up-on-you-ft-rasta-papii?in=trippieredd/sets/yenom&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Old Self,"HOT BOYS
(feat. Lil Twist & Fooly Faime) (prod. Lil Twist)",Track 13 on Old Self. Posted on Soundcloud by hnzrhunter.,3:15,"Feb 28, 2019",Album Track,No,https://mega.nz/file/038xmJTY#-UrDljJR6n6DGsJR32nk9Ewvti3dRJUm9981PabDQAo
Old Self,"Beat It
(prod. Elliott Trent)",Track 14 on Old Self.,3:01,"Feb 28, 2019",Album Track,No,https://mega.nz/file/Y2tE2AIB#z9rYi5LhoNtNFhjw7hRHQk7hObFbQYv1HS0gKx4flAo
Old Self,"Superman
(feat. Major Zoe) (prod. 808-H)",Track 15 on Old Self.,2:34,"Feb 28, 2019",Album Track,No,https://mega.nz/file/l2cBXToT#ZeXUGV4q29-mo-LVVYEB0UbHZ_2e8OZsA1tbdCCeaGo
Old Self,"Way Home
(feat. Bobby Biz & Major Zoe) (prod. AKATrae)",Track 16 on Old Self.,3:27,"Feb 28, 2019",Album Track,No,https://soundcloud.com/trippieredd/way-home-ft-major-zoe-bobby-biz?in=trippieredd/sets/yenom&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Old Self,"1400/Zoe Gang
(feat. Major Zoe) (prod. 808-H)
(Turn Me Up)",Track 17 on Old Self.,3:00,"Feb 28, 2019",Album Track,No,https://mega.nz/file/EzNGhKTS#Fxi39OHXwBjU63QT5TaT058rRpnmZ-pvfyVhzPDpnLU
"12 Album Track(s)
2 Single(s)
7 Feature(s)
7 Music Video(s)
1 Other","!
(Exclamation Mark, Immortal, Mobile Pussy Suit, Neon Shark V1)","(Feb 28, 2019) (Old Self is released)
(Aug 9, 2019) (Exclamation Mark is released)",,,Other,,
!,"Chris King - S P E E D R A C i N G !
(feat. Trippie Redd) (prod. MTK & Hammad Beats)",Track 6 on LUCK OF THE SNOTTY.,2:44,"Mar 27, 2019",Feature,Yes,https://open.spotify.com/track/0BEsGtB7kay1JA2sW1f5zL?si=9b9e1ace477b43c8
!,"Chris King - STUCK IN MY WAYS
(feat. Trippie Redd)",Track 2 on LUCK OF THE SNOTTY.,1:58,"Mar 27, 2019",Feature,Yes,https://open.spotify.com/track/6ovvxxL6XLyMzsLhHpMcgc?si=fb7333c4b00940c2
!,"Murder [Music Video]
(prod. Jackwiththemac)","Released on YouTube via Trippie Redd, directed by Gxdlike.",2:39,"Apr 3, 2019",Other,No,https://www.youtube.com/watch?v=pDGTJyicN6E
!,"Wiz Khalifa - Alright [Music Video]
(feat. Trippie Redd & Preme) (prod. Wallis Lane & Foreign Teck)","Released on YouTube via Wiz Khalifa, directed by Cam Busby, produced by Aiden Magarian.",2:57,"May 1, 2019",Other,No,https://www.youtube.com/watch?v=ctTeJRAW_yE
!,"Oomps Revenge [Music Video]
(prod. BeatPusher)","Official music video for track 12 on LIFE'S A TRIP, shot by Matt Keane and released on his channel.",2:02,"May 28, 2019",Other,No,https://www.youtube.com/watch?v=-jIut3jT9QY
!,"Under Enemy Arms
(prod. MTK & Hammad Beats)",Track 12 on Exclamation Mark. The lead single of the project.,2:42,"May 29, 2019",Single,Yes,https://open.spotify.com/track/6JATJXM3NhEpgvnGJKLQLo?si=5c85281609a5458d
!,"Under Enemy Arms [Music Video]
(prod. MTK & Hammad Beats)","Official music video for track 12 on !, directed by Christian Breslauer.",2:42,"May 31, 2019",Other,No,https://www.youtube.com/watch?v=b11Yos5HmYA
!,"OG Maco - Built For It
(feat. Trippie Redd & UnoTheActivist) (prod. BLVCK DOLPHIN)",June 2019 feature.,3:52,"Jun 14, 2019",Feature,Yes,https://open.spotify.com/track/2fsWdkbLhHW4ddmw5XxPj3?si=e077a4fef79f4967
!,"Icky Vicky [Music Video]
(feat. Rich The Kid) (prod. Guttaceo, Kacey Khaliel & 12Hunna)","The song was officially released the June 25, 2019, alongside with a music video.",2:15,"Jun 25, 2019",Other,No,https://www.youtube.com/watch?v=6nEgIgmiIBU
!,"Dark Knight Dummo [Orchestra Live Version]
(prod. John Cleary, Matt Compo, Jon Brick, The Velveteen Ensemble & David Slitzky)","Live orchestra version of ""Dark Knight Dummo"", recorded through Audiomack’s Trap Symphony.",4:19,"Jun 27, 2019",Other,No,https://www.youtube.com/watch?v=cSt8_reXpds&pp=ygUWdHJpcHBpZSByZWRkIG9yY2hlc3RyYQ%3D%3D
!,"Under Ennemy Arms [Orchestra Live Version]
(prod. John Cleary, Matt Compo, Jon Brick, The Velveteen Ensemble & David Slitzky)","Live orchestra version of ""Under Ennemy Arms"", recorded through Audiomack’s Trap Symphony.",2:51,"Jun 27, 2019",Other,No,https://www.youtube.com/watch?v=qkudobQAyLE&pp=ygUWdHJpcHBpZSByZWRkIG9yY2hlc3RyYQ%3D%3D
!,"Wish [Orchestra Live Version]
(prod. John Cleary, Matt Compo, Jon Brick, The Velveteen Ensemble & David Slitzky)","Live orchestra version of ""Wish"", recorded through Audiomack’s Trap Symphony.",3:01,"Jun 27, 2019",Other,No,https://www.youtube.com/watch?v=zOdKS_ayMyM&pp=ygUWdHJpcHBpZSByZWRkIG9yY2hlc3RyYQ%3D%3D
!,"iann dior - gone girl
(feat. Trippie Redd) (prod. Pearl Lion, Pharaoh Vice & Nick Mira)",Track 3 on Industry Plant.,2:16,"Jul 4, 2019",Feature,Yes,https://open.spotify.com/track/7wy1pCS4yuTvTak1b6DD3C?si=eaa24c2971bc4346
!,"mgk - Candy
(feat. Trippie Redd) (prod. TBHits & Anton Göransson)",Track 11 on Hotel Diablo.,2:36,"Jul 5, 2019",Feature,Yes,https://open.spotify.com/track/37AGgp9VP8TVJBfEat74Bj?si=6a4bf7726f974ad4
!,"A1Billionaire - Holes in the Cement
(feat. Trippie Redd) (prod. Andre)",Track 5 on RED SABBATH.,3:06,"Jul 7, 2019",Feature,Yes,https://open.spotify.com/track/0iwgYhC41skxmjGkCSCcIN?si=7728c272998e4191
!,6:14 AM In Switzerland,Uploaded to IGTV.,1:29,"Jul 8, 2019",Other,No,https://soundcloud.com/giwbgiwb/trippie-614am
!,"mgk - Candy [Music Video]
(feat. Trippie Redd) (prod. TBHits & Anton Göransson)","Official music video for rack 11 on Hotel Diablo with a guest appearance from Pete Davidson, directed by Miles & AJ, produced by SixTwentySix Productions, exectutive producers being Austin Barbera, Jake Krask and Jen Herrera, line producer being Kai Yuricich, DP being Geoffrey Taylor, and commissioner being Vincenza Conticchio.",3:39,"Jul 9, 2019",Other,No,https://www.youtube.com/watch?v=z7kYa5GQYKg
!,"Mac 10
(feat. Lil Baby & Lil Duke) (prod. Bobby Raps & Wheezy)",Track 10 on Exclamation Mark. The second single of the project.,2:07,"Jul, 24, 2019",Single,Yes,https://open.spotify.com/track/7vanOPJ8GpUOxgqzAU2Tuu?si=38c79bad64134986
!,"Mac 10 [Music Video]
(feat. Lil Baby & Lil Duke) (prod. Bobby Raps & Wheezy)","Official music video for track 10 on !, shot by Logan Meis, produced by Momma's Boy in association with 10k Projects.",2:22,"Jul 24, 2019",Other,No,https://www.youtube.com/watch?v=rHp3OdBZTqs
