Era,Name,Notes,Length,Release Date,Type,Streaming,Link(s)
Beast Mode ++++,"HEARTBREAK-14
(prod. Pi'erre Bourne & Rasta Papii)",Track 5 on Beast Mode ++++.,2:24,"Oct 17, 2016",Album Track,No,https://soundcloud.com/trippie-hippie-2/heartbreak-14?in=trippie-hippie-2/sets/beast-mode&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Beast Mode ++++,"Lil Wop - Trap
(feat. Trippie Redd) (prod. Savage & SEGA)",Track 9 on Wopster the Mixtape.,2:56,"Oct 21, 2016",Feature,No,https://www.youtube.com/watch?v=oPlHKPbtURM
Beast Mode ++++,"Lil Wop - Future Hendrix
(feat. Trippie Redd) (prod. DaCokePitcher)",Track 11 on Wopster the Mixtape.,3:47,"Oct 21, 2016",Feature,No,https://soundcloud.com/lilwop17/lilwop-17-ft-trippieredd-prodby-dacokepitcha?in=lilwop17/sets/wopster-the-mixtape&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Beast Mode ++++,"1400 Gang/Qs & Ps [Music Video]
(prod. Pi'erre Bourne)","Official music video for track 1 on Beast Mode ++++, shot by Drew Got'em.",2:23,2016,Other,No,https://www.youtube.com/watch?v=s1I0b70hAk4
Beast Mode ++++,"Young Wild Boys [Music Video]
(prod. Pi'erre Bourne)",Official music video for track 2 on Beast Mode ++++.,2:56,2016,Other,No,https://www.youtube.com/watch?v=R61EP2t6_e4
"7 Album Track(s)
0 Single(s)
2 Feature(s)
0 Music Video(s)
0 Other",Rock The World Trippie (xxxxx),"(Oct 17, 2016) (Beast Mode ++++ is released)
(Nov 13, 2016) (Rock The World Trippie (xxxxx) is released)",,,Other,,
Rock The World Trippie (xxxxx),"Lost Tribe - I'ma Dog
(feat. Trippie Redd & Lil Wop) (prod. Quattro Mac)
(Dirty Real)",Uploaded on Quattro Mac's SoundCloud.,3:25,2016,Feature,No,https://soundcloud.com/quattromac/trippie-redd-ima-dog-ft-lost-tribe-lil-wop-1017-prod-by-quattro-mac
Rock The World Trippie (xxxxx),"Fijimacintosh - Rolling Stone
(feat. Trippie Redd) (prod. Adam Gantt)",Fijimacintosh and Trippie's earliest known collaboration.,2:23,"Oct 23, 2016",Feature,No,https://www.youtube.com/watch?v=N0opj1zNR30
Rock The World Trippie (xxxxx),"Gave her soul away
(feat. Lil Wop & Jerome Milly) (prod. GamerBoomin & Nikko Bunkin)",Track 1 on Rock The World Trippie (xxxxx) and re-released as track 1 on Angels & Demons without Jerome Milly's feature.,3:32,"Nov 13, 2016",Album Track,No,https://soundcloud.com/trippie-hippie-2/gave-her-soul-away?in=charles-riveroll/sets/rock-the-world-trippie&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Rock The World Trippie (xxxxx),"Dead or Alive
(prod. Elliott Trent)",Track 2 on Rock The World Trippie (xxxxx).,4:10,"Nov 13, 2016",Album Track,No,https://soundcloud.com/trippie-hippie-2/doa?in=charles-riveroll/sets/rock-the-world-trippie&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Rock The World Trippie (xxxxx),"The New Jay z (Im just chilling baby)
(prod. Elliott Trent)",Track 3 on Rock The World Trippie (xxxxx).,2:51,"Nov 13, 2016",Album Track,No,https://soundcloud.com/trippie-hippie-2/the-new-jay-z?in=charles-riveroll/sets/rock-the-world-trippie&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Rock The World Trippie (xxxxx),"Its OK (okok xxxxx)
(feat. T-Wayne) (prod. Yung Lan)",Track 4 on Rock The World Trippie (xxxxx).,3:19,"Nov 13, 2016",Album Track,No,https://soundcloud.com/trippie-hippie-2/trippie-t-wayne-its-ok-okok-xxxxx?in=charles-riveroll/sets/rock-the-world-trippie&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Rock The World Trippie (xxxxx),".+NO TIME+ +++ High Steez
(feat. Elliott Trent) (prod. Nikko Bunkin)",Track 5 on Rock The World Trippie (xxxxx).,3:10,"Nov 13, 2016",Album Track,No,https://soundcloud.com/charles-riveroll/trippie-redd-no-time-high?in=charles-riveroll/sets/rock-the-world-trippie&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Rock The World Trippie (xxxxx),Low life/Rockstar Pt. 2,Track 6 on Rock The World Trippie (xxxxx). This song is not avaliable on his offical soundcloud.,2:55,"Nov 13, 2016",Album Track,No,https://soundcloud.com/user-498464241-251853484/trippie-redd-low-life-rockstar-pt-2-prodsbeatz?in=charles-riveroll/sets/rock-the-world-trippie&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Rock The World Trippie (xxxxx),"Lone WareWolf (Enemies)
(feat. Lil Wop) (prod. Kaine Solo)",Track 7 on Rock The World Trippie (xxxxx).,2:33,"Nov 13, 2016",Album Track,No,https://soundcloud.com/trippie-hippie-2/lonewolf?in=charles-riveroll/sets/rock-the-world-trippie&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
"5 Album Track(s)
3 Single(s)
1 Feature(s)
0 Music Video(s)
0 Other",White Room Project,"(Nov 13, 2016) (Rock The World Trippie (xxxxx) is released)
(Jan 18, 2017) (White Room Project is released)",,,Other,,
White Room Project,"Love Scars/You hurt me
(prod. Elliott Trent)
(Love Scars)","Trippie's breakout single, track 6 on White Room Project and track 1 on A Love Letter To You.",2:24,"Nov 24, 2016",Single,No,https://soundcloud.com/trippie-hippie-2/love-scars?in=trippie-hippie-2/sets/white-room-project&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
White Room Project,"TTO K.T. - Doin my thang
(feat. Trippie Redd) (prod. AyeyoQueBeats)",Track 7 on All The Time EP,3:25,"Dec 1, 2016",Feature,No,https://soundcloud.com/ttokt/doin-my-thang-ft-trippie-redd-prod-ayeyoque
White Room Project,"Love and Drugs
(feat. Kodie Shane) (prod. 808-H)",A single before the release of White Room Project,2:00,"Dec 9, 2016",Single,No,https://soundcloud.com/trippie-hippie-2/love-and-drugs?in=ruth-leyva/sets/bizzy
White Room Project,"Trap Star [Big-14] freestyle 1400 1400 1400
(prod. Eksay)",Track 7 on White Room Project.,3:14,"Dec 17, 2016",Single,No,https://soundcloud.com/trippie-hippie-2/trap-star?in=trippie-hippie-2/sets/white-room-project&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
White Room Project,"Way on
(prod. 808-H)",Track 1 on White Room Project.,2:28,"Jan 18, 2017",Album Track,No,https://soundcloud.com/trippie-hippie-2/way-on?in=trippie-hippie-2/sets/white-room-project&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
White Room Project,"Long Way Home From Mars!
(prod. Elliott Trent)",Track 2 on White Room Project.,2:56,"Jan 18, 2017",Album Track,No,https://soundcloud.com/trippie-hippie-2/long-way-home-from-mars?in=trippie-hippie-2/sets/white-room-project&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
White Room Project,"Triple Double
(prod. 808-H)",Track 3 on White Room Project.,3:16,"Jan 18, 2017",Album Track,No,https://soundcloud.com/trippie-hippie-2/triple-double?in=trippie-hippie-2/sets/white-room-project&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
White Room Project,"Purple Vibes [UNKOWWWWWN1400]
(feat. TTO K.T.) (prod. 808-H)",Track 4 on White Room Project.,2:13,"Jan 18, 2017",Album Track,No,https://soundcloud.com/trippie-hippie-2/purple-vibes?in=trippie-hippie-2/sets/white-room-project&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
White Room Project,"Hurt to the Bone
(prod. 808-H)",Track 5 on White Room Project.,2:36,"Jan 18, 2017",Album Track,No,https://soundcloud.com/trippie-hippie-2/hurt-to-the-bone?in=trippie-hippie-2/sets/white-room-project&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
"6 Album Track(s)
5 Single(s)
5 Feature(s)
4 Music Video(s)
0 Other",A Love Letter To You,"(Jan 18, 2017) (White Room Project is released)
(May 12, 2017) (A Love Letter To You is released)",,,Other,,
A Love Letter To You,"Trap Star [Big-14] freestyle 1400 1400 1400 [Music Video]
(prod. Eksay)","Official music video for track 7 on White Room Project, shot by Drew Got'em.",3:16,"Feb 7, 2017",Other,No,https://www.youtube.com/watch?v=1kgChdfY2BY
A Love Letter To You,"Stoves on 14th
(feat. Black Jezuss) (prod. Elf)",Track 9 on A Love Letter To You. The lead single for the project.,2:20,"Mar 2, 2017",Single,Yes,https://open.spotify.com/track/6GgFab0fIne7mWv0dVDUwj?si=7a53e33ea88540f6
A Love Letter To You,"Drew Got'em - Get Lit / Good Lick
(feat. Trippie Redd)",2017 feature.,3:26,"Mar 21, 2017",Feature,No,https://soundcloud.com/wgpwdg/trippie-redd-drew-gotem-get-litgood-lick
A Love Letter To You,"Love Scars Pt. 2/Rack City
(feat. Antonia & Chris King) (prod. DJ Flippp & 12Hunna)",Track 2 on A Love Letter To You.,2:35,"Mar 22, 2017",Single,Yes,https://open.spotify.com/track/4Hmzj2EdzewmfORtJZhNnV?si=0925dd9f120c499f
A Love Letter To You,"Black Jezuss - STOMP
(feat. Trippie Redd)",2017 feature.,3:07,"Mar 26, 2017",Feature,Yes,https://open.spotify.com/track/3zvmlsK3SeBfMeHhw2uFVj?si=281d05e999af4be1
A Love Letter To You,"Lost Tribe - I'ma Dog
(feat. Trippie Redd & Lil Wop) (prod. Quattro Mac)",2017 feature.,3:25,"Mar 30, 2017",Feature,No,https://soundcloud.com/quattromac/trippie-redd-ima-dog-ft-lost-tribe-lil-wop-1017-prod-by-quattro-mac?in=noqoylx1etim%2Fsets%2Frfqcaeh25tfx
A Love Letter To You,"Lil Twist - Gotta Be Crazy
(feat. Jazz Lazer & Trippie Redd) (prod. Fuego)",Track 5 on Lil Twist's mixtape Young Carter.,4:04,"Apr 12, 2017",Feature,No,https://soundcloud.com/liltwist/5-gotta-be-crazy-ft-jaz-lazar?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
A Love Letter To You,"No Smoke No Smoke 1400 B.C. / Sauce [Music Video]
(feat. Pachino) (prod. Elf)","Official music video for track 8 on A Love Letter To You, shot by rwfilmss.",2:39,"Apr 14, 2017",Other,No,https://www.youtube.com/watch?v=mCFu5qe5ozA
A Love Letter To You,"No Smoke No Smoke 1400 B.C. / Sauce
(feat. Pachino) (prod. Elf)",Track 8 on A Love Letter To You. The second single for the project.,2:27,"Apr 16, 2017",Single,Yes,https://open.spotify.com/track/0ePSE4Q9C89DCqB4py1Ksb?si=c986321b5c314f5b
