Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
LIVE LOVE LAUGH DIE,"SUPER TSUNAMI
(prod. Wheezy)
(TRIP W, Worried Bout It)","OG Filename: TRIP SUPER TSUNAMI COI HOUSE 9-11
Alt OG Filename: TRIP W
The snippet surfaced on October 5, 2025, from the Pop The Bean GB. Recorded at Coi's house, so probably around the time Double M Gang was made. The song then leaked on March 4, 2026 via Mudboys. The real OG File surfaced on March 20, 2026, via Tookin.",2:12,"Sep 11, 2024","Mar 20, 2026",OG File,High Quality,https://pillows.su/f/363a866ce07cc00b87bfc3b8f4624e16
NDA,"Fuck Is We Doing
(feat. Ty Dolla $ign)","OG Filename: Fuck Is We Doing VERSE
Unheard song leaked on March 19, 2026 via @lufc_fan_4.life, @franold, @ohmybosh, @6.ftw & @stamper14.",1:40,"Apr 26, 2025","Mar 19, 2026",OG File,High Quality,https://pillows.su/f/c6f2bb2e1c23f56d85d8d003579bd9a8
NDA,Chanel*,"The snippet was previewed by Trippie on a now deleted Instagram post from March 19, 2026.",N/A,N/A,"Mar 19, 2026",Snippet,Low Quality,https://imgur.gg/f/704j2fb
A Love Letter To You 4 (Deluxe),"Sunny 2point0 - Momma Sad
(feat. Trippie Redd, Lil Duke & Lil Keed)
(Mama Sad)","OG Filename: Momma Sad YSL
The OG File for ""Mama Sad"" by Sunny 2point0 featuring Trippie Redd, Lil Duke and Lil Keed.",3:47,2019,"Mar 18, 2026",OG File,CD Quality,https://pillows.su/f/107d2278233e07713d7f35293adf2dd0
Pegasus,"Sunny 2point0 - Star Power
(feat. Trippie Redd) (prod. star boy)","OG Filename: Star Power
The OG File for ""Star Power"" by Sunny 2point0 featuring Trippie Redd.",3:33,2020,"Mar 18, 2026",OG File,CD Quality,https://pillows.su/f/e24aea664c62444301ff2c9097c9ba80
LIFE'S A TRIP 2,"So Rough
(prod. Saint, Zodiac & ProdR8)
(Hollywood Famous)","OG Filename: So Rough
The snippet surfaced on April 29, 2025. Leaked on March 18, 2026 via mango. The untouched OG File leaked via Tookin during his OG Files buy on June 16, 2026.",1:26,"Dec 18, 2023","Mar 18, 2026",OG File,High Quality,https://pillows.su/f/e96b9470619d6bac22696106aa10a548
A Love Letter To You 4 (Deluxe),"⭐ Activate
(feat. Sunny 2point0 & Shootem Up) (prod. CBMIX)","OG Filename: Activate prod by Cbmix
Previewed in 2020 before ALLTY4 (Deluxe) dropped. The song then leaked on March 16, 2026 via choppapillow.",2:41,2020,"Mar 16, 2026",OG File,CD Quality,https://pillows.su/f/546ef4f5138096df54928df2e663c9dc
Pegasus,"State of Emergency
(feat. Sunny 2point0) (prod. KC Supreme & Pearl Lion)","The song was first previewed by Trippie on Instragram Live. The song then leaked on March 16, 2026 via choppapillow.",3:04,N/A,"Mar 16, 2026",Full,High Quality,https://pillows.su/f/f2318d12c2e6b3c33de9da349998f795
Pegasus,"Sunny 2point0 - Lick Me* [V2]
(feat. Trippie Redd) (prod. argo, ryno, eli.yf)
(Caress Me)","A version of ""Lick Me"" with a new beat and AI splitted vocals since Trippie & Pi'erre had beef during this time. Leaked on March 16, 2026 via choppapillow.",2:23,N/A,"Mar 16, 2026",Full,High Quality,https://pillows.su/f/0f522b0d698da7ae83f39bc653d90660
NDA,"Ski Mask The Slump God - Black Batman*
(feat. Trippie Redd)","The song was previewed by Ski Mask on March 16, 2026. The song is for Ski Mask's next album.",N/A,N/A,"Mar 16, 2026",Snippet,Low Quality,https://imgur.gg/f/ZE4eKGg
LIVE LOVE LAUGH DIE,"✨ LLLD
(prod. sapjer & sopelbb)
(LIVE LOVE LAUGH DIE, Your Body)","OG Filename: TRIP LLLD REF 1 SEP 6
The snippet surfaced on May 27, 2025, via @8hunna. as a bonus from the Worried Bout Nothing* + Cashew GB. Leaked on December 24, 2025 as a Christmas gift. The OG File then leaked on March 15, 2026 via Tookin.",2:29,"Sep 6, 2024","Mar 15, 2026",OG File,Lossless,https://imgur.gg/f/37rahZO
NDA,"Hold No Hands [V2]
(5 Star Bitch)","OG Filename: Hold No Hands NEWWW
This version of ""Hold No Hands"" leaked on March 15, 2026. This version is dated some days before the outro file so this is most likely the second version due to it being ""NEWWW.""",2:13,"Mar 20, 2025","Mar 15, 2026",OG File,High Quality,https://pillows.su/f/e8765e2a0b8536f99efb0686755b24d9
NDA,"Paperbag Boy [V1]
(feat. Young Thug) (prod. southboy)","Leaked on March 15, 2026. This song was most likely recorded during their September 2025 session. The file has it's metadata wiped.",3:10,"Sep ?, 2025","Mar 15, 2026",Full,High Quality,https://pillows.su/f/9336a38911613e9e1b4d75ffbd9a570b
