Era,Name,Notes,Designer(s),Art Type,Image,Project Type,Use,Link(s)
Lil Uzi Vert vs. The World,Lil Uzi Vert vs. The World,In 2016 Lil Uzi Vert asked Farris to make the cover for Lil Uzi Vert vs. The World. This cover art alongside 'The Perfect LUV Tape' was inspired by 'Scott Pilgrim vs. The World'. This is the album art.,Farris,Digital,,Front Cover,Used,https://ibb.co/PGnKXV09
Lil Uzi Vert vs. The World,"Lil Uzi Vert vs. The World 
[Eternal Atake 2 Cover]",Cover that was put on all albums & mixtapes that was available on all streaming platforms at the time Eternal Atake 2 was announced.,Farris,Digital ,,Front Cover,Used,https://ibb.co/KzX5vF9Q
Lil Uzi Vert vs. The World,Lil Uzi Vert vs. The World,Cover VMP released for the vinyl version. The difference with the normal cover is is that it's lenticular.,Farris,Photo,,Front Cover,Used,https://ibb.co/DPRTZ7Yk
Lil Uzi Vert vs. The World,"Lil Uzi Vert vs. The World
[Alt Cover]",Alternate cover made by Farris. He showed this cover when he was showing how he made the album art. The cover features more brightened colors.,Farris,Digital ,,Alternate,Unused,https://ibb.co/1G1gfHcn
Lil Uzi Vert vs. The World,"Lil Uzi Vert vs. The World 
[Back Cover]",Back cover of the Mixtape,Farris,Photo,,Back Cover,Used,https://ibb.co/JWTCLH2L
Lil Uzi Vert vs. The World,"Lil Uzi Vert vs. The World
[Back Cover VMP]",VMP back cover of the mixtape. Only difference is that it is lenticular.,Farris,Photo,,Back Cover,Used,https://ibb.co/G4KsHXvf
Lil Uzi Vert vs. The World,"Lil Uzi Vert vs. The World
[Alt Covers]",Bunch of covers Farris previewed on a instagram post.,Farris,Photo,,Alternate,Unused,https://ibb.co/3mp2mp8m
Lil Uzi Vert vs. The World,"Lil Uzi Vert vs. The World
[Alt Covers]",Bunch of covers Farris previewed on a instagram post.,Farris,Photo,,Alternate,Unused,https://ibb.co/7JNTvnTj
Lil Uzi Vert vs. The World,Lil Uzi Vert vs. The World [Alt Cover],Throwaway cover Farris previewed on a Twitter post,Farris,Digital,,Alternate,Unused,https://ibb.co/vxvh006v
Lil Uzi Vert vs. The World,Lil Uzi Vert vs. The World [Alt Cover],Throwaway cover Farris previewed on a Twitter post,Farris,Digital,,Alternate,Unused,https://ibb.co/gNgB93J
Lil Uzi Vert vs. The World,Lil Uzi Vert vs. The World [Background],Backdrop cover Farris showed in a instagram post.,Farris,Digital,,Back Cover,Unused,https://ibb.co/bjNSzptx
Lil Uzi Vert vs. The World,SO HIT ++          [Single Cover],Cover for the song SO HIT ++,Unknown,Digital,,Front Cover,Used,
Lil Uzi Vert vs. The World,He Did It ++       [Single Cover],Cover for the song He Did It ++,Farris,Digital,,Front Cover,Used,
Lil Uzi Vert vs. The World,LEFT RIGHT ++ [Sinlge Cover],Cover for the song LEFT RIGHT ++,Unknown,Digital,,Front Cover,Used,
Lil Uzi Vert vs. The World,Yea Hoe               [Single Cover],"Cover for Yea Hoe, posted on Maaly Raw's SoundCloud.",Farris,Digital,,Front Cover,Used,
Lil Uzi Vert vs. The World,Money Longer    [Single Cover],Cover for the song Money Longer's single,Farris,Digital,,Front Cover,Used,https://ibb.co/Fbq7Rz8G
Lil Uzi Vert vs. The World,"Money Longer
 [Radio Rip Cover]","The first cover to Money Longer, posted on Uzi's SoundCloud. No longer in use.",Unknown,Photo,,Alternate,Unused,https://ibb.co/QF001rKM
Lil Uzi Vert vs. The World,MAX - Wrong,Cover for the song Wrong by MAX featuring Lil Uzi Vert,Unknown,Digital,,Front Cover,Used,https://ibb.co/DDyzXdzK
Lil Uzi Vert vs. The World,LAMB$ - Nauseous,Cover for the song Nauseuos by LAMB$ featuring Lil Uzi Vert,Unknown,Digital,,Front Cover,Used,https://ibb.co/VWQSxH18
Lil Uzi Vert vs. The World,William Aston - Diamond Necklace,Cover for the song Diamond Necklace by William Aston featuring Lil Uzi Vert,Unknown,Digital,,Front Cover,Used,https://ibb.co/tT85x6ZF
Lil Uzi Vert vs. The World,Money June - Exotic,Cover for the song Exotic by Money June featuring Lil Uzi Vert,Unknown,Digital,,Front Cover,Used,https://ibb.co/2YnNqH3j
Lil Uzi Vert vs. The World,Kodie Shane - Way Up,Cover for the song Way Up by Kodie Shane Featuring Lil Uzi Vert,Unknown,Digital,,Front Cover,Used,https://ibb.co/Nd3KD9Vx
The Perfect LUV Tape,The Perfect LUV Tape,"Cover for Lil Uzi Vert's fouth Mixtape - The Perfect LUV Tape, This cover art alongside 'Lil Uzi Vert vs. The World' was inspired by 'Scott Pilgrim vs. The World'.",Farris,Digital ,,Front Cover,Used,https://ibb.co/MDZfMsMJ
The Perfect LUV Tape,"The Perfect LUV Tape 
[Eternal Atake 2 Cover]",Cover that was put on all albums & mixtapes that was available on all streaming platforms at the time Eternal Atake 2 was announced. ,Farris,Digital,,Front Cover,Used,
The Perfect LUV Tape,The Perfect Luv Tape [Animated Cover],"Animated cover for The Perfect Luv Tape.
Full MP4 is linked.",Farris,Digital ,,Front Cover,Used,https://mega.nz/file/ud8SwQCS#OQeI7tBb9YQzfzRpZwlUzIMLrf1QS94xwKwq0dmrprI
The Perfect LUV Tape,The Perfect Luv Tape [Alterative],"First cover revealed by Uzi on Twitter, only difference being that it has a different explicit tag.",Farris,Digital ,,Alternate,Unused,
The Perfect LUV Tape,"The Perfect LUV Tape 
[Back Cover]",Official back cover for Lil Uzi Vert's - The Perfect LUV Tape.,Farris,Digital,,Back Cover,Used,
