"Era","Name","Notes","Quality","Creator","Image","Link(s)"
"BALLADS 1","TEST DRIVE","Cover Art for ""TEST DRIVE"".","3000x3000","","","https://drive.google.com/file/d/1bcCZF288uPWyVAyrRNJcajTP45fF8gd3/view"
"BALLADS 1","TEST DRIVE [Music Video]","Cover Art of the music video for ""TEST DRIVE"".","1920x816","","","/jojigold/art/test-drive-music-video.jpg"
"BALLADS 1","WANTED U [Music Video]","Cover Art of the music video for ""WANTED U"".","1920x816","","","/jojigold/art/wanted-u-music-video.jpg"
"BALLADS 1","SLOW DANCING IN THE DARK (Acoustic Remix)","Cover Art for ""SLOW DANCING IN THE DARK (Acoustic Remix)"".
It's the same cover for the other remixes, just with different text.","3000x3000","","","https://drive.google.com/file/d/1Cgeaqil7BwYUbSRN0qR6_CXm-wsiU8H1/view"
"BALLADS 1","SLOW DANCING IN THE DARK (Loud Luxury Remix)","Cover Art for ""SLOW DANCING IN THE DARK (Loud Luxury Remix)"".
It's the same cover for the other remixes, just with different text.","3000x3000","","","https://drive.google.com/file/d/1CM5eVCaFmAgCCYrySbueNhUrlAFBd7tQ/view"
"BALLADS 1","SLOW DANCING IN THE DARK (Mr. Mitch Remix)","Cover Art for ""SLOW DANCING IN THE DARK (Mr. Mitch Remix)"".
It's the same cover for the other remixes, just with different text.","3000x3000","","","https://drive.google.com/file/d/1RtN6kUpEmJ4G-OUIzs7B7e6zQHuNEt1J/view"
"BALLADS 1","BALLADS 1 (5th Anniversary Edition)","Cover Art for the 5th Anniversary Edition of ""BALLADS 1"".","2000x2000","Nathan Rickard & Forrest Grenfell","","https://drive.google.com/file/d/1tB0f2Yb_KGY1jx8X6SZDe77JkkDgFEgy/view"
"Head In The Clouds II","Breathe","Cover Art for ""Breathe"".","3000x3000","Hajime Sorayama","","https://drive.google.com/file/d/1zpsyQUmMbNBR8JjG5pBy70yQ6-0fcbpU/view"
"Head In The Clouds II","Head In The Clouds II","OG Filename: 88 HITC ALBUM 83
Cover Art for ""Head In The Clouds II"".","3000x3000","Hajime Sorayama","","https://drive.google.com/file/d/1n-a8lXeDU1jTUObOe60yXjb0CU7-WTs3/view"
"Head In The Clouds II","Hopscotch [Music Video]","Cover Art for the music video of ""Hopscotch"".","720x480","","","/jojigold/art/hopscotch-music-video.jpg"
"Head In The Clouds II","Need Is Your Love [Music Video]","Cover Art for the music video of ""Need Is Your Love"".","1920x1080","","","/jojigold/art/need-is-your-love-music-video.jpg"
"Nectar","Joji - Nectar [Profile Picture #1]","Profile Picture used by Joji during the Nectar era.","900x900","","","https://web.archive.org/web/20200331105959if_/https://yt3.ggpht.com/a/AATXAJwbUizhGPz1mGhQ8ZmfhAsBd7JzoBFURwElyQ=s900-c-k-c0xffffffff-no-rj-mo"
"Nectar","Joji - Nectar [Banner #1]","Banner used to promote the release of ""Run"".
We currently don't have the full-sized image.","2480x520*","","","https://web.archive.org/web/20200331020449if_/https://i1.sndcdn.com/visuals-000269002480-pQtRGN-original.jpg"
"Nectar","Joji - Nectar [Profile Picture #2]","Profile Picture used by Joji during the Nectar era. Used on his YouTube channel.","900x900","","","https://web.archive.org/web/20200415004505if_/https://yt3.ggpht.com/a/AATXAJwbUizhGPz1mGhQ8ZmfhAsBd7JzoBFURwElyQ=s900-c-k-c0xffffffff-no-rj-mo"
"Nectar","Joji - Nectar [Banner #2]","Banner used on his YouTube channel. We currently don't have the full-sized image.","2560x424*","","","https://web.archive.org/web/20200410114713if_/https://yt3.ggpht.com/fj58QQkD9tLtSVDu4cCYwmFePNrwBZ55bV7mQxKhHuJsS402AfK8xfYuYt-8c6yJrz9P1Us_kJM=w2560-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
"Nectar","Joji - Nectar [Profile Picture #3]","OG Filename: 88 JOJI ALBUM KA 40
Profile Picture used by Joji during the Nectar era. It is just the ""Nectar"" cover art.","3000x3000","Kaden Akahoshi","","https://web.archive.org/web/20251224061052if_/https://yt3.ggpht.com/a/AATXAJwbUizhGPz1mGhQ8ZmfhAsBd7JzoBFURwElyQ=s0"
"Nectar","Joji - Nectar [Banner #3]","Banner used on his socials. We currently don't have the full-sized image.","2480x520*","","","https://web.archive.org/web/20200423181105if_/https://i1.sndcdn.com/visuals-000269002480-tAWDkg-original.jpg"
"Nectar","Joji - Nectar [Banner #4]","Banner used on his socials. We currently don't have the full-sized image.","2480x520*","","","https://web.archive.org/web/20200923212042if_/https://i1.sndcdn.com/visuals-000269002480-gEr59k-original.jpg
https://web.archive.org/web/20201216053536if_/https://i1.sndcdn.com/visuals-000269002480-t1bhEH-original.jpg"
"Nectar","Joji - Nectar [Banner #4]","Banner used on his socials. We currently don't have the full-sized image.","2480x520*","","","https://web.archive.org/web/20200923212042if_/https://i1.sndcdn.com/visuals-000269002480-gEr59k-original.jpg
https://web.archive.org/web/20201216053536if_/https://i1.sndcdn.com/visuals-000269002480-t1bhEH-original.jpg"
"Nectar","Daylight","Cover Art for ""Daylight"".
Created on August 7th 2020.","3000x3000","","","https://drive.google.com/file/d/1byz0VZ5POZCgfm2-Du5hCgaOLBPyRKG_/view"
"Nectar","Daylight [Music Video]","Cover Art of the music video for ""Daylight"".
Created and finalized on August 6th, 2020.","3840x2160","","","/jojigold/art/daylight-music-video.jpg"
"Nectar","Gates to the Sun","Cover Art for ""Gates to the Sun"".","3000x3000","","","https://drive.google.com/file/d/19IubWG3eMT2RzC-phiM44tjrkLQYugdl/view"
"Nectar","gimme cum (official remix)","Cover Art for the official remix of ""Gimme Love"".","720x720","","","https://drive.google.com/file/d/1ZhtscnnLqjraeXQI415Eil7_0HjHwE-h/view"
"Nectar","Gimme Love","OG Filename: GIMMELOVE_KA_46
Cover Art for ""Gimme Love"".
Created on February 18th, 2020.","3000x3000","Kaden Akahoshi","","https://drive.google.com/file/d/1hvk3SDS2A-ObN3ceGU-pjy3neGRAgfJx/view"
"Nectar","Gimme Love [Music Video]","Cover Art for the music video of ""Gimme Love"".","1436x810","","","/jojigold/art/gimme-love-music-video.jpg"
"Nectar","Gimme Love (Channel Tres Remix)","OG Filename: GIMMELOVE REMIX 20
Cover Art for ""Gimme Love (Channel Tres Remix)"".","3000x3000","","","https://drive.google.com/file/d/1B87FNaRqCqJGmoqZemol13UwdoNPOzZP/view"
"Nectar","Nectar [Cover Art #1]","Old version of the Nectar cover art. Dated January 4th, 2020.","800x800","","","/jojigold/art/nectar-cover-art-1.png"
"Nectar","Nectar [Cover Art #2]","OG Filename: 88 JOJI ALBUM KA 40
Cover Art for ""Nectar"".
Created on March 12th, 2020.","3000x3000","Kaden Akahoshi","","https://drive.google.com/file/d/1T8tDM0YaO_BkHGF6Iu-_l_AFDHJAQZfk/view"
"Nectar","Run","Cover Art for ""Run"".
The photo used is from National Geographic.","3000x3000","","","https://drive.google.com/file/d/1xPYwQZlxHifhDSauT47hHVdMc6VCAcCS/view"
"Nectar","Run [Stock Photo]","Original Photo for ""Run"".","2000x1333","National Geographic","","https://drive.google.com/file/d/1ft8UwCTTnxKro-0hwB51JdP55Y3i85Bd/view"
"Nectar","Run [Music Video]","Cover Art for the music video of ""Run"".","1920x960","","","/jojigold/art/run-music-video.jpg"
"Nectar","Sanctuary","Cover Art for ""Sanctuary"".","3000x3000","","","https://drive.google.com/file/d/1VLZd996ABM2-ywaeUUbtvNACFq6wZkxR/view"
"Nectar","Sanctuary [Music Video]","Cover Art for the music video of ""Sanctuary"".","1442x1080","","","/jojigold/art/sanctuary-music-video.jpg"
"Nectar","Tick Tock [Music Video]","Cover Art for the music video of ""Tick Tock"".","1920x768","","","/jojigold/art/tick-tock-music-video.jpg"
"Nectar","Upgrade [Music Video]","Cover Art for the music video of ""Upgrade"".","1430x1080","","","/jojigold/art/upgrade-music-video.jpg"
"Nectar","Your Man [Music Video]","Cover Art for the music video of ""Your Man"".","1437x1080","","","/jojigold/art/your-man-music-video.jpg"
"Nectar","Your Man (Marc Stout Remix)
aka. YOUR MAN (MARC STOUT REMIX)","Cover Art for ""Your Man (Marc Stout Remix)"".","3000x3000","","","https://drive.google.com/file/d/1lfn7pev7sgF_bx8_hgBCJrFrh3jDHKVB/view"
"SMITHEREENS","Joji - SMITHEREENS [Profile Picture]","Profile Picture used on many of Joji's accounts.","3000x3000","Forrest Grenfell","","https://drive.google.com/file/d/1ugoqGUhegDsgZ9y0O-nnhSNkabV0ofwc/view"
"SMITHEREENS","Joji - SMITHEREENS [Banner #1]","Banner used to promote the release of ""Glimpse of Us"".
We currently don't have the full-sized image.","2480x520*","","","https://web.archive.org/web/20251224064334if_/https://i1.sndcdn.com/visuals-000269002480-pjOeVO-original.jpg"
"SMITHEREENS","Joji - SMITHEREENS [Banner #2]","Banner used to promote the release of ""Glimpse of Us"".
We currently don't have the full-sized image.","2480x520*","","","https://web.archive.org/web/20220618054959if_/https://i1.sndcdn.com/visuals-000269002480-SZtn4S-original.jpg"
"SMITHEREENS","Joji - SMITHEREENS [Banner #3]","Banner used after the release of ""YUKON (INTERLUDE)"".","1600x900","","","https://drive.google.com/file/d/10SLidn8IltLeRQtaE1m_9LLjlkAyQQyP/view"
"SMITHEREENS","Glimpse of Us","OG Filename: JOJI GLIMPSE OF US KA
Cover Art for ""Glimpse of Us"".
The photo used is a stock image.
Created on April 6th, 2022.","3000x3000","Kaden Akahoshi","","https://drive.google.com/file/d/15egGaiFzmkpAdCW8DeVojfR4CYQWuJvr/view"
"SMITHEREENS","Glimpse of Us [Stock Photo]","Original stock photo used in the cover for ""Glimpse of Us"".","600x400","","","https://drive.google.com/file/d/1biUZcgqkMu0T_-TCXxVpcN5sLVIi1Fu0/view"
"SMITHEREENS","Glimpse of Us [Music Video]","Cover Art for the music video of ""Glimpse of Us"".
Dated June 8th, 2022.","1280x720","","","/jojigold/art/glimpse-of-us-music-video.jpg"
"SMITHEREENS","SMITHEREENS (MIDNIGHT)","Picture used the day of release to promote ""SMITHEREENS"".","2400x3000","","","https://drive.google.com/file/d/1UGBBsoGhT9fXZCjRky26OhKMrKlsxpu8/view"
"SMITHEREENS","SMITHEREENS
aka. Oblivion","OG Filename: JOJI OBLIVION KA
Cover Art for ""SMITHEREENS"".","3000x3000","Kaden Akahoshi","","https://drive.google.com/file/d/1JnPlZQD-H8WujFkMMobsNbVEzqjj6Efy/view"
"SMITHEREENS","SMITHEREENS (Parental Advisory)
aka. Oblivion","Cover Art for ""SMITHEREENS"". Has a Parental Advisory sticker on it.","3000x3000","","","Link"
"SMITHEREENS","SMITHEREENS [Animated Cover]
aka. Oblivion","Animated cover art for ""SMITHEREENS"" that was used on Apple Music.","2160x2160","","","https://drive.google.com/file/d/1kzCuNb-5Sbf7TmY_VKuQTcSscNIjaxZt/view"
"SMITHEREENS","YUKON (INTERLUDE)
aka. Yukon Interlude","Cover Art for ""YUKON (INTERLUDE)"". The photo used is a stock image.","3000x3000","","","https://drive.google.com/file/d/1kJWVnZZeVnDYIq1A_u7S_R4mJbkIFfwT/view"
"SMITHEREENS","YUKON (INTERLUDE) [Stock Photo]
aka. Yukon Interlude","Original stock photo used in the cover for ""Yukon (Interlude)"".","5616x3744","","","https://drive.google.com/file/d/1sa8t1g2Xzk4Qlv4beVe75XceOJEnv7Om/view"
"SMITHEREENS","YUKON (INTERLUDE) [Music Video]","Cover Art for the music video of ""YUKON (INTERLUDE)"".
Created on August 16th, 2022, and finalized a day later on the 17th.","1280x720","","","/jojigold/art/yukon-interlude-music-video.png"
"SMITHEREENS","Die For You [Visualizer]","Cover Art for the visualizer of ""Die For You"".
Dated October 10th, 2022.","1280x720","","","/jojigold/art/die-for-you-visualizer.png"
"PANDEMONIUM","PANDEMONIUM [Background]","Filename: Joji_Pandemonium_BG.jpg
The background picture of the Pandemonium logo for Jojimusic.com.
","2250x3000","","","http://jojimusic.com/
https://drive.google.com/file/d/19GiszxNAOAHe0gn5zGMTltny_E-HkSeD/view"
"Piss In The Wind","PIXELATED KISSES","OG Filename: JOJI_LP4_PIXELATEDKISSES.jpg
OG Filename (2): JOJI_LP4_PIXELATEDKISSES (1).jpg
Cover Art for ""PIXELATED KISSES"".
Dated Augest 28th, 2025.
","3000x3000","","","https://drive.google.com/file/d/1QHMbI0EyVa37w7eOcl9xTyxNbFu_3rgx/view"
"Piss In The Wind","PIXELATED KISSES [Stock Photo]
aka. Messy electrical cables on post stock photo","Stock Photo for ""PIXELATED KISSES"".","5472x3648","","","https://www.istockphoto.com/photo/messy-electrical-cables-on-post-gm865220918-143882557"
"Piss In The Wind","PIXELATED KISSES [Visualizer]","Cover Art for the visualizer of ""PIXELATED KISSES"".
Dated October 10th, 2025.","1430x1080","","","https://drive.google.com/file/d/1bpwMSxDigLsBlBnXSZyTJQ69XS-Cd8Xh/view"
"Piss In The Wind","Joji - Piss In The Wind [Profile Picture #1]","OG Filename: JOJI_LP4_DIGITAL_1_AVATAR.png
3rd Profile Picture for all of Joji's accounts.","1500x1500","","","https://drive.google.com/file/d/1hDJgztfWh5ms7x33nMIMLANUNgxohUvQ/view"
"Piss In The Wind","Joji - Piss In The Wind [Banner #1]","The large rectangular banner seen across Joji's accounts starting early October, 2025.","1600x900","","","https://drive.google.com/file/d/1alwcHmFKN2X_dwFTHI5HjQ3GFEHHMl7Z/view"
"Piss In The Wind","Joji - Piss In The Wind [Profile Picture #2]","OG Filename: Joji_BlackLogo_Updated.png
4th Profile Picture for all of Joji's accounts.","2000x2000","","","https://drive.google.com/file/d/1F4iVcC5LmEiJ1-JhH5bAEqtxRFmvs1dw/view"
"Piss In The Wind","Joji - Piss In The Wind [Banner #2]","Joji's second banner during the rollout of ""Piss In The Wind"".","2560x1440","","","https://drive.google.com/file/d/1GA9ut7KxNktBePZfwGbolLGXpP7Qp_Jd/view"
"Piss In The Wind","If It Only Gets Better","Cover Art for ""If It Only Gets Better"".","1500x1500","","","https://drive.google.com/file/d/1tJsdyjzJM__cvIrWXNCXTmqeqvsNjb2m/view"
"Piss In The Wind","If It Only Gets Better [Music Video]","Cover Art for the music video of ""If It Only Gets Better"".","1438x1080","","","https://drive.google.com/file/d/1zHIvWE71ZN_m0Ke_AVb7sgzaZWEsmxO5/view"
"Piss In The Wind","Piss In The Wind","OG Filename: JOJI_LP4_ARTWORK.jpg
Filename: Joji - Piss In The Wind.tif
Cover Art for ""Piss In The Wind"".
The final version is dated October 23rd, 2025,
but the artwork was created on March 19th, 2025.","3000x3000","Angelo Rosales","","https://drive.google.com/file/d/1gSxOITLdgC5Xo38wdq0nBjZtM_JEuuFX/view"
"Piss In The Wind","Piss In The Wind [Original Photo]","Original Photo for ""Piss In The Wind"".","2048x2048","","","/jojigold/art/piss-in-the-wind-original-photo.jpg"
"Piss In The Wind","Piss In The Wind [Animated Cover]","Animated Cover Art for ""Piss In The Wind"". Ripped from Apple Music.","2160x2160","","","https://drive.google.com/file/d/1WGxW-ueZQ78GOarFS6x1Hjd3Ucr5u2EX/view"
"Piss In The Wind","Piss In The Wind [Tall Photo]","Tall version of the cover art used for ""Piss In The Wind"". Ripped from Apple Music.","1680x2240","Angelo Rosales","","https://drive.google.com/file/d/1ci_dvEqeeZsm7qHSVz68-W6C73Qtb1w8/view"
"Piss In The Wind","Piss In The Wind [Animated Tall Cover]","Tall, animated cover for ""Piss In The Wind"".","2048x2732","","","https://drive.google.com/file/d/1iFrPh3pNIzejsyulzn6xFwl--kEhbDXf/view"
"Piss In The Wind","Past Won't Leave My Bed","Cover Art for ""Past Won't Leave My Bed"".","1500x1500","","","https://drive.google.com/file/d/1T46itXIH6_cBdlpK50xDET1Vixmuq2Jw/view"
"Piss In The Wind","Past Won't Leave My Bed [Music Video]","Cover Art for the music video of ""Past Won't Leave My Bed"".
Dated November 4th, 2025.","1920x1080","","","https://drive.google.com/file/d/1Cb1MJ7Qs9Dtp3LhxMXTtEUHy_avI8NkX/view"
"Piss In The Wind","PIXELATED KISSES (Remix)","OG Filename: JOJI_LP4_SINGLE1_YEATREMIX.jpg
Cover Art for ""PIXELATED KISSES (Remix)"".","1600x1600","","","https://drive.google.com/file/d/1CHjKwzyTxCFXW2S7aGrCnjelMRyb1nHn/view"
"Piss In The Wind","PIXELATED KISSES (Remix) [Music Video]","Cover Art for the music video for ""PIXELATED KISSES (Remix)""
Dated December 4th, 2025.","1920x1080","","","https://drive.google.com/file/d/1qAGXCF3F30TA9Yob4hxM7emohBzamj6m/view"
"Piss In The Wind","LOVE YOU LESS","Cover Art for ""LOVE YOU LESS"".","3713x3713","","","https://drive.google.com/file/d/1-bvUWu_933-JTfDrBzoKp_1RUKkn0n44/view"
"Piss In The Wind","Last of a Dying Breed","Cover Art for ""Last of a Dying Breed"".","3000x3000","","","https://drive.google.com/file/d/149jQiUsrbZdlyBeWc-E2TdGEuFiZjAJg/view"
"Piss In The Wind","Last of a Dying Breed [Stock Photo]","Original Stock Photo for ""Last of a Dying Breed"".","5315x3549","","","https://drive.google.com/file/d/1hmymgtI8BxGmuoxxmJuzh-Imivl14cP4/view"
"Piss In The Wind","Last of a Dying Breed [Music Video]","Cover Art for the music video of ""Last of a Dying Breed"".
Dated February 6th, 2026.","3840x2160","","","https://drive.google.com/file/d/1KKRCnuwSv_BLYXeblL4wYZEo_OT1myQn/view"
"Piss In The Wind","Piss In The Wind (Midnight)","Picture used the day of release to promote ""Piss In The Wind"".","2160x2700","","","https://drive.google.com/file/d/1toE4XAtfJ7uAn5fbBLVUwXdl21YH3HtM/view"
"Piss In The Wind","Joji - Piss In The Wind [Profile Picture #3]","Third Profile Picture for Joji's Social accounts.","850x850","","","https://drive.google.com/file/d/1V34ZDyMwO3NMu_oGeP-7Ms2FZfqhPVsw/view"
"Piss In The Wind","Joji - Piss In The Wind [Banner #3]","Third Banner for Joji's Social accounts.","2560x1440","","","https://drive.google.com/file/d/1D0HMuXxe15Pr1Btzolq25yV3xnJE6GZV/view"
"Piss In The Wind","Dior [Music Video]","Cover Art for the music video of ""Dior"".
Dated February 6th, 2026.","3840x2160","","","https://drive.google.com/file/d/1vkfp_LMn0rFjChrSWi93lo4xGBQgFzRq/view"
"Piss In The Wind","Forehead Touch The Ground [Animated Video]","Cover Art of the animated video for ""Forehead Touch The Ground"". 
Dated February 5th, 2026.","1920x1080","","","https://drive.google.com/file/d/1cYqcVxVYSftxvrTFq12_6WW_6rCZm_H0/view"
