"Era","Name","Notes","Quality","Creator","Image","Link(s)"
"Chloe Burbank Volume 1 [V2]","@chloeburbank - SoundCloud [Profile Picture #2]","Profile Picture for the chloeburbank SoundCloud account.
It is just the original Chloe Burbank Album Art.","1000x1000","George Miller","","https://drive.google.com/file/d/1vPKcOfdJFVxYtaHj6uFi-5yMUz1aBV80/view"
"Chloe Burbank Volume 1 [V2]","@chloeburbank - SoundCloud [Profile Picture #3]","Profile Picture for the chloeburbank SoundCloud account.","500x500*","","","/jojigold/art/chloeburbank-soundcloud-profile-picture-3.jpg"
"Chloe Burbank Volume 1 [V2]","@chloeburbank - SoundCloud [Profile Picture #4]","Profile Picture for the chloeburbank SoundCloud account.","500x500*","","","https://drive.google.com/file/d/1Sx06l1JvvoyRqUq6oPYJRnxhft0XT8FF/view?usp=drive_link"
"Chloe Burbank Volume 1 [V2]","@chloeburbank - SoundCloud [Profile Picture #5]","Profile Picture for the chloeburbank SoundCloud account.","691x691","","","https://drive.google.com/file/d/1q_6vpPiQyty8z41QUPwidoU7pytevsb4/view?usp=drive_link"
"Chloe Burbank Volume 1 [V2]","amazonian pet [V1]
aka. Amazonian Pet (demo), amazonian pet","Cover Art for ""Amazonian Pet (demo)"", a private
track uploaded to Joji's SoundCloud account.","420x420","","","https://drive.google.com/file/d/1SzAR5m2FDapUCZ362vUn6m4YTaF54ddq/view?usp=drive_link"
"Chloe Burbank Volume 1 [V2]","amazonian pet [V2]","Cover Art for ""amazonian pet"", a private track
uploaded to Joji's SoundCloud account.","505x505","","","https://drive.google.com/file/d/1OOTtKYGe49N2eRo1qgNq7B2e5d4D0rXQ/view?usp=drive_link"
"Chloe Burbank Volume 1 [V2]","BESIDJU [Cover 1]","Cover Art for ""BESIDJU"" on Joji's SoundCloud account.","997x997","","","https://drive.google.com/file/d/1sC7govIMqp4kIA3Yi7n0cNOKIYwQwB5k/view"
"Chloe Burbank Volume 1 [V2]","BESIDJU [Cover 2]","Cover Art for ""BESIDJU"" on Apple Music. Has a slightly different crop.","3000x3000","","","https://drive.google.com/file/d/1XmypzJxbcGeTMHtAzdCG-Wo5iW6EFEvx/view"
"Chloe Burbank Volume 1 [V2]","BESIDJU [Cover 1 & 2] [Original Photo]","Original Photo used in the cover art of ""BESIDJU"".
The photo was taken in August of 1988 at the gates of the deactivated Air Force Security Service base. The guy in the photo is Bill Harris, who was formerally on the base when it was still active. 17 years prior, on March 15th, 1971, the site was handed over to the Marines Corps. However, by the mid 1980s, the site mostly sat abandoned, and nowadays most structures had been demolished.","366x252","Jim Grogan","","https://6927.53merc.com/op88_1.jpg
https://6927.53merc.com/"
"Chloe Burbank Volume 1 [V2]","BESIDJU [Cover 3]","Cover Art for ""BESIDJU"" on shamana's streaming platforms.","3000x3000","shamana","","https://drive.google.com/file/d/1GjL5KYZta4O2zSVWY4utjZT2iC3IB7b2/view?usp=drive_link"
"Chloe Burbank Volume 1 [V2]","Chloe Burbank Volume 1 [Cover #1]","Cover Art for ""Chloe Burbank Volume 1"". This cover has a white background with brown text, and has ""Dead Purple Records"" on the left, which isn't in the second cover. It's unknown if it was a real record label or not.","1000x1000","George Miller","","https://drive.google.com/file/d/1w8NwlLd5zfi5-U56QSkgfDv3MBI-rRR_/view"
"Chloe Burbank Volume 1 [V2]","Chloe Burbank Volume 1 [Cover #2]
aka. Miles, Rajvi","Cover Art for ""Chloe Burbank Volume 1"". This cover has a blueish background with white text, and doesn't have the ""Dead Purple Records"" on the far left, which was in the first cover. The cover art was used in the private uploads of Rajvi and Miles. This version also seems to be slightly more zoomed in compared to the BandCamp cover.","1242x1242","George Miller","","https://drive.google.com/file/d/1Nz-1SoqxQzW_NUHigPgnd6so6Cci9nW_/view"
"Chloe Burbank Volume 1 [V2]","Chloe Burbank Volume 1 [Cover #3]","Cover Art for ""Chloe Burbank Volume 1"". This cover has a blueish background with white text, and doesn't have the ""Dead Purple Records"" on the far left, which was in the first cover. The earliest known use of the cover was April 25th, 2016, meaning the cover was changed only 6 months later. The same cover was also used for ""Miles"" and ""Rajvi"" which were private tracks on Joji's SoundCloud account. Joji would later use the same cover for ""you suck charlie"" and ""thom"" when uploading them to Bandcamp.","2000x2000","George Miller","","https://drive.google.com/file/d/1_WSRFriDEusdIqckc59GIVAYLOB96A05/view"
"Chloe Burbank Volume 1 [V2]","beat 4 rent [V1]
aka. ears bleed","Cover art for ""Ears Bleed"", a private track uploaded to Joji's SoundCloud account.
The woman in the photo is Mila Dago, who is infamously texted ""Drunk driving woo..."" just before a fatal car crash. The cover art was first seen in a photo on Joji's Instagram with him playing a private track titled ""beat 4 rent"" which was later titled ""Ears Bleed"".
Dated January 12th, 2016.","772x996","","","Link"
